Растворитель Дихлорметан (Метилен хлористый) 1 литр,890 ₽,177 отзывов,"Завтра доставит Ozon, продавец Top 3D Shop",https://www.ozon.ru/product/rastvoritel-dihlormetan-metilen-hloristyy-1-litr-283171512/?asb=2PBUZspofQRh4VxObqEFogQlACm4MRvvf5%252BRVZ2iwEg%253D&asb2=F6KQrd4qvE0uxNEv-S7f-daMsZOFIEjMCcOe6nb74SI6j1bXO7k9AvXBB-R_Rr3F
"Пластик для 3D ручки ""НИТ"", набор PLA 10 цветов (100 метров)",378 ₽,160 отзывов,"Завтра доставит Ozon, продавец ООО ""ПК НИТ""",https://www.ozon.ru/product/nabor-pla-plastika-dlya-3d-ruchki-nit-iz-10-tsvetov-149089738/?asb=vtFNeyELed7qpQeuv%252BoIg%252FZWObdO7cufCPf3glb9YrLldsZHsHx%252Bahbk06%252Bv%252BLLt&asb2=XOLZf4S5VtKn9Io8xnm9VGkQWtRqwAsO3arGdvawCIr67Y1cYVEtvfdRQheV8leJRDFpn7e2P3jgB1otq6pk4NNnQIGAXU3uo9mvFTMOs7GDIMq_shCOVK6hms6ZY9Cx5DjnNcROIb84A3oJ5lxklg
hopka Набор PCL пластика 10 цветов по 5 метров,498 ₽,2 отзыва,"Завтра доставит Ozon, продавец Hopka",https://www.ozon.ru/product/hopka-nabor-pcl-plastika-10-tsvetov-po-5-metrov-554951891/?asb=VNnkgr5JPhgn7mbgNR2n8LJditc7%252FTGZkTQfR7GRyZc%253D&asb2=HhC5_TzFcqGKOfCVB-00Py-BTyoK9lebnQLZYGtZXl6w_wwp1OsvSits86YMap8w
"Трафареты для 3D ручки Школа талантов ""Волшебный мир""",181 ₽,23 отзыва,"Завтра доставит Ozon, продавец Эврики",https://www.ozon.ru/product/trafarety-dlya-3d-ruchki-shkola-talantov-volshebnyy-mir-273575752/?asb=wGu%252F3IVdKto98yUBYHXuAJTp53kuNKxePpsvQQwzuOgnQXRb3gNVjfQ%252BwvvgYBOc&asb2=ur3sw8m7qSNycc2Zq_rZ1FHBO-UmDLj6H3Y3EaRhrn_oUxSXLcjPAhQfMkijxKzOQQ7wFC_vVQUvLwBE4KAb8r94IyBliK6KCZT2ZV3cmi3VE7LNnGZ9M4voezdqJuXTPTqav1uoJiu_skaLPil6TQ
Набор пластика 3д ручка 3D (ABS 10 цветов по 10 метров),285 ₽,93 отзыва,"Завтра доставит Ozon, продавец Рускинг",https://www.ozon.ru/product/nabor-plastika-3d-ruchka-3d-abs-10-tsvetov-po-10-metrov-297019143/?asb=KtCu0VtM%252Fw0vDgRkrGz4TZA6T7BySNBpUd78dwirXI8%253D&asb2=xraYcAVCIUQ2KaahJ8mYwsJvpW8vMEEsALr26vZZY8oLuO7oEDOBOOYFRynDEynt
Пластик для 3д ручки ABS 10 рулонов по 10 метров,265 ₽,23 отзыва,"Завтра доставит Ozon, продавец H-Discount",https://www.ozon.ru/product/plastik-dlya-3d-ruchki-abs-10-rulonov-po-10-metrov-286155434/?asb=o9I8BKZoAwO8dsAaFxmf%252FuTfnKmD%252FL6kwhwx9YNge07r5j2IlW3TWoaA99%252BAdk8c&asb2=Pkoq-DgkELai-Cn4V8K4Q5zz8K9rGrY5TLRO_6K8gegPDs3WdACOcF7pf5C_6mk6X5igfmgnQsfcX-Qay6hQ6aRjWEb9oIXIZEGWv2jJ0RyJumLC15q50pOejNCSnWLVPmqiwP3DNf7Yjz10Q0pyaQ
"Пластик для 3D ручки ""НИТ"", набор PLA 15 цветов (150 метров)",540 ₽,173 отзыва,"Завтра доставит Ozon, продавец ООО ""ПК НИТ""",https://www.ozon.ru/product/nabor-pla-plastika-dlya-3d-ruchki-nit-iz-15-tsvetov-149102100/?asb=JVeQQmlCh3jDtI%252FlEc0rarn3nuX0MViKuoOxi88UDv0wWglcw6mBCLTGquqVsH%252Bu&asb2=LibHdXnxM3Pjw16_Di8AebZNtAdbH-2KriqmEPvjhu0bNSSCxGmGilfYbxOJGWWvMcfe5rzTXaZfS6YIwdN0lJsJF1KJQTvJTwesxaM6BRJFxwEsawEg7VAJCIwxy1OSckNWEJXKGDInQJoK8Rml9A
"Пластик для 3D ручки ""НИТ"", набор PLA 10+6 цветов (160 метров)",533 ₽,62 отзыва,"Завтра доставит Ozon, продавец ООО ""ПК НИТ""",https://www.ozon.ru/product/plastik-dlya-3d-ruchki-nit-nabor-pla-10-6-tsvetov-160-metrov-268712538/?asb=f9jfZC1D47kN07jqW%252BaYKaiWqYzQs5J6IptvKArDaA%252Fp0lrMrvzC9aiMMK%252FC6xoP&asb2=HW5iGfbFLJxwGHOsWLnLeQTDvMITBF4twKPSIp4FrChQMVkVDb28kL2KaRgsZHWbqdxVXRl9pgfrE5bThtxMxdkyZOMuCjKzkjjpmLDs1IkHSj2KcBLJwi6qYzdZFvxNOB2tB96od1dWwMfsqLe_Nw
"Пластик для 3д ручки PLA / Стержни для 3d ручки ПЛА 8 мотков по 7,5 метров",299 ₽,134 отзыва,"Завтра доставит Ozon, продавец H-Discount",https://www.ozon.ru/product/plastik-dlya-3d-ruchki-pla-sterzhni-dlya-3d-ruchki-pla-8-motkov-po-7-5-metrov-368029857/?asb=UBa27P7mhbG9oWzFF5uuYXjIJZm3vMLAjJhtzOxxxTs%253D&asb2=t8azVS11GOrEp88LCviuaU32zkulCufgIso4NZdk6fLKXKj5p7eKX20FVNBCpwDa
Клей для 3д печати The3D для FDM 3d печати 250 мл,670 ₽,141 отзыв,"Завтра доставит Ozon, продавец 3D Go!",https://www.ozon.ru/product/kley-dlya-3d-pechati-the3d-dlya-fdm-3d-pechati-250-ml-309914073/?asb=c3EByi%252B2GusBqmLTXDykUhU3nB00Y4EDhGNLM41pgw2G4Zc62MrABkZst1d3%252BaU2&asb2=BJz6a0qfYb2LX2xcMVEJ1elWOnqY-Ol0USsrxzzUUKIjjebP2ICg0tN7VVnWlebHrbyXAHa4YIE835E0FuiJtNZNrpan6JBxIjqfsOEawbWHJZd3I5_J3sWZYjRqVtdwXygNdjTLOgZdW_YQFjTE9A
