Чистящий карандаш Lenspen (PGYTECH) (P-GM-112),990 ₽,1 отзыв,"Послезавтра доставит Ozon, продавец КоптерТайм",https://www.ozon.ru/product/chistyashchiy-karandash-lenspen-pgytech-p-gm-112-262934192/?advert=20rjnoEhsKBpKLANq89r7HYYLOWGfGvxG6LVMPnb8_kekJ1DKUnHj3NXC8Zjl6Zz9qLmTgRWOCB42SChR70QoLfImqkJf2jI86ALjou4KOOeHKU57GjGP6_2lcrZC-vHRKACmOSepFuztCnMk5bhE-g8Dwu07RVfHuylMC9FuF3dCD43-7EeH_L33gIJ4zONEjeLPLCPK_9gXX8txXJs1eD3z0a0fEu8Yhq0Bop_JENyZXgCRGR7n5ZGSgc420gLw9sHQZRDgOhRGfUnZS67qpVtqs2tfs-hv6jFsXYB74FkZENgt6OFaYbagi5BEOy47QsQDNkU7ciI1g-GwijVFRttRm53db-Vijz33hjrsHrTXMRvUkR_kBxvyPY45lMuL0JDzoRPQJ_zDyCLlxiGJ012ebPsOn1CEJXS2V1ErnVPtU6YUiqkJWMGTYkrx5oFEGZDEMqs7cYgnbjmfXalU-PAgIs0LD5H2isgie_6dUgO5meJz1rGxYBodyhLHtoeCtp7sSFxoq0w8S696vv6VeRDjKwHGABO0HAw_ufCangCnZ3e8ig2oX57oPyU2Wia
Набор пропеллеров для DJI Mavic Mini и Mini2 4726,989 ₽,2 отзыва,"Завтра доставит Ozon, продавец G-Shop",https://www.ozon.ru/product/nabor-propellerov-dlya-dji-mavic-mini-i-mini2-4726-398699332/?asb=Wj8i7AKt%252BBMhdNtSDHfQYypMnMfsU28Ci3Ecy%252B9tN%252FA%253D&asb2=Dw7hwNLZSYqtDhdhdafTOSoO6uYBU_CMgjjGaEvh39d7Xr7IaWTzHCjJ2zOBp3xH
Бленда для DJI Mavic Mini/Mini 2/Mini SE (защита от солнечных лучей),699 ₽,1 отзыв,"Завтра доставит Ozon, продавец G-Shop",https://www.ozon.ru/product/blenda-dlya-dji-mavic-mini-mini-2-mini-se-zashchita-ot-solnechnyh-luchey-512202414/?asb=iq1P5yJtGcpfoH5dcIeb37F%252BM7d63HWZB1Ku9m7oKjw%253D&asb2=aT1LCDy3pGdsBgGFh0TJd_bZPHsF2mQFFu2xOId9q2wVo8K6uYleq56tcgpx0jLt
"Набор флуоресцентных стикеров для квадрокоптера DJI Air 2, светящиеся наклейки Kige (2 набора)",356 ₽,2 отзыва,"Послезавтра доставит Ozon, продавец ООО ""КЛЕВЕР""",https://www.ozon.ru/product/nabor-fluorestsentnyh-stikerov-dlya-kvadrokoptera-dji-air-2-svetyashchiesya-nakleyki-kige-2-nabora-292153819/?asb=0LM8j9Tk%252BTV2VnnYOi%252ButA95N208MuJozpKTNWP6HJY%253D&asb2=1MS89L1mnhDzvNDokAHvVxBk2HW8xf8vrph5RtfABwYCv5JYT0UYLjgeEryVY-SR
Защита (козырек) от солнечных лучей для DJI Mavic Mini/Mini 2/Mini SE (бленда на подвес),790 ₽,1 отзыв,"Завтра доставит Ozon, продавец Shop4you",https://www.ozon.ru/product/zashchita-kozyrek-ot-solnechnyh-luchey-dlya-dji-mavic-mini-mini-2-mini-se-blenda-na-podves-524132919/?asb=GasEJrhj13j2UV9udc449mICUcjoYHO9oVkBYPhGd8A%253D&asb2=XQ-r7Q3OQNJoKS6Oy90Vyevjve2OAB9PKDOLySXZIJXPPFXcbr8SZ8QByeavqZSo
Защита пульта DJI Mavic MINI / MINI SE (Type 1) (MM-SP01),990 ₽,1 отзыв,"Завтра доставит Ozon, продавец КоптерТайм",https://www.ozon.ru/product/zashchita-pulta-dji-mavic-mini-mini-se-type-1-mm-sp01-465419732/?advert=ZZhjLg4D5aN27Mji-_0M3jIywHggJXSdQwtolJMuAtUSALxzVFXiSVHQZZRdYhxBpB4hEijNxX8-38356uqRoalzZ9h-jldXHVJt42OKbBJ3LtYBqlHv-66HDnvo8_Yi8asYGqzHWecCUpgDvysXjCgoY4eqGYqUJCY6_Af2La1gBPSRA5Hw3qnFK3BUFLFbyhxqS1LDcySxB0FQ-3KnjSn5Pqr5-OE7jDk-yZb4dFHYxPqF12XkYt4H5H2LYVeXGgA4lev0wgHr5gFhYTYUjf3t9JkOTnX-iSnRgU4E-aIni9CBFf49GLvBKL8VsuheWe1PJ6SVvhCZTaQafUZV43GpwIhEn8mByLWBWIeUrAAZgK326DeTcBegG1Jp-GRbMjUKwEqbqPPZlmngRPinvRZ6jSjKBtPizYaf7Mh5LbumahY5t-Vhzl_NUUYlr79ng9gINAlKX9A4XGIGRNEY2BP-voCLAF1UGHtTj8USVQBuCBtkMDSEed_NAomKyj_X2A3tl8T2f-QHXeAQNcQ1uDRPWwteOXNLpCSInhk-gSRJSsqbBUT4crQaj4uWEJ7x
"Защитный кейс для переноски DJI Spark, сумка для Dji Spark Drone, чехол для хранения квадрокоптера и аксессуаров",650 ₽,1 отзыв,"Послезавтра доставит Ozon, продавец ON Store",https://www.ozon.ru/product/zashchitnyy-keys-dlya-perenoski-dji-spark-sumka-dlya-dji-spark-drone-chehol-dlya-528673509/?asb=oW07TbbjjH8vYjccZWY5p%252BUR7qRIUa57becmOEK0Ohg%253D&asb2=t28Yet4WRCE-cVPEghBiGg3j_oesAAtHN7Vd0gFDmg0xwS_m5HqK483uvVqm3z5b
"Набор пропеллеров с низким уровнем шума для DJI Mavic Mini / Лопасти для квадрокоптера Мавик Мини, Mini 2",1 000 ₽,17 отзывов,"6 мая доставит Ozon, продавец ACTIONSTUFF",https://www.ozon.ru/product/nabor-propellerov-s-nizkim-urovnem-shuma-dlya-dji-mavic-mini-lopasti-dlya-kvadrokoptera-mavik-mini-307365419/?asb=Y7t3piC5Epa7i0rmUxf%252Fg5Mh5E5CAXCR%252BRM0mURZp1Q%253D&asb2=G7991fqIVyLA2KroBM-sxCewGFMj0b0ETEOB2Y7uu9PalkKQCYfTOCO8WQZ7GYwX
Держатель смартфона для пульта DJI Mavic 3 / Air 2 / Air 2S / Mini 2,603 ₽,3 отзыва,"6 мая доставит Ozon, продавец GlazamiDrona",https://www.ozon.ru/product/derzhatel-smartfona-dlya-pulta-dji-mavic-3-air-2-air-2s-mini-2-247737034/?asb=RlUjoKrOJ8%252BLZ7w14nThPNEc%252BNQrHeJs6xi66vRg7CQ%253D&asb2=JDje8tXwlB9icB0nAtjhur9dj0rZyUV90bCMNF1549UZmnyqg3ONvaRBn9SOtz8T
"Кронштейн дисплея ADAM elements RCH01 для контроллера DJI Phantom, чёрный",130 ₽,1 отзыв,"Завтра доставит Ozon, продавец vlp",https://www.ozon.ru/product/kronshteyn-displeya-adam-elements-rch01-dlya-kontrollera-dji-phantom-chernyy-157000666/?asb=BPdFvcHFhL5s%252B8%252BIkcXLO24eJU92a99tGSshct5iWLk%253D&asb2=Ck7Qz0z5-luG-TA4rw_Sau6IADPwqF6GUyZI30dOz38dFn5RHADVMBgEoxFIvs9d
