"Салфетки Special Nail 450 штук для снятия гель-лака, шеллака, для маникюра, педикюра. Одноразовые, натуральные, хлопковые, безворсовые, 6 х 4 см.",176 ₽,152 отзыва,"14 мая доставит Ozon, продавец Магазин Зелёный",https://www.ozon.ru/product/salfetki-special-nail-450-shtuk-dlya-snyatiya-gel-laka-shellaka-dlya-manikyura-pedikyura-462884258/?asb2=ufOqEb6hMkqrFNrpQbjXC2WVzPVnKjLZbOSJALDxDepUM6eUHkaxFxnenDRgbEvy
Beauty Shop / Маникюрные ножницы / Ножницы маникюрные для кутикулы /Ножницы для ногтей / Нержавеющая сталь / Ручная заточка / Ножницы с загнутыми лезвиями,309 ₽,29 отзывов,"Завтра доставит Ozon, продавец Beauty Shop",https://www.ozon.ru/product/beauty-shop-manikyurnye-nozhnitsy-nozhnitsy-manikyurnye-dlya-kutikuly-nozhnitsy-dlya-nogtey-543068998/?asb2=x8hvNeEWS_RdSKADn9U0bC_n1fyqplWmTDbN3lhoHLzWwO7CrKLcTjOKpkhXlmiAvPgvtCAnaLiK8IvQ2LftvQ
XNAIL PROFESSIONAL / Безворсовые салфетки для маникюра/Цветные/для ногтей/Белые 100шт,120 ₽,30 отзывов,"9 мая доставит Ozon, продавец XNAIL PROFESSIONAL",https://www.ozon.ru/product/xnail-professional-bezvorsovye-salfetki-dlya-manikyura-tsvetnye-dlya-nogtey-belye-100sht-493394670/?asb2=83NEJfaJi9A8uHOUfcpSV5vD1VjJvVeayJ1-mWf6ifm2Ux7FdGn_C2qZiLs9K6UL4c2a7tOLhO3Axfk7BZowhg
"Средство для пяток ног, кератолитик, средство для педикюра, средство от натоптышей, мозолей, трещин КОСМОПЯТКИ 500мл + пемза в подарок",310 ₽,194 отзыва,"Завтра доставит Ozon, продавец POLYMERIUM",https://www.ozon.ru/product/sredstvo-dlya-pyatok-nog-keratolitik-sredstvo-dlya-pedikyura-sredstvo-ot-natoptyshey-mozoley-477901790/?asb2=qnU5qWKzNaqhZD1z2o9I2agp4d0vn4FETwyhsuWwQa66FGTERCL1JEYDWompkv7R
"Салфетки безворсовые для снятия маникюра,1000 шт белые",185 ₽,125 отзывов,"9 мая доставит Ozon, продавец Diamond Shine",https://www.ozon.ru/product/salfetki-bezvorsovye-dlya-snyatiya-manikyura-1000-sht-belye-256099906/?asb2=jSFEC0n5emP33tcSBsdiCn1KFOhrh1YG4pBv--krasDKQF5fRphZICqwR5wbtcCa
Ножницы маникюрные / маникюрные ножницы для ногтей и кутикул / 9см,189 ₽,88 отзывов,"Завтра доставит Ozon, продавец Resim",https://www.ozon.ru/product/nozhnitsy-manikyurnye-manikyurnye-nozhnitsy-dlya-nogtey-i-kutikul-9sm-352873692/?asb2=4Re8HiE5LvHcVlTlbIcMhba0_09qUo478yMtN1_XHFJNeF8MDaZ59V-zw9UgrC8w
"MERTZ / Кусачки для кутикулы, кожи и заусенцев 7 мм. Ручная заточка. Щипчики для маникюра",349 ₽,114 отзывов,"Завтра доставит Ozon, продавец MERTZ",https://www.ozon.ru/product/mertz-kusachki-dlya-kutikuly-kozhi-i-zausentsev-7-mm-ruchnaya-zatochka-shchipchiki-dlya-manikyura-454603694/?asb2=AYshB2RMwj31xZZw7kshT_GeMvtMlcXIdSpehvN-tm048wOycVCyMW81Yl_RKKnV
"NailsProfi, Пилки для ногтей OPI, овал, лодочка, полумесяц, 180/240, 10 шт, набор, пилки, пилочки для маникюра",299 ₽,140 отзывов,"Завтра доставит Ozon, продавец NailsProfi",https://www.ozon.ru/product/nailsprofi-pilki-dlya-nogtey-opi-oval-lodochka-polumesyats-180-240-10-sht-nabor-pilki-pilochki-541786423/?asb2=jVOX7p5sKDgtIwCWfU73ueh6wzjPqfVAeRC6reWGuvCKwDEgpObQZxuWAHcFkCwBYP8PhPWBktsPXSd3KK9hVw
Монарда / Экстракт монарды / Масло монарды 10 мл.,194 ₽,50 отзывов,"Завтра доставит Ozon, продавец DEOTONE",https://www.ozon.ru/product/monarda-ekstrakt-monardy-maslo-monardy-10-ml-340157221/?asb2=9ip8Fdv4fil_hWCK6FZio-clnB0Skw-Envz1LXGXHsgxHK2RnHRFP57k6obQGwUy
Пушер для маникюра и кутикулы,119 ₽,59 отзывов,"Послезавтра доставит Ozon, продавец Lelya",https://www.ozon.ru/product/pusher-dlya-manikyura-i-kutikuly-231614672/?asb2=oM2cJz6HDW202ur3FP0PazYws3A-udZXXfUD972Fj5GTEmM1SXbTkBNSkbTXGr0v
