Патрон для лампы GU-5.3,549 ₽,3 отзыва,"8 мая доставит Ozon, продавец Товары для дома",https://www.ozon.ru/product/patron-dlya-lampy-gu-5-3-512780386/?advert=tJF8qQN1LuonIfwG3GLW0xhE_lM6LLObWzDrC2wLrW1nLwhS2ltsjhumenTfiX4GQDbEJ5LgI25depV_VCyNEMu7X0TIT-QaOh57uH3SsMSXRXBo0rEjgNRYYjssZ9hDLGlgV5OaMvC94NjbRumjOJsjCXX3Hyku5ZCPcfASaUH5JFxfUzy_KMhhl53urBjxHZUmY8wYGEiUPbz91W689yvRDoIhafUHE01XuCzq2raBZis1nQcD7b5cNqDtFHCer0cUO5s6lSz7O2wI4PuN9X7e3XR2ZJcO4CVRSCax9Mogctum87CDtBT0N44ZbHFKRE53-PicegSOzBSAy4FQ14WaB84llC-OaBYRk8UWCzQoXl-DuMWstUIkyAOTiCRq8GElP_dl0jP2RKhpuoPhltTr-Mw7Se9-McGH-mHTors6fGWSS0UTXcmMJ9gEF55BQxsL0HlVB1k8Yg5h358Xxj2BYRcSLrm8It06LlbVunEIeZlkgEwYiLZdTZAwACb0teORRbGOqDqrhq9bIeZHsl5XfCC4ZMwvYtORnNseUheSv8WCGLNseXCuty9g4zfU
Плафон стеклянный отдельно. Запасной стеклянный плафон для люстр бра светильников Цоколь Е2,679 ₽,2 отзыва,"Завтра доставит Ozon, продавец Light at home",https://www.ozon.ru/product/plafon-steklyannyy-otdelno-zapasnoy-steklyannyy-plafon-dlya-lyustr-bra-svetilnikov-tsokol-e2-519635299/?asb=ROY4JXcQN5OVpiA6B%252BGARNQEVJAwh9wARJUL%252FDI4oK4%253D&asb2=rrn5MK4KkWIL10mAOrRiDoWMJS8L7MCHBlXLqhg4Q-0XhlvnoRToz5Dow3rGn9xs
Угловой соединитель для профиля для светодиодной ленты 16х16 мм,285 ₽,5 отзывов,"Завтра доставит Ozon, продавец Освещение для Вас",https://www.ozon.ru/product/uglovoy-soedinitel-dlya-profilya-dlya-svetodiodnoy-lenty-16h16-mm-547587457/?asb=VMx3ElvHFoSrHuHKm2CW%252FDVI5L2fP9AT2YUUpP2FHmg%253D&asb2=gLLFVfWn_Kr2o1U1gyU8206QiECcvuk5x90rP6qLmaOd4ljxaCjzmmYvA-QBsp4s
Алюминиевый профиль накладной ALS-1506 anod 1.0 комплект (Профиль 1шт; Экран 1шт; Заглушки 2шт; Крепеж 2шт.),330 ₽,44 отзыва,"8 мая доставит Ozon, продавец ООО ""Арди Лайт Студия""",https://www.ozon.ru/product/alyuminievyy-profil-nakladnoy-als-1506-anod-1-0-komplekt-profil-1sht-ekran-1sht-zaglushki-2sht-387553721/?asb=CjdB0QWTPeI8ymNiP3PGdIqXovoglUJnCSONWWzRBOQ%253D&asb2=pUfK7xibpoGQ3ZTSgF7a4liufu-GyZ-X-uxRGp8V1N9y3vVnfTJt7b19cu-S5h5I
"Патрон для лампы DORI E27 с кольцом (термостойкий пластик), 3 шт.",155 ₽,62 отзыва,"Завтра доставит Ozon, продавец DORI",https://www.ozon.ru/product/patron-dlya-lampy-dori-e27-s-koltsom-termostoykiy-plastik-3-sht-355502493/?asb=VK6kqOY%252Bwg5Ig3yF1tBz4VvYs2SH%252FcdU6se9LtvgLOk%253D&asb2=Z8TvXLDN9txzKI62SnPcHpqaYnWjqFpEoZsPXF6tRlApTzBTm0esNOF6f-EuCChZ
"Блок питания для светодиодной ленты Sky Lark, 12В, 40 Вт, IP20",699 ₽,21 отзыв,"7 мая доставит Ozon, продавец Абразивные Технологии",https://www.ozon.ru/product/blok-pitaniya-dlya-svetodiodnoy-lenty-sky-lark-12v-40-vt-ip20-307525421/?advert=jbeXiHO98q2vEnnDp_ESDbtarz1WyeLlAbfh7IsJzftfQhkxk_G9ncxDA2oxn9Kd_lDH75ipOSaMcROLuT2eSVy-UTv7qsJQSZ42ZT1ZZBiWF3UrfgtLbECYRRt620aCrjDePp49uRJf2Am45vA5itK9j4U6Q_UqxrsBR_AhC97xwFLJll0kGiWV_YsqMc4ke_ipS1rd2kNl8unk53F4TLVkFmGzeLT4dfvqQMWhCT1J7Zz7AULgPXHp-wFXv1jSpLUJYqiesMimDpcRcYHARJ9BjB27SnPECEzxhKfMW9B7eHLSwN_yzJQLnOSsFkfvkWM5fJsMdLlLfVupZg6ubC5gv9WkXrhQUEcY_fpgpgaSMeAVHEU6pduaunhnQJkdgtObHBoMWOt6V6OtblP6pYW7m6AyFsB2VKeljfoFzXKHlbDxRt-ZXqMrolpBT1KOkADUkjxpAplIqjXqPDdLI3BYMy611mmMctXo7V65nE5vkP7R1Arw48gSfh168pKUvvoslc7NMAoTY3Se1sGXYibBvVFlLXv2ngpeNNJYiOzZDs8pT9iCBllb3sFMVf7L
"Блок питания для светильника, Блок питания для светодиодной ленты Ecola, 12В, 12 Вт, IP20",323 ₽,45 отзывов,"Завтра доставит Ozon, продавец Светиком",https://www.ozon.ru/product/blok-pitaniya-dlya-svetilnika-blok-pitaniya-dlya-svetodiodnoy-lenty-ecola-12v-12-vt-ip20-446931542/?asb=Qy9zWlToiZ68Blz8qqhKva3voeZOUIleR4LuKsWQhkI%253D&asb2=N3RTTngNYbqIwIZIRKjemo0UlDAcno1Tzsmf79qkB2mnebFY241omRpEMziIo1X4
"Коннектор / соединитель угловой для однофазного шинопровода, черный, Feron LD1001",323 ₽,7 отзывов,"Завтра доставит Ozon, продавец Feron, официальный магазин",https://www.ozon.ru/product/konnektor-soedinitel-uglovoy-dlya-odnofaznogo-shinoprovoda-chernyy-feron-ld1001-255108306/?asb=le2WEaxtTyjgEH5Qf9Qc95n8hKCyaETHA8pkRHmPvII%253D&asb2=uUx-wjFrKG2YJ9t7BMUD3tC2mLqr28GXZsWQZ2-Wp_HbklcZ6_n7arpCtT1BcMqc
"Патрон для лампы DORI удлинитель для рассады, 1 шт.",210 ₽,37 отзывов,"Завтра доставит Ozon, продавец DORI",https://www.ozon.ru/product/patron-dlya-lampy-dori-udlinitel-dlya-rassady-1-sht-510019502/?asb=RZfHL0YXvDby2QakRWWDBVOxtOh8ilxYiOZ9Laxboho%253D&asb2=AvXVoOEvaBFETDlpIDYRWDfl49uqWcKQ8rDBWdKj3mdar439vEtjoymyqeT6BIld
"Блок питания для светодиодной ленты, Блок питания для светильника Ecola, 12В, 3 Вт, IP20",290 ₽,113 отзывов,"Завтра доставит Ozon, продавец Светиком",https://www.ozon.ru/product/blok-pitaniya-dlya-svetodiodnoy-lenty-blok-pitaniya-dlya-svetilnika-ecola-12v-3-vt-ip20-426504346/?asb=h23ZMFmCpQqJnFdP9KYNbJ341DQJmjxvu98PFMEq43E%253D&asb2=1xBP_76-GtVJP8-Ud68av7LjACy_d6kzv3uHmf6iCncWzzFYaL1rZor3T_be3Z4I
"Блок питания для светодиодной ленты Sky Lark, 12В, 25 Вт, IP20",599 ₽,19 отзывов,"7 мая доставит Ozon, продавец Абразивные Технологии",https://www.ozon.ru/product/blok-pitaniya-dlya-svetodiodnoy-lenty-sky-lark-12v-25-vt-ip20-307525430/?advert=dd7LcfnUAUR5BpZByb2ILMQF8BSGctgW-u5FL-PfHoHEwDkuy5XbzKkpDwwBPiB6aqciK_jHHEvfj2nG6ohBTtkI1D6Be3P6ylaSgAFv2BAvP2n03sYzViWGrKnXJBjoJc-cluqwTwdEeJSvWSuBNC-X7kEyQ4206KxqfEL3QAO1jATtnWTMxnnUwm1_B64Stn6wc-4HVX96sPQoJktN1Wrt3RnDVClT9S799A6z4jjRKJumrWtdCdaExTJ0_pPHWY83yC7MgJlGK0z1h9lP0bqEHdWjfdGY0NahcW0SS6u2rGZm6gP3SuAvVlpBXslMeqeJXUlpdpma1jUg7J57z1ocho7_W7BP1qZxnWNnB_-0VL6cHNW5q52-jDkwEF7PN5NHkndvlVvenXcEmAQAIMavXcDHdv9BTjY_LsqBKAlp6r76MA6hvHCLwvgRr7_k8etQyyyPFT4DhFlJUG6Tda3khnAFE37ACpjMJFLN-bqt0HQNTV74E2WpR8Vuog2mnrP3EgMsD8aqGTBiD3rTSPkESbH5VmylkauWjXZ3T8nNjiYdERUQ1HkFaX8Y2l9I
