"Рукомойник-насадка для ПЭТ бутылок 0,5,1,5-5 л.",195 ₽,160 отзывов,"10 мая доставит Ozon, продавец like shopping",https://www.ozon.ru/product/rukomoynik-nasadka-dlya-pet-butylok-0-5-1-5-5-l-280694234/?asb2=Jr_jCnJQY5XvpUgobqRY58aIuV2G1_idcgEwkQKM8AUwrd8AIN7OWVVbaY1vtQGp
Рогатка с упором,199 ₽,116 отзывов,"Завтра доставит Ozon, продавец LL-SELLER",https://www.ozon.ru/product/rogatka-305563195/?asb2=vYYXRoXE3PebYdvXq5faoVNcBV9n3geXJpDBpUD99otmmTQuvr06ONt6e4x0a19OSaG7_5kKhSokkVxKhQaong
"Клей для ремонта изделий из ПВХ ""Жидкая ЛАТКА24"", прозрачный",222 ₽,111 отзывов,"Послезавтра доставит Ozon, продавец Зодиак",https://www.ozon.ru/product/kley-dlya-remonta-izdeliy-iz-pvh-zhidkaya-latka24-prozrachnyy-254142788/?asb2=7Z6jeku_HZTpmrHGvsokW8kZLVVAW_-c9GLfqnpq_bI0dnnzsMO6NW28iTzWzQsg
"Рукомойник-насадка туристический ""СЛЕДОПЫТ"" для ПЭТ бутылок 0,5 и 5 л, пластик",171 ₽,4 отзыва,"Завтра доставит Ozon, продавец Русский Туризм",https://www.ozon.ru/product/rukomoynik-nasadka-turisticheskiy-sledopyt-dlya-pet-butylok-0-5-i-5-l-plastik-547952173/?asb2=WhTe6aZcqc3JojMb2Og1e5eWZ-5mO_sUqaLPxnrPEPR0MW5AHNUNmQGn2Plqkiaj
"Накомарник, антикомарин, противомоскитная шапка антиклещ и антимошка. От мух, Комаров, ос, слепней, клещей, оводов, гнуса, мошки, лисиных вшей, блох, пауков, мошки, и других москитов",188 ₽,13 отзывов,"9 мая доставит Ozon, продавец Ваш выбор",https://www.ozon.ru/product/nakomarnik-antikomarin-protivomoskitnaya-shapka-antikleshch-i-antimoshka-ot-muh-komarov-os-slepney-311415670/?asb2=UM3FyeyYCafzllN9MiL4x6JS6onhqajVyEG1f_bFTjBvEzIAKNGlwG9b2NWr-uTj
"Рукомойник-насадка на бутылку 0,5-10л . / походный умывальник / туристический рукомойник / дачный",256 ₽,42 отзыва,"Завтра доставит Ozon, продавец RR-Store",https://www.ozon.ru/product/rukomoynik-nasadka-na-butylku-0-5-10l-pohodnyy-umyvalnik-turisticheskiy-rukomoynik-dachnyy-431303612/?asb2=PHuq400XRhlr3w94mYugErZFmiXF5CdcBnKi_swDhIocgglOlO5S_u0pE-AYFAuR
"Браслет для выживания 4в1 (паракорд, компас, свисток, огниво), тёмно-зелёный, 25.5 * 2.5 см",192 ₽,20 отзывов,"Завтра доставит Ozon, продавец Фабрика счастья",https://www.ozon.ru/product/braslet-dlya-vyzhivaniya-4v1-parakord-kompas-svistok-ognivo-temno-zelenyy-25-5-2-5-sm-221715937/?asb2=RZuktrXspM3PnJ1f_e9k3two23Mm4XRgAAbrra2rQxQOXFLXu-7eYZ-QRTCcqraS
Набор для выживания,949 ₽,29 отзывов,"9 мая доставит Ozon, продавец Galaxy-Top",https://www.ozon.ru/product/nabor-dlya-vyzhivaniya-285173678/?asb2=-WqHy53_79T5xOuW96UBXvm3sdDhWrs4IVetPYULWzeH_0QMc84nNs6qDz_W8gEc
"Пила туристическая ""СЛЕДОПЫТ"", складная, большая, на блистере PF-ST-F02",464 ₽,138 отзывов,"Завтра доставит Ozon, продавец Pole1",https://www.ozon.ru/product/pila-turisticheskaya-sledopyt-skladnaya-bolshaya-na-blistere-pf-st-f02-170015541/?asb2=8qPZ50P_LIXz8sxfbx22A-EoGdWFukNkaxSqTsYb6OF6VX6eqlmpLQ56VuIh9vcs
"Рогатка с тройным жгутом TORUS ""REMBO"" (сплав цинка)",419 ₽,105 отзывов,"Завтра доставит Ozon, продавец T-Groups",https://www.ozon.ru/product/rogatka-s-troynym-zhgutom-torus-rembo-splav-tsinka-316155918/?asb2=P7siu5jo7HeApo2pGd6UJPv-QIIpHmvXcE0HR65P1s951cdMIC7CaipyP_e8Yfq-
