"Спирт 99,99% 200 мл / антисептик / изопропиловый / ""Прод-Акшн"" / дезинфицирующее средства для рук / спирт изопропиловый абсолютированный / дизенфицируещее средство для рук / изопропиловый спирт абсолютированный / прод / спирт 99,99 / антисептик",214 ₽,194 отзыва,"Завтра доставит Ozon, продавец ООО ""Прод-Акшн""",https://www.ozon.ru/product/spirt-99-97-antiseptik-izopropilovyy-200-ml-prod-akshn-173765231/?advert=dxYQ9d4Ak4bimDXBI0f68haDPfFmOq6PS3hFGHcdl_YW07u7vR9V7vt1i-lp-R8h4iSS-C3fyuA7D6netPOVeAZQ5n0QeI7VcQ-OLPMo_V6jocy9eXtmptUhVcePiLAyZVUVfPJ9ac3vuJnJEsnQF0Tf6ggBso5m0usdkgG-MdaJ55GRLEiN67KzZWZjbaCPU8U8yp6X-Fzyk5xK1UsQYGowBAAo5rjUNtU8mewvnXSwBgJYqsT5XDaZa7UhTMtwmP-FxwKqaGlaqoM8NmzbbWNg29Of6WckaJ_PBrAn-SUcdhUEy_As4-RdJPMDvc_gSzeChwk5I6e9QnU31Nxl3PMbK0AwWpIK-vK7cyoBZjQzjoBRMLb04_jb2xOxFNdBLkPDVRMH4sFNajb51bsZNSHrx368TGRzS9LlpQMJbdSfTF8Q6Ogai66MMrsam1O5AG8C1cXoQCm9KlwECTn3uslFUhqBkwBtdwZZDC44xjj6pDm6CsWH_3MySVFEy8O8Hmvv0SMcocm5AE3RAtNJoxGHq_zQsrnlANts5RYGnDSrziFAX2nwKugo1oRsUQPK
"Хлоргексидин (кожный антисептик) раствор водный дезинфицирующий 0,05% - 100 мл",79 ₽,188 отзывов,"Завтра доставит Ozon, продавец ИП Роменская",https://www.ozon.ru/product/hlorgeksidin-kozhnyy-antiseptik-rastvor-vodnyy-dezinfitsiruyushchiy-0-05-100-ml-295243393/?asb=0P8e1mOeEJ2LOmI%252FRD7qsqdgTg1Tgx55jnRj4oMBtL%252FODB4XrNKifNuFjCS0HSHO&asb2=ae1j3SxTahwMiny22tB8g2luvXltjWwA1hZme-i4GbNZJQIELHCPpfDr6VH8sTc-xt3yCpHVeVQ40wmNpL59jEW55eQlgb6VTLRrAiFw6dhu8j8PwQBRR_HhcUby0KSB585ucKhSzmdDqpirh9Ehzw
"Спирт 99,99% 100 мл / антисептик / ""Прод-Акшн"" / дезинфицирующие средства для рук / спирт изопропиловый абсолютированный / дизенфицируещее средство для рук / изопропиловый спирт абсолютированный / прод / спирт 99,99",135 ₽,32 отзыва,"Завтра доставит Ozon, продавец ПОЛЕЗНЫЕ ТОВАРЫ",https://www.ozon.ru/product/spirt-99-99-100-ml-antiseptik-prod-akshn-dezinfitsiruyushchie-sredstva-dlya-ruk-spirt-izopropilovyy-496449198/?asb=agbCuSl61%252F3jNSNb2nU%252F05Uu9KqcYbIahlI3L2frAfNNVRo1Z5ufx76cr8AkSvQ9&asb2=slDKhdKF6Vc3INcA_dEhbaE-EPfavCFov1WOvS1T5AJJmQ8dbg6kgfd6pSxq4Jjmqd5wGAWIL-vaXohhCYYB9_IupN04o-u3zQi8VM3ktxcQr5XHCDeLRyL6X6SQza-_azdrjRa4qvsBH9WVmlALaw
"Хлоргексидин (кожный антисептик) раствор водный дезинфицирующий 0,05% -5 флаконов по 100 мл",179 ₽,159 отзывов,"Завтра доставит Ozon, продавец ИП Роменская",https://www.ozon.ru/product/hlorgeksidin-kozhnyy-antiseptik-rastvor-vodnyy-dezinfitsiruyushchiy-0-05-5-flakonov-po-100-ml-316288869/?asb=QaCkxu%252F4lTCKyimnPO2Hx%252FRCAhJAIl9zKi56rUEPwJxC0p%252FUcH75bx47%252BprX1rUw&asb2=RTS0EzVHRwoD5sCYHhFNMIdfEhfZ9b8qpmAIIxis8U6SV3fmJApVUezg58xwkgurDEAC7ChHVF6dyGs3AZ6GUS8XaCbS8YlPsBsYW5WLtk1parVDVRJKkCMourk7v-HIjVMO_WcroPgL4XAbaSYaYQ
"Florence, Гель для рук Антисептический 60мл.",46 ₽,51 отзыв,"Завтра доставит Ozon, продавец Alvin D`or",https://www.ozon.ru/product/florence-gel-dlya-ruk-antisepticheskiy-60ml-210221167/?asb=b3CBaYhPEurdcr06BeaRQc9yECxNLPt%252FGi4fzFcGCvI%253D&asb2=Jh2LU1K0nap5BsMaa5u5wRXMXjudANRSlwWlPSc8krSAa8gKmaf_8oxIdieL41Zp
Средство для носа и рта Vera Mare Морская вода 100мл 4шт,243 ₽,12 отзывов,"19 мая доставит Ozon, продавец S MARKET",https://www.ozon.ru/product/sredstvo-dlya-nosa-i-rta-vera-mare-morskaya-voda-100ml-4sht-538112809/?advert=Jk2rPNe83vJUFQghBhMcbivUxxULID2gCKyQl0hpcdiEs3dlkh9HO1NJqwBD6YKFlt9SWImAZCxGwBGY3G6V1B30gmmKB7H8ow-_OQLHSytWOPO8kdqHGr7jN9Tiv15QSyZjNhb39_hDsU3fqYpTRe4WoKWU4SWM8H69oApOxvzAkff6-vPsrF7qTT1qBY7PVpDjwE90LNrCrQ5ezvJ4vNxBWpGe1Bar2isiWhCDkaDSp8b0yyf0Qj8GhKWkYlFO1cFNyR6eKrmjzOdYgKWDVhKKCMhz6iQVmqaDUkBDjwPTdArjLJIuBBkkQxioFCN5zs8PzWR5iAmPA_0Gs_ZcHwEyyBF1y1xInLQURIlhRgnCDsKXC9jXdq0c_NcYBzL0LORrVyFWgc-VsYEmMpKFfiZPaP6pKJTItL6JCZZyd_hJbLpnP8bWIcMKGDfr2XtLKxxpcQAk_wREgTt_sB_MgJGVa-uam59X4oR58h-HOLtwrZUchmZGo19Jp0BViD_5unzLC3NllHQKOK0LTnY0l0N4CFYmzR8eKLrO8rsozGwHCfZpGxcYiLvxFGK83n5F
"Спирт изопропиловый 99,9% 1л.",290 ₽,16 отзывов,"Завтра доставит Ozon, продавец Тройка",https://www.ozon.ru/product/spirt-izopropilovyy-99-9-1l-535992645/?asb=fAUp9HIjdD8udEpqgoa%252Fs%252FQmXqCLlYP2X%252Be6uXhQQuw%253D&asb2=i5por496wsDhwUzg043C8tuveU5u5MhkdWQ8eJk2nyMK2Dbh9lbQNFSASh3VSAlz
"Хлоргексидин (кожный антисептик) раствор водный дезинфицирующий 0,05% -10 флаконов по 100 мл",296 ₽,135 отзывов,"Завтра доставит Ozon, продавец ИП Роменская",https://www.ozon.ru/product/hlorgeksidin-kozhnyy-antiseptik-rastvor-vodnyy-dezinfitsiruyushchiy-0-05-10-flakonov-po-100-ml-316468531/?asb=ly6FVaPxgmHLaiczJz3R5Y7Fiok%252F%252BgnKZEd%252FJ6Z4a7NYynoyQGByEKfsC6TpsAa4&asb2=GhdTDpek2i4T0NGSsu0el25LJwnQzC6Pd2WLFZVfyzYbKgCVUbXL6TAK8MUnmW48IXm03YkAvqcEKYHRjoDd48WsWHXr8Z2hsvmz2gvOuLU9vLPprK38K-SyhZblNqqbaGIFkl6qWLH_NcSMLRbskA
"Аммиак (нашатырный спирт) раствор водный дезинфицирующий 10%, 2 флакона с капельницей дозатором, 100 мл",157 ₽,74 отзыва,"Завтра доставит Ozon, продавец ИП Роменская",https://www.ozon.ru/product/ammiak-nashatyrnyy-spirt-rastvor-vodnyy-dezinfitsiruyushchiy-10-2-flakona-s-kapelnitsey-dozatorom-298665631/?asb=KZX4aiBMeTGpIoFC4mNIWMVp8CWSg%252BwlMy8dV36riSq3KoN%252BsLxMGqqilV6vnUmr&asb2=ErUZujGE0vRbMLAqnT7-9BkWQPgV9uy-X2tTawnMlJjDDjFSyp3MQzC0gQ_PKQM0C-YFfvygexiHcswdUsZkb6_HYB_qa19r5D2ymjmI5OpIBwMCBGaiDglwSR-HhpnWmzPCGlYBuHtjRBsqH54H6Q
"Медицинский антисептик для рук и поверхностей SEPTANAIZER 75% спирта, 1000 мл спрей+50 мл в подарок",295 ₽,53 отзыва,"Завтра доставит Ozon, продавец POLYMERIUM",https://www.ozon.ru/product/septanaizer-meditsinskiy-antiseptik-dlya-ruk-i-poverhnostey-75-spirta-1000-ml-sprey-218873570/?asb=dIKz%252Flkw4slHr0SIm9K0NDjO7rDYwzWrZtHpK2Wll24%253D&asb2=fp7Y69IvTPLnIpQ7yHM4hm2Q-jY0fRueYFMM3g0NysikG66qEalkYgDXo6WVLu-_
