"Альянс Хим, Пакеты для стерилизации инструментов 75x150 мм, из крафт-бумаги, белые, 100 шт",372 ₽,145 отзывов,"13 мая доставит Ozon, продавец Пробахилы.рф",https://www.ozon.ru/product/alyans-him-pakety-dlya-sterilizatsii-instrumentov-75x150-mm-iz-kraft-bumagi-belye-100-sht-347730172/?asb2=-FVhoB-0sCHepeGm1lwUyl2zb-GPylqTRr9Z5nkk7A7cSHvYKa25h2nn4mqp72BO
Liara / Крафт пакеты SteriTimer для стерилизации инструментов / 60x100 мм / 100 шт.,217 ₽,195 отзывов,"Завтра доставит Ozon, продавец Liara",https://www.ozon.ru/product/liara-kraft-pakety-steritimer-dlya-sterilizatsii-instrumentov-60x100-mm-100-sht-389532421/?asb2=qcvzxGfRwnlUUWYOZFcPkDKnLbGDPGw-BxBhYVB7dKZ_Bq6Wutz0jT8L5TPLVCOhj6jcvT2T3AK4-NEzlKmo2w
Бокс-контейнер для стерилизации,345 ₽,92 отзыва,"Завтра доставит Ozon, продавец ONIX SHOP",https://www.ozon.ru/product/boks-konteyner-dlya-sterilizatsii-473695639/?asb2=uxYboZm0E8JucWraYDNP9cKg_XHgRjTltK1PKswLbwbfbMLx-htyadIyVpx8DaZc
"Flower's Queen - Портативная УФ лампа для маникюра, УФ фонарик для гель-лака",490 ₽,55 отзывов,"9 мая доставит Ozon, продавец Flower's Queen",https://www.ozon.ru/product/flower-s-queen-portativnaya-uf-lampa-dlya-manikyura-uf-fonarik-dlya-gel-laka-479792391/?asb2=uO-3EN4ZNSWYHaQhh9sPdSyNGhmyIwK4mre9df6io83PykcGRtp7qZwMyU27914TIFOjhhU2k-xsNH6lhU8G3A
Бокс-контейнер для стерилизации маникюрных инструментов,310 ₽,56 отзывов,"9 мая доставит Ozon, продавец Diamond Shine",https://www.ozon.ru/product/boks-konteyner-dlya-sterilizatsii-manikyurnyh-instrumentov-238484414/?asb2=KLUz3bE5wRI08bkUr3Vv_xKzhUgiqlLwxeng6AD6PT6bzFusLDd_c51WuPFe5jX3
"Лоток для инструментов металлический, малый",189 ₽,134 отзыва,"9 мая доставит Ozon, продавец Diamond Shine",https://www.ozon.ru/product/lotok-dlya-instrumentov-metallicheskiy-malyy-251986117/?asb2=2KlMw53wx8p9lvi8Lcwddf3nZiIk6UEuDQ7FYI6p3la75WuHpAqJRFfJOYxDzXE9
KERIS UV NAIL LAMP 88 Watt Professional/Лампа для маникюра/Лампа для сушки ногтей/Лампа для ногтей/Гибридная лампа для маникюра LED UV/Лампа для гель лака/Лампа для маникюра 88 Вт 18 ламп,648 ₽,101 отзыв,"Завтра доставит Ozon, продавец Keris",https://www.ozon.ru/product/keris-uv-nail-lamp-88-watt-professional-lampa-dlya-manikyura-lampa-dlya-sushki-nogtey-lampa-dlya-479943025/?asb2=iBjwe-gHPkYupoQNBjJBuADzUngKXy_18oe8Z_OzHAG7Oe_qkA13svEbM7UAl75p2E8ahmanHdjY1W4jskLEPw
Liara / Набор фрез для маникюра и педикюра / Фрезы для полировки / 6 шт.,315 ₽,135 отзывов,"Завтра доставит Ozon, продавец Liara",https://www.ozon.ru/product/liara-nabor-frez-dlya-manikyura-i-pedikyura-frezy-dlya-polirovki-6-sht-381786096/?asb2=mphharMSC0p9pzNfKPTsu5GpzDRoMLmXXhuhQeYftLdtwU9vAnU9S2jU8EnLtEREvB4F5-fVzM6yWW_w17XPHA
SUN Лампа для маникюра UV LED SUN X 54W,945 ₽,71 отзыв,"9 мая доставит Ozon, продавец Diamond Shine",https://www.ozon.ru/product/sun-lampa-dlya-manikyura-uv-led-sun-x-54w-236937302/?asb2=_olVIgdLlBn0X_tCf7XMj-ml7VCVFudld8t7Qrs56bGs8gT3TuEGT4V_ZWWIQQCL
Keris Вытяжка настольная для маникюра/Пылесос для маникюра/Настольный пылесос для маникюра/Пылесборник 30W белый,990 ₽,7 отзывов,"Завтра доставит Ozon, продавец Keris",https://www.ozon.ru/product/keris-vytyazhka-nastolnaya-dlya-manikyura-pylesos-dlya-manikyura-nastolnyy-pylesos-dlya-467889289/?asb2=agm4MQDCOBrnMPgNdq-z5Fx1gR5L_61lqHG5G3_jPvUd65P0Q-9S2-eyQgNOliUxcFRWjoZBVkkrbuNXXyDSPg
Steritimer Пакеты для стерилизации инструментов комбинированные крафт бумага/пленка 60х100 мм 100 шт. / Крафт пакет для стерилизации и хранения инструментов / Пакеты для стерилизации с QR-кодом / МедТест / Пакет комбинированный плоский,210 ₽,94 отзыва,"Завтра доставит Ozon, продавец Steritimer",https://www.ozon.ru/product/steritimer-pakety-dlya-sterilizatsii-instrumentov-kombinirovannye-kraft-bumaga-plenka-60h100-mm-100-490395311/?asb2=KL8-LOQRB4ZDoyPiOwXWFfbVIBWXRie4MvM0-nProRcHUMpcN5PnJ2STV3IM9Htn
Фреза конус керамическая для аппаратного маникюра и педикюра. Насадка игла. Цвет синий. FOCSA,145 ₽,100 отзывов,"Завтра доставит Ozon, продавец FOCSA",https://www.ozon.ru/product/freza-konus-keramicheskaya-dlya-apparatnogo-manikyura-i-pedikyura-nasadka-igla-tsvet-siniy-focsa-279204829/?asb2=YeeIpj59dJAvqlsFqOXrVpbMji46GRafbVUnUKFFNB2bAf1bf3ph8s9q-Y-7ZyqA8b5-S_yhwkg0TmzJCL-nWg
"Альянс Хим, Пакеты для стерилизации инструментов 100x200 мм, из крафт-бумаги, белые, 100 шт",430 ₽,145 отзывов,"13 мая доставит Ozon, продавец Пробахилы.рф",https://www.ozon.ru/product/alyans-him-pakety-dlya-sterilizatsii-instrumentov-100x200-mm-iz-kraft-bumagi-belye-100-sht-347728219/?asb2=LWCcunJ1_0Ot5BMRp4dqqbo5h7XV_irsFmV80QBTFIUJSBt4j_v29ACu5YTbN-5P
Фреза Конус твердосплавная для аппаратного маникюра и педикюра. Цвет черный.,196 ₽,171 отзыв,"Завтра доставит Ozon, продавец FOCSA",https://www.ozon.ru/product/freza-konus-tverdosplavnaya-dlya-apparatnogo-manikyura-i-pedikyura-tsvet-chernyy-425544268/?asb2=D14sG5oHJV39cNH53NNTXd0KhoOxUXc7NUph0bXCFues2IxY6jOtB-F9wA9rpWhCXNHjMFHZUCOw09QzrGyuxg
SteriTimer Пакеты для стерилизации инструментов комбинированные крафт бумага/пленка 75х150 мм 100 шт. / Крафт пакет для стерилизации и хранения инструментов / Пакеты для стерилизации с QR-кодом / МедТест / Пакет комбинированный плоский,237 ₽,94 отзыва,"Завтра доставит Ozon, продавец Steritimer",https://www.ozon.ru/product/steritimer-pakety-dlya-sterilizatsii-instrumentov-kombinirovannye-kraft-bumaga-plenka-75h150-mm-100-491345571/?asb2=CnHHXz_1de7_8b0DFn6Jhmeeqgbb00iryhr4ClIlwDeP_7EkKWUC1sRVvPS-szco
Liara / Набор фрез для аппаратного маникюра и педикюра / Фрезы для полировки / 3 шт.,213 ₽,135 отзывов,"Завтра доставит Ozon, продавец Liara",https://www.ozon.ru/product/liara-nabor-frez-dlya-apparatnogo-manikyura-i-pedikyura-frezy-dlya-polirovki-3-sht-381695809/?asb2=6U7Ax6iHf69YGVK0JiiqF-vvTSiqVjaWSgj8TtoCD1HrZbrZ-7Q-phD7VejymhpVuiO5O1oC6--_oIMdFkRRXA
Аппарат для маникюра и педикюра Фрезер-ручка для аппаратного маникюра,555 ₽,126 отзывов,"9 мая доставит Ozon, продавец Добрый медвежонок",https://www.ozon.ru/product/apparat-dlya-manikyura-i-pedikyura-frezer-ruchka-dlya-apparatnogo-manikyura-416464224/?asb2=wIBUEbpHKgww0n6spJJwMjeU7La6TwvRLHWyxbKgqsqPqtZmxmOKQf3lSF6IIEzA2zLQ0-kaOn220oDNe_hetw
Liara / Крафт пакеты SteriTimer для стерилизации инструментов / 100x200 мм / 100 шт.,304 ₽,195 отзывов,"Завтра доставит Ozon, продавец Liara",https://www.ozon.ru/product/liara-kraft-pakety-steritimer-dlya-sterilizatsii-instrumentov-100x200-mm-100-sht-389529792/?asb2=P7QYeeaZJnbKF6n_o47qVwmVh6GgqZntz6eXUTmkzLHT3x3Ro_dvrGYfClC2B0wJVWIMFgzrv1xO7JiAM-LMVg
Liara / Капрамин,300 ₽,71 отзыв,"Завтра доставит Ozon, продавец Liara",https://www.ozon.ru/product/liara-kapramin-402573119/?asb2=dSrP0jCyzRxdhcmmP1nk1JH5V3h3xUXTJGoVg1zvzt25AMpcpuUT3k2rKdBERefL7sGHbDKGVqujXOiX2f_wGw
