Аккумуляторный аварийный светильник JAZZway Accu91-L30-wh белый,799 ₽,83 отзыва,"Завтра доставит Ozon, продавец ООО ""ВТЛ""",https://www.ozon.ru/product/akkumulyatornyy-avariynyy-svetilnik-jazzway-accu91-l30-wh-belyy-259241419/?advert=IAikxlLtK7iKEM8O8Jq9MmluUwrdF_94PD5mu77nk4tz8z7v_R1X5CJnVnJKBUzvcanB7egms57lNd4wA-1sRPgszXFcEu8hnnq-M4QVFviKKNbvIlYnSZCxFuFX0sTd55Gk88C-HrLbEwlF2iWyYQQSY4LPkdb9M_n8VLenZikAKtqVbpXbIlpjxMUXKRoBQTyVvvXNh2ahhF19saoFaw2iuJWQOMfbPtNAcUtpI9AEJGhFyB-TfRN2_9OV6fsfvJsoILQRkZ6lYdVt-TxCA49tPNJQlSHylCQUW2Fcjb2NotBFAaZSZTtTdNDPT3Z_qX5qAVKFaFo3m-mzkcQ44yTDAUnDrfLdQtVgAFaUFhI61n04Yc3-zYESL2xgHeXquHh9MvHPDcan-O-GitkyHjL2GrbbSAJCcJls4T8pf1R-oGDI8cPGesz9eShbM4nQ5pjADDyTyKnZieux-_nTwsG1hTC06Z__eEQIwSz9XgDf7-7xDKUlKRCWZYLPmQnk5yyGUXS-rQS_-nMKso1Ua-wPpcQnxliacSJOdGViL-WG5qp45EvwOGkNmU7AZOgV
Аккумуляторный аварийный светильник JAZZway Accu9-L30-wh белый,999 ₽,48 отзывов,"Завтра доставит Ozon, продавец ООО ""ВТЛ""",https://www.ozon.ru/product/akkumulyatornyy-avariynyy-svetilnik-jazzway-accu9-l30-wh-belyy-259238681/?asb=8LGcjMU4OGU8Or%252BmKpjHr%252B4aajdUzj6tW4O3ZuEhErwAfchgmuIc5g2qL42LDIO9&asb2=NZeobjDfUVJ6c6_BkoOSMH2Z4VlBFCLI3mZ9dkpRbQH2Uh4EhCExcs8OQlU9vSo7GH7mLI8c-gTkDDg0asF4F5Jx4-lrGkSo04qUiXcHL8ptoqleEF6n_0p2p8zRduICBJS13X91ZNi4MZRe5pOsfA
"Аварийный светильник Фаzа AccuF9-L30-gy, 2 в 1 переносной на аккумуляторный фонарь и переносной светильник, 3 Вт",739 ₽,53 отзыва,"9 мая доставит Ozon, продавец ООО ""ВТЛ""",https://www.ozon.ru/product/avariynyy-svetilnik-faza-accuf9-l30-gy-2-v-1-perenosnoy-na-akkumulyatornyy-fonar-i-283228580/?asb=3pLu6GayVgJrxDWddBdF4rTd%252BGO%252BaSXolvdGc%252FWcv5I%253D&asb2=LyIoo3aBbgl0ymMpdz6OKrOHS0qoWZInwVySNwPFTHQgwDBwZmb9J0DCR20Nd3r7
Светильник REXANT аккумуляторный аварийный для подсветки путей эвакуации при отключении электроэнергии с 3 режимами работы,625 ₽,6 отзывов,"Завтра доставит Ozon, продавец Официальный магазин СДС",https://www.ozon.ru/product/svetilnik-rexant-akkumulyatornyy-avariynyy-dlya-podsvetki-putey-evakuatsii-pri-422472714/?asb=hJm7XrisL0m6Oub0N9rTFzJX5H4t%252F9Xode1QenbUPhQ%253D&asb2=sEVy41Ry-oqnp-h-TxrwW6t31kQCIya2AfwSaDqI1RLgG3m89dHRQKJxC-y3sgUD
"Аварийный светильник Feron 12668 , LED, 2 Вт",719 ₽,6 отзывов,"8 мая доставит Ozon, продавец Feron, официальный магазин",https://www.ozon.ru/product/avariynyy-svetilnik-feron-12668-led-2-vt-275255043/?asb=ZlByMRgr7Jukx8JQUOFcjicUKvAdXkJtZRxcsA39O%252Fg%253D&asb2=JPXjTzZH6N2l6B0fBOtsCU4pd4r6HVCfIl1Cj3lHM-bNVYznFUSHhMjGWaU7bOOX
Фонарь UFR-006 2 режима светодиодный аккумулятор зарядка от AC Уютель blue 1х1W+10х5630,343 ₽,5 отзывов,"13 мая доставит Ozon, продавец РПК ""Либерти""",https://www.ozon.ru/product/fonar-ufr-006-2-rezhima-svetodiodnyy-akkumulyator-zaryadka-ot-ac-uyutel-blue-1h1w-10h5630-367640410/?asb=sf%252Bxv9DXskGHZf%252FDvhV%252BujnPwEferlxugtlvW1u8QY4%253D&asb2=dRmjRevv07mxk6rk59CgyLth5tntpAWdBKJCq-pkytWz_0BHTETwwJ-byI6Hkd0h
Светильник светодиодный аварийный непостоянный DBA-103-0-20 ЭРА 60LED 5ч IP20 / Аварийный фонарь для эвакуации аккумуляторный автономный / Аварийное освещение,858 ₽,2 отзыва,"8 мая доставит Ozon, продавец ВИП Маркет",https://www.ozon.ru/product/svetilnik-svetodiodnyy-avariynyy-nepostoyannyy-dba-103-0-20-era-60led-5ch-ip20-avariynyy-fonar-486877931/?asb=53H0iVcJ9D5APSVZsJFUvhqeIvWrFuLE1t1qKFvDDvo%253D&asb2=pUToYk0Z3keyPaazoUwxNtCqMd8kdZgqxL97BgnfiIC-YmNTDWbgm4XAwAoThbhK
"Светильник аккумуляторный, Feron, 30LED AC/DC, белый, EL120 12670",681 ₽,9 отзывов,"8 мая доставит Ozon, продавец Feron, официальный магазин",https://www.ozon.ru/product/svetilnik-akkumulyatornyy-feron-30led-ac-dc-belyy-el120-12670-275262252/?asb=ImNbDE3OMeszosdw005iDbDRZBtIgyUL%252BVUEzZWmbL0%253D&asb2=tS5mPTjjs43LEdWwOkhSIbTe6BNpqI205_jhdnIFd8yzhvLU9v0TxSAmfmR3cNCm
Фонарь сигнальный 82 415 NRL-01 (ФС-12) 12В (Аналог ЗОМ) Navigator 82415,411 ₽,2 отзыва,"9 мая доставит Ozon, продавец DC-Electro",https://www.ozon.ru/product/fonar-signalnyy-82-415-nrl-01-fs-12-12v-analog-zom-navigator-82415-260283287/?asb=srRikiQSLa%252FTHLHaMUUhumS0wvM%252FXrqQFy40I7bdfj5c1Ek5%252Btu9V6XNg3ZdIytP&asb2=g6K-cZNVbiE44v32bJSfKb_7KcKKCTv26TvFxVbhuTIcleft49mmAtfSke-jJOk_Aq0xa_CMlg6doiikCxXGvWgbnusW0lbN-HLhCVHvyTp27LFVjcjPa4a2eyP7U-dQuBeVWc8G7AtBFk3o_8eUPQ
Аварийная лампа E27 9Вт,737 ₽,2 отзыва,"8 мая доставит Ozon, продавец Мелочи для дома",https://www.ozon.ru/product/avariynaya-lampa-e27-9vt-358803445/?asb=vbkbYiHDzYn4%252BOyeYBfoNw%252BS9IITRnG%252BZWhooym8qlA%253D&asb2=dRRtkMnJpcMBKkOwYVGY8wOssvVQ9uhEtXPQjMBL__BVO6OzlZl8XDMGDwEl9lIH
