От хорошего к великому. Покетбук,406 ₽,4 отзыва,"Завтра доставит Ozon, продавец Торговый Дом ""Эксмо""",https://www.ozon.ru/product/ot-horoshego-k-velikomu-poketbuk-529025535/?asb=cmNy6OFFv%252FZh0cjzB2YIEVmYLqDLKSlIRqvd2wV5TDwSZovIVZ%252FJei46knBhtgO6&asb2=sbbMBtKfaPQpg63gLQUHfst74uC5NSqtdUuVelofRuPS4246G8aqIfWkBcyrl9r5ReF_4MRJMniA4VrnY_dImK22pwPPB1tIorzi_Wc0pF882RV96pOTn_99C6nMXg4W7pGPNBh6EsJfRqP1IiR8ng
"Психотрюки. 69 приемов в общении, которым не учат в школе | Рызов Игорь Романович",714 ₽,62 отзыва,"Завтра доставит Ozon, продавец Торговый Дом ""Эксмо""",https://www.ozon.ru/product/psihotryuki-69-priemov-v-obshchenii-kotorym-ne-uchat-v-shkole-ryzov-igor-romanovich-346210226/?asb=FVWZ%252FpDROFjskmrq0emCKQ3FQQV3%252BKpfaXC62xnKw6s%253D&asb2=PzrvgEBt4TDCoRfD2yP7lMi5O8RDj6t3NaWYlLogJ2B7HqG-9Qz6InweKHUZBZbb
"Почему одни страны богатые, а другие бедные | Аджемоглу Дарон, Робинсон Джеймс А.",938 ₽,191 отзыв,"Завтра доставит Ozon, продавец Издательство АСТ",https://www.ozon.ru/product/pochemu-odni-strany-bogatye-a-drugie-bednye-232959715/?asb=0fZdNdUApIUfbScMYv5KxIXXfzRdPqsWz%252Flyb3So2ZiimUAqr7IYQKthsMGgFnXQ&asb2=AHxvMzmPwoR4vgtQ98-EKZpPpcei2fjbSa0egukqQ9PuW1TrG1saVrBQkym_jkrfbEDOId4e-QhUh5TcUZBMHRjNW5TMwB_wrEGfSPX_BspkjCbac3dObFReDX23H5sYN82v4EYLSOb3DIYHTJnsZw
Эмоциональный интеллект,604 ₽,36 отзывов,"Завтра доставит Ozon, продавец Альпина. Книги",https://www.ozon.ru/product/emotsionalnyy-intellekt-254615462/?asb=Sr%252BvdQAw6fH2v3g0sMi6dUrKxlC8Cc8OVzV%252FB5vs78u1vt%252FWpzagiAt505OT9IZe&asb2=l0AqRtKsXshsvy1gdMJvxamMrF9pxDTNvm1wLFrXf6e_9LGtYUHgEDih1QI52Jl9JK_T6tGPe-odrRRrPUrjs7VOuQ4VS9dV7B3LJvkH0EAD5RBEYOPEn8HAE_uOBe67vCj56tcZujnEoZnMq8r48Q
Время - деньги! | Франклин Бенджамин,252 ₽,18 отзывов,"Завтра доставит Ozon, продавец Издательство АСТ",https://www.ozon.ru/product/vremya-dengi-franklin-bendzhamin-313885185/?asb=o%252BvymqV3dZHMrP%252BKwVjHeb3nmnfnUJKPlCXuklB9FmaGpuDCiWB7PKgo3be3wZ%252FW&asb2=cE9afsTytCMM1QOaUY5vmE2pPP-fgXFif2mFol382TrUm_wFSp7PCsmhgTqS5rcoTcKakI_mlwtVxANwcEQHsH73jVRPrCCUp-m-dAVVC4BD16U-cLu5ueOtKahOBvFUJJ15Zmzu5A6I9SmD8O2Q8w
Клиенты на всю жизнь. Покетбук,492 ₽,3 отзыва,"Завтра доставит Ozon, продавец Торговый Дом ""Эксмо""",https://www.ozon.ru/product/klienty-na-vsyu-zhizn-poketbuk-507005022/?asb=2%252F9y0lk2wzwTGu%252FkTSDaH0Ewvn%252FVBofgwWwGgotoKy6PQH%252FbIVwv12AxOrGE1rkP&asb2=0MFl-2uucZLyr6aO7K_8gTtmMUTQhFgflgJt8E0kjZI5eCdenQpgYsGn8lyJP_Tqkac3qPrggo18EvN3SjIo_V9yM6W0kl2kq3zMmgPSvcoNoktsq3jn0jfgnKrTyy9JXckwE4uc_9LOn6zCo4BVlA
"Бизнес без MBA. Под редакцией Максима Ильяхова | Тинькофф, Ильяхов Максим",425 ₽,42 отзыва,"Завтра доставит Ozon, продавец Торговый Дом ""Эксмо""",https://www.ozon.ru/product/biznes-bez-mba-pod-redaktsiey-maksima-ilyahova-tinkoff-ilyahov-maksim-379264934/?asb=AiDOJcFM5zZKjZ6WoFamiMh9RKS%252BzceS%252BsuKUWGiLnk%253D&asb2=JF-aySjMYpzqCgn_ic7l_UJPIjBVxjHI3fxJGtbq4JJvVvh1bk7usSsLiI0EkkFr
Психология инвестирования: Как перестать делать глупости со своими деньгами | Ричардс Карл,598 ₽,147 отзывов,"Завтра доставит Ozon, продавец Альпина. Книги",https://www.ozon.ru/product/psihologiya-investirovaniya-richards-karl-248579318/?asb=AyDtj3N%252FsBx0F6VDV905V8DF2DhHXK4w9qySBkpGWgVXYkuF3pccutzX7rIDEjem&asb2=jgYyPxRASePz3Iw6GA4Dy8JdM5zNw8BglLAMoHT3gP63eZSOiZHq37c58TEm3RrhhtyfsHbDe4TQwr5pbkCMTXS4mpVa-bEssWAMkHz3gM01mR1ZoizUpCJkJaTHUzhqu-RCvnnZ42SbTuH21fuvRQ
"Криптвоюматика 2.0. Стань сыном маминой подруги | Антонов Алексей, Марков Алексей Викторович",507 ₽,71 отзыв,"Завтра доставит Ozon, продавец Издательство АСТ",https://www.ozon.ru/product/kriptvoyumatika-2-0-stan-synom-maminoy-podrugi-antonov-aleksey-markov-aleksey-viktorovich-261842380/?asb=odC5w6upfjV%252BIDuaUOk%252B3LX1DHxT6RJl5IahZYTfgXj%252BpAvf1dLUfDuVBBkdNm2G&asb2=yonz6_h1eVk1wtDjjbrwIm6KXLam4JC1WXzdJq2RLOIsS2c70f_4QxRyqpW8H57VlfqaxNevpBdqs0ABx61OTKhXtJG7IX6XdWVDeGXGkOVseWuT7uteNEPPskz5bwnrPseeUwEAO8iIM1bv9GSdjw
Копирайтинг с нуля | Шардаков Даниил Юрьевич,483 ₽,57 отзывов,"Завтра доставит Ozon, продавец Издательство АСТ",https://www.ozon.ru/product/kopirayting-s-nulya-shardakov-daniil-yurevich-250805429/?asb=Vmj8RXKrrNSPLRIWOrMcB5WOyGj%252FtKG746cWoneVcHNzHbuWzn5g7Y7nmjqYfW9e&asb2=60VSafnxgLL08d6sxBfS1_9_x0kccs8hxfJtTt_T9Wy3jQYL9Qt7l8M8mMWNder7bqSSkF7M12PmHJVJbKFX84V4sN2eh1NBWpu86DNNdhPBlnHq5db8fWwKqcvEXSQENPVLeghV8gn1iAFnEju1Kg
Манипуляции информацией в бизнесе | Верченко Василий Александрович,255 ₽,3 отзыва,"Завтра доставит Ozon, продавец Ozon",https://www.ozon.ru/product/manipulyatsii-informatsiey-v-biznese-155279737/?asb=DVtH8eqe2IcKlnTlptM50UlZCjSawOJZxtgFUpv12jI%253D&asb2=TIzq4Ds_7s7OjqMvXTtgV57opRTDu2BS32HMhPIzIWNArZ3F9FkJUL7KQn5N3Gwm
