"Маракуйя Artfruit, 2 шт",159 ₽,42 отзыва,null,https://www.ozon.ru/product/marakuyya-artfruit-2-sht-536585034/?asb=%252B330OfZDAfewfhZ7Z%252FU%252FkVe0P6R43fLlTua8fq3eWIE%253D&asb2=sLSoRcY0t0gaIUQxWdaPfJsQybjssoPiM3wnPekHydQkWcyrGrgOp7VUisePRhya&ectx=1&miniapp=supermarket
"Груша Дюшес, ароматная, Аргентина, 500 г",125 ₽,11 отзывов,null,https://www.ozon.ru/product/grusha-pakhams-500-g-143327787/?asb=Yq6NVL28ZOIq233sLt%252BU9aV9wGrHCaYJhOlSJ6ywcec%253D&asb2=Fn1MHUjhprS1qcNuAFsgVwMoEi3S3ncIaK5LIojBRr3kK22skZ9Sr6y2sKHpvDG9&ectx=1&miniapp=supermarket
"Гранат отборный, 1 шт",319 ₽,183 отзыва,null,https://www.ozon.ru/product/granat-otbornyy-1-sht-163600504/?asb=oXXGiMG%252FSm7VqRQ2nfIeFuq4tYDBWCqEp%252FNsE1M%252BuOk%253D&asb2=G2E3lMxTC2EBb7JvPh0A4VzmwcB7lFECuwk-lLG-_qV6atXmaFQykGNfRfJVakAW&ectx=1&miniapp=supermarket
"Айва, ароматная, множество витаминов, Узбекистан, 2 шт",147 ₽,185 отзывов,null,https://www.ozon.ru/product/ayva-aromatnaya-mnozhestvo-vitaminov-uzbekistan-2-sht-389210804/?asb=4PHnQ%252BeIXCGnxFOetYo3hxe8Eyvt1okjsH%252BawOLFxis%253D&asb2=Em_jkxDPEiH2b774uWSw7GJT5oYfO6zzvw9VyVRVYhB0BPTgyDPkAFV1-49E4v2h
"Нектарины Турция, 500 г",229 ₽,161 отзыв,null,https://www.ozon.ru/product/nektariny-turtsiya-500-g-173739617/?asb=C688WcRFJmhyJQeXvgFapubnxup%252Fd4gIE3AwKrzWgq0%253D&asb2=1-97Z_iY3FExwVtbAu7mxrUMs1UHcRgzWppAnge-FQMdl1Q9SmCTZYQeRY95z77g
"Бананы 1-1,5 кг",234 ₽,63 отзыва,null,https://www.ozon.ru/product/banany-1-1-5-kg-528761938/?asb=bNyDOx4yqygvxQgy1QP1kWqzZ%252BM3k0C0nsLwF5O5oBo%253D&asb2=vLWyzFxdtbQpqL3zInjPricSFkxLTW8Gz5kNUuxUDcookroK_fNwQ6j0tT6vLKlM
"Бананы 0,4-1 кг",156 ₽,78 отзывов,null,https://www.ozon.ru/product/banany-0-4-1-kg-528761845/?asb=JsLRI2tFmS2Zl1460hHFMQhDxCyFA1O2PervDK3cXy8%253D&asb2=Dlu9qlcLPLZ9_aeboSfHsPrQZxsB5d2kwdpHSUGLbCg6oeZvlbrLKrzpSYuzwRBH
"Бананы весовые, 0,5 - 1 кг",219 ₽,38 отзывов,null,https://www.ozon.ru/product/banany-vesovye-0-5-1-kg-505028008/?asb=PjVwuLWPlDUI%252FQMn%252B%252F9nhAyqmJMZKqFyWfYI66Xxyso%253D&asb2=yAc0T4i6RW5tqO4fYr2HzoyVdtEvMEN5uJpISQnjco6N_VjKruIs4FcUeU9M6zXM
"Виноград Киш-Миш, без косточек, 500 г",139 ₽,14 отзывов,null,https://www.ozon.ru/product/vinograd-kish-mish-bez-kostochek-500-g-466991753/?asb=JLo50WlP7waCpjCu%252FI6hBDJwnQoDWCadEUTyNtRepjU%253D&asb2=SAFHPcKqWAR8Gx__0HaOSh_wwzkUJjYk09HwtsxKNoFzsdhvbKL8Sq3wlZI4C_1c
Авокадо 1 шт,119 ₽,8 отзывов,null,https://www.ozon.ru/product/avokado-1-sht-525393084/?asb=R59Y2txXrhMv3gLJ3%252Bazp%252FnJQd1TLvBCax76qTDiRIY%253D&asb2=nwQFECC4MSptcko8CvNCen6zSG73wIxpSgc_aB8S5mk8JTQkOrM8KK2Wvm1m9_Ne
Яблоки Свежие 1кг,150 ₽,29 отзывов,null,https://www.ozon.ru/product/yabloki-svezhie-1kg-466991846/?asb=8ZAXYIufUPnfJ3f3FxoK9txMgDu7YcUuric5tgD40Vo%253D&asb2=5nI5AV-Z7KZlBeEH26p0Mn5t8jf7oF5gvohidtN-XJKncHKDr3CIxeEse1j-81JG
"Апельсины Премиум, в сетке, 1 кг",169 ₽,69 отзывов,null,https://www.ozon.ru/product/apelsiny-premium-v-setke-1-kg-484616570/?asb=uXIL%252FFlOsgKNhJNPAY09ySDEMjIhJ5IwnaKhImgSDhs%253D&asb2=joIqE96_RJ3y6RJsb1Ccl8_4TDasMlql-6untx-uH4BxOl2rABS8s5nTyR6VkH0B
"Киви, 900 г",159 ₽,39 отзывов,null,https://www.ozon.ru/product/kivi-900-g-466992918/?asb=njfn%252BqVcIAB2bDGcyYSXc8jujK3bPbEDVLF4O7yxWE8%253D&asb2=uVR9OUIm_fD8Gh0yXO6DBOCVRs9le2Zv57LAJtc1I9OMp4Kh7PCTswdFMDm_y6p8
"Бананы, 600 г",169 ₽,149 отзывов,null,https://www.ozon.ru/product/banany-600-g-327111033/?asb=tiuIy0inTv%252FixYWC59AOKynZ17VOKNtfZ9rzrjVpngA%253D&asb2=yIhZwNB17oo3U1u9vzV5usubc4m5xc5EgTZ5HIo1rwmDOoRa2YCyMrcSdAVtmL71
"Яблоки зеленые Гренни, 600 г",138 ₽,41 отзыв,null,https://www.ozon.ru/product/yabloki-zelenye-grenni-600-g-327110952/?asb=ZmVhEMreRYhHGls%252Fl%252Blvosi3Zg1ZDmLY1VmPHVghjmM%253D&asb2=RrAxJanZe2zMGr1SYHM1JOnwle3jaXpsj5jAGu2oW9nykuMIWPsLgtUjwdzk0hfk
"Виноград черный, 500 г",249 ₽,20 отзывов,null,https://www.ozon.ru/product/vinograd-chernyy-500-g-327111161/?asb=MTRsSJ%252F3bN0uX3dLy%252FyvGBokz5SXP3%252FhaZ7YM8mfaVw%253D&asb2=ZW1TY_NBw08tqPuBG9cdARGHjb5V-bomxKynWv728hyZGXCY-QL6BvSQZnez9chw
Апельсин красный 1кг,249 ₽,46 отзывов,null,https://www.ozon.ru/product/apelsin-krasnyy-1kg-498001555/?asb=E4YxZKfxQqRrEYQGSPYi0bLxU2OeJ3A8zjRW4PLIZWw%253D&asb2=K6xAWcEmbIon5U5RKBNeb3EM94Lj1CH9YBlr3VwKuQxAm5Lm1jUKFggXQuAdpVt2
"Груша Вильямс, 500 г",169 ₽,59 отзывов,null,https://www.ozon.ru/product/grusha-vilyams-500-g-267897291/?asb=HpKU9qLd0CrfNOQ2K7VdqtN0%252BvHfUAH7rmdSywn%252BWUs%253D&asb2=EnTMp2PQ13fkdP6bFT1J_W6ADHXEXvPg3NKyu0g6pn42CQRb3aEbZ2Vzioj-I33I
"Виноград Ред Глоб, с косточками, 500 г",249 ₽,151 отзыв,null,https://www.ozon.ru/product/vinograd-red-glob-s-kostochkami-500-g-267895952/?asb=KrC6oCoYKQLSuqXxuQDb%252Bvha7iADehKLFJyH5l6YzoA%253D&asb2=Kg7vxOBOFV3gYg58lsM8EV0dJsiy7zpStQ4qCRX8aGHh363mQb5kMBCcXSkx8VIK
"Яблоки Голден, 1 кг",205 ₽,146 отзывов,null,https://www.ozon.ru/product/yabloki-golden-1-kg-337279288/?asb=NKAr3iRGrqqGb78fPC9pcRsXYn0aK0%252Bv9596Gl6vXiE%253D&asb2=G4VS9iPYUMqdWtbjjfVdFhtUIjO0k7neoNCV_eLmxaglGDSwzWdJmiWJFRJuAE-_
"Яблоки Голден, 600 г",173 ₽,146 отзывов,null,https://www.ozon.ru/product/yabloki-golden-600-g-489181683/?asb=3IorgAxSDtjl7jnyqx%252BOAAlknHk9V5%252BNApvecvBPaMM%253D&asb2=5tq2GGPoZwo8jYVXmXtbxaGMYBEhbkMv6H-zdWIMWgF_ANPj86TUtaRoDry-gDNx
"Яблоки красные Делишес, 600 г",157 ₽,68 отзывов,null,https://www.ozon.ru/product/yabloki-krasnye-delishes-600-g-327110954/?asb=yzsQU%252FqZHRwKiYomT8B9qNNUaAaQGAlUMhdBM0g6voM%253D&asb2=GNU0zAQbdNcddx_avdmR4OHeN4AaOkw7QGcmkfk1i08ZrgVcxDnXbl9Yd9AIuLax
"Апельсин, 500 г",184 ₽,20 отзывов,null,https://www.ozon.ru/product/apelsin-500-g-425637852/?asb=QIhV5kI%252B0T3tP3rUyXu%252BEBCJ9GBDnEtCLsUHc5XYbDY%253D&asb2=qJluCv0fpm73MldHn24I606piIQOrunwbzGpgdaCwwJOnOd6hPI2L3SXRIW6D_tb
