"Лента самосклеивающаяся / ремонтная / для устранения течей / самовулканизирующаяся Mr.Bond SMART ( 25,4*мм*3 м*0,5 мм) серый",848 ₽,51 отзыв,"Завтра доставит Ozon, продавец Сантема",https://www.ozon.ru/product/lenta-samoskleivayushchayasya-remontnaya-dlya-ustraneniya-techey-samovulkaniziruyushchayasya-mr-bond-233559386/?advert=QMV1z39rcLlmX77yfXaZ78Eudm_V1vTVLVrIgJE2Tg1TAyCXwuYtBJAmM7iVR6ySKbecaVLWN1B-K6kCZBTLrvNxcYHn_p87-8SyMIL7WlZoKYNg90Oszsl3jeJK5VAqL7V9LjDzyoNXjqfQ60VSPwcKz0tCOGU5d6vxLdmu0n-c8eg6-4CNgsF8REHdxCpD1jrIrILC973xO4PiIEZ6f_n8Ko6GP4J1xoHgZbaq1kdISrPVPAXsQfpvZofzi0p_TgY_AwVE9ZLEy6oEd6dufqMjc-uUamegsumoe_ccRuCFLrJCNQJQ2keJJQuvwPIVQd0IQmpJ5J75WFmFCHm97pzv57qAPaB8XjHLngrj6MztFuCqBBYaGyZXPKLBMbpr-w3O7drtdyvGEuSA5HlJefpPP5vFvubehfsjT8ValarGOJrX4h4TVhx6ZE7CQ56-COw0EEYSKzDjtD3JxdYXvpiylIGOSvyikPS5p2USZMsr45cyJK9__-n6YtPDOBNgp1Xhw9J7yP1DcwowQzyBUQBHIh4vKbgxpyeNXZ_mZxYbfjYapc8aQn4nJbtms6j9
"Фумлента/лента уплотнительная, 10 м x 12 мм x 0.075 мм., 5 шт, PTFE",236 ₽,34 отзыва,"Завтра доставит Ozon, продавец DISCOUNT CENTER",https://www.ozon.ru/product/fumlenta-lenta-uplotnitelnaya-10-m-x-12-mm-x-0-075-mm-5-sht-ptfe-276427339/?asb=jDBpwwj36z7pFZWqvzHAijcMq7306QwewuklnpnCmxCMhrqcClTa1VjDawLLC8yQ&asb2=aIxrCp182omalcrKhnw8El9qYXVr8F-ygA_KoR-dmoNf1kNQOKtt36FRHw6dJfj7MffHK5bUJk9j3jhuJ63-31wmMGBuwaE9_6wioJpLKYMfuaX5gpyQx80WvckMMHmEJr3AzCfMJaiBPh1MNb6AfQ
Сантехническая фум лента для резьбы на трубах воды - замена льну и пакле для сантехники! Набор 2 шт.,132 ₽,93 отзыва,"Завтра доставит Ozon, продавец SolarShop",https://www.ozon.ru/product/santehnicheskaya-fum-lenta-dlya-rezby-na-trubah-vody-zamena-lnu-i-pakle-dlya-santehniki-nabor-2-sht-295148699/?asb=hQg1pJ1WiiVndul95R8tKxswAaLJXvqbtLVB0hlolzs%253D&asb2=Ozog5QpDuH7MwOaXRHJYucIefkJCbE-KdgFgJ8S2AgdYfjxOFOEX-OLC3qOSoL7E
"Фумлента/лента уплотнительная, 15 м x 19 мм x 0.2 мм.",236 ₽,29 отзывов,"Завтра доставит Ozon, продавец DISCOUNT CENTER",https://www.ozon.ru/product/fumlenta-lenta-uplotnitelnaya-15-m-x-19-mm-x-0-2-mm-276422418/?asb=gWiaoMB%252F4ytUP395ZgqbZhr45K6asE9J7loTLTGjd5dx79xE3uBqIdQbo4Nxwr7x&asb2=YkFZTR_stDA8clHIgXn2W6yjlN-Efq3WGr2bEtfE32LmBi9T3w0SqHPVhj-USaRqabPwZOY9MN1cQ_UYAPvZZS35sRx87MT6XaSislrwmkmx4A6c0Mjmf9RFh_2SPPkqo2w1vb-TO_RsC9vSJF02BA
"Лента универсальная самосклеивающаяся ремонтная для устранения течей самовулканизирующаяся Mr.Bond EXTREME (25,4*мм*3м*0,5 мм) оливковая, ремонт протечки за пару минут",969 ₽,41 отзыв,"9 мая доставит Ozon, продавец Сантема",https://www.ozon.ru/product/lenta-universalnaya-samoskleivayushchayasya-remontnaya-dlya-ustraneniya-233565898/?asb=OkfwfuylvxtQ7mRIBdkIIkAoon5uvO8vv7kOT0W3Lv4%253D&asb2=iSycpKCG4PXcbvHR84_YVek3nf_U2K29iZ3zNRc23GzZI0GCX9VMhM-p4ogAMAFE
"Универсальная самосклеивающаяся лента для устранения протечек, 25,4*мм*3 м*0,5 мм, QuickSPACER MR.BOND, черная",656 ₽,8 отзывов,"8 мая доставит Ozon, продавец ДТРД",https://www.ozon.ru/product/universalnaya-samoskleivayushchayasya-lenta-dlya-ustraneniya-protechek-25-4-mm-3-m-0-5-mm-278292360/?asb=Pd48FlmZ8Lrm9s9uIUTAoR89C82Ld4h%252BfBHZi82Muqw%253D&asb2=gE4ZAy5G4GUEewyI4z1onBmrbJpFNVbPA3TY4mkDO6O3KIImjksVmnodZGZp8Tpv
Сантехническая фум лента для резьбы на трубах воды - замена льну и пакле для сантехники! Набор 4 шт.,235 ₽,93 отзыва,"Завтра доставит Ozon, продавец SolarShop",https://www.ozon.ru/product/santehnicheskaya-fum-lenta-dlya-rezby-na-trubah-vody-zamena-lnu-i-pakle-dlya-santehniki-nabor-4-sht-468606194/?asb=dB2rwSxyGcfAYDGqPHEn2ChjA2eorFJth%252F9tt57qlJI%253D&asb2=OGCunalfG2F3mgS_hDwid_Boj4Uhor2WBnBu8Fb6kWQhfaHMc_M6iomA8D69K8Uv
"Универсальная самосклеивающаяся лента для устранения протечек, 25,4*мм*3 м*0,5 мм,QuickSPACER MR.BOND, белая",656 ₽,8 отзывов,"8 мая доставит Ozon, продавец ДТРД",https://www.ozon.ru/product/universalnaya-samoskleivayushchayasya-lenta-dlya-ustraneniya-protechek-25-4-mm-3-m-0-5-mm-278268847/?asb=dGpF17weIoDPRrobvHwimKfDeRIyXVkybGF5thf1WOw%253D&asb2=P8ZrqKR17FO8xFReqyc10X-Du8JzI__gKq7xqytI1acxkDCpGoHrU_NociSvEdM5
Определитель утечки газа 400 мл MULTITEC,765 ₽,4 отзыва,"8 мая доставит Ozon, продавец ENKOR.RU",https://www.ozon.ru/product/opredelitel-utechki-gaza-400-ml-multitec-291727687/?asb=A3Uk%252FmAm%252FdjNbZKSxBYdP9l7mZWrDUNbR7qn0zaEBfY%253D&asb2=HuAt6Ry8Sg7q_bRnJ8k7dc3M0guvW8LLLTx3bpGrgx4cz3gbbZg5SveXFGia12tp
"QS Mr.Bond EXTREME Лента универсальная для оперативного ремонта течи, 25,4мм*3м*0,5мм, оливковый",677 ₽,5 отзывов,"8 мая доставит Ozon, продавец Pipal® Chemicals",https://www.ozon.ru/product/qs-mr-bond-extreme-lenta-universalnaya-dlya-operativnogo-remonta-techi-25-4mm-3m-0-5mm-olivkovyy-215302687/?asb=61wJMF2Q%252BcucUtzmfJbCu17whZoQ%252FpOgBRBx%252BzLbGwM8T%252FN54odq3dWz7ghRJ%252BWz&asb2=cbwduuuMgJ4kJ68Z5Rt8HRCg_zSO98SvIkzXtqR4-brctZDlwueWMhL-oDehOyqZPIT5MoU5Vo20zAqzO5rwzwc6jJf5EZSiMpPM3yrh2sx-l9FY7GSYfnls9IUEW326Hy1VE5p1fRr7ohRjVuuFYg
