Датчик качества воздуха LifeControl MCLH-08,939 ₽,26 отзывов,"Завтра доставит Ozon, продавец Мобильный телепорт",https://www.ozon.ru/product/datchik-kachestva-vozduha-lifecontrol-mclh-08-155576745/?advert=aRk7Cf9Yv1jUXI-GpyB-fIJD_K0-89yiOlZaCQBzu-jHGnz3G9z9qfHHo8xu97HwAhAQhqrCzqEUROB9jwiWLevVOk-xfWklsbzzlLXIWNhTJzjLKkZBSFO9tBeYwJ1V_jf2jdYJZYIYyqEt346NrZcfnhIABfXqHgXFBVV9AhuogOul8TJbop0jCH_2BsZGd1pFGrMjzbeGPtSCtQI5D-mhbjDTu-B7Xq3OpuNBwBYqgNmyKkJfU1rztgOKTkw194h0RiZmZWDah9RNemdkK_x7CSplNmMizqEzO40RUknMaiMfDIvbceWlWLHDqbzb84YtiZ8JzYAhCQqQNQGxpHm5RmNP3CCoEziQWaKxiwiie2MLzONyOyIkOoet8-0HXg3orgVe68gQRYOKvcJPXaPO0j5nWaSVHmkz7oS9NuFcA3Jri6LeDyB_FGDk0JAQA3h9pRVGqV6gnIaf1VoRVe4oz2gPXnniPSwgyJ-XtY0_4P3g4BGb0jLmLGVarA2lsxANkfNt8vVlY_7TzC4c_vvxt4jXgznIvwrII7G2P3mtAUdAmc-V167p3lRlBskF
"Цифровой мультиметр MyLatso DT830B тестер для измерения напряжения, силы тока, сопротивления",389 ₽,22 отзыва,"Завтра доставит Ozon, продавец MyLatso",https://www.ozon.ru/product/tsifrovoy-multimetr-mylatso-dt830b-tester-dlya-izmereniya-napryazheniya-sily-toka-soprotivleniya-549091929/?asb=itPe%252FELUCvf2gYkA40%252FwHVTm9hpeJnN4OLiq1hsDx7QryfVtrQQDTnL50bUm%252BHNC&asb2=mnbmjKW1bMgeOVy2M3VkjcVrHCXFtErFZoIzdTYJ0UC1sqLsdC54qfBupQHm69Y0ykJGJ_v2C4xV8AQceeQeKB3KIHrJalub86hubrjzinX-wEZ_5IjHhkL5uOFvKnrV2IiAuYf2m3QSUVRf744eWQ
"Щуп токоизмерительный, Набор измерительных аксессуаров Melarto 100 см 1000 В 10 А",249 ₽,31 отзыв,"Завтра доставит Ozon, продавец Melarto",https://www.ozon.ru/product/shchup-tokoizmeritelnyy-nabor-izmeritelnyh-aksessuarov-melarto-100-sm-1000-v-10-a-534644984/?asb=GUIW7ZTZpaJqf7RELhwEL4VfFUEnV3W7LS4bS%252BvJSDs%253D&asb2=5gXkj3E2R2Yhx_-2ozQcTPKXX0ne3AyqLjnOaI_h5MM5AMCUg4W8mSuJH_gCghMs
Штангенциркуль металлический в кейсе DEKO DKC01,720 ₽,128 отзывов,"Завтра доставит Ozon, продавец ZITREK",https://www.ozon.ru/product/shtangentsirkul-metallicheskiy-v-keyse-deko-dkc01-231441823/?asb=FeX4Tm5J3eeu%252BnWNNZIkMVgmA7ZgP9toVTkRpSAVwEU%253D&asb2=xBYe-4Kgy2HWXG4_mFPBjeIGFl74Dg8zAvjhveQOx_JxtiNbBeK8SJTdqcx3hfQB
"Мультиметр токоизмерительный цифровой (портативный многофункциональный тестер электрический), DT-830B",394 ₽,12 отзывов,"Завтра доставит Ozon, продавец MasterTools",https://www.ozon.ru/product/multimetr-tokoizmeritelnyy-tsifrovoy-portativnyy-mnogofunktsionalnyy-tester-elektricheskiy-dt-830b-556811282/?asb=EugVg2datxy8537xAvcbM8pktss2ACvW2%252Fa%252FPCUw9jFIuwSSLFe5TYVH%252FluevBCc&asb2=K4kklTM0p4d8huDZcl73f6TXg7NBAiYqAHcomr3h0qX6b3mYt-NfuTZL4CFdHkQrplVvheBcBtaB6lOQlWayMjU2gAmfpAzj8JjzhEPMsnJGz2ks_WPyXnKXdcUFOmnwZTXH17e0aDpGnni20hVSnQ
Портативный Пирометр/ Бесконтактный термометр (инфракрасный термометр) + Батарейки в подарок,999 ₽,5 отзывов,"Завтра доставит Ozon, продавец The Soulful Store",https://www.ozon.ru/product/portativnyy-pirometr-beskontaktnyy-termometr-infrakrasnyy-termometr-batareyki-v-podarok-297037388/?advert=UaZno2m8cAXhhQm72Kio0I4i2aXRAdxwW-f902MVoF56WK9AbSITAe-3HI9VYnyxgFC3IP3H0JyAZ-EOodGxG3XfwWNehmBGuul1pLrU1pg4j-7zM3wc1GIyFoKZsaz2k6giM5v1ZaGJ2HuaoIoiNbSm0bQKy9TVOcXx8fNDLpzXxtQhyp9a5P6AbHItiLhg-49vvNa-M0y8pj9hUj58OA4NWztL2kLj-Mtzw_LUNqhmZIwbd_2GQJ5QpJgdKFdQ1ha9oHPIpukSDM7b78NJhLwD6tVSpU6owDxnGhGkJViDm-zanaYv8_L-lTb9Jp4ed-469BuXREhdH7BcuAilndKEQVruMWhUzaB16a97cMoDhrxRItZU4ZXCMpFW9EEnqWrnyQNbnMgkszMUGW9dUWRlI98bSVM-71KRUEFWvwO4IyJpeBgTN3LNY72IXTpPNFLmxMpUwEkH76830yKXyuGXg2Ec1PU0NTwE6CYOPcDkQq73XFkaoFJYSUY3-gW7HunIlnb-X3RboUReX143eujwYfrOWiAaEA8Ctq-GsxIBBPXoz0uIvHzSIGPeIMtH
Рулетка прорезиненная 5 м х 19 мм KROFT,208 ₽,30 отзывов,"Завтра доставит Ozon, продавец Viratools",https://www.ozon.ru/product/ruletka-prorezinennaya-5-m-h-19-mm-kroft-511367943/?asb=TZmRKTNkxLJgUS2BezqmhyT%252BJiansi59o3osrpW1F78%253D&asb2=g0cbCDcfxR0nnX6-m0-_VNS_X_fwXAsa0TxAiRL9Yc19pS5Q7h9kHhZpSi6Mvhkm
Пирометр (бесконтактный термометр) Benetech GM320,1 000 ₽,16 отзывов,"8 мая доставит Ozon, продавец PROAIM",https://www.ozon.ru/product/pirometr-beskontaktnyy-termometr-benetech-gm320-266611169/?asb=1k7xwRUKxYCdUm7WV37niHPMz2cUVl9xsehNMQwg9uwL5TLCPsXVgjc12PLZQ3Yh&asb2=hn7t0voAGKYlMMF2Bd7XXgmsGZtgzxkcBZs2RZ280yKoOw674c47y4BPOCn7tEe5LWDhoxRACmxGot8bZapGDFEPaFM84d95Q73p8uNmkE0d4U_RoRLgkDoWKe2RHb0keGdG_nqTMs9Ul5J9hRv7CQ
Переходник адаптер на штатив 1/4-5/8,295 ₽,100 отзывов,"Завтра доставит Ozon, продавец Проф. Инструмент",https://www.ozon.ru/product/perehodnik-adapter-na-shtativ-1-4-5-8-370445439/?asb=dvIj6p%252FNTCNbqFqA%252FGMhnxVVtw7pkEynZCyE%252BxjscrE%253D&asb2=z7YYRF0XFG2wQD8J_H6Pzk9Tv3EoriLQLgKju-gmUt4fRHe2Z-xN9RvRshXka8BD
Мультиметр Sugon DT832 + ЗВУКОВАЯ ПРОЗВОНКА,405 ₽,185 отзывов,"Завтра доставит Ozon, продавец ПРОФИ",https://www.ozon.ru/product/multimetr-sugon-dt832-zvukovaya-prozvonka-318331678/?asb=Wo1ZZwxzS3XuLAdW5mHKfiMbxbOiYe1HZmU2Wh0lEho%253D&asb2=dc0Cfsr6GRPq7YoGPke1JkgfOhDQMbfJByVfL6jQl1WenV7gX9uMKUigOKTBGsmZ
