Катушка EastShark FGR 4000 c задним фрикционом 6 подшипников.,752 ₽,15 отзывов,"10 мая доставит Ozon, продавец Бутик выгодных покупок",https://www.ozon.ru/product/katushka-eastshark-fgr-4000-c-zadnim-friktsionom-6-podshipnikov-497646571/?advert=aXnIZyhuH_xLXlKwQ_1buGH_Sgxri7GxzWydkBEoMPauNcrtikorW7b_G6hAWP-U-SsWAkj3Vu_hnqrGqPIZAYFBxUCu4EPhrtz2yWEBXggSJvYlTFh_9cwTCwiOhNVcVjNG9QZZzwj2pp_bDeCpUrzRvE4MM4SFFTq7V_sSo_43cxVpgqscdr4nhPYXEMNBm0ZvoocDJoA9aK0_9Hb4eZYVJCQhcNbH0VIBvy_Pfy2EDj6gx0oOVPDAazDZ0_Sp2xIDeOHG9p9TFhmioXor8qBKDd67fRahp4DE2LKx5eKa-RXzwHBsKFO-3ivj4HP976h59OP-kHuIt4T0fjh32q_E1AH4ixMLXB78E3EEbGZdqWVREPEXQEgfmhrFQWn6cfCdp1gPzOKpGitkP-J5ZrxDhLKzXRvdSTDA1BCC5fmD6aR10EIdASdOqJGP7GBCMRRtmQL3Wwm22KBW-B-cse_CrIovZcgYu81ovcMABY0UQb3XQLZxi_raARo76y6yqz9Yv9vuZ0SjG8-ywri--5sovHzsFKOQ-L24vbOVMu2XxRM_pmlNmpNB1B6vlPV0
"Рыболовная безынерционная катушка для спиннинга ""SKYFISH"" Mini 200 на судака / для удочки / для полавочной удочки / для окуня / ультралайт /маленькая / легкая / BX 200 / JL 200 XZ 200 / XM 200 / IF 200 A / 200 F / SY 200 / EF 200 / DC 200 / SY 200 X",369 ₽,36 отзывов,"Завтра доставит Ozon, продавец ZANDERMASTER",https://www.ozon.ru/product/rybolovnaya-bezynertsionnaya-katushka-dlya-spinninga-skyfish-mini-200-na-sudaka-dlya-udochki-530266288/?asb=4x3%252FKGXs2G%252FiIF%252F4OuWfeWmhdKvGvIdnhebIg%252BfnY6fv0Xy%252FRkrkFHE0EDyZefWS&asb2=duwfRvhWuYZIowY9CKSB2noga1GAObXSYSCsu-8zMxO9w9dvW8jDH1Hxr0UL-jrt2TLVslC_ka_9kwZbIVb22O1ZaX29hIp_y3QHQmGecg-AyhBNbjOZIgJojQ4Q4KYZdOXyoY5TEyx1U0lc4tWpMw
"Катушка FishMX SY 200X, с передним фрикционом, с намотанной на шпулю леской (CT-200)",371 ₽,25 отзывов,"Завтра доставит Ozon, продавец РЫБОЛОВ ДИСКОНТ",https://www.ozon.ru/product/katushka-fishmx-sy-200x-s-perednim-friktsionom-s-namotannoy-na-shpulyu-leskoy-ct-200-260615384/?asb=qE8fh%252FHVNnbnbF4gikau1hMSUYGDZdDCGymsBHI94u4%253D&asb2=uUBdNDqIbD78d2XO82UwwPSaUzqykCXqIkv8cBW_8VaQdpeCdwnHNETpRTNxJaTN
Катушка,153 ₽,29 отзывов,"Завтра доставит Ozon, продавец MAINSTEP",https://www.ozon.ru/product/katushka-271616147/?asb=Gaf8cEUP2JH5Pk94iFfswoy6HX14yV0IdEl3opOCz21%252Batfj6U%252FQapYQbYiQyhTp&asb2=SjCTWWl6u2BU6uNZFBpnvGjgMiWuvcNECqCxNKYh8DSGwZOxzx2evalQ2oXTjGIlIOOblziOSg46UdjO8TFOe0a8_DqpBy3Omz5LIqXYHRi9IOKQUO2jb1H9rMEQKctBJQ9hn9xht7EZOzkvuBULBA
"Рыболовная безынерционная катушка для спиннинга ""SKYFISH"" Mini 200 на судака c леской / для удочки / для окуня / для поплавочной удочки / маленькая /легкая / SY 200 / BH 200 / JL 200 / XZ 200 / 200 F / XM-200 / IF 200 / EF 200 / DC 200 /SY 200 X / FG 200",379 ₽,40 отзывов,"9 мая доставит Ozon, продавец ZANDERMASTER",https://www.ozon.ru/product/rybolovnaya-bezynertsionnaya-katushka-dlya-spinninga-skyfish-mini-200-na-sudaka-c-leskoy-530302059/?asb=fmTxwl5VG%252FSMOTSch67EOMjpMn8VA%252BiyRr3wwQwJkOLPdT8p4yBxZKxoNDc2iwMJ&asb2=UzOJE7dZ9ZLfHSnSXacYE6FQnP3RRNuWawPF0dHYBFWntLUmqwus0sT1X9vdtEZXsclpWZkqjiNSmC-5vUpDK7NGmYHCmjNxyDAioIhtY81nj_vLaP58Yd-4Ld46-L8OpcFqHEDrYYzZ2I4I-SfCUA
Катушка для рыбалки фидерная / карповая / безынерционная / донка / 2 подшипника,749 ₽,17 отзывов,"9 мая доставит Ozon, продавец Золотая Рыбка",https://www.ozon.ru/product/katushka-dlya-rybalki-fidernaya-karpovaya-bezynertsionnaya-donka-2-podshipnika-522461812/?advert=u-SHgvhRhzn8cjXEGVAxTPmvbPavkk-nMGdxDXciLw8CM3o9g_FfBLG9EcBhXbzPtJs-yTCua5WHwA-0SnwupwmhrIhkHF4wDK4VcW7OBYuqDo5hPXJadyZhL9AiDYHs8s7-tZ4JWIbOtg1EZ8zdqYuOOMHun-0WVBTJ9o6QyMTCQQGBEqXiHKdseRa2ETST9tzCpqa-Oem7G77tCOP7AkXiBfqB4sN7qi2KFohlB-r3PxQhsazOJHJoswgq0PNMcrSWUMTQSgGbTf-FjUvRNFaO9aQU-quNt_y8_70XeiXkPJu7SUwoUbWFQZcNFgYcQJqTxsyDMWYKrSTDB6ydK_5nFXywEtDiafDiGPnXkQiD7FOjH6V1gdB6VaZ0-czRMVzhSJfeJpWVlt5Ww75Y16XdikMry0VwbH4B7BkkpVGjOS3qQ80lUlaUi11_RBwm6IGB87ugshY3Zuxo_Lbq5QUWugjLXdsLqZAE3gk7RpTAlWk2vtWYa3gMBUHL4lNAkgwOH_SpKtphIFpgON1lnR0WQJaS0eBYPbZPVSaGtQRVkef1ypjmLn8E8oa0wLtt
Катушка EF-200,354 ₽,1 отзыв,"10 мая доставит Ozon, продавец Горка Альфа",https://www.ozon.ru/product/katushka-ef-200-564879054/?asb=Y%252FLb2fChzucRkoZ%252FJ%252BFxvdofqNgXDn7fJv8vT%252BNujxk%253D&asb2=h8Va8Jg20M6LLcfUtwH4_7ee-Omeo-HE8LwD0YimnWHMS60ytgG8PHhOedfgWzGD
Катушка безынерционная COBRA 5 подшипников,789 ₽,9 отзывов,"Завтра доставит Ozon, продавец ТУРФИШ",https://www.ozon.ru/product/katushka-bezynertsionnaya-cobra-5-podshipnikov-482098298/?asb=44zFzDPDTmhb6YOo8h370bZj8e%252FbKhmj2PbgpyjPZQtooSIhPt9oFny50KBjLDVk&asb2=hSamckOaxWjsAmCZXQXZH-uiZrnte0hVSgLKdAYow3njQvXU6lnz-fHiyBAgqUwsrYuCJbftMOmtGfV1puj_vIW5ULu0z-u8B-eGLBcCkw4y465VwiexMEW6Wk15910lSwkwyGMDry5F4D70o7-j3w
Катушка безынерционная EF-200,360 ₽,165 отзывов,"10 мая доставит Ozon, продавец Loftes",https://www.ozon.ru/product/katushka-ef-200-230106433/?asb=zfb41a%252FOznApleVFHiLTtoa226KhHIT0ryg9kfvb9Ak%253D&asb2=Ul72U2G9aevLJp95fWiEL4xmWWzlCeNMsZG1uHYlxkm9r-JhxOYt6CPKIbRm2cdS
Катушка рыболовная MIFINE 200F с леской,387 ₽,120 отзывов,"9 мая доставит Ozon, продавец Золотая Рыбка",https://www.ozon.ru/product/katushka-rybolovnaya-mifine-200f-s-leskoy-528455351/?asb=8kh8ubE0RF0xvk0EXkl2oH6htLf4pNGphF5%252FRYlttwQ%253D&asb2=2EwoJthbkVqHIGVPwGgt4iXpJk1fXyRz608PYy-5tBsbcRjO56ITIai46aDro-y0
