"Клетка-мини для грызунов , укомплектованная (домик, колесо, миска) 27х14х16 см",949 ₽,23 отзыва,"Завтра доставит Ozon, продавец Лучшее предложение",https://www.ozon.ru/product/kletka-mini-dlya-gryzunov-ukomplektovannaya-domik-koleso-miska-27h14h16-sm-299481696/?advert=dEPvQjVvjiIHTQxvUH533D5RkdY2vx_DNza4pRGHFbpgdIXTUU4dOG2PVajpmdtXA4ZWnXnPIEckpuxM1MjJDEb30XdUQYm3trLnP56ROq67DlzE-Tn4A47gD2esAuMETyaptvGi7t-nMkrv6-Zvi15expk7M-m5x0kpT18VY2R3YBCcuuhf0koO30uw_o58_lX1ckCMnV0YFBrGFQcTG1mTGQ-Zf9MrPUfhT_aigbt0klpc5ZQYTFW-hQANMUxeKJxIhSnAH0pdP9lGrpfgppIdGKCQwmsw0xbCYqt7NWu5sLK3J4Wt0VLPpi1Lu3zVyGhTGibL1v4EWHFGvLI25_LR_sjIRtuASYuCwV4U7B53AQJENBB1LCRuC6DfE1xkw7vf1YdmS7OR8XpyqrzEnnajJ4LMf80XcS28x1iEXDCwgHUwcn65rldTQFFVqLJCmBPOd67mByDjkiX0WmpRRZi_j4YqI4XqP99PJRFfoJJyWTNiEeLgBSszLD1mOa8jjaGA8cnIVmRFSZw2brSCo1gvZFazuc55cb6cXDDZU1g7gKdqd-FSCjGjgHlGlcx-
"Домик для грызунов, лежанка для хомяков, мышей, крыс, лежак, кроватка для хомяков, крыс, игрушка для животных",390 ₽,2 отзыва,"Завтра доставит Ozon, продавец My home",https://www.ozon.ru/product/domik-dlya-gryzunov-lezhanka-dlya-homyakov-myshey-krys-lezhak-krovatka-dlya-homyakov-krys-igrushka-519033962/?asb=tVC9x8wha5eibzU%252F0IxgvXpff82dPBNzSH8FZ%252Byn91g%253D&asb2=fA7geQpqQn5ru9AAGaHg9XXVW2nkYENN7AmV7sxZLEKctEBKKftGZNc0_uwqB0Z-
"Туалет с решеткой для грызунов (для кроликов, хорьков, хомяков, шиншилл), цвет:голубой",424 ₽,18 отзывов,"Завтра доставит Ozon, продавец T-Groups",https://www.ozon.ru/product/tualet-s-reshetkoy-dlya-gryzunov-dlya-krolikov-horkov-homyakov-shinshill-tsvet-goluboy-456958416/?asb=2aJekd%252Bl3IexmgZeGormyjX7YiUuzRKtBOeVyROheRM%253D&asb2=T7N8yxGgFNbklXfzVe7bOvbvuTsoPxEaqGtp_QihkWjhx0TGMY_nb8sNw0207gPm
Клетка для мелких пород грызунов/ Домик переноска для маленьких животных/Дом для питомца с поилкой,909 ₽,19 отзывов,"Завтра доставит Ozon, продавец ЗОООПТ",https://www.ozon.ru/product/kletka-dlya-melkih-porod-gryzunov-domik-perenoska-dlya-malenkih-zhivotnyh-dom-dlya-pitomtsa-272918096/?asb=SjZKkD8LoRhDjgToDh%252B7VSvVunsVkXotJ4VcGCv3PQk%253D&asb2=cnFXBOYJGmHbu37r-NYn77DfQHMeg_vjhJYc0ZhTZPrXnkr-SEn1GKZaZQFfjiut
"Домик для грызунов, 13 х 13 х 8 см",327 ₽,3 отзыва,"14 мая доставит Ozon, продавец ИП Коротков А.В.",https://www.ozon.ru/product/domik-dlya-gryzunov-13-h-13-h-8-sm-473181777/?asb=mOLt2BEX5pvp72gMRRyX2GaaGKcW8lbCxDZNynwUWiw%253D&asb2=0CyvJ9BLO0qggyFmaGIAnPFQQYKJR9U0TkQgnknr7L9xxWnAy7vng6eWa3LyDCF6
"Клетка-мини для грызунов ""Пижон"" №1-1, без наполнения, 27*15*13 см, серая",586 ₽,14 отзывов,"11 мая доставит Ozon, продавец Фабрика Успеха",https://www.ozon.ru/product/kletka-mini-dlya-gryzunov-pizhon-1-1-bez-napolneniya-27-15-13-sm-seraya-265649274/?asb=l1sWUjXWywp4e9PCt7cMUFi%252BoEfpch9nSqxUjgiagW4%253D&asb2=3ilxk0CTUfm2MnPWR0ft26FpstGdVR8F6eoNw1coJJpv_GmYuB2GBlJMrlc1dQGi
"Домик ""Пушистик"" 12 х 7 х 12 см",186 ₽,7 отзывов,"9 мая доставит Ozon, продавец MIR WOOD",https://www.ozon.ru/product/domik-pushistik-12-h-7-h-12-sm-474829736/?asb=j9zU1iqNhSFEdS9XMHXNDvfbifBqDd%252FM2x7I9jyFWOcu3NqGLi8OnxJGvlgcqocz&asb2=EDh5qgIcZVHx1glFFca4HQ3rM0PMtxvDEKN2AAoB3zTnFIR9fGEO0TLoe5FpjdsmRccIsf8dsN1Bow6K2tvlJItj5HioGCWuhoM52qcPmfhfO86kRNZdVg6HowtNclW8
"Клетка-мини для грызунов ""Пижон"" №1, укомплектованная, 27*15*13 см, жёлтая",670 ₽,39 отзывов,"11 мая доставит Ozon, продавец Фабрика Успеха",https://www.ozon.ru/product/kletka-mini-dlya-gryzunov-pizhon-1-ukomplektovannaya-27-15-13-sm-zheltaya-302401058/?asb=%252FpBhN7%252FJNRadAdt9ESBkVSLWMMvYQqnqRnti1prgpvE%253D&asb2=0t8jG5xmmD5oSHb0u1Bpg1JPItW3SwnWIAsYHcy3d42MmGS2UXbNXuPSbPtum_0Y
"Набор для грызунов ""Киса"", домик с горкой, красный",504 ₽,1 отзыв,"14 мая доставит Ozon, продавец Сима-Урал",https://www.ozon.ru/product/nabor-dlya-gryzunov-kisa-domik-s-gorkoy-krasnyy-523185993/?asb=YwwOX4PQ%252FAE2kkDOdrK4n3FLJTM92AJXZsV0PtbLU0g%253D&asb2=Ai6yax0iNB3R2fs_N-c-k4YUl5_zSPevrmGpGru_BTdX9tgCwtkaigO0XjUF9cpp
"Клетка для грызунов большая/клетка для хомяка/клетка для крыс/Колесо для грызунов,пластиковое, большое, d-14,5 см.",543 ₽,1 отзыв,"11 мая доставит Ozon, продавец AleksaShop",https://www.ozon.ru/product/kletka-dlya-gryzunov-bolshaya-kletka-dlya-homyaka-kletka-dlya-krys-koleso-dlya-gryzunov-501988278/?asb=aDJgXaFahjK2SbpR%252F%252BTdCg70z%252FlwgCN%252FfpwPKGdjIlYrGAi9xHixlzZNSEqyTOk9&asb2=8Ry7J7dlJA7hIXIiDm-xfgMHXrqdY1Ca1M_LcjDjzaoAIi81JaXSOGvbDuPtu5puz7DMjKQ9zawbg8pzv6Dox1SmrBzsDN1_sZmJaQlYjjv0JsBFSQ4snkI4NH2e-4QTtx8HsmRaujidxeBiUmLOpw
"Клетка для грызунов ""ЗооМарк"", цвет: голубой поддон, оранжевая решетка, 36 х 23 х 17,5 см",629 ₽,7 отзывов,"Завтра доставит Ozon, продавец Ozon",https://www.ozon.ru/product/kletka-dlya-gryzunov-zoomark-tsvet-goluboy-poddon-oranzhevaya-reshetka-36-h-23-h-17-5-sm-138450175/?asb=8hsKQX9K9wgsiWN9FqKSVBGKE5sPV%252B25qj30L5i0%252FiI%253D&asb2=gzffU4DTAMUngORkAHxyFoUJx6XbcaKOsjfsmEMI5FfNuEoAq8YkmyWnWXn8BPXR
Ferplast SIPPY Поилка-кран с креплением для грызунов 100куб.см,803 ₽,9 отзывов,"Завтра доставит Ozon, продавец ООО ""ЗООСТАНДАРТ""",https://www.ozon.ru/product/ferplast-sippy-poilka-kran-s-krepleniem-dlya-gryzunov-100kub-sm-278878758/?asb=mRNLiL8z%252Fu9qxLjnP9M%252FKg6hUj00WdeaWv1pwpm5WeI%253D&asb2=2TYvshl8_gxzz0xOfKJwdWt1XT6PKC63Gksz_n4dt-j3UvK1NyLHfPTSc-wr1IyQ
"Клетка-мини для грызунов ""Пижон"" №2, укомплектованная, 27*15*16 см, салатовая",780 ₽,4 отзыва,"14 мая доставит Ozon, продавец Сима-Урал",https://www.ozon.ru/product/kletka-mini-dlya-gryzunov-pizhon-2-ukomplektovannaya-27-15-16-sm-salatovaya-491294623/?asb=0pt1OTGNb5b8u%252B0A%252Br7ThRohkKxFhCVioXQzU8bLBuU%253D&asb2=E3-YmFyE5JqlauL7937hdmlJOaXBn0m5-cHyluYu7DqZ6ezNLlyfVVq7yBXm0LBq
Мышеловка клетка (ловушка),430 ₽,8 отзывов,"8 мая доставит Ozon, продавец уДачный Выбор",https://www.ozon.ru/product/myshelovka-kletka-lovushka-167578659/?asb=nvwgDZJqQZhUukCc30pCARalW9LQDAtTGqNq%252BrYVQn4%253D&asb2=0R1sqeEKcvqkiyFQeZaaXvqWNvQB50nlh1S7dzi-Vy_G85rZpcU_IBmqzcmzyNdk
"Клетка для грызунов ""ЗооМарк"", полукруглая, без этажа, цвет: желтый поддон, зеленая решетка. 080",629 ₽,1 отзыв,"Послезавтра доставит Ozon, продавец Ozon",https://www.ozon.ru/product/kletka-dlya-gryzunov-zoomark-polukruglaya-bez-etazha-tsvet-zheltyy-poddon-zelenaya-reshetka-080-138450179/?asb=9ZEDdyisb15oKbT0Z7PQre8sWSj6x7zCLcGnWoBM4Co%253D&asb2=d8ykGyY34CefgXHgUpLKusT0Dj1mb3N-1M91V0ZSEMN6s8SFPGSOQHlE_GfzGNyL
"Клетка для грызунов ""ЗооМарк"", цвет: красный поддон, зеленая решетка, 36 х 23 х 17,5 см",629 ₽,7 отзывов,"Завтра доставит Ozon, продавец Ozon",https://www.ozon.ru/product/kletka-dlya-gryzunov-zoomark-tsvet-krasnyy-poddon-zelenaya-reshetka-36-h-23-h-17-5-sm-138450169/?asb=9Pzxb2zzg8Ba9QmBQOPzvi2qIRTenAm%252FnEe0dKhlZnU%253D&asb2=swYVOgNii7CwcphAXqJmzrvc82On0v9aG5W3YCBx6wyDacIyuxoF739RuLe7SnvC
Ferplast Деревяшки для хомяков,297 ₽,3 отзыва,"8 мая доставит Ozon, продавец ООО ""ЗООСТАНДАРТ""",https://www.ozon.ru/product/ferplast-derevyashki-dlya-homyakov-278880459/?asb=rcsJjseMHK%252BVoEzWa8SIZXVcRksvM%252Fi2GdxaY1XnDAU%253D&asb2=XmU6ZAKkb3bAlRm2DTnoB2O2etNyo7BFe0MwCoyelGVkC-YZwho2EJwxxutZz75a
