Шпатлевка автомобильная полиэфирная Novol Professional Universal Putty банка 250г + отвердитель Betox-50PC туба 8г (шпатлевка автомобильная) 1100,485 ₽,5 отзывов,"Завтра доставит Ozon, продавец AutoShop",https://www.ozon.ru/product/shpatlevka-avtomobilnaya-poliefirnaya-novol-professional-universal-putty-banka-250g-otverditel-betox-542104774/?advert=kKKONHJ3gj_LTE4RHdhjrAuWxEkA3peu_3qf33nrueBpvOuw4mE22Q6boEp87uSe-MGagPL1hcfaIB_Z6Riyt3usIpdTkP9QNkC2uu7yVJfD5O9Qy8jw7sd_E8GpVSUdTtB5xM68KkurKPsmN1aISl2tCeMnKpVU8EUb24M2RFVw2e2J8Vk3ejig8QGqd9oxaONZfvt7IWt_Wx2ISRTAGzDyCUuB5Vq1YGAKRPHSzZ7rZUoaKPGth6JEnqsDYFpvJdwhoDswVy4es6si5OUM-NISD-tvuAL7fk5--tYEA9YlE7ra9SkPAoxJhz3B8_O5gySlvjbu4pBbeXsxrJumE-hUlrxq0TimNZ8XjsoLsllNi5X8gG0nsVA9cQmH55ZEBBq9cXqq9oyHl78YS2G2y3XGzIdixymVGck-FIMMV50GGRO66-qpiDLLHkfbi_PKJiMo2f-YJeKK-KNTg6Kvie-1TQvh8MQsqlKfrAiDkszjtVQ7JjqCIr3pprBif9DODwSXLBODBJuE0rKFf7LdmTGMiDm12ox6UcpoJGw0Vt7MhDxJt717Lo5ceSWGcbGv
Цемент глушителя Abro/ Герметик для глушителя,460 ₽,12 отзывов,"Завтра доставит Ozon, продавец СнабТоргМаркет",https://www.ozon.ru/product/tsement-glushitelya-abro-germetik-dlya-glushitelya-536073628/?asb=hafCyUhqf2qy0wbTGAkboj3oiVPHzg9uAGwympgc%252BMQe8brg9FDVAFRw4lFtL5XF&asb2=0naXf-KjW2wPv2ePVsG6Z2LyadVWav6damQMKhsivoTOxOMc84Mh_MNfALltlGRoDHV3a5Emy70zqAMx9IMMHJT22cTOQh92tXneS9qK0NHMUW-TRV-xGPHINpFi2UWJ41LJJidlCy0vZblmX-biVg
"Шпатлевка NOVOL ""ALU"", с алюминием, банка и тюбик с отвердителем, 0.25 кг",351 ₽,101 отзыв,"Завтра доставит Ozon, продавец ООО ""Партнер""",https://www.ozon.ru/product/shpatlevka-novol-alu-s-alyuminiem-0-25-kg-150787414/?asb=LkpRLcch2sKPgWfJoIakXkhAQqOi5aGkP%252FBxQpFMxtg%253D&asb2=sGn4bo33kB-g0Fr-okZUn7qweUM0Ci_FQ-pVwqTzGwd93lrOJZgeDngLskaGOoI8
All Клей аэрозольный универсальный особо прочный 520 мл / Клей аэрозольный для ткани / Клей аэрозольный для поролона / Супер клей для склеивания дерева фанеры бумаги пластика / Сильная фиксация клей влагостойкий термостойкий для ремонта герметик,542 ₽,62 отзыва,"Завтра доставит Ozon, продавец CityNature",https://www.ozon.ru/product/all-kley-aerozolnyy-universalnyy-osobo-prochnyy-520-ml-kley-aerozolnyy-dlya-tkani-kley-aerozolnyy-259672676/?asb=f7XzzzSwdeRVRRCez9Mw0CZEgZbrWMPyycGdsVNEAsCUnWwVp5tPpzci9%252FaGkofx&asb2=dh8DTwAnKDu0DD9r_fHUdBciSAU5yAHMeWYDaDn9db-M5qaghqSbn2viiNueCr3mJIQfhjgLqF3vFGtme65aYEvYKvP95qQbKwTFOEyNjy3_yERX7mWBdHxo9OUmAqgtmOJ1WZFBVoI7JFp_1Bt0dA
Клей-Герметик для Автомобильных Стёкол и Фар СУПЕРПРОНИКАЮЩИЙ 42г PERMATEX 81730 / клей для стекла,639 ₽,195 отзывов,"Завтра доставит Ozon, продавец IMG",https://www.ozon.ru/product/kley-germetik-dlya-avtomobilnyh-stekol-i-far-superpronikayushchiy-42g-permatex-81730-kley-293298043/?asb=2gcd%252BGBEeR2Dsv5U%252FkE9sfhxnZBHk31Yd3UIa1cl9AK9ShPi7OqWCL%252BUzExsgnc9&asb2=SoG9uBOffaY5MCZIRd11zxEZk_6vGPvhTZRhzB8_lj67RME0DJ8OPQTfsdMQWS5jmAIg7xRZxkSXOWDTkSmP0QW0TikL2AfR1eQ-gsVshlQGfHZAyBOupirnPvbbI22hFRVb-rH8HWYoT2WHvBKZpw
"Клей холодная сварка AVS (глушитель) AVK-128 термостойкий 80 г универсальный в виде брусков (холодная сварка для металла, эпоксидный клей, эпоксидная шпаклевка) A78320S",299 ₽,1 отзыв,"Завтра доставит Ozon, продавец AutoShop",https://www.ozon.ru/product/kley-holodnaya-svarka-avs-glushitel-avk-128-termostoykiy-80-g-universalnyy-v-vide-bruskov-holodnaya-540104073/?advert=YDsNtW249Khc5vSVzpXQgZ6xMxxbk6pct5AHZD62pinfjKxMg9pYx_wDXESEdAxGIG0iEDNKjeIKfr6RNl718_Fp5w1CGn4RB82bRIekePBCYoQYGgPghdzljCP8faUgO5uxN736uhir3Wswv2Vt0Km7nW_8vDeSGRjwxHsB0wEiQICwgiFnW2QLHqQkiisRdo7jcF-A2YQMIBFC96th5MAkupSQy-yFYLA-pLdgAqJ8oxWgNFA6cqr7cHI2mO3atTxO_d6Y0OacWWNvh4kha4gE4JtmAWHh1RgMKvXGqxVK39LCqSNFap1nAxXu03lXPYiDt7hcxXMXQu8grPxKD0MFZ79MNBYPNTq47FLPjmI9mXLgww40KC67mfvuHgQ44y0p4CDDqw4zCLTVRcPIWZHAq7VRESt9f4I-odZGDjE0kdF0ezjTPBlBD46MM9ouhhB-m0G65lpyW7Z78vMoFRa8HLiVj8usCA3k97xlS5CDasOW4aHIlrPmXitvD0S_c2wDCwre4I8xRKxQ8FkcmFTAudKjXrFtS5rSIjDk52KSycYGdOlUMQ0W3pJt5q2U
Герметик прокладок маслостойкий (черный) 85г. IMG MG-403 / формирователь прокладок / герметик,322 ₽,105 отзывов,"Завтра доставит Ozon, продавец IMG",https://www.ozon.ru/product/germetik-prokladok-maslostoykiy-chernyy-85g-img-mg-403-formirovatel-prokladok-germetik-301823356/?asb=enz2Ux9hn1QmVfIzQP4cnMVGzLHPvi8rH9UD0KyrkmkLjukEkpHx9E6CUyFVU%252B4h&asb2=Y5QoraxTIgmu6AgKsoCSLb2HBt5lar24lK6rpRidO1PM9VV8t-hx-Zd8gjzOydMuKu8EXog1QgmJ5BrabLOGnPIPWY8C7MIj5DgHTUtaf98kqt0o_gRGjHckK_fKCgvcouLt-BRWw9M81B79oN6DQQ
Герметик силиконовый Abro чёрный/Герметик автомобильный чёрный,351 ₽,17 отзывов,"Завтра доставит Ozon, продавец СнабТоргМаркет",https://www.ozon.ru/product/germetik-silikonovyy-abro-chernyy-germetik-avtomobilnyy-chernyy-362751435/?asb=%252FdUIyreh8hdAQjvCSsuEkXjYAZ9QZSN70%252Fc8KYd0sh4xGe72wE%252BujujojcmGseZQ&asb2=h7Oj9haCcU06Uvjv7-vYcRqJxAPuuOx4WSlsK0YrWcQFWrrGOe184Y9-yjFG12LHNjG7JN8o33Ex7ETR7f8DkAyryHdsuk-Ib83MiZvLTFC7stL0tzDxwvw0hpFp91k5qA-SYkaVotuNBz-_vU9-mQ
Фиксатор резьбовых соединений сверхпрочный (красный) 6мл. IMG MG-414 / клей для резьбы/ резьбовой герметик / герметик для резьбовых соединений / анаэробный фиксатор резьбы,284 ₽,78 отзывов,"Завтра доставит Ozon, продавец IMG",https://www.ozon.ru/product/fiksator-rezbovyh-soedineniy-sverhprochnyy-krasnyy-6ml-img-mg-414-kley-dlya-rezby-rezbovoy-308970733/?asb=7NlK589Ov6BnmUr%252BDYFZfeATcB%252FsKPgJvWPyWgG2P6nh7VT5ZSGoZZj%252FlI0Ufcyl&asb2=6-hqJzLqB7hrftks5dMHIbV-fL-SSw8UxSLOlxcxtWPhziqDEa6F46D41ZMn0b3gk0hkjg2CPYfs-2BRCg48GdYMvCEvStb0zmIxlRhWoSryvxbB6f26pUwa8KdHElrm4FMv5Jns9g-qeOwXw-Qjmw
Клей-спрей KERRY универсальный,469 ₽,99 отзывов,"Завтра доставит Ozon, продавец ООО «Торговый дом «КУДО»",https://www.ozon.ru/product/kley-sprey-kerry-universalnyy-327288327/?asb=kRlHPv6uOxL4FWOfr9cOlqFMQnP%252FHuNA%252F0FvpNdIIVAVuKB9NLz8fplnkUQVgP6d&asb2=vBhBmwbLcmAggcm0ZPm_0nCW0Zg9guTpm4Vh6jbtIWwEiCTFSo69h2jmluquN3Yd3JgW72YgakFtO2ri5OfwsesvsVTZHOdGmc5rUa0Mc_5Dp_P6f4eE6FQ6QFOShTOdaqJZV3jZtbVnuG9lW7xVNQ
"Герметик силиконовый прозрачный ABRO 85 г универсальный (герметик для стекла, герметик силиконовый автомобильный) Made in U.S.A FS-3200-R",521 ₽,13 отзывов,"Завтра доставит Ozon, продавец AutoShop",https://www.ozon.ru/product/germetik-silikonovyy-prozrachnyy-abro-85-g-universalnyy-germetik-dlya-stekla-germetik-526341744/?advert=8n6AbOLgoY5bak_3zfVZVoXOBOnhv2o0Fa-ByPOdXdacHd6wjJn3dQLFaQXAGe6gbe4hgerKQEUVgKTsLPWM9liDW7OlGXS7AITbXv_pyat19RJFryL-WC7OaPAWVZJMM88iw_6I2ERhsA5pgPXptu2trmR3nuOQsbQVn_Peme3QtBnMGmlZFmnMXBZSFL63QQZ9YO1uPXFfjigjP_LxC9IN_79LHGwkT7lGWgY2He2roANG3ordyymsrA9AJ-l9QEXSUAO0yVJEbgoHi699Hp98chZCh3xuBBxTEk26bmdBnjA00o1zpKTXF2zmyvaOZ9G5ub9fwRMU7VAX0Zhb4LVYOQANobkOgDFUsPdzabXWb5YZNydY5sWymZbhnEqhNoeHh4sSJiO1OhuetpoJCFgdiKY-3RtGk9CQTbnJuwyfNo5AX5RDOr3fBSGKVAUR1WCwJHmBlSVUQu4Cg_5UgySYSrItkssXp4Whd3ldT0mohFMpTfe37v28ozclAT18JPZiWx1SOmTnTlpx9PblprP0pS8IezHuuVPAFp9N0dOvi4DbmIz8f_Jogk9IEs4z
"Шпатлёвка эпоксидная ЭДП, быстрого отверждения, 250 г +отвердитель",302 ₽,9 отзывов,"Завтра доставит Ozon, продавец Фабрика счастья",https://www.ozon.ru/product/shpatlevka-epoksidnaya-edp-bystrogo-otverzhdeniya-250-g-otverditel-280328697/?asb=sxb1GDjOcKKEX7cNufyYXwOpJNsJRh1%252FGy3za4C%252Bi0M%253D&asb2=y-4cOw9ObP9U1CmTqpzDHp-BhfnQ2ay009k0nfuk-xpGfPJ-OwhTRL1-dk4yYDul
Фиксатор резьбовых соединений многоцелевой (синий) 6мл. MG-415 / клей для резьбы/ резьбовой герметик / герметик для резьбовых соединений / фиксатор резьбы разъемный / анаэробный фиксатор резьбы,284 ₽,167 отзывов,"Завтра доставит Ozon, продавец IMG",https://www.ozon.ru/product/fiksator-rezbovyh-soedineniy-mnogotselevoy-siniy-6ml-mg-415-kley-dlya-rezby-rezbovoy-germetik-301824106/?asb=QDVcBTkcxQ6OujeKWHcwdqtQmo6EZpwK9RiA8eblC1dDF8VPmDt7N2ckw3Aem7jO&asb2=bNJoPH5tZ3mXG85Juvp-VzoOY9pqkl-ydyM_APtlAMirA75SNraULrJ2R6H5Nj_WzFvlHaVA34GrxQLyoGFRtFs_Vn-q_uPE3Gzop7KVenuKx0CzaF5-xt3tR1NQdTcEq8O6gaYFW737w58ISY6vGQ
"Клей для зеркала заднего вида 2*0,6 мл ABRO RV495R",268 ₽,3 отзыва,"Завтра доставит Ozon, продавец MOTORS PARTS",https://www.ozon.ru/product/kley-dlya-zerkala-zadnego-vida-2-0-6-ml-abro-rv495r-482160090/?asb=9%252BvKl4ppXBRHw4uBuy9Vo97%252BKhKQj7UWqZUo4U292q3XhRd0frCtpzF21Q%252B7e2pa&asb2=XHoQA19b-S_9k_NJedaD9s9xuuGDSwJYnqOHoeNlhme-tXmY4qV4_Al05khWsfIuravA5X7PYdCeic_4Iya31Wwg3Zjxm8cPFTqCZbCPSL2i3MEJ0-kcv3Ne4C_n4MR72xBXubbFi72OsMRpJhGFkQ
Клей-герметик силиконовый (прозрачный) 85г. IMG MG-410,379 ₽,71 отзыв,"Завтра доставит Ozon, продавец IMG",https://www.ozon.ru/product/kley-germetik-silikonovyy-prozrachnyy-85g-img-mg-410-296209704/?asb=xvjI7ulKa%252Bnaat6hfbhVr5RXDXiIGebgpsr3%252BmtDnHrjhEF%252Fx6EMlssbmzUW8FuZ&asb2=gUmTyZ7kTPvfesqnR-DE2wECZvVyicF3xuyHNjEi9mMLTwbBND8-Lb4Cvw8l3mcxClc_eodwaAonTdSYswQzMRHbehAOBgFLpd6i_MOMfWqzj1mR6Z0qSNfBjqLRq0XIqS07RgNpoW8fYmPd37ozsQ
Фиксатор резьбы MANNOL M36 9925 синий 50 мл демонтируемый Fix-Gewinde Mittelfest (фиксатор резьбовых соединений) 2412/9925,855 ₽,11 отзывов,"Завтра доставит Ozon, продавец AutoShop",https://www.ozon.ru/product/fiksator-rezby-mannol-m36-9925-siniy-50-ml-demontiruemyy-fix-gewinde-mittelfest-fiksator-523270907/?advert=Nl0k-TZ8JjZDYW5dFg5ZxMAmI_sKj9cKyZGHBKh_ECfcza6sjfjPasTqzIvINURsCgYHen1Xna_lt1_xCh7fjAmLRG6K3chW_Wz7Mu780V0Cn3vNxeAqg0Qkg2MvCJoMBApzsNbQMqnt0bucNSr_Rn7GpZ0ETm7p1sTn4eG1_oGcnImahJIUaO5GsQr-mnjMfakg15JELejt7k59YcbqbtDvgGW2lYSZh0R6HcbrScBaIiXbTBnN9_mtVKWAR2J-uqWeH7Ry8e7V-jSTLfoVUekLjxJSuZF5Oulo0Q-mcAoUFbosU6fCY65dUYu5Lm40cEDRYBPYsWhhFbodxzeEy8HLA2Iyz6SFF5ZB1hDSAv2wXSb7ZcATAj2WCdpNZInjYHeA9M-3hY595ewVxFHyO2XgHJh2SOZ2b51ou8hlLuVixCKDSTIhnWJq_abGcrRTGjVdAJNMW0scn8m0N5d6YPRK3xzSyuWml5qnMaE5q0kX9rBdRBlt0K2TiMc_GaQAVb5_mklbks5n6fA4N2xYsZtwRSaEs9A3QN01PjY_7dUeMPJrngERaCYHrCzyNqqg
