"Когтеточка столбик с лежанкой 54 x 30 см, бежевая, джут, с игрушкой, с мятой",849 ₽,49 отзывов,"9 мая доставит Ozon, продавец joyplus",https://www.ozon.ru/product/kogtetochka-stolbik-s-lezhankoy-54-x-30-sm-bezhevaya-dzhut-s-igrushkoy-s-myatoy-489069741/?advert=olG4i-qRB3cTqx9r1bdLlrLftaKYoS6mGv9GsyXljSA_OOrEc6G-uQBR-7ZX7g1qfsjw2CpgDR89o8U2cUf1JojsrOdSgThf1bFIycULtW-JbMqBZB0mo4WwqBSuJW3Tmic3oDaUJGVACwS_qNkkOyiguM-7t-5tUPr-VlIs90tSDs-H2z8NyKAEQwnJbtKzwgLT1MQ1wHB4MYccHVH7GpC7bk9028JVkXBmOsVMSWFPald5ufftUPT_jFeBxIdDA9d-8XUrzGz-GatkJ9ZXZ5gY2ngiLUL20u2SVpegphnOTjhzPS10rFcLD1uOS-oPR20qG7C6h74u0g5eT0hFfBVrGmX-QHcYbVsFwBtLFKkR5-HeWmtrV4mo21xLIHgxLHvVJCIs-19t4NJzyv8kna1zvx9EEOLPZjmxzAAW-mE1BA9B-cAlqWdbNn1QOtTRCA2tU4ZvOWBX-uJz5parTv5WfoFtPXyOoM0CIt39dZH-nrlevYHw93DmgphvTooqKS3i-YUObsf5vnKe0JHTOcy-VFF_pPncjc47vW5aBQ-gA1PlLmi_J2AxcfKs4EJX
Когтеточка столбик с площадкой / 27х31х57 / Лежанка / Мята для кошек,659 ₽,82 отзыва,"Завтра доставит Ozon, продавец BOBRIKGORA",https://www.ozon.ru/product/kogtetochka-stolbik-s-ploshchadkoy-27h31h57-lezhanka-myata-dlya-koshek-366597229/?asb=KjK3Vn2ehJIVzOLk%252BKp42HObHMa4RZWP4Kj2XYBbaU6beBq%252BlW%252FPtzlfsPNoCZXC&asb2=sa4Dca2RKbF6ZOraotU4ljp7kHvoreW18sP_LolP7l8wbOXGA_AWQEa7yfp0fDtI-Aw3ki2fY_M-a0us5MnLgDGTG3VxmQ0hjbnSTOX5g0rfsUIm8ZcsT8u74glp0qoxyoh28e5tUi0kx3e8GQqGDw
"Сменный столбик для когтеточки 53см, резьба М8 (8мм.)",470 ₽,53 отзыва,"Завтра доставит Ozon, продавец РУМБУ",https://www.ozon.ru/product/smennyy-stolbik-dlya-kogtetochki-53sm-rezba-m8-8mm-492636222/?asb=pA4qI9c6spKBBzVUjshu3gqlH5UkziJyso0YFBzUsrofcpWw36HZQjpoIA5GUMNe&asb2=05tvvn3oSD0XQgh5JFMtbPFrjmD3EQ18tDotNLbslN0p_jc4nnmO5knv86lB6l94sDAwBacHuU5VEWo6R3zo4ewRvzCevOSQZtZ4ygo1_kUqJl759ndw5arIumV13Y5rpO0-iwADnZpzfXCb84A-zg
"Когтеточка для кошек QVATRA, когтедралка из картона 42 х 20 см, коричневая",149 ₽,97 отзывов,"Завтра доставит Ozon, продавец QVATRA",https://www.ozon.ru/product/kogtetochka-dlya-koshek-qvatra-kogtedralka-iz-kartona-42-h-20-sm-korichnevaya-512788626/?asb=ga1wlmkVzAGpNzN4LRm4zTSVCZDmfQWiIcKSJ2F7uIw%253D&asb2=vJXZ__kdctbmFk9BmxAaVwsNqv_Km0SjesD0ALPX9hqvLcKrXQsCMmtZwUgr3kdL
Пленка защитная для обоев и мебели/антицарапка/когтеточка подвесная для животных,282 ₽,20 отзывов,"Завтра доставит Ozon, продавец Джесси",https://www.ozon.ru/product/plenka-zashchitnaya-dlya-oboev-i-mebeli-antitsarapka-kogtetochka-podvesnaya-dlya-zhivotnyh-519314600/?asb=BujqgMXgTIaZ7jbPezHwruWqVBaTdwOU7tDIwDaZVQI%253D&asb2=C5PalEN3DgODzVrjFALnCGRU6i9SpykbGfCmnv5v-GiLC9qez87h_NTVkVuUei4l
"Когтеточка для кошек, ""Не Один Дома"" Волна, черно-белый, 45х20х13 см",725 ₽,42 отзыва,"Завтра доставит Ozon, продавец Не Один Дома",https://www.ozon.ru/product/kogtetochka-dlya-koshek-ne-odin-doma-volna-cherno-belyy-180325348/?advert=xjMVvSuDjp6s04NY2JrAc7yeqnMfE3b9Ndr8ezcUD28-_W6djY6AzLJiD8495PLCYQnoSsIpKeDv9Mah7qIhFX74clqP1ernjt2W7XCfGXd1a3lfn6MInhZ31XPLr2ZFebJ8j8t8QKrTmEZzgb799Oh2YW0LO4qQo7F2RSvPYljrQkDkQh9yf24qcGBNOhA8Oswlf8gZRG5DdWhV7pxaK6BWPD0ACBU6Lr9mfCCP8n9pkdBVRsYlmuP0_7ROT4XMO97cDK5McrzqPNZfgXBiOlo3kPghLKNu6PfSASHshe210fcUyZ9L7tyvudG70mio8nyXN1wmg2705tEsgGBfMG_176HS7hxPDMFvrQTneWx3CCCdrqyL3dby2PMsJR5Zget8rkQNXWRHwuiuNqflro7kT4s2aFiTsfToXLvTLiv1KDux_URyeGx7J8y9QxatxpRche6RXiOcuFzDamXxrlClD0M78Sisgz5M-iSOiSktg0Z36MxvhRcmRyXiFt3ftnSmfiUBxuhLw-ayEz77ax4Sej7u9HrUxiZuWZhnC6RrvuxFVez67FfN03ZWxczj
Лежанка когтеточка для кошек КотоКинг 50*25 см / Серый ковролин / Обработана кошачьей мятой,585 ₽,84 отзыва,"Завтра доставит Ozon, продавец Дайте Две!",https://www.ozon.ru/product/lezhanka-kogtetochka-dlya-koshek-kotoking-50-25-sm-seryy-kovrolin-obrabotana-koshachey-myatoy-490862610/?asb=re0ZYybAcP4ZSF4cs%252F1V%252FaFIvTzwfMDFf5h449xEYjw%253D&asb2=-AqkbBuBlIZRROBy4JLxAy0xVvnxovqulGHG-WOZ-hVPBzmRtlchJ8blVxSQ0-Vp
"Когтеточка для кошки, котов и котят с пропиткой и мячиком угловая универсальная настенная, 50х25см",370 ₽,32 отзыва,"Завтра доставит Ozon, продавец CAT'S TIME",https://www.ozon.ru/product/kogtetochka-dlya-koshki-kotov-i-kotyat-s-propitkoy-i-myachikom-uglovaya-universalnaya-525425698/?asb=yAqZVOgzG%252FB5LsG1G1d%252FL19mzwLvat67ex5iYQbtOME%253D&asb2=2cLkZTcQ_4-Apq3G0BFXH2sycHKemMvtf-1HOChI3NTmmMqOgUZm0GwMIhqaBJGA
Когтеточка для кошки угловая с пропиткой 60 x 28 КотэЛюкс,339 ₽,2 отзыва,"Завтра доставит Ozon, продавец КотэЛюкс",https://www.ozon.ru/product/kogtetochka-dlya-koshki-uglovaya-s-propitkoy-60-x-28-kotelyuks-563034532/?asb=Lcd%252Bd0DhU2YpwmXD5sKLE7uEOuBkJa2ytU%252BTgUZDGNQ%253D&asb2=JJ4Ruvm43tUQ4S1w2-4H8YKAfAqs2m5z6ISHg2WasPySgNLeUGXMcpfVXE_Ool_6
"Когтеточка столбик PerseiLine, джут, с лежанкой, 54 х 31 см, серый",786 ₽,53 отзыва,"Завтра доставит Ozon, продавец Burov",https://www.ozon.ru/product/kogtetochka-stolbik-perseiline-dzhut-s-lezhankoy-54-h-31-sm-seryy-510502519/?asb=L%252B2tZYwwbDI66mhBHeqY%252FPLiX%252FjtRApeoZRThn7Zm3M%253D&asb2=KDyVrichxduE_hgZZRSkT1PZDZXMWNs1qrxLSUOUoS90Rl5TmJPRZv9a4ZitBq_R
