"Масло лампадное ""Высшая категория"" 2 бут. 1 л.",530 ₽,33 отзыва,"Завтра доставит Ozon, продавец Благосодействие",https://www.ozon.ru/product/maslo-lampadnoe-vysshaya-kategoriya-2-but-1-l-255125371/?asb=5Y3tz8SNqEdkpae7VWXgKb8vj%252B%252FFr7HUqg2Ht4OMPBDQzgCWahngNhcyTcL%252B70Ao&asb2=WdwkqFardeRtdpYdKi5sTsuuJDnBSPuy-hiyxO1X57ZHpdw4QL0TfrNMgt-vD2XeQeSlnG0KSjlHcIZVGsqpJMUAYapN8fTgQeOdsHv2r42Zv0koSdfpKsz9TTgr7zMMkiyZzSkscIahPv9SfX-tFg
"Масло лампадное вазелиновое с ароматом ладана Афонское 0,25 л",189 ₽,4 отзыва,"Завтра доставит Ozon, продавец ""East-GF""",https://www.ozon.ru/product/maslo-lampadnoe-vazelinovoe-s-aromatom-ladana-afonskoe-0-25-l-537042635/?asb=CEVVaSwR7UjePadwDbvXIyAWL3grdq0l1fICkxSrXVE%253D&asb2=3YeMXJtIw32F2c-HsnC-gmbPHTPEHKr09jPTL0Pb5VMGKhW5dakFjvCcfNjNh1br
Душистое масло c ароматом мирры из монастыря Самтавро,570 ₽,61 отзыв,"Завтра доставит Ozon, продавец Издательство «Апостол веры»",https://www.ozon.ru/product/dushistoe-maslo-c-aromatom-mirry-iz-monastyrya-samtavro-311847685/?asb=4JUSf7lXQGS5kJhb439mgy4IeA8gappKjAC%252FtIow%252FJCf3cOXkwCDs4c3VpJeDPjp&asb2=55pRhamg81YeLx37yg7UBmWLMSUPH0Nfq-DYoT9iem9iWplsCWPh11JNEq9_qcQfnReg1P6CTe7wskgEzyng14a46kQpReZnO1XokXiLEeMCrhsLF8IPKNK9gPfz3_cdogT4WAXlYxU_QpKjxBYCoQ
"Освященное Масло от мощей святителя Николая Чудотворца из Бари, 25 мл, 1 шт",941 ₽,2 отзыва,"Завтра доставит Ozon, продавец Миро и Масло Св. Николая Чудотворца из Бари",https://www.ozon.ru/product/osvyashchennoe-maslo-ot-moshchey-svyatitelya-nikolaya-chudotvortsa-iz-bari-25-ml-1-sht-537019629/?asb=Y3XvEy2qDm1ca%252FND%252FwIcfo7BUwLOW%252FZl0J5eObwjrOM%253D&asb2=mw13Bx9kuTmEGB_hdcVDrjkfg8YaceSIMNMsMbjLjH2PysBJGgUyJRgLco2ypeXS
"Масло лампадное церковное, вазелиновое 1 литр",360 ₽,15 отзывов,"Завтра доставит Ozon, продавец Богослов",https://www.ozon.ru/product/maslo-lampadnoe-tserkovnoe-vazelinovoe-1-litr-527932330/?asb=6SAH8QJLhpsmTTiNWiaQqyYlLJEf6Yyreoyiu0Ra6GA%253D&asb2=Izzj76xibbWwAad7eEW_RP6KFRqKpgdoGKbJicHqf2D615ieAFjos6BYbAchM6uT
"Масло лампадное, масло церковное, лампада 500 мл.",225 ₽,3 отзыва,"Завтра доставит Ozon, продавец Mendeleev Shop",https://www.ozon.ru/product/maslo-lampadnoe-maslo-tserkovnoe-lampada-500-ml-490435691/?asb=K%252BlKGI8nliOGfDZZ0iLTe7s0wvw7u4zydHFA26NbOrA%253D&asb2=jyvZdO_T7PyDlBO9A0WwQVqlqepUoEGGasBeBarlfNSgFXWZ5XiBGJhq6lhmPx0-
"Вода из источника святого Давида Гареджийского ""Слёзы Давида""",342 ₽,20 отзывов,"Завтра доставит Ozon, продавец Издательство «Апостол веры»",https://www.ozon.ru/product/voda-iz-istochnika-svyatogo-davida-garedzhiyskogo-slezy-davida-336605919/?asb=r%252Bf%252BrzGDG8ty6epkGBSQU%252BlD1XNI6r33DBYj4fkP%252FlIq4fR4OFGuDW%252Ba0CGAmpv9&asb2=8CeEDs7f1xFvDRERT57_pBHH6s3txfnuVUBxlD8y1XfMEXG-XHRUeC1V_uojRn_ULsvsFgyRGo5adjHduZDAGEF9tnLfG0__jzqj-hfjaED9-QmgA6_hiUCDqNc3KORj-TaSLO10h7wP0JMAZd1G6g
"Святое масло от лампады, горящей возле раки прп. Гавриила (Ургебадзе) в монастыре Самтавро",276 ₽,47 отзывов,"Завтра доставит Ozon, продавец Издательство «Апостол веры»",https://www.ozon.ru/product/svyatoe-maslo-ot-lampady-goryashchey-vozle-raki-prp-gavriila-urgebadze-v-monastyre-samtavro-219857604/?asb=v1NZzPrgjkdpC5C42BvR%252FMSy68YXlMG66TjjM9a%252Falq5hTTo88NUbQZEmC2CeC5I&asb2=w6B2VJQSjcVyIu0IvSvUdPaIEN9hBSI2G9fe2S9CcDvsctkIjU7X_34U6tII_YxmC6mPUwIJi1Vj6VIiQhZwoIGy3a0qmWxoOOYYYj9cYd4r0Gn91GYBJdbAtmuVOlXRocm8DY3of19ArLspkiRSbA
"Миро от мощей Святителя Николая Чудотворца из Бари, 25 мл, 1 шт.",941 ₽,1 отзыв,"Завтра доставит Ozon, продавец Миро и Масло Св. Николая Чудотворца из Бари",https://www.ozon.ru/product/miro-ot-moshchey-svyatitelya-nikolaya-chudotvortsa-iz-bari-25-ml-1-sht-536950803/?asb=CWWB8vEmE3dyDAUmS4doeKfG7vu%252BEi0N2sm%252BG8tnJZU%253D&asb2=2lDk6aLP_MR2_bh25SqziaUlYIRy-PDC6R9601K2ho9XoK0xaATdrnkXRgnevOYd
Святая вода из монастыря Самтавро,333 ₽,56 отзывов,"7 мая доставит Ozon, продавец Издательство «Апостол веры»",https://www.ozon.ru/product/svyataya-voda-iz-monastyrya-samtavro-319991638/?asb=TRS3F9Ia4fEFlKX5Q7tT6pDJ0KIkFBIjBqDLhs9bAayViwJSaM5nZHFA%252F4d9W5SE&asb2=3hS97B-gezGL9H7QXV0t3jvL6myUbpwHdm8YRsOFPDqErhL8vrwjnmpRYL99rzPMhXrQZUMGvUBXvQBmGLw5rVlqcmhfKdeEeBTVpM63xh9jMR6bKcg2yO6VXBo2qS_DAA1COdHIEyya1MIzS0c6LQ
Вода из источника святой равноапостольной Нины в монастыре Джвари,525 ₽,8 отзывов,"Завтра доставит Ozon, продавец Издательство «Апостол веры»",https://www.ozon.ru/product/voda-iz-istochnika-svyatoy-ravnoapostolnoy-niny-v-monastyre-dzhvari-380641478/?asb=BO%252FuPAvlOBWuur2G4X%252Bt7D6fgRPwoZDnQTH0Kn7RpnHtiAg%252BfxHFMjAwZj2D8PE8&asb2=sJIbxdpbnRYGGaS0Zm3ERftklktVANTwd7IdVZWkUDHm8pqJAPBr-T92KPHRkF-XB5hDP5KXttdSxayZMTxYwaJUfgXsD15isQUIEvIXfIF1AqUgOz_VvrZh7BdV8yOH5PMZPPG-5UkC6_1JC3JPnA
