Поролон стандартный мебельный ST2236(1*2) толщина 10 мм,507 ₽,91 отзыв,"8 мая доставит Ozon, продавец Мебельная фабрика ""АтРиКа""",https://www.ozon.ru/product/porolon-standartnyy-mebelnyy-st2236-1-2-tolshchina-10-mm-313414675/?advert=n_94sllMpxbH4xZ0GKsZhntBgxM7amOLqhtnAbTXqBKnxzqb20Gsr9lKD3TDLjFJhjArXDC10xW2vs0hqXzjlJqYoVfQvWMD4EzLQe8HBwSjlawg6h_9kFMQaWBIQ5noQ9l7lpg5d1nFBKqQ65wcTxQZB320NQz-EIhaCE3DtZiJWhtrmhJ2XYMvBxSjfPt1wJDsy8NZy_VczohXExCzIwvR93N-M4wfsTkfDsDGU719CZgdV4OmZiJWKb9IauzHdQF0vxujqHSi4MCSLIdUDpuKMqp5b_gQVd3b1u7wmWBMRvSHmCy80uVgiF5uSXrdn_RB0iWNmTdF3d6oS7FXYXQNBBqgSs24yI2scV9I2ygfuKPTZTEFUQxelpKLPJGfjLvIagVPAhmTvrzzbBjsA2FMVnHs7iu6wsz1QQQ0BkzXvuBwPF8FDdMLVRmrP9oZAqhTfAu8gpl4unI6TEPxGTvHassvYbck7ympz2FebAl79glQpzR-LS4NkqWeDjP1BRmf9WrmyDv3kNwMdMlwfynyYTv83RkLGpjj_o9l4boTrcN82BfEisKordxkY9m4
Поролон эластичный SPG 2240 1000*2000*3 мм (чёрный),360 ₽,150 отзывов,"9 мая доставит Ozon, продавец Мир Поролона",https://www.ozon.ru/product/porolon-elastichnyy-spg-2240-1000-2000-3-mm-chernyy-207641824/?asb=3quOME5S1SDwbCN%252FVb9akl6SQB5%252Flc%252BynS5FTNokGUaYjC%252B%252F%252BqYs44TgOdfppb5B&asb2=LKw4pLVo0JD9QW7iD61iJMccL7I9VCZVPVS6eNoXoGpblKJPC69Uhbk3ppcyXE367XvckyCsdBIW-bRC-o_CegxbnI_zhKr4rtz_N-SdZc_GmAPV4i3ZL-iu6Urqn8Z99xnC6itJ-2p7gYY2McglyA
Поролон стандартный мебельный ST 1828 (1х2м) толщина 5мм,349 ₽,164 отзыва,"9 мая доставит Ozon, продавец Отделка Маркет",https://www.ozon.ru/product/porolon-standartnyy-mebelnyy-st-1828-1h2m-tolshchina-5mm-259670431/?asb=TTK3kZ9K0Ghh1YA%252B%252B54%252B8aS83Gr6tDwRZjnsB6olSPnqk6ySWqh3yu30NkeuKBKN&asb2=BCPqDONNZqaQTBhRsp_jl9nJGElg14EmJlFICEPAL-3i3MI0YVrlpFpXBOmuIKYSSHv5dwEJeE5uDQMYnEvnTla_9vx8FbEUYFu339qI06kg7IrUkkBhSc_8ZpM-bpQvZKdHQM8XrEqeHgXtN6xn8w
Поролон мебельный 10 мм 1х2 м,440 ₽,87 отзывов,"10 мая доставит Ozon, продавец Inter-Seller",https://www.ozon.ru/product/porolon-mebelnyy-10-mm-1h2-m-488699396/?asb=gfKUrRmrn1q1EYRrg0qVY5SJpNOe29avTZukf2zL8EoUCKnulhw1cQmh9KR7fTw%252B&asb2=0S8GUXMe8NOwC6_onNg09N-7TYXx6RIhaQca994K9TEtOcub60O_bpLS2OYRCwTGKmn7pxr5QcZbjaGBREGJvMXsxfJSgtAwinKFkdYuHeX_nIy3pOFcO9AHkGHoA-CedPfR8Q4X840o4DEhAGgHkQ
Поролон эластичный мебельный ST 2536 800*2000*20 мм,730 ₽,3 отзыва,"9 мая доставит Ozon, продавец Мир Поролона",https://www.ozon.ru/product/porolon-elastichnyy-mebelnyy-st-2536-800-2000-20-mm-550451706/?asb=w1QHIwj4b9B29UqKP3BeRWv48zArwgh%252Fn7Fxk%252FeAak4kAWnubXgC0B7fNvQpH1qc&asb2=LnhGJ0Yf4W2P_lcmwdG387oGKj2qN_0agcFLW-r1r34KVe1eyVY4NOOXK8rxHA-xQIalk8FhPyWLEzh6aYrvnm2y-BoIKDzvlf1YwYzaLq1CJuLVutbSrl7YOZGkePxA
Поролон мебельный 20 мм 1х2 метра,773 ₽,87 отзывов,"10 мая доставит Ozon, продавец Inter-Seller",https://www.ozon.ru/product/porolon-mebelnyy-20-mm-1h2-metra-488708089/?asb=PZOPF9X1hmzdoBUqQRD%252FlT1PNz5y4GISr%252Fx1NdbBB7G9Vwpt%252B62Mctpx2bfmqbgj&asb2=Bkwoq2eLvO74PAvD2zEO3vMFK5ubmmip7h2FzQ-T3APj8GtE4BH64JhX67u0TmiJZhTB_u85P1UI5h5Dqg-hbvqoN4td2U5PoUroSomm4GDwZ9MikKwGNWHXt2Eii79R8SrNL6Wlk09CcjIL7f9hpA
Поролон стандартный мебельный ST 1828 (1х2м) толщина 10мм,419 ₽,164 отзыва,"9 мая доставит Ozon, продавец Отделка Маркет",https://www.ozon.ru/product/porolon-standartnyy-mebelnyy-st-1828-1h2m-tolshchina-10mm-261554805/?asb=4smvTtC1f5MLZNpApMDRdrfRe41Cdo3jiChRmUmKdZ3ewt3k9uEdrmj8QhdEnAkj&asb2=taWZEk999WaTNgpnqWGzf0ARi3ypYDH7MPGeu8Tn8Wlfn04xzP1KZ45h1zYekX_Luf_yGQkvGGLUjiEhUrTPIH8mQrXBO82x2AoZ0F82ZrcA8maHagfC_0km2E9GfXylqbZ9MSxgATQ0d47f2MYYvQ
Поролон VE3015 20*800*2000 мм с эффектом памяти,840 ₽,57 отзывов,"9 мая доставит Ozon, продавец ПолимерАльфа",https://www.ozon.ru/product/porolon-ve3015-20-800-2000-mm-s-effektom-pamyati-178183177/?asb=CG56AT3%252B%252Fzn3s873JlmS53YP6%252FtLrAyrSRUD1GGhN%252Fs%253D&asb2=sCWa_LZRnZcBTces8cUXsiVR_tA2tg0eHK883Z9AyWKazKzd-37-2xAP6LCL2NZN
Поролон сверхмягкий HS2012 30*1000*2000 мм,890 ₽,35 отзывов,"9 мая доставит Ozon, продавец ПолимерАльфа",https://www.ozon.ru/product/porolon-sverhmyagkiy-hs2012-30-1000-2000-mm-173752601/?asb=4gNmJIgxNNDWiSIh4af%252Fw5b1WccXf0%252F3qkJtwq%252FK69U%253D&asb2=sMTGNeGY0lSewuAzEvqozzuG9qCzLiTz9T-47D8dHJN-SEc84MInyxS5Tis5lcAw
Поролон эластичный мебельный ST 2236 1000*2000*5 мм,352 ₽,13 отзывов,"9 мая доставит Ozon, продавец Мир Поролона",https://www.ozon.ru/product/porolon-elastichnyy-mebelnyy-st-2236-1000-2000-5-mm-260993722/?asb=UHGZrXQR1Io77FSJGv86jXItxkl0zzdabvl5lECpM5cZze%252FRsY8bC2YGLBJPjG0z&asb2=Y9bDcg7kbKYFMLXJ9-QwVjrDtHGqIdK25jIljcYT4z3rpCmV-KHcJdhLMPbhe8bzV7WjE_Y2mmVobr8YMysyAIPyC35KDU_dSw8WP1FIJuAB64iqV_Dv7OR5p83R4CRn
"Поролон вторичного вспенивания - 10x1000x500мм, мягкий, плотностью 80 кг/м3",392 ₽,22 отзыва,"8 мая доставит Ozon, продавец Автоточка",https://www.ozon.ru/product/porolon-vtorichnogo-vspenivaniya-10x1000x500mm-myagkiy-plotnostyu-80-kg-m3-388077146/?asb=pidHrb%252B78%252FUM4QSWm%252FHaC2POiEqExVexX%252F%252FskhKr6VY%253D&asb2=w0ODX5pUFkUqTcSHwcoK2vXnMqG1R3aOeCLi-IaZ9hWrka5U-fuE0hP8bNJ2VWuY
поролон,499 ₽,1 отзыв,"Завтра доставит Ozon, продавец ИП Груздева",https://www.ozon.ru/product/porolon-366807567/?asb=jgmusO%252Bsdt8eQ2mp5KUfwKJvsHnNcA2kOkucjWI%252B8Sc%253D&asb2=VlXEk85A6u6F48lpIIoZO5wcc13sInbQTFfozItVC6x757N3_q9HJvbzvFvmSsAm
Поролон мебельный 30 мм,1 049 ₽,87 отзывов,"10 мая доставит Ozon, продавец Inter-Seller",https://www.ozon.ru/product/porolon-mebelnyy-30-mm-497600992/?asb=rXHr04Yz%252Bfp5qYsLS0zMK1H60UWLmUFKoO1tIJWHKbAYYAds9d1uHrkMTEA4kMXu&asb2=yLDbElhMI8vZiJ7aOgUNslXy7L3fkBt3ONnnNwqtV4Lz2WfPMlBXOG5T9IVOBcl-ceiMvf1j9OSU2Demjct45geT-5nSMIiJX77GvfvFImAE53_bNoIQU4tnWO38XVEpxkNsXAnapaqTGmVMLB7kWg
"Поролон вторичного вспенивания RBD-100 10x1000x2000мм, сверхжесткий, плотностью 100 кг/м3, разноцветный",999 ₽,56 отзывов,"8 мая доставит Ozon, продавец Мир ткани",https://www.ozon.ru/product/porolon-vtorichnogo-vspenivaniya-rbd-100-10x1000x2000mm-sverhzhestkiy-plotnostyu-100-kg-350212930/?asb=HdqmbHxXV2a6OSBcZ6wHmQsOpihGBBZMepRVAL7T%252BPc%253D&asb2=5AoWy_8P4YeaqHlnAwIA5yHUbpTyyyw4FRhuc9g_LwmFlxii2FMxveChitk7nT38
Поролон мебельный EL- 2240 повышенной жесткости плотность 22 кг 20 мм 1х2м,944 ₽,7 отзывов,"10 мая доставит Ozon, продавец Inter-Seller",https://www.ozon.ru/product/porolon-mebelnyy-el-2240-povyshennoy-zhestkosti-plotnost-22-kg-20-mm-1h2m-501645616/?asb=FWoTLyhEoGgdDQcB56mBkrC9oboUWxdFXwlxs0uBA9ERCcJyYfMlZfcUgXNC5bvm&asb2=0LTR7bgN8p3OdGJQv47j3Y3jjEPFNXylUqlIwX1DGOiT4_i7D5qfFbwOhc6w9Y8vUMYFQJBiW8F4RSgh8fSEDRUwU6kcBCQQOQlV1jKcLnDclZvEgXhWxUd21kkkFy4XfGj4stWcTMH4Wvjdis5BnQ
Поролон эластичный SPG 2240 1000*2000*5 мм (чёрный),449 ₽,39 отзывов,"9 мая доставит Ozon, продавец Мир Поролона",https://www.ozon.ru/product/porolon-elastichnyy-spg-2240-1000-2000-5-mm-chernyy-227713088/?asb=jReIESnUIVwj1OyI3LrrJBEmPoMPDvfffORCxaZ7YPAD92KmEb%252BMXfZP4ElPeRkK&asb2=XBLOVvRIgB-N1t-CZRWOvOsi_B6Z_-zG-giYPlYDMM0GkSezsDmMUY_x8qn36A7YDu8XbHO5zLol5s-a1lcyNWX7UI--EOFTm7IVeOwEvkxXtJZyXEsFxX_6aGeKgVtP
"Поролоновая крошка MILA 1,5 кг",442 ₽,7 отзывов,"8 мая доставит Ozon, продавец MIELLA",https://www.ozon.ru/product/porolonovaya-kroshka-mila-1-5-kg-511371736/?asb=h41ZjS8d3LRGu4D5SGpxgqN44e8w8Wkv0XtrV1sjQnw%253D&asb2=wJZ-cFT_0JXF_79-7eAPyLRM-xpVp6YKQijwyg99v-NyURMqh01YkluQIU_vgBT8
"Войлок мебельный полужесткий толщина 2мм, ширина 210см",378 ₽,5 отзывов,"10 мая доставит Ozon, продавец Айхал мебельные ткани",https://www.ozon.ru/product/voylok-mebelnyy-poluzhestkiy-tolshchina-2mm-shirina-210sm-497314692/?asb=mJynPnTORyXDD1W2i4fj1KSO24O1qT06mgc%252Bsonb6g%252B53t%252FjLVJO%252BR3Uukm5odkD&asb2=wsc7W79r2dwniWVXKSNJQl8jGQpMZzzmwMNjuDlrDu464pmQDITHXz5N-NB8YILvXHBLuyWXeL6HE5sHj3m8TzRaW9kIwbECMximkQl1x93bJpF4Snl9hfQ0eypFQ2VjshOsaddalimzQVOr0MtaDQ
"Кружки Поролона 3 см толщиной (10 штук) для поделок, набивания и различных изделий",190 ₽,16 отзывов,"9 мая доставит Ozon, продавец KRUTILKO",https://www.ozon.ru/product/kruzhki-porolona-3-sm-tolshchinoy-10-shtuk-dlya-podelok-nabivaniya-i-razlichnyh-izdeliy-300340637/?asb=Mtpm%252Ft4RNBQEQPbBlBjx%252F7VYcoxt%252FvTJy8EtrvTpREwpylMip7CmwO4eq8MUarbT&asb2=HSEK2G3xRWU2r-wTkjWYMs4rfEHE3xUuJsc1uowzX76ReXUjZV5oKxdeRwV0iDd25nNSpCC7En1WoOa3smzh-OV7yqD0VccAx6TbYqxN6dg83P0JvmC97mZklzSWQb7fXtGmkGwXl47hxsO_uLM8nw
Поролон стандартный ST2536 20*1000*2000 мм,950 ₽,147 отзывов,"9 мая доставит Ozon, продавец ПолимерАльфа",https://www.ozon.ru/product/porolon-standartnyy-st2536-20-1000-2000-mm-178489750/?asb=in8BDFobZiIG%252F9p7URFLJVKFCE%252BDigdC2ThQuOVwq2Y%253D&asb2=4CYMijMR-_szsWPidky8MH1O_9LGd2ctILGlIt9-IbqpobBAzRac4IIRgBQ4zx94
Поролон сверхжесткий HL 4065 1000*2000*10 мм,790 ₽,14 отзывов,"9 мая доставит Ozon, продавец Мир Поролона",https://www.ozon.ru/product/porolon-sverhzhestkiy-hl-4065-1000-2000-10-mm-262540657/?asb=wtES4Jr%252FSKt5v7YMvsEIkQxTUDHcK9IE3gVrZlv5aJx0FIBsYpk%252FYaqS5hOmawgx&asb2=N1MHooyzSpPMI9Lw3t5lHTWVdDFrBIB0qxyMC3nYuSQ86S4GegoJIYSPBCT1NLlUilVhcKHXjuRKxkaBWaLf8iUDa-6lo04m0edrlaiXRd-D7pWjtRiBVbOjwG3_qCsb21-H7Y4OYHSdg4AT_aHOBA
"Поролон стандартный мебельный ST 2236 (1,6х2м) толщина 5мм",489 ₽,120 отзывов,"9 мая доставит Ozon, продавец Отделка Маркет",https://www.ozon.ru/product/porolon-standartnyy-mebelnyy-st-2236-1-6h2m-tolshchina-5mm-259644539/?asb=jA6p7hVXzuyHljIPjxP1%252BZDfuVX3kKkEYQoXM0wd6zr0zebhjFRvt2ypxlH%252FuSGw&asb2=zVk4z7APymjjYIGYh9Dg2kKmwTqO-HA5_7R3WMdjiSdcmmJm4BorZMY24Jm1YMHjLpZaaNLfJRnp5m0FvVs3SoF01lJluCXJ-lgZMRcJBdMDxYd2UDfyo1SjycijvNm4_hY_hXhF0XlqpllvFuKHTA
Поролон эластичный SPG 2240 1000*2000*20 мм (чёрный),972 ₽,39 отзывов,"9 мая доставит Ozon, продавец Мир Поролона",https://www.ozon.ru/product/porolon-elastichnyy-spg-2240-1000-2000-20-mm-chernyy-204112515/?asb=%252BnmUenXzknF62%252FoSstj29UkS1XfYgy%252Bcy6ux7q7cuIer6gh1djRs%252FXPBNJEaWrTB&asb2=H6gBw4rfRWC36B3rD8Hofxx2muYOxK2aabPRhKtre7nT2xOvvTlA6PGOwEVSYdY7xcJNqMql4vae5cp27NKznwWS_YmpqqJ33GQ6CtJne00Sjo1rFv_sH0EtBeFVA8WxknUoZylHGxW8W7lHyNg-pA
Поролон эластичный мебельный ST 2236 1600*2000*3 мм,370 ₽,78 отзывов,"9 мая доставит Ozon, продавец Мир Поролона",https://www.ozon.ru/product/porolon-elastichnyy-mebelnyy-st-2236-1600-2000-3-mm-207638704/?asb=I08lUpwJ%252B3YZOggBZONXFW2xB9bAipYmNOGMSpx4jQ2fIqmL%252F9YTnlP6Y7iy3%252BDC&asb2=lDtMBivHJqdpnyqvU8dVyrOU048ALNBxLFgqKeNoMbBdE5vLB9k-MicJcs8NmD9AbAdzfu7ZeO3EIh9EdSqBOMWbljoFevF_Ffr7T6kQmOW6Gdcc-qZ3T-Hf7F2rPpyA
Поролон EL2545 толщиной 30мм в виде трапеции,510 ₽,127 отзывов,"8 мая доставит Ozon, продавец BAWIBUY",https://www.ozon.ru/product/porolon-el2545-tolshchinoy-30mm-v-vide-trapetsii-270077516/?asb=eKA4yzSuhzGUYcM8YuwdMmL9SY668CVC9FMiYvmDwHTynr2g7EKcazeT4FB0qwRQ&asb2=eLU4tOPdb0cPFMiYb0cxr3mdtZ1Wi2kAjVl9aPX2YC0nouGQ3xHUDPZ8w1ATi3pbSG4b5vxITy-1XNbD1dMrnY70oVWMdwoC5mgIJfaaMmXCp9nfsuBmqCAt57lVaco82rZsX-mMxHrtwnBJllEMYA
Поролон стандартный мебельный ST 1828 (1х2м) толщина 20мм,790 ₽,164 отзыва,"9 мая доставит Ozon, продавец Отделка Маркет",https://www.ozon.ru/product/porolon-standartnyy-mebelnyy-st-1828-1h2m-tolshchina-20mm-261643061/?asb=DxKYUnkm%252Bx2aGAcT7%252FwSV9LQt425k79ZRnpWmMR06GgKaXtg3BEjp%252FGbkxv%252FIlMx&asb2=6MT06HNtkrvX6IfpXwd7n53NVG6Pc9RTLXtDYNbspTpIVp9GYGvNKGbl9YsKc50OUAF2c84COmAAVvvha8gJACxKCo4t1TofU4BQhKZTnjH5IaqZO5ol5zR2XkqtQLn710aBACAbm3NypsCFVqLOhw
Поролон стандартный мебельный ST 2236 (1х2м) толщина 5мм,377 ₽,120 отзывов,"9 мая доставит Ozon, продавец Отделка Маркет",https://www.ozon.ru/product/porolon-standartnyy-mebelnyy-st-2236-1h2m-tolshchina-5mm-248776262/?asb=Iv4beqqoSzfs73LfBtHYSBByx7UWwcEE2oyfuKcRm%252FotMx5WckdR0CQ7L1lDpzSO&asb2=Rig1cLGTNVXuphU9werX0F_7nvV5ZYgnHOW4uwF5eoz3rTld6ZPZWaU91W4lbXnFhQM4f5srq9sQCJlYhfq5KOdyDDaxPd1EJUsMptFt_pSy6neH8r2yU4m9pA0JZBukvGITWHSgshqlVyLghGN_bA
Поролон эластичный мебельный ST 2236 1600*2000*5 мм,524 ₽,95 отзывов,"9 мая доставит Ozon, продавец Мир Поролона",https://www.ozon.ru/product/porolon-elastichnyy-mebelnyy-st-2236-1600-2000-5-mm-207938138/?asb=uxf78FYp5ihl4DVbxsEqAAiOtnKRCwH02w46%252BKbrkb6yqy6WSPZIaZDobDMbXJGy&asb2=KYvFSDFFj8ajq15y8IN-l-Esl5_Vhza5-0h0lnAiynv3TkYGnze3KHKdGSoPuV7KCeyjj2MF2Nvpx0vQHnPFo3pveYAJjIUL4VYsCYqGihOiYzjUb5pmkOjA0_9Ed85T
