Стили менеджмента - эффективные и неэффективные (переиздание) | Адизес Ихцак Калдерон,641 ₽,1 отзыв,"Завтра доставит Ozon, продавец Альпина. Книги",https://www.ozon.ru/product/stili-menedzhmenta-effektivnye-i-neeffektivnye-pereizdanie-adizes-ihtsak-kalderon-511915256/?advert=Esv2dOUAbzxPyk6ciybt6-3lwouy4OFd7-VgEhyxQ4jD7TJLEvuYFOo5HBTPSSjrznjalvhq14x7CEIs9oYea6dLvU5bQeza3z4Ervww3gDIS2PJifOjMgc3_cXHn-P5fw4clYp2ZyjU9nWfdhN5gsIetXbxaYvBucmmYGpQfVXN_5zI8VC4St-37MdoUlOeBCkCIn4XALeVEghE8prVaB9pVwUW57D8WCCauD5C5zySXePgm_KKPLCv_tx0a0Dw3wBCD5FSCjRbJJF080RjcHn34Jqf3EvqUoxUq3YXu2AkVT3rG4TNXv_VMXqm_AzlZ7CzCdX0Y4dL7wO7zdS0LHLy2oc_b5hNtLd68ayyxAwwfXGcHNe1rQDHxAZIQu1niEfvT_G54xigDZq-mbXl6IkcBndBcbospxYLO7tdoaH2RjiTlmSQcpk6hc2MpwXxJgkG8Cnovz5uyveFGyhuU9Eg6mor2PXkACXH2cTA-ZLEzB5ls5buK5p1h4VFxWLr-PPzpSu68c8SEubpP6ktALanfEhoyhhjKOmabSE_FSri8zqg0e1CjQ72mQxYNgUX
Семь навыков высокоэффективных людей. Мощные инструменты развития личности | Кови Стивен Р.,337 ₽,3 отзыва,"Завтра доставит Ozon, продавец Ozon",https://www.ozon.ru/product/sem-navykov-vysokoeffektivnyh-lyudey-moshchnye-instrumenty-razvitiya-lichnosti-kovi-stiven-r-200584070/?asb=28N%252Fh0B5xxCpUoyesVaid26PUIOJk5JjjPxrJPBxxNI%253D&asb2=i9sgdRz9O88Y5qYbu2saXBxqnnYnZ9gsHyEYquS29nnO0KyMCyyNFac5bWtvJZj_
Эстетический интеллект. Как его развивать и использовать в бизнесе и жизни | Браун Полин,786 ₽,31 отзыв,"Завтра доставит Ozon, продавец Ozon",https://www.ozon.ru/product/esteticheskiy-intellekt-kak-ego-razvivat-i-ispolzovat-v-biznese-i-zhizni-braun-polin-204435513/?asb=QJ4HnDeqCHyMSN8GpWOq7eWQBw4VprQ7Da6lrDA5G%252Fc%253D&asb2=RGQ9B1hnIez4nrNCFd3hFzujYVQnHkHKQ70acMjQesGrq5Xer15FyDPY8gfilR8v
Эмоциональный интеллект,604 ₽,36 отзывов,"Завтра доставит Ozon, продавец Альпина. Книги",https://www.ozon.ru/product/emotsionalnyy-intellekt-254615462/?asb=Qwb%252BSPguknsmGi8W1hJ7VfZiWGfzz16w%252F6K9YkO9e1JkUpcBQztVGzlkOuc1o4E9&asb2=DP6Q7lwrUEWQhETubpS6C-ksfjNAW7MnRWWiOPWLmOc3SRLfbLDQVAe61MBkRjAes3REKo5Xa3ylwiOtnAtbezdve_oT7T2sovY_ssLFs7Esu0UBpnEPDYZB_MDzXTDBKtSfoKo1h7Aajm7Wqf4AdA
Идеальный руководитель: Почему им нельзя стать и что из этого следует (мягкая обложка) | Адизес Ицхак Калдерон,588 ₽,139 отзывов,За час курьером Ozon Express,https://www.ozon.ru/product/idealnyy-rukovoditel-pochemu-im-nelzya-stat-i-chto-iz-etogo-sleduet-myagkaya-oblozhka-adizes-254612970/?asb=8oCoKfXiy1Yg%252BSA9EJjhC%252FA9r3X2GRf3qO34z5fKhCtTly0J584zpyVjDiyXJqit&asb2=Wl2tcCf8GuRGPWXjC1yuEb4EdzWNcPK7ksb69dGPvE-f35PA9hIu5NxsCnsLs6YsH9rCQldL-lVpLvA9FVBhm6niQGh4imrpFfF_04RuuC2NIbEJXEgqgsS1Wmdo207GEOQtl1AnkmzM8Kd7vYRNbA
Жесткий менеджмент: Заставьте людей работать на результат (новое издание) (мягкая обложка) | Кеннеди Дэн,634 ₽,119 отзывов,"Завтра доставит Ozon, продавец Альпина. Книги",https://www.ozon.ru/product/zhestkiy-menedzhment-zastavte-lyudey-rabotat-na-rezultat-novoe-izdanie-myagkaya-oblozhka-kennedi-den-254612983/?asb=IGd21PVUnX5u38N0t3DPIY0TwJylYhSd5qoEyy4qSurKE18QiMnG0f2JI7sr35NZ&asb2=KGy9DKd14sXmDzQjCSMewUYjJY7WaB9Slmk6JqaU5IU95_fHg7iOYTDy4nGl4weSsoqycKg95mv6g8PiYmx145CE0t38mMwrFojtyQ8g7A4YyUHzilkii_PJM_DlZVK2-ICy1EqsNoDibQrdXpoouA
"Спиральная динамика на практике. Модель развития личности, организации и человечества | Джонс Томас, Вильёэн Рика",920 ₽,30 отзывов,"Завтра доставит Ozon, продавец Альпина. Книги",https://www.ozon.ru/product/spiralnaya-dinamika-na-praktike-model-razvitiya-lichnosti-organizatsii-i-chelovechestva-larsen-225229539/?asb=%252B3juz9YzIslcDfQY06pDpLlWdt1DWu%252Fs1WYr6OFZSGt%252BH81rSBjTxz4HbIFEXIKV&asb2=VsUI8XP0bsZxzUF9b-8p1peFmaRxdSzsgO7rBFhshkXVGSfBe7bASBapvHRK9anXqz5VHHwW4o6yxY6uanye22kHesDGM1JAMd4jJSETumGa-13DZjxIL9Ix6odK2ygDWUtM4iXM0o74uq0mEdIUEQ
"Шпаргалки для боссов: Жесткие и честные уроки управления, которые лучше выучить на чужом опыте | Горяев Тимур",604 ₽,27 отзывов,"Завтра доставит Ozon, продавец Альпина. Книги",https://www.ozon.ru/product/shpargalki-dlya-bossov-zhestkie-i-chestnye-uroki-upravleniya-kotorye-luchshe-vyuchit-na-254615307/?asb=%252F%252FUKp0HELzMt8g70nZYP2bnYZ%252BaVOJ4M%252Bphldvy7AVBjofa7WE5m1ljsFZAUiIvI&asb2=l76D_lgJQpHPDB_qLmLR5LYInGC2RuKwna4lwMbfPPLG1kBtMo5QC6sBIu8ZVCJmoT8XrRwk4b9dycE-8RXtWfY_aRMsVyPrHC9Ow5KJGH4TMlUWgBFCMyNRwfZrQORONkpDWegBBgb6E03Isc8Xyg
Лидерство | Harvard Business Review (HBR),604 ₽,43 отзыва,"Завтра доставит Ozon, продавец Альпина. Книги",https://www.ozon.ru/product/liderstvo-harvard-business-review-hbr-251210967/?asb=a16gPC%252F4INjgh%252F0ciHKXHq%252BnXvGFetUJ0cLxXg7aCcCYwHR0lTmokzTifXqIO0k7&asb2=1r1XO2QxpmGUSP7EQiGx_VZSKMPPvRdZJVw2QLzdAaZGXP7ca6jJWiQJOEBsIvO4w1HaJh4HxJkqHPdj3utXwPvnaDDtBKlyf7iNQ5QI-PczlQwqAMOxLf-JkHV-kZLihliZXruai7JsJk9sCKMF7g
Метод McKinsey: как решить любую проблему | Расиел Итан М.,429 ₽,36 отзывов,"Завтра доставит Ozon, продавец Альпина. Книги",https://www.ozon.ru/product/metod-mckinsey-kak-reshit-lyubuyu-problemu-rasiel-itan-m-254615862/?asb=33aJ1lFbJn3dX%252FD7hMIlo257Z4BHlga9QVmPeyI0PIEUrqlt0urfgd2pvXD3vlbC&asb2=vWWooqFiYIQChueuRmD1voDbwvJb1KqHwc05ADWbyzOQLee8qBFQIGmVigvRq5zharuap6mvXX8Ha2UpRcTnDlr6Bvvf55sXmR5akN_daR38KpamaUNFJtOPSe8rqKjKnorGEjQqJix6qK2Y0IAT2Q
