"Вентилятор охлаждения, кулер 60х60х10, 12V/0.12А DC, 2 PIN",259 ₽,29 отзывов,"Завтра доставит Ozon, продавец электро-маркет.рф",https://www.ozon.ru/product/ventilyator-ohlazhdeniya-kuler-60h60h10-12v-0-12a-dc-2-pin-428093823/?asb=BHdX1LlkUBEY9hLLMVlIOgmeM8i5UYD45%252FRjbPKDO38%253D&asb2=DIS4wpBpkGWwszHcBDT93EfemHlXFPEvYl-G16hJeA4aMHujgDF-Vz2zWmWpga4F
"Вентилятор охлаждения, кулер 40х40х10, 12V/0.1А DC, 2 PIN",259 ₽,29 отзывов,"Завтра доставит Ozon, продавец электро-маркет.рф",https://www.ozon.ru/product/ventilyator-ohlazhdeniya-kuler-40h40h10-12v-0-1a-dc-2-pin-428062017/?asb=jy0umWtBx3TjKoI3USMS38W8DvpaceLcTjQ7UrNpZ1M%253D&asb2=kGVi2Np8aU5iuPsGfLYHEKKz0Rblcz_p6bEy6bvdHlmwgodRc7nKt0N-5UITi5hH
Вентилятор 120х120х25мм 12В FD12025S12M2 DC (скольжения) FANOVER,379 ₽,5 отзывов,"6 мая доставит Ozon, продавец Ту ту",https://www.ozon.ru/product/ventilyator-120h120h25mm-12v-fd12025s12m2-dc-skolzheniya-fanover-517960269/?asb=sVFRLsKtDFuyStgkX0e7lkMYwza45xkn9XvenDdIKKA%253D&asb2=GEy8eJXB4VyOyTPbZSM1TYw6ncZjngQegSUs8HJw-O7T0NXGe2PQpTtOM_GPtins
"Вентилятор охлаждения, кулер 50х50х10, 12V/0.12А DC, 2 PIN",259 ₽,29 отзывов,"Завтра доставит Ozon, продавец электро-маркет.рф",https://www.ozon.ru/product/ventilyator-ohlazhdeniya-kuler-50h50h10-12v-0-12a-dc-2-pin-428078561/?asb=jMSarAXaFmogRrsEobGKO6OsdS42dpXdO92%252F3VmD2Y8%253D&asb2=gzKHSJQ03waPOZuBgPPvbBrcUUNVpsfUsjMeuF2NEucUfSER346rWLfL0kpCeeoJ
Алюминиевый радиатор/теплоотвод для электронных компонентов 40*40*11мм,190 ₽,1 отзыв,"7 мая доставит Ozon, продавец TAULU",https://www.ozon.ru/product/alyuminievyy-radiator-teplootvod-dlya-elektronnyh-komponentov-40-40-11mm-377657442/?asb=gD%252BkAmKLRPDR4Sk2AZwejP%252B55gHwuekPjjj3gdKagnc%253D&asb2=gk9tuCadRlcVYXmu0bphwqmePLWdYM73gEX0AabgzzQiYaCcTpAtBrtw7ofeFVZm
Вентилятор осевой 120х120х25мм 220В 12025HBL AC Axial Fan (подшипник качения),515 ₽,5 отзывов,"6 мая доставит Ozon, продавец Ту ту",https://www.ozon.ru/product/ventilyator-osevoy-120h120h25mm-220v-12025hbl-ac-axial-fan-podshipnik-kacheniya-517966061/?asb=ZI7Ddk%252FDK0aBsrOZ5sjY%252F0QbZT3ZhS3%252F%252FFxZyvlVODA%253D&asb2=RP0HY4Gvd7J1BGcd4_r-W5OGH9L2FkGpMIuoYHaThVSO3F7yv9nOe9oYV6JkuTZT
Настольная складная подставка черная под ноутбук / макбук / планшет / книгу,699 ₽,110 отзывов,"Завтра доставит Ozon, продавец Надежный продавец",https://www.ozon.ru/product/nastolnaya-skladnaya-podstavka-chernaya-pod-noutbuk-makbuk-planshet-knigu-486042995/?asb=Qa3L6ebAX75qD1P91jG8RqNrKgVNwrp8gegT4GTE5BhpysGgjTE5WA744FDyTQew&asb2=swtbrkstPlu88SzvYmW3W1WRAwAOte1sxcOgKltACiEQrTo8fGNNb9Ur3NjsUsVis4I9vYAd7Nga02D7kXBcmhfmTp-S0zpIubFnryQ7RwsNY6v_JwfA2EFUTR0TYpXfzwPxtUjOaLnBvf14-YGoYA
"Складная подставка для планшета, ноутбука 10-15,6 дюйма белая / Складная подставка для ноутбука / Подставка для ноутбука регулируемая универсальная / Подставка под ноутбук настольная /Пластиковая подставка для планшета настольная / Аксессуары подставки",699 ₽,48 отзывов,"Завтра доставит Ozon, продавец Надежный продавец",https://www.ozon.ru/product/skladnaya-podstavka-dlya-plansheta-noutbuka-10-15-6-dyuyma-belaya-skladnaya-podstavka-dlya-noutbuka-300931018/?asb=T3U8M8GD1K1BFGDb5AGObNv5ZE%252FLfNAPnwvu724tE8I%253D&asb2=rEyoGMk78b728kPDY2o7D55bFKHZp3G6M1WokyyuBOFxCTBdSFmTbrSeN0i072lV
"Вентилятор охлаждения, кулер 80x80x20, 12V/0,16А DC, RQD 8020MS, 2 PIN",306 ₽,1 отзыв,"8 мая доставит Ozon, продавец электро-маркет.рф",https://www.ozon.ru/product/ventilyator-ohlazhdeniya-kuler-80x80x20-12v-0-16a-dc-rqd-8020ms-2-pin-555021904/?asb=s6FXJW8DXIU82yUeYhifnH%252BsaaPU%252FHJStJnYmTCciRU%253D&asb2=iHfg1b2yQWn2OSoZJ_B9fNmTQWjlHpaJ1dZCfFnHoxNE2UQ6yOpMh-dfQr4-ELih
Вентилятор 120х120х38мм 220В FA12038S22ML2 AC (скольжения) FANOVER оригинал,525 ₽,1 отзыв,"6 мая доставит Ozon, продавец Ту ту",https://www.ozon.ru/product/ventilyator-120h120h38mm-220v-fa12038s22ml2-ac-skolzheniya-fanover-original-499634932/?asb=KAL0d8cVvntSPTPy73C4QKi8vXZvWmibyMn60YhGBsk%253D&asb2=Lkk0wIv_ErtP86LDy3HXdU1Vp890c7hMPaJpL6lDoTbvh6RyZl3IpLPGYx0O0rv0
Вентилятор 120х120х25мм 12В 12025HBL DC (качения),509 ₽,2 отзыва,"6 мая доставит Ozon, продавец Ту ту",https://www.ozon.ru/product/ventilyator-120h120h25mm-12v-12025hbl-dc-kacheniya-517943660/?asb=hGyDDx8GnrPWOoIeBN23mZerz5moQwUZh8W%252BHxL9LZU%253D&asb2=WrsDc5i22N4OM4M9EGPIjXDpQXwFeA0G-P81pY2hoOwyvNBARxJ3Lv2Sl_Q3uxr3
"Комплект сильно охлаждающих 3-х радиаторов для Raspberry PI с RPi логотипом, 12x12x1 мм медный, 14x12x5.5 мм медный, 8x8x5 мм алюминиевый",395 ₽,7 отзывов,"7 мая доставит Ozon, продавец TopSpare",https://www.ozon.ru/product/komplekt-silno-ohlazhdayushchih-3-h-radiatorov-dlya-raspberry-pi-s-rpi-logotipom-12x12x1-mm-405556671/?asb=Pe9TAIySkCR3hcC6ybD%252FoUKWxlU2mlTigoPVu%252F2%252BaETlE%252FjAbaihDQhYWWMf5jeu&asb2=fVDOw6LgoyTfTN1h7M5B-4aLkUEZXjhPmsjr5scI_isRl0G5-l4UcK1sr6UcvdUkTT9zEfKstHehndiiYQtF40HGoVQZvpxWvOVi_AHwc8HdjTlflkowptDnGUfpejg-ar0hGUoax7sXRGuhOWGYOw
