"Молочко маточное адсорбированное Медолюбов, 8 г",299 ₽,46 отзывов,"Завтра доставит Ozon, продавец Vegan Food",https://www.ozon.ru/product/molochko-matochnoe-adsorbirovannoe-medolyubov-8-g-269248087/?advert=szrwGJ3ONPWp9GZGkAO0DcWIm0R5Uv2-0_soLclg5ziTYxLCEXd82UW77Tx5Vl2zRoiRHiSvpBNIHJhS8bmergxJtyBbgJzo1Ht3nJS7WrEXq_Fy9tL8kSDVRaEIxf95OSFFsHLIU5jBOOYY1QdZ7PGHXCUX5ec99UzvhlNBia2JLCkZZbueMCCZHYLlsuAvljrN2G-WryACY9ePBAj8o1OV1Qqew2lmRTX8rGiRIkibX9uTnbYppsD1Pd-nCR3349dyF0egUtRG_gbq_iOVWmJIPCIbgOmE0WHImx76PfxE_W0CrZ-dJ1Xj0IznX0wp_FDAKFuLn01pVTIsOxtjZHoP0lRk9H-edFNdPGvDKEc17hv1QeV5ZapHE9zdF_yeLDTXvNnK0KJ9EyXL7ZO32ZBjIqTy-WLSvBNfF_M9BPUx0VLeUGHLepXzWWXcJkZgtACXAzaSg1fhnpAJxGaK63T7T7JoGi-cFQ70fJhPO6uAeRxpUzoTW-qwYk7PxlX6Mpr_WKuCc-fByTSFBUrBl1W-hKpV6YcYqEAfbiTAg6upCo2Bm0bbORToq0o0a348
"Молоко цельное сгущенное Алексеевское ГОСТ 8,5% 270 г набор 4 шт",405 ₽,2 отзыва,"Завтра доставит Ozon, продавец Эколенд",https://www.ozon.ru/product/moloko-tselnoe-sgushchennoe-alekseevskoe-gost-8-5-270-g-nabor-4-sht-537705017/?asb=9hY3rITi782iNnaU8i4%252BTCoU69CwXBZ7%252BboGvjmARrw%253D&asb2=0bdX-mV9-B8_vRrjPAmvbWyzQUMp_xAEdU891qpvbMqdvSlTPMaVjE1AGkA5POhd
"Малиновая кокосовая сгущенка без сахара, без лактозы, без глютена, крем, десерт, топинг, паста, кокос - малина, натуральные полезные продукты, веганские сладости",517 ₽,92 отзыва,"Завтра доставит Ozon, продавец KOKO",https://www.ozon.ru/product/malinovaya-kokosovaya-sgushchenka-bez-sahara-bez-laktozy-bez-glyutena-krem-desert-toping-pasta-kokos-404600519/?asb=mSsf2fVuIcmgQDrfH8J4qOw7S0QLKVSBui%252FzArWhY%252Fw%253D&asb2=qUsLyoWO03KvLg3QqCMTsxJYNInM6zj0Ef9RSsE26ncfjhGDvVcyIHJELSJKRYFJ
"Десерт без сахара Сгущёнка Иван-поле, пп сгущеное молоко 200г",228 ₽,36 отзывов,null,https://www.ozon.ru/product/desert-bez-sahara-sgushchenka-ivan-pole-pp-sgushchenoe-moloko-200g-310469772/?asb=KaIJFm01JhzkO9mXESCEl3XcrjmaICioCRttGRrgeJY%253D&asb2=X9sUdzaHK0REcp0klZZLLBl9xNnTy_tQcl-hszzl5m-dMQLjF8zHbyXcgYEPjrgZ&ectx=1&miniapp=supermarket
Сгущенка кокосовая BIOMEAL Классическая 180 гр без сахара,295 ₽,3 отзыва,"Завтра доставит Ozon, продавец BIOMEAL",https://www.ozon.ru/product/sgushchenka-kokosovaya-biomeal-klassicheskaya-180-gr-bez-sahara-510954894/?asb=nKL%252B3tElDOmk6UePTmzKelQsIfpLeGBMhuTUEg5pduNxeyDj1mdNsqXOc4OGYmOD&asb2=0UhPa0ALY9CHiHOSPLaWfxH-j-Z4xmDYrKg0y9ylG1_mBRvSI0OBSY4LZrA95yn9RmzuACxS6sGmI8-4LowKXuXTGVA4clrhplqFgZIbqYd53dEjTmevd9_O4ns1Cgdl
"Шоколадная карамель из элитного темного шоколада Lubaica 200г / веган, на кокосовом молоке, без молока, без лактозы, подарочная",437 ₽,11 отзывов,"8 мая доставит Ozon, продавец Lubaica chocolate",https://www.ozon.ru/product/shokoladnaya-karamel-iz-elitnogo-temnogo-shokolada-lubaica-200g-vegan-na-kokosovom-moloke-bez-389643739/?advert=nqUZ3ODqjKFcsqy6rYd62yLRUNWcpNk2LEs3MVTkCdg5mseJ0gXkSrSQG8KLGsP7MyM10s4Z2QP97mZZdQHVo52ZwokOToo2rHdSxkRq3QAyapT9H-D4CUu4ypbuXc6_dl0-4bPpRR1qxSWThaydsKQrCsJGoxPHBySRk5Z941fU7tbay3pP__7MmCyIFI4znlEj29jA1TaC6rH7tlfb5UkDZhVsUS2adIdkgkBzZL_PAD81Hm_3bTb4uE7ac2Mcssakig-yUn6c6aW4QpI1kzKHrhfzDNz4S0d0lXiGHPtZWgfjP_niGondsjSe3TesmVgwyx_8O8wj0jWZzRiJUMXSCfHE_GObxKMsml2UwNknYPTxSW4cCYT6LaUhBcFWntZWm_zq7VZkTXN-oMF274XRkezCbki_CWnO-rXrLtJEeW2aFEhsO1hR-ptOw7foLRqNO1XFRhCSE17223iVDN03nOeNzZbpbv5TpSF0Gh__CRZCezHQaBBWV32o38hbjt7g1nIqn8PhOi3qAMplNJ39nSWzVF4pNmKrDER5OvHZNmUtD32DyxFaQcwqSKJZ
"Десерт без сахара Варёная сгущенка Иван-поле, пп варёное сгущенное молоко 200 г",265 ₽,36 отзывов,null,https://www.ozon.ru/product/desert-bez-sahara-varenaya-sgushchenka-ivan-pole-pp-varenoe-sgushchennoe-moloko-200-g-548909634/?asb=Y9qjstBJlTbHBaXQItor1UeLXcRP2mM3Vc%252BLryH0KuE%253D&asb2=MkRiToL9RtUk0cF3c1JGgOGt8-_3z-Y9z3OnBdPtdLUuNXI3ehzF0VvExWBv5UrI&ectx=1&miniapp=supermarket
"Молоко цельное сгущённое с сахаром, Рогачёвъ, ГОСТ, 8,5%, 380 гр.",195 ₽,34 отзыва,"Завтра доставит Ozon, продавец ADJEDAN-2021",https://www.ozon.ru/product/moloko-tselnoe-sgushchennoe-s-saharom-rogachev-gost-8-5-380-gr-286510946/?asb=K24unvD1ta2Vkr%252FjqpstHMDUDf12R%252BZoFqNvbxEm6M0%253D&asb2=bBaMzuM8syaMkOMCUHieDF6H99fIGAVyuy0G_A6wnxCNr3hpfnbgfaJooVClCfsR
"Молоко цельное сгущенное с сахаром Коровка из Кореновки 8,5%, 3 упаковки по 270 гр.",359 ₽,103 отзыва,"Завтра доставит Ozon, продавец Куликова",https://www.ozon.ru/product/moloko-tselnoe-sgushchennoe-s-saharom-korovka-iz-korenovki-8-5-3-upakovki-po-270-gr-462998304/?asb=mbKlnPR0vV54yr%252BsYh9nn%252BbLl8vBKaI%252F01mPeC%252BjGUM%253D&asb2=AVaeqKj14qrzdEb1Txoa5q-Btx6-JxvDuE_uwIVnkIHTT_k_-uhiaMaxPxfYmsHo
"Молоко вареное сгущенное с сахаром Батькин резерв 8,5% 380 ГОСТ 3 шт по 380 гр",508 ₽,58 отзывов,"Завтра доставит Ozon, продавец Магазин продукт №11",https://www.ozon.ru/product/moloko-varenoe-sgushchennoe-s-saharom-batkin-rezerv-8-5-380-gost-3-sht-po-380-gr-205899212/?asb=V2K%252B0zzfFVZl8rRKi%252Fqf6vzqvtaWcIsittQPRscqr%252Bk%253D&asb2=pbn5MnT72Lzr3qhcSpFsRtvPK6W2v56DN6sTWL3ZtD_MXXJJUYurnq7KLA1b8P95
