"Скумбрия отварная в желе Меридиан, филе кусок, 200 г",137 ₽,155 отзывов,null,https://www.ozon.ru/product/solenaya-ryba-meridian-skumbriya-otvarnaya-v-zhele-200-g-164861608/?asb=V%252FIpFEo%252BMBHLAHVD9hHZy4sL%252BTSLwfVrObFz0wKA5Lg%253D&asb2=0wPRx4NQNYbL4AY7WjMdq9kRrxE9dtq00gi3PBF4XdtaP1lJnwYywLjRTvePrC09&ectx=1&miniapp=supermarket
"Коктейль Фаворит из морепродуктов в рассоле VICI, 400 г",339 ₽,37 отзывов,null,https://www.ozon.ru/product/kokteyl-favorit-iz-moreproduktov-v-rassole-vici-400-g-397200874/?asb=8fjL6hcY8TGLTXNZUOAbQVZnEpDUALUkd4OylHiRC2I%253D&asb2=bps0UXMT8vFLktlvk32MysW-w_01mRf0JcJ2XjMkWyqJNeGJ6QSp5t-2iqE24s_4&ectx=1&miniapp=supermarket
"Коктейль из морепродуктов в рассоле Меридиан, 415 г",399 ₽,196 отзывов,null,https://www.ozon.ru/product/kokteyl-iz-moreproduktov-meridian-v-rassole-415-g-166715694/?asb=umipSURftKmAIdYINi3J0gAxu%252Fi53WoNa2ZyiHI5VLg%253D&asb2=Zkj9gIbAULf5Pbjj4HpYg9KsDepz_bc977oi47cPbnJGeAnIYMmGCmxg044bYl9s&ectx=1&miniapp=supermarket
"Коктейль из морепродуктов в рассоле Морской микс Меридиан, 430 г",373 ₽,128 отзывов,null,https://www.ozon.ru/product/kokteyl-iz-moreproduktov-v-rassole-morskoy-miks-meridian-430-g-326082717/?asb=jwsmYY02MKS62NFQ3B2wSNlDF9VFWh82iPjdDibRA%252Bw%253D&asb2=z7uL-sZiIJrfgr0MwDpTbytBre6Hhij-ATyOdwme068iUjMLvFMc5eLn4a3hCgGv&ectx=1&miniapp=supermarket
"Горбуша отварная в желе Меридиан, филе кусок, 200 г",129 ₽,175 отзывов,null,https://www.ozon.ru/product/gorbusha-meridian-otvarnaya-v-zhele-200-g-166715692/?asb=Gd1ThhmuEMoD9acY5sNJwLdwQUDKyEqHlpUXitexApE%253D&asb2=fPt3zmjVexIl27UUUlA-_K6vdi27WrKygzlVffKS4VY5etPlYpXivtearSxxl8zY&ectx=1&miniapp=supermarket
"Мидии в рассоле VICI, 200 г",170 ₽,38 отзывов,null,https://www.ozon.ru/product/midii-v-rassole-vici-200-g-397200877/?asb=%252F%252FSiizcEw5KC12GAif7pSlv1%252F6WGFCT7sDVJHLt8jzQ%253D&asb2=Y1h7lW9yUa6H-PSLoz14yG_vRGJ0_STbcVogfZJMR_cuiQnU7Z4sauHfpdVaHi0H&ectx=1&miniapp=supermarket
"Коктейль из морепродуктов в масле Меридиан, 270 г",455 ₽,46 отзывов,null,https://www.ozon.ru/product/moreprodukty-ohlazhdennye-meridian-kokteyl-iz-moreproduktov-v-masle-270-g-164861595/?asb=dIgF7rLK4szkS23UVh%252BZ9fyKPW%252F%252F92nyEQwpKS5V%252B%252Bc%253D&asb2=iw1M4BhJy3Y_vjyTahnqYusYMwvA59upnOGbqzoRkMCl1dLNcDrfYC4yXJ9aHltg&ectx=1&miniapp=supermarket
"Коктейль из морепродуктов в масле VICI, 200 г",306 ₽,8 отзывов,null,https://www.ozon.ru/product/kokteyl-iz-moreproduktov-v-masle-vici-200-g-397200868/?asb=H4EL9zAXprE%252Baa%252FVXCWZbBtV%252BT7wd2Vo4avnuShfXS8%253D&asb2=VqeNYLYoPIE5R9AUguHc-OAQpznTBgZGFEITFaVnPgl-k5fB2G11BBc1iwPhElCx&ectx=1&miniapp=supermarket
"Морепродукты охлажденные Балтийский Берег Масло икорное, 100 г",69 ₽,33 отзыва,null,https://www.ozon.ru/product/moreprodukty-ohlazhdennye-baltiyskiy-bereg-maslo-ikornoe-100-g-160852979/?asb=RC1ll9uIKmgVW3%252BE2RxIuxmcGOhiPscRwbUVEQ09y2w%253D&asb2=LEUTPlmRDAROlru_cN6heLk5jv0MfO39TgB3RKEJPvd6Ffzd31yKCHnpJnMMjcp4
"Паста из морепродуктов Creme Le Mare Сливочная, 150 г",107 ₽,98 отзывов,null,https://www.ozon.ru/product/pasta-iz-moreproduktov-creme-le-mare-slivochnaya-150-g-160852983/?asb=wPewF3BuvxzfCSc4GSDgqTA9MnfmQ0k0JMdg8hwhmuY%253D&asb2=f_3Sy4hF5CQJ_20tjUGleP4lYJDeXNEp6e7EmbQUPWU3a4YRfBSHXmiohJGgjX4t
