"Фруктовый лед Slime Яблоко-ананас MAX, 54 г",49 ₽,16 отзывов,null,https://www.ozon.ru/product/fruktovyy-led-slime-yabloko-ananas-max-54-g-547851346/?asb=3Ff5vpvxvVmqoX%252FG1F%252FtaTw8Kj1CovheeF26DnUlSmY%253D&asb2=oyUQHZ0EiQ6H-ppRxblEr-mpgTjbixe65P_1B0XvPPWlxw9Yb-V4CQjLjdeHQstk&ectx=1&miniapp=supermarket
"Фруктовый лед Ледяная кола MAX, 60 г",33 ₽,17 отзывов,null,https://www.ozon.ru/product/fruktovyy-led-ledyanaya-kola-max-60-g-547851334/?asb=tPT8S54KhXE17osm%252BYBntBux0oAGxq27Fh90TZ7%252BF7U%253D&asb2=ji9ihFuaoIaS4hKTcYQo5FnQ4rSlo9ioDK2cAxSdaq5NcjXXrrHCSrBkUUST9fJ3&ectx=1&miniapp=supermarket
"Фруктовый лед Суперсилы MAX Twister, 67 г",64 ₽,14 отзывов,null,https://www.ozon.ru/product/fruktovyy-led-supersily-max-twister-67-g-547851846/?asb=OXKsfnMOO4uuDLQqrpEKv7K80o0K1WDAYIf5YbdD6vU%253D&asb2=rwF499vmbbamOfGvBBnoLVDGFzQk1zyYaje54NHc-obtEJEibZDykqXzVeX3_rDS&ectx=1&miniapp=supermarket
"Мороженое двухслойное крем-брюле с кешью и ванильное с брауни Вкусландия, 450 г",419 ₽,15 отзывов,null,https://www.ozon.ru/product/morozhenoe-dvuhsloynoe-krem-bryule-s-keshyu-i-vanilnoe-s-brauni-vkuslandiya-450-g-498693512/?asb=sLNaQqDao4k0mGfNOb87HUlbuAEhWKlopzBF5SdB%252BWQ%253D&asb2=tlGNfywGhua_7PlowWk-ZiiQjmP_c4e8YyWotpD0SBtKxytUaMhDPxDGATaaR1zJ&ectx=1&miniapp=supermarket
"Мороженое Cornetto Мексика чуррос-манго-авокадо, 73 г",59 ₽,165 отзывов,null,https://www.ozon.ru/product/morozhenoe-cornetto-meksika-churros-mango-avokado-73-g-259493624/?asb=7xA1o3WuRC%252B8oTx6Ia0hMI0z7ACpTwzf7Ba06LtphR8%253D&asb2=Dd8I8RiajnYm4tfgrD2jYTy0mE5M6mkGHo8WVLMtivNWaD1sIullQTvjYCm1uhRM&ectx=1&miniapp=supermarket
"Мороженое на кокосовой основе Манго-Маракуйя Веган Ekzo, 70 г",119 ₽,6 отзывов,null,https://www.ozon.ru/product/morozhenoe-na-kokosovoy-osnove-mango-marakuyya-vegan-ekzo-70-g-547851431/?asb=MLyfMjx6LCPwV8BsUW0lrsZwY0w04ZC2gZuUUcmlFLk%253D&asb2=U_pkjhsh70fzXhz8LOP3jVPUII_LRq4HoMOYxJYajpYeFm5GoE2FTIgxmHVrDGnw&ectx=1&miniapp=supermarket
"Мороженое в вафельном стаканчике Шоколадный пломбир и брауни Золотой стандарт, 86 г",99 ₽,4 отзыва,null,https://www.ozon.ru/product/morozhenoe-v-vafelnom-stakanchike-shokoladnyy-plombir-i-brauni-zolotoy-standart-86-g-547851380/?asb=yfAfSxmi7Y6IGbZb3R1uZPWtYazHhQNv8AQOQczKXR0%253D&asb2=eU1F2dRXxAcDTfnl3XP6yIUatpDDwKXW71nYxRJFDsH25yMObyBCEguWaysoWkAI&ectx=1&miniapp=supermarket
"Мороженое Б.Ю. Александров Пломбир Эскимо, с розовым грейпфрутом, в темном шоколаде, 80 г",134 ₽,152 отзыва,null,https://www.ozon.ru/product/morozhenoe-b-yu-aleksandrov-plombir-eskimo-s-rozovym-greypfrutom-v-temnom-shokolade-80-g-284703751/?asb=sKD%252BuGR6xTf5741nRT0dBofTOzIgtbXNZEi9pjDaPKk%253D&asb2=udqOe0eZnxc6AqiqKB3fjMfeyfUwvlNcqfPuatHp9alEmHdaaO0Pgz1NCuvtiabC&ectx=1&miniapp=supermarket
"Мороженое двухслойное малиновое с маршмеллоу и черничное Вкусландия, 450 г",409 ₽,7 отзывов,null,https://www.ozon.ru/product/morozhenoe-dvuhsloynoe-malinovoe-s-marshmellou-i-chernichnoe-vkuslandiya-450-g-498693526/?asb=KHnBXGpZBpjObqgpz3k%252B%252FmiZRXXWQ17TH7x8fgBH%252Fzo%253D&asb2=pa3h-SDM2BGmlk-WL9QF3u2h1HEVnyLOA7B1Uwqh9O2q7LtwXcNcoYuAzCw11UcH&ectx=1&miniapp=supermarket
"Пломбир с черной смородиной Вологодский пломбир, 250 г",159 ₽,24 отзыва,null,https://www.ozon.ru/product/plombir-s-chernoy-smorodinoy-vologodskiy-plombir-250-g-498693499/?asb=AkXYwrBNY%252BTY0fRLYPiClWjHC4jPvlFsQzM4x5voopc%253D&asb2=Pm9cma6EDY5xtrguNgWLuqTLpFr8j0BkRTTqElJTGVNZYZ0mAqUVTNnJvZWTeSuV&ectx=1&miniapp=supermarket
