"Кольцевая лампа со штативом для телефона и фотоаппарата 30 см белый свет, WALKER, WLR-3010, LED лампа белого света для селфи, кольцо для фото и видео, осветитель для профессиональной съемки",970 ₽,47 отзывов,"Завтра доставит Ozon, продавец WALKER",https://www.ozon.ru/product/koltsevaya-lampa-so-shtativom-dlya-telefona-i-fotoapparata-30-sm-belyy-svet-walker-wlr-3010-led-296660318/?asb=FpTm2ur5M7O%252F0Qow2Wof0g8Ce%252FPWGGD8hBMLw%252BwEMBB1lnqAl2ebkPirIZQmgv%252Ff&asb2=N_8NwckaEMpuHvks3N4ok8oz6yZT1cD7pNX2VC6kIpEq1s0CFq8BePC1GeFqch_sHsfaEvYpwuweWb2O5ge-ASK530ktRVNCB9PGc2TTzghlBHctCCH5TbYrNc8otf6Bjoi-W5NT9D9Ud2ClOWYb4w
"Отражатель 2в1 Raylab RF-01 золото/серебро 60см , отражатель для фото, видео отражатель",776 ₽,50 отзывов,"7 мая доставит Ozon, продавец Фотосклад",https://www.ozon.ru/product/otrazhatel-2v1-raylab-rf-01-zoloto-serebro-60sm-otrazhatel-dlya-foto-video-otrazhatel-245976295/?asb=rEp%252FikoOW0dsgPpmgoIRr05QMkLXKisozRKJy9G9wgc%253D&asb2=v8kGhz4PyhahgylRY4FDUFRw1AtusbYflZ1WD_rmWEaisW7_ITgplaWq0mp_8eji
Фотобокс / фотокуб складной / ля предметной съемки фотографий / лайтбокс / лайткуб / для маникюра со светодиодным освещением / софтбокс световой / для фотографирования с LED-подсветкой,890 ₽,36 отзывов,"Завтра доставит Ozon, продавец XO SHOP",https://www.ozon.ru/product/fotoboks-fotokub-skladnoy-lya-predmetnoy-semki-fotografiy-laytboks-laytkub-dlya-manikyura-274712191/?asb=q7BE%252FvStjnHvLeLnRRYXupYfRK%252FuxITASKi4H9DNM2o%253D&asb2=xGtxxmlwRvDEr7n4R28CazAvSG0VAFZ6mAm_iA-QI8NkE4ZOiXFbUCDB_B86X8Zf
"Кольцевая лампа SL-3012. Диаметр: 30,5 см. с держателем для телефона и шаровой головкой. Без штатива",599 ₽,4 отзыва,"Завтра доставит Ozon, продавец LIFE",https://www.ozon.ru/product/koltsevaya-lampa-sl-3012-diametr-30-5-sm-s-derzhatelem-dlya-telefona-i-sharovoy-golovkoy-543488117/?asb=yCRp3hS97jlb6CV72D1ZKiRWFqXZ2lWApKx1Jn0lSkQ%253D&asb2=gOMIxumm0qCHjh2hZhJat4uQW2U5AWwHhLbdUBoePPJnXRd1lY-moU0YkhSGZo8L
"Селфи кольцо на телефон, планшет, ноутбук. Лампа с LED подсветкой, для мобильной фото и видео съемки, на прищепке, мини светодиодная вспышка фонарь Selfie, подсветка для камеры. Кольцевая лампа со встроенным аккумулятором, 3 режима яркости, 8,3см, белый",265 ₽,8 отзывов,"Завтра доставит Ozon, продавец PRO_Electronics",https://www.ozon.ru/product/selfi-koltso-na-telefon-planshet-noutbuk-lampa-s-led-podsvetkoy-dlya-mobilnoy-foto-i-video-semki-na-541340036/?asb=Y8L6JDohfgwydDQ%252BsvjyJ8RRCo6SuoR%252FHaFlPYLPqe8%253D&asb2=ZeDkG331zrfC1HBEy6oRQZutgTPjgxrqXAPB96jTLsLqj-TREsq07Doy4ynJN6AJ
"Кольцевая лампа / Кольцевая селфи лампа со встроенным аккумулятором / вспышка на телефон / подсветка для камеры / селфи лампа / светодиодная для смартфона, планшета, ноутбука, цвет: белый",263 ₽,14 отзывов,"Завтра доставит Ozon, продавец Электроник",https://www.ozon.ru/product/koltsevaya-lampa-koltsevaya-selfi-lampa-so-vstroennym-akkumulyatorom-vspyshka-na-telefon-517812677/?asb=RSE8VAnHYYFuBo8P3tn9dID%252FClUDEL5mac6NcRmYmjFXifWKggVyblw7QGEgqsKS&asb2=KoM9n6aEsOd_VSjNXcveHlhZ_KeStOM-u2l2jmP9dMnY3OUczuRG3vuSZfm2UZ32v1qNGbjQbMqGNwS8K0HbiUgdN1M5yMTPyulksR3UhJBjfwT0DPuqTIYzuOwlvfzKFam1c5DVbpiVEndQX3b8iw
"Кольцевая лампа 26 см с напольным штативом, с держателем для телефона/Световое кольцо/Держатель для телефона. Модель 123151",922 ₽,1 отзыв,"Завтра доставит Ozon, продавец zKissfashion",https://www.ozon.ru/product/koltsevaya-lampa-26-sm-s-napolnym-shtativom-s-derzhatelem-dlya-telefona-svetovoe-koltso-derzhatel-555670997/?asb=HyXjDCq9jsm5z13kPo%252FC1KOqkWJ8jqtyD%252FzjdBmFTT0%253D&asb2=e_Xg9EAaf_I6PD07sGJ4UVN_7jkJxzNFQuBx_Fv0WKLoaI44sn2NK-SjqFd-DU5I
Селфи лампа для телефона с ушками и зеркалом,234 ₽,1 отзыв,"Завтра доставит Ozon, продавец ИП Зимаков Георгий Олегович",https://www.ozon.ru/product/selfi-lampa-dlya-telefona-s-ushkami-i-zerkalom-468451154/?asb=kdTaGKSLog9OlVqNN%252BlfNJ5x03BXYh1tl6LsJLkZ2Bo%253D&asb2=t5h8frF8CEBW2vP1jG0HmqJwFFk_PTpRXSEw1s5NdARZGpWpGLnZNEI8aBAqd1mA
"Хромакей, фотофон, фон для фото Puluz, 1х2 метра, зелёный",671 ₽,36 отзывов,"Завтра доставит Ozon, продавец Puluz",https://www.ozon.ru/product/hromakey-fotofon-fon-dlya-foto-puluz-1h2-metra-zelenyy-397025296/?asb=LxVyVxqYLI0r0tT3PirSgSugeeWN4c1M6bFUs7ehwS0%253D&asb2=ZyzWyl0oCrqYllnAMqitiWKCOx1Fl4-u1yz5Afjay7ZYW2NxVjZjHTgY4PlwLOn4
Настольная кольцевая светодиодная LED лампа на гибком штативе с прищепкой и держателем для телефона /Лампа 9 см для селфи блогера визажиста макияжа видеосъемки,853 ₽,60 отзывов,"Завтра доставит Ozon, продавец Karavan",https://www.ozon.ru/product/nastolnaya-koltsevaya-svetodiodnaya-led-lampa-na-gibkom-shtative-s-prishchepkoy-i-derzhatelem-dlya-469235982/?asb=%252BIKYykKjXrstv0rUuny1hgHQu%252Bw%252FIzoGxWU5gdcntenGzh0kK0pyF6FOa2kjaj%252F7&asb2=wqkuqDk5_UdNEEHpTfMv17U6w-15aNPoEo7RFFaA7nd-PFk2zikjsipt5H8o4_w1AjePGyJ-SMDzrn3mtf5bNdb3njNYpdl21U8MaI-I0hXkO0lUmV1BRe6r1EeCwrkoLslaD3s_FlSrU0qd5Hgl3Q
Фотофон виниловый белый для фото и видео 50х100 см,480 ₽,1 отзыв,"Завтра доставит Ozon, продавец mainprint",https://www.ozon.ru/product/fotofon-vinilovyy-belyy-dlya-foto-i-video-50h100-sm-562732890/?asb=C5QVSBeTlK7ng3Oy1b2C%252Ft9eaiUSjKgG%252FiJmme%252BpdVOYgbvWrtHsVB4qW1P%252BEbH%252B&asb2=I-GqDr120UVXOzx_obYqIbjJ2grnWKxccQtLILLNWvom0-OTbK75ern2Qqz-yPdNF19gcO8osWPoDbvYZDQ7QtLn6PJfWsqtfdqy94bIL10rDzoSsaMplVwijS3ZeDondchfkaEOXB2LmGytJU7sIw
