"Металлические колышки для парника 10 шт, 23 см",235 ₽,144 отзыва,"15 мая доставит Ozon, продавец Посиделкин Стул",https://www.ozon.ru/product/metallicheskie-kolyshki-dlya-parnika-10-sht-23-sm-244100919/?asb2=MasNvlOkuPwQA0fUf3G6m3jWeKBpPvCth6qYTBF_tdZKp_OTBhgf198afqkDQqKb
"Тент защитный с люверсами, 5x4 м",919 ₽,6 отзывов,"15 мая доставит Ozon, продавец AtmoSfera",https://www.ozon.ru/product/tent-zashchitnyy-s-lyuversami-5x4-m-522938735/?asb2=QwV7zzIYTfUhp4HxyLBnNzoOvW6XULPsb67FlrghMs84ZWGWnd8J18CSelrx2O6Q-DrEmfHcKzTP38uI_3RSiQ
"Металлические колышки для палатки, парника",299 ₽,10 отзывов,"Завтра доставит Ozon, продавец Hippopotamus",https://www.ozon.ru/product/metallicheskie-kolyshki-dlya-palatki-parnika-527955485/?asb2=FuRr_KHNn2WIis4Ejg_1n7m6xDmPmTLeVatn4OnNnYmqxcOvtXzb0Wg2iF8lU2Fn
Тент с люверсами 4x5 / тент строительный 4x5 м / тент укрывной / тент 4x5 / тент 4*5,975 ₽,10 отзывов,"Завтра доставит Ozon, продавец Creatio",https://www.ozon.ru/product/tent-s-lyuversami-4x5-tent-stroitelnyy-4x5-m-tent-ukryvnoy-tent-4x5-tent-4-5-520216881/?asb2=Q7QF38bPtU_DmP5B4EiEwlvw0yKy8wrDuqpia3hoR2JsVYUY3iCIM8RtFbTGZS_G
Тент с люверсами 2*3 метра/ тент садовый/ тент укрывной / тент 2x3,475 ₽,36 отзывов,"Завтра доставит Ozon, продавец Creatio",https://www.ozon.ru/product/tent-s-lyuversami-2-3-metra-tent-sadovyy-tent-ukryvnoy-tent-2x3-513912333/?asb2=He-MyaL1RudJ2zUhm5jVROvV5vbC-2DkZVARB8r7MAPBc1MPKTvKh6m-WpBvvHne
"Металлические колышки для парника 10 шт, 23 см",249 ₽,33 отзыва,"10 мая доставит Ozon, продавец Panda Discount",https://www.ozon.ru/product/metallicheskie-kolyshki-dlya-parnika-10-sht-23-sm-286928695/?asb2=IjWvCGK1YEOh-JF4Hcpl8nlKEG_eeQRntwr1F_q6Om_pQkOedpxP0fhdI8ySpKXag2LESgZV8D9IJmaUBNCJYg
"Карабин с защелкой, черный, 6 см. Набор 4 шт.",360 ₽,5 отзывов,"Завтра доставит Ozon, продавец УМНЫЕ ВЕЩИ/smart things",https://www.ozon.ru/product/karabin-s-zashchelkoy-chernyy-6-sm-nabor-4-sht-501470608/?asb2=rGHEpMDDAyJq4MYJI6uPvgZt3Ls-ZnZcVHD6-uXFu6tHLQoSa4TizWMYZHYhyGnk
"Петли растяжки для тентов 15шт ""Тарпикс""",699 ₽,69 отзывов,"9 мая доставит Ozon, продавец АГРО-ПРОФИ",https://www.ozon.ru/product/petlya-rastyazhka-dlya-tentov-tarpiks-upakovka-15sht-225297311/?asb2=c3-_1UOgbssVss3FFSonG-lLFM-pTYxkOl2DRlzey925CTezHZYqUIeCu4DZDlgB
"Тент универсальный TP-60-3-3-BL, 3х3 м",478 ₽,19 отзывов,"9 мая доставит Ozon, продавец poryadok",https://www.ozon.ru/product/tent-universalnyy-tp-60-3-3-bl-3h3-m-458315387/?asb2=KxJJ6cr_wclRDOUAgjr1_0gMbI0N5HkiRzOQSfqcDtsSnheeryvwnseAEqQTDuxasViHBLiCi05xHYPHDSvr1g
"Карабин крепежный для туризма и отдыха, 7x70 мм, ТА",143 ₽,9 отзывов,"9 мая доставит Ozon, продавец Spooky",https://www.ozon.ru/product/karabin-krepezhnyy-dlya-turizma-i-otdyha-7x70-mm-ta-265832034/?asb2=MyGFk1kw8UlFyEOFwK8GIG4pmIZWSzWq7L8f0s0PdaJ3gh3R_Xkb3QOyBfxaGV-S2ewxMY47-nBDBIlPdaQ1Gw
