"Шкант мебельный круглый D 8 мм длина 1000мм 10 шт., сорт Экстра, Береза",940 ₽,9 отзывов,"8 мая доставит Ozon, продавец Леспроф",https://www.ozon.ru/product/shkant-mebelnyy-kruglyy-d-8-mm-dlina-1000mm-10-sht-sort-ekstra-bereza-542021166/?advert=bOOtBcDXkWa18HRxyNY0_DzC9wmYt9nEfWrqcONnUjJqvnN89q6HB64oz01dOP6tw8h3Ri3Kit4rPrvhsacQq78wIjBjn7PJ6pFrtfUEcoYMhTSHU5aqEQdrAck4V9sCY6eIxLFPeXaUSUE8SDpc-Lr5I2tNYQ7Iz_S8IKLXPqgHPJjsX2_xhwm840dm9Dzc57q9LokHxkzTCb3-ofP9i1R7srqyJ4j2Wtm9K8gaCMAxnoc2q9kCIUJ1GGwP8b8NTQEVcmRoBYb-aT8ltsOv6RxdRODrlDGivXimbMJJEnHKCG6cUUgxuQUU7hnC1Gpi86-js1HFoXziBQFQuKiApsAac6_GzhsCvSr7ZEM32YWhiqG-_uv6Qzu4MFEweZsEpxJ1-a_Xlqc-87mJ1JbNNP35ztG-_0TFCttrKdogled0E-f4XBB-llD9M8Tq-6GuZAhGXdVgqHfO74nsVxozRi10iVwtKGQPMeQ9PrarTVjOkfh8zrjBV1I-7dJpxqzFhHayCnenAq8xr4t4ju_XKmNJCJZj_ambY8e9RFqjnnaTt-I2ziRaUmnBA0MeAYqh
Рейка деревянная строганная 10х40х1500 мм 10 шт сорт первый хвоя,720 ₽,9 отзывов,"Завтра доставит Ozon, продавец Леспроф",https://www.ozon.ru/product/reyka-derevyannaya-strogannaya-10h40h1500-mm-10-sht-sort-pervyy-hvoya-507510742/?asb=%252FpjOXaKZSjj681m0rRADMAlYBAS9nRIFle1k64NciUw%253D&asb2=Rsyu0FAUiPpjohJpXbfEnmRzTyVWq_E9OOSErzauYm258GPxmlmANS6r4tu9gUbm
Рейка деревянная строганная 10х50х1000 мм 10 шт сорт первый хвоя,780 ₽,18 отзывов,"Завтра доставит Ozon, продавец Леспроф",https://www.ozon.ru/product/reyka-derevyannaya-strogannaya-10h50h1000-mm-10-sht-sort-pervyy-hvoya-366600289/?asb=zrWa2lNNSJmM8WYlnnrqM4uZCdr4fFGFPiB8mQXH8xw%253D&asb2=vo4B6TVHvp1g-om3nVUsiEQ1e3bJ_ZHEKHZmfobOZexU81De7C_5N1xHEpucg5P_
Рейка деревянная 15х15х900мм 10 шт. сорт АВ (сосна),291 ₽,14 отзывов,"Завтра доставит Ozon, продавец VEHI",https://www.ozon.ru/product/reyka-derevyannaya-15h15h900mm-10-sht-sort-av-sosna-409862423/?asb=4NIsiaPTcIq9oCGmlCfFA2pxApg5eZJG%252BzBomhiU9MY%253D&asb2=tU25jKtfeITBD_tbw62ffaVqsjw_RO3TTXLkrlzLiGH0DO3zjmaY8Ox5Cwbzgbu1
Брусок деревянный строганый 25х25х1000мм - 4 штуки,248 ₽,38 отзывов,"Послезавтра доставит Ozon, продавец RivStore",https://www.ozon.ru/product/brusok-derevyannyy-stroganyy-25h25h1000mm-4-shtuki-287155032/?asb=nbkC8ULoKHTbjMY5KK6uK6WAb1Jp6gKP%252FP%252F%252FOp8gwHbU10YXjF5V1VfRRw9RGIVy&asb2=n5VIePP9KUMA0ieFGoxqaNmo7SwUomYE21k6VSjPgY00ffHh2Ju4X52bSDdQqbnrduV-Y5AXdkeV-X7Mv6RPLZhqVQv5WDtHteTZt_i2PAJAFfzbw2mq3kgVbc4cwEqwmAfc-ofBQXka9girXvHZvw
Рейка декоративная Баффели,576 ₽,1 отзыв,"10 мая доставит Ozon, продавец GoldWood",https://www.ozon.ru/product/reyka-dekorativnaya-baffeli-479033801/?advert=gKOwmreo3UqiaGTY926kGtIIeEoRHnI3szQy-ZZEFUCi8Mi7v3lDN8Btykb0IRNl9KYC5hjS6RrQG8mhkmuLrJ-ko_rq4Sa_xIUVO3imqqxkuxSkPEI9mNDjzNJzHdSsRo89dY_2pxyOcTs7n8OMQd-t3U9Oi45KPk5qyBV0WtSywOlsr5n-MXdQXpe1hAEW8gMHQ7nyJR8r4eYqVr4WUq9-9xE5SmXn8BpjlyJqJXG__ttp4nHa1NmfVC2GphfvTD715DWJ1zEGaF0oBP5OK4Q7j7Abpnqiw_e-0VT861ve0PyNmE7cmB-QvneyxLBvavNGZB0Kfr42iM4ujxZUwmhYm7lVsLtKf_sCVGXlyM-W6sDxTrgF_pb-ErKT8m7CAsDjhYUaXG6_8MMSaZiqQg1qu8RNIYjSX3hi4CJ3CsUNmxw22s9Pv_gD0ep8sI_AvqnUrnwr5LlmryrmhoxC_KLGKG2J6MVCFt3pS-RjiuKe6UjJL7VwcRgi2sXZkC0_ow5qXmleSoAB-DCv_inCV8XRVl-yoIEsLOROS0Zh2JzUQO5JSxj43yNKZ8oTwHxm
Брусок деревянный строганый 30х40х1000 мм 6 шт сорт первый хвоя,581 ₽,10 отзывов,"Завтра доставит Ozon, продавец Леспроф",https://www.ozon.ru/product/brusok-derevyannyy-stroganyy-30h40h1000-mm-6-sht-sort-pervyy-hvoya-362934637/?asb=Zx5fw16OFxu2LzQ5xs79bmV5T9Y7VFp8Uls3ial02uM%253D&asb2=491-vgqbujdqVdRMU1tn_irAwNIsvik9Jb15WrN1XYc69tPhvwgHHnrAXQmjAcVn
Бруски-рейки из бука 40х20х1000мм сухие 2шт цельные шлифованные заготовки деревянные для резьбы Beech Bar LoftMagic,890 ₽,112 отзывов,"Завтра доставит Ozon, продавец LOFTMAGIC",https://www.ozon.ru/product/bruski-reyki-iz-buka-40h20h1000mm-suhie-2sht-tselnye-shlifovannye-zagotovki-derevyannye-dlya-363018662/?asb=DNzFX2zzICVBKqRoD1tykMJ%252BqdFGJA2l2nIGCjiX5X4fYjyjdSep622CFFvIaoYn&asb2=WS5lviAaKg13BhK5rhec_Oa9_D6O1PYP_M1B4Wxgjljsrm5Bls3iIK0QhXayJFCnm0pOxRKAAsQhFSrVXL-lvsMf_XG6H9f2GYsJo2rru3Y6A_ybcgqzkZOtXCFXptDOHMv_n5CqsgdYPXkTCRWIJA
Брусок деревянный строганый 10х10х1000мм-4 штуки,140 ₽,12 отзывов,"Послезавтра доставит Ozon, продавец RivStore",https://www.ozon.ru/product/brusok-derevyannyy-stroganyy-10h10h1000mm-4-shtuki-353053719/?asb=RwzfiY0n%252BmjLJJvs%252FOQ%252F18Ndd%252B%252B%252FIBojiDqsb1X4UCY%253D&asb2=g7zYSgaIy7d_hnMY5HuMlp6wFPup8ZGQ_Hg3fqCXjdg2wB5bBohOeuLJiWm-T0vn
Брусок деревянный строганый 40х40х1000 мм 6 шт сорт первый хвоя,766 ₽,7 отзывов,"Завтра доставит Ozon, продавец Леспроф",https://www.ozon.ru/product/brusok-derevyannyy-stroganyy-40h40h1000-mm-6-sht-sort-pervyy-hvoya-362930381/?asb=FbZUiObp203Zof9zjuT%252Fm7nJrix2zANhV72qs1Tu9Ls%253D&asb2=yXtWNzyEXJJ2qhyfC36TXgU-e6kLuQc_HmFVg7bIdgyr6hYKzfbwvkWdOnjU8cS1
