"Воблер ONLITOP JS, длина 7 см, вес 7,5 г, цвет 05",164 ₽,29 отзывов,"9 мая доставит Ozon, продавец MAINSTEP",https://www.ozon.ru/product/vobler-onlitop-js-dlina-7-sm-ves-7-5-g-tsvet-05-270564258/?asb2=CRDVkHbdN6yH6Q-VS02W3w-bC-E9z4T4tW_ydFxYC3uvsVMqST3K79LuenVdq8XO
"Воблер Super Lure вес 13 гр, цвет зеленый, заглубление до 0.7 м.",211 ₽,11 отзывов,"9 мая доставит Ozon, продавец ИП Мухамедьяров О. Ф.",https://www.ozon.ru/product/vobler-super-lure-ves-13-gr-tsvet-zelenyy-zaglublenie-do-0-7-m-539116080/?asb2=_8NeSrXuW9mfyYGSPyRhd4EAvKDi6K06y_BSpUHuBZZwXvktOyrXDVvwYGRpx6ie
Набор блесен колеблющихся 5шт 14-22гр / набор блесен колебалок / блесна рыболовная / блесна для рыбалки / колебалка,499 ₽,12 отзывов,"9 мая доставит Ozon, продавец Рыбачь.ОК",https://www.ozon.ru/product/nabor-blesen-koleblyushchihsya-5sht-14-22gr-nabor-blesen-kolebalok-blesna-rybolovnaya-blesna-dlya-510486036/?asb2=i2zpqVLNvRzV0q8gR_aGk0ef5HsCYeIH_dNwqqrxtUOZPf1be10Z5Mi9-RMJZFb9U_wePB8wLuPDfp8pc2x-jQ
"Приманка пенопласт, вкусовая 250 шт. Вкус чеснок. Диаметр 4-7 мм.",179 ₽,14 отзывов,"9 мая доставит Ozon, продавец ИП Умурбаев А. Р.",https://www.ozon.ru/product/primanka-penoplast-vkusovaya-250-sht-vkus-chesnok-diametr-4-7-mm-520430350/?asb2=sFw9J1Hj4nHflckVE0o0LsKUI_u9OHXUEOAOm5BQxgb8XUevhIrQ1uOggs2f0l63
Насадка Кукурузные ПУФФЫ Corn puff LION BAITS КЛУБНИКА 20гр,125 ₽,96 отзывов,"Завтра доставит Ozon, продавец Lion Baits",https://www.ozon.ru/product/nasadka-kukuruznye-puffy-corn-puff-lion-baits-klubnika-20gr-542817294/?asb2=VecWKjBqHEOq0PzLyGCIu_gB1EjrHPxpi0OdgkuNcbwSWyvXgljyR1Hyb8J9TuUx
Насадка Кукурузные ПУФФЫ Corn puff LION BAITS ЧЕСНОК 20гр,125 ₽,96 отзывов,"Завтра доставит Ozon, продавец Lion Baits",https://www.ozon.ru/product/nasadka-kukuruznye-puffy-corn-puff-lion-baits-chesnok-20gr-542839148/?asb2=G4CNHC89PW6WL-AF5GFujVzpB-BhcLq7uCErowTukyYC8fNtTK0UiODZHY7otgBT
Воблер Trout Pro Original Minnow 100F цвет 112,240 ₽,40 отзывов,"14 мая доставит Ozon, продавец АДРЕНАЛИН.RU",https://www.ozon.ru/product/vobler-trout-pro-original-minnow-100f-tsvet-112-442807590/?asb2=VMeMPmVNXZ2sTvBTmyIZ96YgITAGuZoH5etuUhJyKqF7A2HjiswqPJeiqCAaH_ix
Набор блесен рыболовных Колебалка Hantsman 5 шт. Классические,563 ₽,36 отзывов,"Послезавтра доставит Ozon, продавец TopShop",https://www.ozon.ru/product/nabor-blesen-rybolovnyh-kolebalka-hantsman-5-sht-klassicheskie-467489186/?asb2=g1owjmVF71GwLvbGSGCGlTwSNiLgiaelQ5PSsppF1MH15OrqylZm731GhBokiMKQ
Съедобная приманка Мотыль + Опарыш в квадратном блистере,219 ₽,23 отзыва,"14 мая доставит Ozon, продавец Mircamping",https://www.ozon.ru/product/sedobnaya-primanka-motyl-oparysh-v-kvadratnom-blistere-462518247/?asb2=zCcWIFGrcgftxpr64pUqkDFghDrXGKUN5T1u_dVorrZsnlUf3JIFVTXzIOnOF5fp
"Воблер Namazu Bomb-shell, L-95мм, 8.2г, минноу, плавающий (0,5-1,0м), цвет 6",253 ₽,4 отзыва,"9 мая доставит Ozon, продавец Русская Рыбалка",https://www.ozon.ru/product/vobler-namazu-bomb-shell-l-95mm-8-2g-minnou-plavayushchiy-0-5-1-0m-tsvet-6-492650543/?asb2=HKW5bZ2hmqXh6CfeU3Pk2eH0Ivyu1vkfBJ6YUunJi2iHpwYwYOZsSMh14aRee8Uy
"Блесна рыболовная колебалка 18,21,25гр 5 шт",449 ₽,87 отзывов,"9 мая доставит Ozon, продавец BeRed",https://www.ozon.ru/product/blesna-rybolovnaya-kolebalka-18-21-25gr-5-sht-523481333/?asb2=RfyELgpcMFhSMdfoXhRBI76GFimvl2IkJblMnIdINvzbZ-XTBYs6vsX39OFDk-5SFg0Ukp1JiN9I5CtQ7ri-DQ
"Набор блесен девон для рыбалки 5шт/Набор для рыбалки/Блесна на жереха, щуку, окуня / Приманка для спиннинга",489 ₽,3 отзыва,"9 мая доставит Ozon, продавец 100КРЮЧКОВ",https://www.ozon.ru/product/nabor-blesen-devon-dlya-rybalki-5sht-nabor-dlya-rybalki-blesna-na-zhereha-shchuku-okunya-primanka-545446110/?asb2=qJMVX_d1BAadSGBfgxqsDhxLTAKIlt5jyxUQ9v2MuEf2R0chQymQrZIrIeXEASh0
"Лягушка-незацепляйка Namazu FROG, 55 мм, 8 г, цвет 15, крючок-двойник YR Hooks (BN) #2/0/400/200/",211 ₽,26 отзывов,"9 мая доставит Ozon, продавец Русская Рыбалка",https://www.ozon.ru/product/lyagushka-nezatseplyayka-namazu-frog-55-mm-8-g-tsvet-15-kryuchok-dvoynik-yr-hooks-bn-2-0-400-200-507588616/?asb2=bBf_DuWnAG-_XMOGz9WVoxMEwqW7n2w44iR3T_9uWtKMHGqgdjHqXGEoa5iWVGQv
"Мандула (3 шт), для рыбалки + ЧЕБУРАШКИ (3шт) , набор на хищника, мягкая приманка. Мандула на сома, щуку, судака.. Мандула.",425 ₽,12 отзывов,"Завтра доставит Ozon, продавец ULTRA",https://www.ozon.ru/product/mandula-3-sht-dlya-rybalki-cheburashki-3sht-nabor-na-hishchnika-myagkaya-primanka-mandula-na-536057026/?asb2=7AqdZVLWp54ywUVSXLsKRnvBU1YITgNcuPMHOhI1aYR2K1iWfeQe_amUCxX9L410BnGaqOhz_VURNMfKhYT4-A
