"Прожектор Фаzа, WL1-L6W-mg, 6 Вт",649 ₽,35 отзывов,"Завтра доставит Ozon, продавец ООО ""ВТЛ""",https://www.ozon.ru/product/prozhektor-faza-wl1-l6w-mg-6-vt-194409475/?advert=Kseg8-CWF60JGJwe4bd631US7_IYXBPffGjObqaVZturvKnHtMZdXAXgfBzEGioWA9IWVXZT1qUyYi-Yu-TOCplR5F4WNF6QofrU4Y7a7UTHZfKHnnH_Rb88hDcHSZvxFUVlt-kDu_LyGOoZBlor2M-s2DX5oDztweVbZy1JsWQhukeYIaPbXcjizebzieHrvP1eTDkilhiIY2jbeLIuABGIeoNmO4pKOSuRQNH2i0BKOGeqglUiSAfbn1e9LflGVLsvmejn6W6UTCcuus1yJP4Xcuk_Vr_Vss-5ceXUOI5UYycMoSlbY40A8pM4jka4IdFHZvSAUXYdoIF7ZsdO2VNRusUHPQp6hpIw77FvH0SPmgdyFgD_BPVs61Zkiw3F8ul4mPR5sWIKkisnW3_0_QsOjipPru7ueR016XKEcoCxnijA3XDyXLzTJHxkIagO34Bdoe3ztIwxb35XPZErZvKrycQ_YHSpVyEYKBU6x0qbKcP85MS0zEHwjfTBFttgykX5EcLZttxv3hTDCwcuM_SqxpGeRW4aNugpugNSy2g9SrCa2366kxb7xejeVEhK
Светодиодный уличный светильник прожектор 100LED с солнечной панелью и датчиком движения,394 ₽,40 отзывов,"Завтра доставит Ozon, продавец MyLatso",https://www.ozon.ru/product/svetodiodnyy-ulichnyy-svetilnik-prozhektor-100led-s-solnechnoy-panelyu-i-datchikom-dvizheniya-525378293/?asb=iej%252BCIAziHLrRwg0IKXcLLqPkmjOPQioyZMwDFhlz8CsFfJoiJ7ChdyqXGD8OtU3&asb2=VOg9gNpprUNKvVCg87m0lChNjTY6yhpf1toZVve-YC1Yuvh25b_RwSdaS58VDoSkwF5eU8GVsqxk5PuC4oFARYYIKvZTBhqXxC-vCYprubUpW0nKg7lO_JK0c5ABr4UawL8lwWhgvFVULtKiYcqulQ
"Светодиодный уличный прожектор 30 вт / LED прожектор 30вт / для дачи, улицы, гаража IP65 30W 6400K (холодный), SAFFIT SFL50-30 артикул 55179",335 ₽,59 отзывов,"Завтра доставит Ozon, продавец Feron, официальный магазин",https://www.ozon.ru/product/svetodiodnyy-ulichnyy-prozhektor-30-vt-led-prozhektor-30vt-dlya-dachi-ulitsy-garazha-ip65-30w-6400k-326276866/?asb=esw0iKVyk6SgvarFYgYNl5kNXl0Ia2FBF54AAPhEdoOFEKTQK7F5T4AZrGZDyo9D&asb2=iDfJJNSpJ8wVNKJwR1f2Wh2oILj0R4m_JhN4rA9LMA7fcKOmAoO16aG-LuoLPGh4fzMZlyrz8IInsizYH7s_N6pmAnsT0daiAfxuvpW0aTbH0MEsDV7zebxNf4AW5HRcKs29uAERkvOeTwsdTvphBQ
"Уличный светодиодный прожектор IP65, 20 Вт, холодный свет 1600 Лм",315 ₽,138 отзывов,"Завтра доставит Ozon, продавец Официальный магазин СДС",https://www.ozon.ru/product/ulichnyy-svetodiodnyy-prozhektor-ip65-20-vt-holodnyy-svet-1600-lm-184689592/?asb=ZHo3XNRCg%252Bi1T339NAjLx3C3DVyCmGqcRII3Uh1xeGY%253D&asb2=VW92nuWCyCzzXmbUPZh9v1mHWXRAQkzM8LsHL9eg3ZurTlBvs0VzkPBYkZxYoezP
"Светодиодный уличный прожектор 100 вт / LED прожектор 100вт для дачи, улицы, гаража IP65 100W 6400K (холодный свет), Saffit SFL50-100, артикул 55181",935 ₽,38 отзывов,"Завтра доставит Ozon, продавец Feron, официальный магазин",https://www.ozon.ru/product/svetodiodnyy-ulichnyy-prozhektor-100-vt-led-prozhektor-100vt-dlya-dachi-ulitsy-garazha-ip65-100w-326451274/?asb=9c0HMrTCaK67Rr2lGsZjcC2NRBvlqfAS6LCGCReErwoHJ7yLc809Lj8aaNIcyFyM&asb2=VU_fF0pDgmhXHTMrkV3zJNNE7d-VgyA0DxhCIwG6IAMacn1RbkgufZq8mfPnyv6U2v62sK7hV38ijsiuIq-LXpsopA0gq6afYfsFssrOJBjXJeWx3opsIsn8R8XkfsghVckUVoZnF0X8tRdrTB4uMA
"Прожектор Фаzа, WL2-L2W/L03-gn, 2 Вт",329 ₽,20 отзывов,"Завтра доставит Ozon, продавец ООО ""ВТЛ""",https://www.ozon.ru/product/prozhektor-faza-wl2-l2w-l03-gn-2-vt-182805012/?advert=wIXhcYWh8u3HfpArCLjuUyfC6sIcFbUmtbTxj02URs5EKWcjt9_U3Nx9W1ueQTGRGkkbH-0kjVzQiYUc53BLHppElPqQYGtn8aH3sjmIhMo9acEbPaFdXGAZctMDJQLSgvk62y7zaUV2eNDUuqbRsggGnKEbfuLyIMnkqunoK1U2KtR2w4h_0ZoL6HrWkVmeFowmx71bVzeEuOhBqDxRo7wcEfEdF6_4fIomXpy1oi4-Pb9Ap3zkT8_IG16Yrzf9EiscGUJ4vKjcSlWqzfiqzm1-z-PDy-5daYQ3jKhrhxyFqJY6ASVPXchpjCEydnuBlEoHvEjb6YjNE8obkbr_FB_voQMfBvHqQEsIZdnDLGDgnRSrqBCXJukJ4b-iLvas2LGaf1dx7GV7gOrYWEcLrPpDvMVA1EXtPKKTF2wT3oF2kWHN_AbD_TIwxaR90orhnxnL3sjfubSmyq_yl1Z4Sfxhf5C0YmqG_dLkjnwtgn-WqVDKl7M4rbU3dpL8XzcL6WhLVVjFrP1uDQfOQV7GxBglfehv-DPZAM6xz8iYnWndu5nzu_x-JYoCnGc4E1tB
"Прожектор VKL electric, LED с дат.движ.30W VLF-D2-30-6500-B 6500 К",849 ₽,13 отзывов,"Завтра доставит Ozon, продавец ИП Смирнов А.Н.",https://www.ozon.ru/product/prozhektor-vkl-electric-led-s-dat-dvizh-30w-vlf-d2-30-6500-b-6500-k-191075113/?asb=%252B3Xz8Xj9fATDO4A4FTbQrqlintL0BxHIutJEFJVFlWc%253D&asb2=tCUYJd7AuYF4u7w90bi-6SCXgYM2CdZog2GPu2j27UcCwB4AeUa2t_YElMMSLf4s
"Прожектор Ultraflash, 12317 6500 К, 50 Вт",666 ₽,7 отзывов,"Завтра доставит Ozon, продавец Энергосистемы и Технологии",https://www.ozon.ru/product/prozhektor-50vt-205h160mm-167309730/?asb=xf8QeFr%252BPQfQvXp9UZj4GHV5SF0WV3UM0G5w2jmanMU%253D&asb2=eVHzm6rV_0bnR8yr0g6iBiYUuQQeD_EaZp4MrgL53mO4RrVIKYY5HnJIRt1be1Fc
"Светодиодный уличный led прожектор 50вт (50w) 6400K (холодный свет), IP65, на кронштейне / Прожектор уличный для дачи 50 вт SAFFIT SFL50-50 55180",466 ₽,172 отзыва,"8 мая доставит Ozon, продавец Feron, официальный магазин",https://www.ozon.ru/product/svetodiodnyy-ulichnyy-led-prozhektor-50vt-50w-6400k-holodnyy-svet-ip65-na-kronshteyne-326265107/?asb=c9Sx1KyRe%252FZMoqA4CX2Gay6Tp91767W3AJxUWeiv8yU%253D&asb2=X9cUmiYbKiNp36uYtUzX0mOGaeS1J_iA8-756faBkCLPvgwifPwRardqGAeosPz6
"Прожектор Glanzen, FAD-0030-50 6500 К, 50 Вт",490 ₽,122 отзыва,"Завтра доставит Ozon, продавец ТК Профэнерджи производитель RUCELF и GLANZEN",https://www.ozon.ru/product/svetodiodnyy-prozhektor-glanzen-fad-0030-50-148531402/?asb=j4S5t9OVb1FD%252BbegIuuujdybk2533n51JnA1Uy6oM%252ByykQ8%252FlLrDMH%252F9vJCGWhLQ&asb2=LHAgdkEJutrb6XZcSd6C6heXiY3t3wDGS21-VICaU4HBeqeTsqvt13KXAQMielbyR1l4Cz6woc220HsbgzF1LGrNxy_aLnO41DF6AEUlx1pDEhcsqGtLVXmgS95HnDgbL4_jt-txNRvK0a9j138EaA
