"Щит учёта электроэнергии СК 1-3 IP-55, пластиковый, навесной. (ВхШхГ:224х270х110мм) КРЗМИ",950 ₽,22 отзыва,"11 мая доставит Ozon, продавец KRZMI",https://www.ozon.ru/product/shchit-ucheta-elektroenergii-sk-1-3-ip-55-plastikovyy-navesnoy-vhshhg-224h270h110mm-krzmi-239603648/?advert=AXBqFissVfA_PmJpIU72nuY5yFnt_kKxwvN-LI-O7p8jCnw45Kv4gRDOFqJaf1AgwXWAPEzXvr7tBBL2dG9eVLCtBowR6kRQg0sMrm0J9J2GfDcmqHwVdy7V_x7PiQcFtqVs4KkBWhi89fQbnUuLYOgBz1Y6oED9CvifgoPlmWP9VXIyIMyZeuFnPiPD2C0MoWERyoM2iifMhAOEF4PK7xPFH2Nhtz7Z61yPvHX6goXRvgNxaQ-WLoc35MaAw4hD5r-u9n4_W1Cwr1ZuapUZwrqyy9f4euY4UrtvRBgFPvexc3j9xN3HLqgjfycviGq3TQlwdn-yojl3iq1GBR6TCd1F87tJLOi9ujgQFG4wAr-wwbQIAbOuccuDHXhE7gfoKmUtVkdEaWZZ_AliOFWouAV4MRMBh_7Y0tbVVmR6EJeECdXnLouou6fctLTiZmyoIUXcazopr11LCB0_6zuBzxzuIW_aAXK_De_6hTXQ1v08D6futvEiFvjattWs2z-g2qbSLDk2w0bNwuoFAj8tNLzUEuwwRePHLyKP1oO2p4sYBJ_jvYrtHTQaCqv-86E3
Щит навесной IEK КМПн 6 модулей IP30,321 ₽,96 отзывов,"Завтра доставит Ozon, продавец Склад Электрика",https://www.ozon.ru/product/shchit-navesnoy-iek-kmpn-6-moduley-ip30-267054495/?asb=6DO4HVld%252BVQpOREKJ37WLJ8s1uQboMugJ4W1%252BejtX9o%253D&asb2=UQnHgr6bVnDxJKPCyVq47gZ_1V5bUmGeN4tLj56Ouo9z8FAS0gL93DR8PYgnVAuJ
Бокс IEK с прозрачной крышкой КМПн 2/9 для 9 авт.выкл.наружн.установки,420 ₽,6 отзывов,"Завтра доставит Ozon, продавец «ПРЕСТИЖ»",https://www.ozon.ru/product/boks-iek-s-prozrachnoy-kryshkoy-kmpn-2-9-dlya-9-avt-vykl-naruzhn-ustanovki-485472329/?asb=3xeenImhz9LLC2UhOSs5ya9FSqQLJFP5eG12HicTFQA%253D&asb2=LeB4IioX7qIq-MaEfmL1xev1jfOp8FRUyhPmXu6GuYhtQ9UY51xVNgfL3RoFYkgh
Бокс на 12 автоматов наружный VIKO 90912112,876 ₽,30 отзывов,"Завтра доставит Ozon, продавец ООО ""РусЕвроСвет""",https://www.ozon.ru/product/boks-na-12-avtomatov-naruzhnyy-viko-90912112-150233164/?asb=xC4pu490uVn6BPMUvYYdzb223XwNG0LO0%252B8ZM7bG80A%253D&asb2=ROcoeOoqRSQNdq1qbU8rA8ExLYi5xvvd6aq3U90fVafRe31CeNsIu4Rsev2VLpsc
Щиток распределительный под автомат IEK KREPTA 3 КМПн 2/2/ MKP42-N-02-30-20 IP30 О/П/ с прозрачной дверцей ИЭК,235 ₽,21 отзыв,"Завтра доставит Ozon, продавец PROДОМ",https://www.ozon.ru/product/shchitok-raspredelitelnyy-pod-avtomat-iek-krepta-3-kmpn-2-2-mkp42-n-02-30-20-ip30-o-p-s-prozrachnoy-274747541/?asb=3BBOBkxIAjoX4O2by3878XMNxymJBV%252Bgm8wiAFDXB%252Fs%253D&asb2=iK27E7jcEJME4f9kjggU6CTos0BrJKkvhxu_QRjN_v203BzZ37KlmxfVuNrW0Ex-
"Мини-щиток Hager, IP30, 2M GD102N. 160х55х82мм.",519 ₽,2 отзыва,"8 мая доставит Ozon, продавец WARM-ON.RU.",https://www.ozon.ru/product/mini-shchitok-hager-ip30-2m-gd102n-160h55h82mm-218555815/?advert=BLhTrn2CSm9GSLQ6Qy8b7VwZSg22UsPJZDTgKAH--DFBA5tiziLUISlpd9u330Vj4eoJqOfzqGRCfffFVDBoZWWfqYsHZELR3g0dJ8Z0br8LNUhugoDT1LhFR7TH1jQ38CuO-mQ6J0V7psWBN96tDlKRdFHxwhgni7VGn-5g1gzeEyLDRNSteUx2-ka77W9w0zhXbCyw9FmYIxecRaoUbQD8gc73MKMKzgXxllXAZp9kI2liXGhCbXWtJgCF-PVfXn5n4BhykC8reQwvRN6wHj3uAuGIHZSHid4CYC23tEl9c6NOEzqtcsQWmTeNB1wj74f4KJKBF2oMtS6cvJPaxtKi43RG8t4puFdgZNxvqGXyJv5F_giBlqiNGl-wsP3hJ7JiIodbC-UMBDTHmEBHj0lsaJ9CfghXMLPB2CbMW3lldBA-syc7zPmqyEsUsVc4YWNalKnHANgKRYw-nREjHUo-MXTgBBZyardLKledCfAJUXk0fazjfoKvnMoeCPji4uqKlqs2wyG0w2XHcZ-CIpVw24LT5SQ1zWgRHYTzllLhpli_BhUl5xutY_D9hIc6
Щит навесной IEK КМПн 4 модуля IP30,215 ₽,12 отзывов,"9 мая доставит Ozon, продавец Электрон – ИТ",https://www.ozon.ru/product/boks-navesnoy-iek-kmpn-4-modulya-ip30-163146726/?asb=c4aoVtgJTjK9yA24YGueK14ToeBJlq1IXbOC%252FhI7e24%253D&asb2=GqaExKJaN4YIk39bl7Xiduai8MRwtsHgV57uNL_Y3Cq6-v1WzZGJtbq7xb47UJey
"Светозвуковой сигнализатор Plastim, 230V",539 ₽,1 отзыв,"Послезавтра доставит Ozon, продавец 100amper",https://www.ozon.ru/product/svetozvukovoy-signalizator-plastim-230v-418936612/?asb=PP16PVFFIbDA0PgndJfuK9R7BWSSEwwV6cqwBH9YVDs%253D&asb2=SjqarIQume5fpqMZYOp26mvgzzY8n-neAHQbmSjqRyANEXWC95lHclDzd7UT-mQ1
Щит навесной IEK КМПн 6 модулей IP30,331 ₽,57 отзывов,"9 мая доставит Ozon, продавец Электрон – ИТ",https://www.ozon.ru/product/boks-navesnoy-iek-kmpn-6-moduley-ip30-163146727/?asb=WdsllgaQIaxDQOwCMff1OLaLy6eS0KdugwMFeHttJ%252FA%253D&asb2=lhUL4WiEixS2ajqen71bvXomekGnKKzfqzMwWeBMvG6XOqV_34Wt_BAurKybDcii
Щиток распределительный под автомат IEK KREPTA 3 ЩРН-П-12 / MKP12-N-12-40-10 / О/П/ IP41/ 12 модулей/ белый/ с прозрачной дверцей,850 ₽,17 отзывов,"9 мая доставит Ozon, продавец PROДОМ",https://www.ozon.ru/product/shchitok-raspredelitelnyy-pod-avtomat-iek-krepta-3-shchrn-p-12-mkp12-n-12-40-10-o-p-ip41-12-moduley-274902728/?asb=zuuus43VxuNZhvsvTNt41f5%252FgWAfJ99wDB3x0sUS%252FQM%253D&asb2=XjK8R_C8OQnTstAUuUtBK0LFbAVg3wEE_rFO_d9dEtB1Tuqe5yNvgJbnDyFi3tr1
