"Кокосовое молоко AMPAWA, 90% кокосовый экстракт, жирность 17-19%, 250 мл х 3 шт. Растительное молоко (из мякоти кокоса), без сахара, безлактозное. Заменитель молока, альтернативное молоко, для кофе, капучино, чая, для выпечки и десертов, Тайская кухня.",481 ₽,16 отзывов,"21 мая доставит Ozon, продавец ИП Колесников Д.И.",https://www.ozon.ru/product/kokosovoe-moloko-ampawa-90-kokosovyy-ekstrakt-zhirnost-17-19-250-ml-h-3-sht-rastitelnoe-moloko-374595239/?advert=2Hccfo2u4tFT8hY8VlmrX33M5K-NvGm8bSYCZo_3DU841rK_uhOmf0frOkZRyOLDsVhOX45jDUnWQBc3sLiREHCi8bPI6OwngDb_f0onpqVA0IH2MTiULWo0QonSSY7vV7DkwHMSo3Y5hRkZgI-c2Piy7Adrg066N9Z_gkXJi17OY8yuCrN1QeguEUuREMqEbB2vMVsncST5sskxCh-MM2QxRqVp4aaM8rc_R31kXTaee-oZ0LnktI-UwW25h5PTWfKlAqCM-hTt4o4ISgmU9cpgF2dmgQ-IPgBrA2UjlG7tjj9Tno5ot1seY4mLhcWznoUEVjiKGMyGNVsB41OUhQUGLIoBScxJzw7knLniXJ5pK6EjeOa9-4WiKf4xR70s9E-I41hgsuAfmfsR3-Ghltef4LwAmGDeLtozgwsh6VeD2360oI0oYbv2QuHVmLZ_KZf6dWc8-DvqK5AF1V-4oz7_1oQMMF0YUEvTIiV26NRaBkMImBsZif23AKJ-3-RzOMs7oaGsfoR6gTyH1a_CRZjPPf3BHZPMM1HrAN_ohPpA_utfcYgR5xEVeRHwOU53
"Напиток растительный Velle овсяный со вкусом Банана, 1 л",139 ₽,48 отзывов,"Завтра доставит Ozon, продавец Ozon",https://www.ozon.ru/product/napitok-rastitelnyy-velle-ovsyanyy-so-vkusom-banana-1-l-462848474/?asb=vX4xbjsKndV7fVAIT%252B24g%252FvG%252BdlmbHkUlwwwU1t4uVw%253D&asb2=MlsxGLt6HqHjYFmUl6HJ_u7jdPop6WhokzOv7CAjNOiul_oXts-bChht9dL7Gb9n
"Растительный напиток Alpro Фундук-пекан, 1%, 1 л",229 ₽,9 отзывов,"Завтра доставит Ozon, продавец Ozon",https://www.ozon.ru/product/rastitelnyy-napitok-alpro-funduk-pekan-1-1-l-489078602/?asb=Elidw9oXCcRPurdjtxZclKqp%252FQau2oMxdMXdKAzat%252B4%252FYqzCSHrMcImmiX12%252Bjal&asb2=qBqmdOuekjIf2KI1oJfm_4ZGLAWxRTXwnV9ZlH_5EQ6pB371Sp5tbUbtHU-6yEWXY08eUltG9GOWtuFhmU55Z7gQwqhHDzFRW6V5bksoYTQRPduuNuPWzGz8KXGbjLHOvnl7VQ5DK8DIPGNEC9zy0A
"Растительный напиток Velle Кокосовый классический, 1,5%, 1 л",229 ₽,101 отзыв,null,https://www.ozon.ru/product/rastitelnyy-napitok-velle-kokosovyy-klassicheskiy-1-5-1-l-429349350/?asb=RK6C9LIjTcuUAdOphO%252FzLPRwvsbiMIMShveM1MbH5%252Bk%253D&asb2=jWnCfvlaxG7PUa27Atc1VeY32EbLn_PWHAhfytdfw_u23M11LJP-9pNJ8eyKsDEq&ectx=1&miniapp=supermarket
"Растительное молоко Naala гороховое Barista, 1л",199 ₽,14 отзывов,"Завтра доставит Ozon, продавец Растительное гороховое молоко Naala",https://www.ozon.ru/product/rastitelnoe-moloko-naala-gorohovoe-barista-1l-539935987/?asb=JSvhBwRZNxDrj12cXTt5%252Bo73AF7hTdo76VC6T6uCCQZzJg93rhFTNrpM8yAkKHRh&asb2=B6srcByuWBP4qBIyOkStd-Iia5xMN3uRH5WyqUR5mutBaObeKx2ZKvKotoE-BE51QGYd4RhHc1SqndqjLkTe7kzdFlGjosLUjBS0-26heorG-uXclVHxiClj1mZE8fXG_y65_eJPjm2qvNlyQpz1sA
"Кокосовое молоко AMPAWA. Экстракт кокоса 86%. Жирность 17-19%, 400 мл х 3 шт. Растительное молоко (из мякоти кокоса), безлактозное. Заменитель молока, альтернативное молоко, для кофе, капучино, чая, для выпечки и десертов, Тайская кухня.",538 ₽,28 отзывов,"21 мая доставит Ozon, продавец ИП Колесников Д.И.",https://www.ozon.ru/product/kokosovoe-moloko-ampawa-ekstrakt-kokosa-86-zhirnost-17-19-400-ml-h-3-sht-rastitelnoe-moloko-375577410/?advert=7fhfXghnSjtkVhtuGq3T1tFFb1Rmwp1JiLoUaITeVFuvrvlEv3yQL39kIt-t45HVdd7dmxqvty6-H3qAMtsVJqvTGRq3wQhljlI5AKCqmA9xYDlOcR7Hy0mILUmhKhUMxbLbb32lY3joY3yHLm6CNHHVARWcdIV_Oulv-GS3mMT7AVtBfyI-FuafD8aL4xDxWbuhqAQOCqURknlMUIMFlTJmK87lMQg1eyeMcY28jcFqIq0nSWzQ7Fvfsx43rdEyDFwEPG4RU_mTP3Fj9JVwn_sfoZTyFQgsxNJj1_7sqgeC2M-UG8HUDLQsz0vu92CYH3mZyhTIZofeMF6VCNfpiiyEWLishj0mlh7VcWlvBQNcO4NWWj7ZjGFxdwoAAIlq3vxIXSlkL9LXdgEZkwWQIlh02wVkHqrSIKlCFT9BoJrqShOg_Uu4PYph9nTc0gZ-YJAvAz1jVKlHXi8fUjQY1y9Ixky3phHS_16A0J8pxKNizam9EtCvl0dFD_tsH0JZifE5VVsKvc7ETAnZ29vX2Sj5DzRdpC6eC29dgHnWnEgRqo8I1IzJmisATxZ7EhwH
"Напиток соевый Hi с лесным орехом 1,8%, 750 мл",99 ₽,17 отзывов,null,https://www.ozon.ru/product/napitok-soevyy-hi-s-lesnym-orehom-1-8-750-ml-496406144/?asb=wxljpxQYVJY06eRWHqjRukXB6iBmt08U4DbBQT9I%252BV0%253D&asb2=skGvuwDkvqrVpfZBCG_EFZl5wP2epc8-Q8EmTws_BDW72sl9Ge5U-O-nyYKF40Ky&ectx=1&miniapp=supermarket
"Растительный напиток Velle Миндальный классический, 1,5%, 1 л",203 ₽,67 отзывов,null,https://www.ozon.ru/product/rastitelnyy-napitok-velle-mindalnyy-klassicheskiy-1-5-1-l-429349299/?asb=1hNaLIF3ncNSXpYPb6dmJRgQC%252FCz5EeRNwh%252B2PT%252FFWM%253D&asb2=AFyRpsbchIANtoK8Lt4_wxGl8Rggas5UqluuIko6pje4fMx887Ror7Qhb6l_hE_v&ectx=1&miniapp=supermarket
"Напиток растительный Velle Кокосовый Бариста, 1 л",179 ₽,28 отзывов,"Завтра доставит Ozon, продавец Ozon",https://www.ozon.ru/product/napitok-rastitelnyy-velle-kokosovyy-barista-1-l-462848481/?asb=uuXBXz0bonb6vILkDAwn4oAimdwrQ%252F1B8m3MDM2ujGM%253D&asb2=SSBInIr_YObfx0E95rhMpjNXf3BnYPuDL80Ca_Sp_JDGNsIbNrl5oks0drYKdZhj
"Тофу классический, соевый продукт, 300 грамм, Green East",285 ₽,31 отзыв,"Завтра доставит Ozon, продавец Vegproduct",https://www.ozon.ru/product/tofu-klassicheskiy-soevyy-produkt-300-gramm-green-east-389636153/?asb=Wt%252FWOOWeMvcW4PtXVafbQ62vwE32zfMMlaSXmGZRP2Y%253D&asb2=2HJFa2UhDyy3-XmFSpPqaxotXWB8MpYCgwuw62GL1x0GXO9pmZEE8EA2YLiE_k-h
