Отвертка с набором сменных бит для точных работ 25 в 1 шт розового цвета,799 ₽,144 отзыва,"Завтра доставит Ozon, продавец АвтоТрейд",https://www.ozon.ru/product/otvertka-s-naborom-smennyh-bit-dlya-tochnyh-rabot-25-v-1-sht-rozovogo-tsveta-528890554/?advert=Ueo6GTnLqy5wt1N0eMhb0rZNZzddAy8KjM3MSHk8LZL2BfTsAlNHdiZ7IltNVLYXsQy6KSGKu1Ew53uz8j7MRTHJkOVT2F5KWbpefCtwsV5BlejiO4sHPkp0iHrw40klmMVn7UV8ZxI3Hau5ayJLOye9eGJ87xaXF56vfrYEeVN-Xm7plmDW6wmIhLNssqkgbljlZ8TfxqxlTxnQvRRJjvBRJZZCc1VqIEqT1bMXH4KBGShoQquFdAuzmcfrPwmQ8SMxxU8ZYdVVJly4b1KyLa-w_3VpuC6ZIMvFGoPggeu3WQuNOpxivgUCOUsiYOhhZeRlWaEZvmdBeG38OpcZFKQbj6PMglodDUgxszEs1uwDKWBDcQkBNEeTcvYUvVMC00vh6y1T-iAHw61uZwvmkbRkcjdxFvupyBY1iGReS5vHus6GgzauhBzxpOIINgNlHiqUwRlzxMwU34Cvdnx_Ov4HxSLbgmQ4iI7bhdN_ompzzgaxWmoQjzgwlX7tVe241j9B7F_tu1GGzR8ANM9G52zH8vidRCz0Mer6dCf6ky9SzCF9AkOA14uDoYuMbYiQ
Струбцина DEKO CL03 300 мм Зажимная 300 мм,354 ₽,162 отзыва,"Послезавтра доставит Ozon, продавец Ozon",https://www.ozon.ru/product/strubtsina-deko-cl03-300-mm-zazhimnaya-300-mm-337577420/?asb=yfEbLzZ2GUW9iFTbCnioIwZ4KDdgBhm3mzALgG8HGKI%253D&asb2=E_Hp8QWXFbdP_7gz90wjwxCLExhHkwWORGyJed3GZTDgHUnLd7E35ifNhDxfO0iP
Паяльник LOM 30 Вт,144 ₽,10 отзывов,"Завтра доставит Ozon, продавец Фабрика счастья",https://www.ozon.ru/product/payalnik-lom-30-vt-221706043/?asb=EsXx9XTkQvHiQsqhxT1pWu4XzEEIL5c9zz6AxaX6fuw%253D&asb2=nswZZ9jRvQurW4wUEEd4bjLoD6_CmfQJ5i8UPJpbbxvLhuvvi0svLH5ZvLMJ6Gbr
Пистолет для монтажной пены G 114,198 ₽,173 отзыва,"Завтра доставит Ozon, продавец CG Top Shop",https://www.ozon.ru/product/pistolet-dlya-montazhnoy-peny-g-114-340103216/?asb=vGhlgj4aHL1e02L6%252FyKqEPAVQrPEO%252BiDamayVvz5JrI%253D&asb2=uYN8pmgt0_8QT_ibqDEGClR-0YftW2yiODfIkuBonqpClipRAdhrpLHX0JYm_F7H
"Нож канцелярский усиленный c металлическим механизмом 18мм, Exprofil",310 ₽,80 отзывов,"Завтра доставит Ozon, продавец SAVA",https://www.ozon.ru/product/nozh-kantselyarskiy-usilennyy-c-metallicheskim-mehanizmom-18mm-exprofil-382141994/?asb=PjtVfuJZ17TuTRceQ1O2QInHp1INny%252BLk%252B7nMu6ANFc%253D&asb2=ezW5tUV0Aahb-lId1krJW2OUdK60VoKVb_qn2TTfHpZgN0g1V2gjfy6CPWwv-OLf
"Инструмент для зачистки кабеля 110 тип, аналог HT-318/ Нож /стриппер/инструмент/для зачистки, изоляции проводов/ зачистки, заделки, обрезки и обжима витой пары/ стриппер кабель провод/для UTP/STP RG59 RG6 RG7 RG11/зачистки, заделки коаксиальных кабелей",349 ₽,81 отзыв,"Завтра доставит Ozon, продавец 1000 ПОЛЕЗНЫХ МЕЛОЧЕЙ",https://www.ozon.ru/product/instrument-dlya-zachistki-kabelya-110-tip-analog-ht-318-nozh-stripper-instrument-dlya-439008439/?advert=DrQ0u3VFdoEN1h0L67M-mgJg8IVIGcXeHmwfTEjTeJzalMcEOEeHIL23Hti_cp6U440ucX1sZ0BZABpvoSbwq_FLhy8s1dCxsq8N6rRLUg0V5hw3Js5akT4P9W4NDmgoN6-S8v6QMhaqYeUcmevJEEtBfXSr4iA4HUnyepm18d2x2NwX1glEkefbvSsCGSMI1rurGq0SHwo4U4nh-chYrRI9E3ORFxCNmh6D_GzbyzhJ-USsKoTMeOjJ-nIOsGhkDVg9NMUTs4peXl_mOxhVMffCNbed00UiVTpWHVS-B1CCPSYEI7B-w3iBbR8CUCoNAX7s6HOXAF4mq0xjn45nC9c44kBfbmKmcyJd_Q0rBA8iO18AW6KXHX9tbdSXgpfj0sAFJo4ilDssA6r1toaNkJSW7wenBchxKsPqUviN0sU7qFFNwTMY9jH2LLLgOwb7tgnvo5DLnD-bfUxpDIbw1upROlwymHh63lC-Ubftg5fGH6uDg5UBVuQlEz3eqeK--9AIB7zloa0g6EtJADDWtBzqSYX6U56Dfbqi7G3-Z4Rz2HtwZlTOt4ARyMyPdoWt
ЕРМАК Набор скальпелей 6 предметов,213 ₽,11 отзывов,"Завтра доставит Ozon, продавец EXIMG",https://www.ozon.ru/product/ermak-nabor-skalpeley-6-predmetov-505445023/?asb=CXScNJ%252BxXUbibwMfm3tZF6OFDsuiJ7CK8XrmhAAvVUg%253D&asb2=TXOF7EiNw_4TxtsFOkeUo9nq6CA0n1uQDL6IOFEV-JgzNUMH8gUGdje4Rt60sKCe
"Набор инструментов для пайки Cablexpert TK-HB-111 паяльник 30Вт, припой, тестер-отвертка, чехол (11 предметов)",402 ₽,18 отзывов,"Завтра доставит Ozon, продавец КЛАВТОРГ",https://www.ozon.ru/product/nabor-instrumentov-cablexpert-tk-hb-111-11-predmetov-167784966/?asb=vaOsjnaZAFDP38%252FZdPQbFt7ttbwSWb0guFgnTH4K9153ZOlykmVzXKGV3tGmubIS&asb2=uuWn_RmulvZdjVa1qZrKKl88fYr4O2-Uy4c98dufqCFAYSX3kmf6eiViNt6dYHtJcg181htt5gxrI0jnENCnEZhGUvyRGa1cMISwfoCA6nwt0ey7_X6hbE6qzX-s00eWFyp3Hg-dRY2H7FYbohj-1Q
Боковые кусачки SPECTRUM 115 мм (Q7),206 ₽,40 отзывов,"Завтра доставит Ozon, продавец ООО ""Атлантик""",https://www.ozon.ru/product/bokovye-kusachki-spectrum-115-mm-q7-270278483/?asb=L1dhrrxPp7sXHwdErYMq17phOtqxmzptgOfwXZLDLA4%253D&asb2=UC7k_QzvAdiYIhzqwUcYUaIedpD5XK9FwV4E9yDZCtqhhrVwMpFxc22MnfkMV8uk
"Набор стамесок с деревянными ручками 6-12-18-24 мм, 4 шт.",799 ₽,30 отзывов,"Завтра доставит Ozon, продавец ТехКреп",https://www.ozon.ru/product/nabor-stamesok-s-derevyannymi-ruchkami-6-12-18-24-mm-4-sht-372727171/?asb=svHcqYnUfaB08%252F6x7hKCVOLaIODDOflxyg5SKdkgF20%253D&asb2=4c5nlcGNqjHKus0UyxnAGE3QT4K6fUEOqouR6vwC58H5WIq17JA2Fl0ViErfi0-k
