"Рыболовная безынерционная катушка для спиннинга ""SKYFISH"" Mini 200 на судака / для удочки / для полавочной удочки / для окуня / ультралайт /маленькая / легкая / BX 200 / JL 200 XZ 200 / XM 200 / IF 200 A / 200 F / SY 200 / EF 200 / DC 200 / SY 200 X",369 ₽,34 отзыва,"Завтра доставит Ozon, продавец ZANDERMASTER",https://www.ozon.ru/product/rybolovnaya-bezynertsionnaya-katushka-dlya-spinninga-skyfish-mini-200-na-sudaka-dlya-udochki-530266288/?asb=0OixJFZVTjLVkhrShtxKClGhk9D6AhyI%252BC4WjgddJsF3uChOY6jG9p8KUcuBOHhF&asb2=ccA1Ncw7brBuvhVuOyUx8_XYoPdvFNEce47YOTI5VF-7ezPZTlr75LAUTdAHDb810SMxPA01RSKIwQzeFNrL8R9EGASyqCwRXpjY7qAc0kaxg4cghcuml2zN6uOHvC36H_EUdlWMCId9mAHdRW7MxQ
COBRA СВ 640 6 подшипников рыболовная безынерционная катушка для фидера / донка / спиннинга на судака / карпа / сазана / карась / Coblla / кобра,640 ₽,205 отзывов,"Завтра доставит Ozon, продавец ZANDERMASTER",https://www.ozon.ru/product/cobra-sv-640-6-podshipnikov-rybolovnaya-bezynertsionnaya-katushka-dlya-fidera-donka-spinninga-na-528626376/?asb=Jmc7Z0WE3uV57SFJaTOHnEY8R69x75Rh97h8jqXKfinshi9eh6Ecvzc9q7NNKX5w&asb2=Ow_jgkS1nTI-7FoiegrOT79mneXjfEAY9x-knInoJ-OfgAfXSaNcub4pcpW0VEOInxjTkfuF48tY-YirNAemgPIsiE7klZ9XREO4AJ7WCkT62YNQsb6ajzfkZWykzn4wvz4UwJiU48K7DE73fZZJow
"Монофильная леска для рыбалки ONLITOP 132374, 1 шт. по 300 м; 0.19 мм",281 ₽,12 отзывов,"Завтра доставит Ozon, продавец MAINSTEP",https://www.ozon.ru/product/monofilnaya-leska-dlya-rybalki-onlitop-132374-1-sht-po-300-m-0-19-mm-269173030/?asb=Z%252Fe4VPXKliIT7XjmVAGHRQ9fA7NnWkbsjwLPu3TFek4%253D&asb2=mj2bVfb9ej28tqZT9-RmCaSgCg8i1q5z33ozUTdn0mxhARtpQDMTJ_YT5WopjlHB
COBRA СВ 440 4 подшипников рыболовная безынерционная катушка для фидера / донка / спиннинга на судака / карпа / сазана / карась / Coblla / кобра,598 ₽,205 отзывов,"Завтра доставит Ozon, продавец ZANDERMASTER",https://www.ozon.ru/product/cobra-sv-440-4-podshipnikov-rybolovnaya-bezynertsionnaya-katushka-dlya-fidera-donka-spinninga-na-528627313/?asb=jQukoxDKu8hvW0uFob5Q%252FdYBdnFyqr7I1YojA0Jk9V4pz%252FY8zK4qNR7zGd67z0WA&asb2=0DA42nFT08EWyCR4YS-uy3BHIU2zxsS2iaV0JUcIrzhGRUqSRuuYO09d_Bgtn2RYk_LhO03_Z-8XZekAVftKTJsVaiDMAsMmVhZAsXTZpl1GN2mHyAqeye72GxHmLO1-XEr7BFEFkOnmQL1e_BysvQ
"Катушка FishMX SY 200X, с передним фрикционом, с намотанной на шпулю леской (CT-200)",371 ₽,24 отзыва,"Завтра доставит Ozon, продавец РЫБОЛОВ ДИСКОНТ",https://www.ozon.ru/product/katushka-fishmx-sy-200x-s-perednim-friktsionom-s-namotannoy-na-shpulyu-leskoy-ct-200-260615384/?asb=oeIZEv3HgStCrP6N4p8U5%252FVJ195wmPNkhXcUq7bGBxA%253D&asb2=8TTAm1x6VamopzyzIVk4pPBD9JDiOMusaDrc4v8fnF1xvEiK3SVr-HzUB9KYdn0b
"Монофильная леска для рыбалки YUGANA в мотках, 1 шт. по 100 м; 0.7 мм",151 ₽,19 отзывов,"Завтра доставит Ozon, продавец MAINSTEP",https://www.ozon.ru/product/monofilnaya-leska-dlya-rybalki-yugana-v-motkah-1-sht-po-100-m-0-7-mm-264512774/?asb=1Yk5q%252BRBRIxoNe5AHZP2J%252FVNIkhV3I2mH%252Bl4sZFz0tk%253D&asb2=ne2MXAxGqPDr4WjKXbY7dnZvK8Mxhdvr0lEo2_J0YnzMmJxqFaEzIr8V4mFwCrSW
"Набор крючков Карп №3,4,5,6,7,8,9 70 шт высококачественных крючков",380 ₽,63 отзыва,"Завтра доставит Ozon, продавец BIG DAN",https://www.ozon.ru/product/nabor-kryuchkov-karp-3-4-5-6-7-8-9-70-sht-vysokokachestvennyh-kryuchkov-488160132/?asb=oGngprTFYIh%252BV4RHE47zb7F%252Bk9%252Fe%252BGd5cbgDsa2oYZKqaQULAy3QsD8o4f7N9vgi&asb2=dIwjSmOpVesJcQvolXMihr3qNNqK-vM53Kdzc_prN1I3sMr3chxDx0EKA8BbUdKTicXbJdjEe0Qy_f5UwAlFn5O0XfyXfJhihworRtlZqbtT5MFaXXew1ca8UIXhLJx7N2LADN2bj4X6HqCHWlip7w
Катушка,120 ₽,18 отзывов,"Завтра доставит Ozon, продавец MAINSTEP",https://www.ozon.ru/product/katushka-271610991/?asb=zwPKEvGc2iDxDkbxEPbha4El7sgc7hOm6Hiyvu2BhAc%253D&asb2=5MwBBRiImEw5foId7oSRhL9ayrort5qpxF-CcX94CA_cKYsDR21l-2HVA4RMY3zh
"Монофильная леска для рыбалки YUGANA в мотках, 1 шт. по 100 м; 0.8 мм",168 ₽,14 отзывов,"Завтра доставит Ozon, продавец MAINSTEP",https://www.ozon.ru/product/monofilnaya-leska-dlya-rybalki-yugana-v-motkah-1-sht-po-100-m-0-8-mm-264512935/?asb=PJLZ1C7BcWpdk3FxQTXAJjj14A99BwysMQ8TWhqcKaE%253D&asb2=ZYm7xo02EjhG-ffPkK1FockGPx9dMBCSHagBnu3ZDRvo6iwW8jlluSH9RR6seixf
"Удилище Mikado Princess 540 маховое, от 10 гр до 30гр, 540см",892 ₽,45 отзывов,"7 мая доставит Ozon, продавец ""Туризм, рыбалка, охота""",https://www.ozon.ru/product/udilishche-mikado-princess-540-mahovoe-ot-10-gr-do-30gr-540sm-263678217/?asb=CWplJ%252BPt70LjP%252Bu%252BkGIv%252BjYMZzRu9eDcRO5lcG5D6j0%253D&asb2=zWXbk_OFkoVis9in_b670CQpGnLRK_gs1yRtDGFqCdTlEfKtS5FIt44drnSSiXip
"Монофильная леска для рыбалки YUGANA в мотках, 1 шт. по 100 м; 1.2 мм",220 ₽,30 отзывов,"Завтра доставит Ozon, продавец MAINSTEP",https://www.ozon.ru/product/monofilnaya-leska-dlya-rybalki-2730636-1-sht-po-100-m-1-2-mm-264513106/?asb=c5Jr6t%252F4RV9mTkqao%252FNYTTnF23gW5dB7N8hYikwY%252FHs%253D&asb2=1nBBxLr-B9ghkgfksLiFJzgEbL9WgE4_vAXOysr51gibn-gUuAae6ZZaWAJk1I-T
Воблер Цикада поппер плавающий 70 мм 15 гр,371 ₽,44 отзыва,"Завтра доставит Ozon, продавец BeRed",https://www.ozon.ru/product/vobler-tsikada-popper-plavayushchiy-70-mm-15-gr-536188687/?asb=g8d%252BHGNviHOMy5CAlsjGyw8X23rrHHexbLEMcyfKi8MUmdXy9z%252FYJRuBQEMQJX5j&asb2=MR9dW_WDVCbtYhPYGp5t3PECs7SSMv315uKp80eRMrzL76RX0pm9yBJgZ6ddvz4TG0h9TsYr5m5dRSizjNawoEsmeQCW_VLdU6fdUlaxSFm_5ibhi7UuMWMjTQ1EDW1pWR5MPPoZJvtHcCX7g-ZLjg
Набор рыболовных крючков / Рыболовные крючки / комплект рыболовных крючков / крючки для рыбалки / набор крючков для рыбалки,125 ₽,24 отзыва,"Завтра доставит Ozon, продавец Three Whales",https://www.ozon.ru/product/nabor-rybolovnyh-kryuchkov-rybolovnye-kryuchki-komplekt-rybolovnyh-kryuchkov-kryuchki-dlya-rybalki-488324710/?asb=PUeQCZcxwspTpKQKvxVc48OQD5Lm62rTfVfclkDy9gs%253D&asb2=cylGkIr98FZcxDjadjIXrguVmfUo7hkaOAyk8zy-AluJAjPm5JkaC-lb9IaVF1y1
COBRA СВ 340 3 подшипника рыболовная безынерционная катушка для фидера / донка / спиннинга на судака / карпа / сазана / карась / Coblla / кобра,580 ₽,205 отзывов,"Завтра доставит Ozon, продавец ZANDERMASTER",https://www.ozon.ru/product/cobra-sv-340-3-podshipnika-rybolovnaya-bezynertsionnaya-katushka-dlya-fidera-donka-spinninga-na-528626306/?asb=cLXQCrrvCm%252B7sPSvGe97Z8UH4v6qUlUY9ufF%252F9ZBGdhemB9xVmExNeEPrPdsqnPb&asb2=LwWgHcCUizlu84QYqyc74HNyzaMgsHDFLktWa7hqBzom73llnvaOK1KMlgMQrVJjxOOTFlQfaBoJWe0opvl2-NDuSzXysgV6cV0AdpKM2oV4YyNZ4ULPDrJx0b7wOoNHg4erReKW6tRBNV3sGAmk7A
"Монофильная леска для рыбалки Mifine CARP STRONG FISHING LINE, 1 шт. по 300 м; 0.30 мм",381 ₽,95 отзывов,"Завтра доставит Ozon, продавец JDM FISHING",https://www.ozon.ru/product/monofilnaya-leska-dlya-rybalki-mifine-carp-strong-fishing-line-1-sht-po-300-m-0-30-mm-486913994/?asb=1UVL9KDJgQJRHzysfcpvnf1nWgp0E%252FXhdOOsu0wZBTw%253D&asb2=cSF2c1NNCEZNtLrvpEGV3t-uVhIZwOHlwn_7j-rGCFOln6vdI1QRfQQVIkP2ktUj
"Монофильная леска для рыбалки ONLITOP 1232691, 1 шт. по 1000 м; 0.25 мм",745 ₽,14 отзывов,"Завтра доставит Ozon, продавец MAINSTEP",https://www.ozon.ru/product/monofilnaya-leska-dlya-rybalki-onlitop-1232691-1-sht-po-1000-m-0-25-mm-269173392/?asb=7eT%252BJLMJ8A9KyvOcf2vGnU3a%252BScJFm89gIAZd83B%252BwE%253D&asb2=1H1UhkohxWga7xT8yy8Gcj3rgZ1zltIuLN7Ya1qmtfDlWlN13UEvI1dA4T68D26n
Универсальная сменная ручка для рыболовных катушек с деревянной рукояткой,260 ₽,88 отзывов,"Завтра доставит Ozon, продавец Mircamping",https://www.ozon.ru/product/universalnaya-smennaya-ruchka-dlya-rybolovnyh-katushek-s-derevyannoy-rukoyatkoy-300384820/?asb=LDRFT%252FKaWjG6VIK3gXcL%252FvJ8bCh4z%252FAKGIiFlIPl4s4%253D&asb2=psHDoWU1KUKW1bp1NNZrvfkWvWpe3HT-oLduCfwRHIxKghqH6pmpuiHEndF8_UTu
"Воблер ONLITOP JS, длина 7 см, вес 7,5 г, цвет 05",155 ₽,29 отзывов,"Завтра доставит Ozon, продавец MAINSTEP",https://www.ozon.ru/product/vobler-onlitop-js-dlina-7-sm-ves-7-5-g-tsvet-05-270564258/?asb=lCmVX6DR7l8JZNjzLkn8qUEGNbOxsTkpMK9qMd4Z4Q4%253D&asb2=YE_tZN4bqTp9g1uhnTJtS_7_lZSe1wy_Oe0ohXBBbSK_v6dvtaOQBYy2i0Jh6j3M
Блесна рыболовная Новгородская 18гр (латунная),132 ₽,10 отзывов,"Завтра доставит Ozon, продавец Poli-shop",https://www.ozon.ru/product/blesna-rybolovnaya-novgorodskaya-18gr-latunnaya-518265198/?asb=3bnIub4vuYUmnUarPbygPLrV3KopVy9mY1C91Jcnyn3di%252F%252FIuet5HWNQ8aWlHbKp&asb2=U9fyIDe_RayFcM2ZZzVa1k8rZI3rjf4-dz_cLZF0qEZ0u44F8wl-NMNAiQAyh4-cQ57QGzM3LxNBl4V9n2PqNxxl7CIpc2Jwn-VNUoFPsNjR_uBC_MVTNGJp1wh-ad3vD1bXIOPKcRqatfYXy-L8VQ
"Спиннинг Vitfishing Prion, от 5 гр до 20гр, 210см",977 ₽,8 отзывов,"Завтра доставит Ozon, продавец Ваш выбор",https://www.ozon.ru/product/spinning-vitfishing-prion-ot-5-gr-do-20gr-210sm-536400612/?asb=Gr8UhdITbwbsKScNMBIZe8lKLuFfQZG9ETj9blw0fQU%253D&asb2=mnSAxmujjqwysMY2_HFURas55HdpIX-l56pBPxBgKBIkJV5Ex7C-AIZ0AiRS9pt9
"Крючки рыболовные с ЗАЗУБРИНАМИ COBRA, №12, 10шт",129 ₽,94 отзыва,"Завтра доставит Ozon, продавец Золотая Рыбка",https://www.ozon.ru/product/kryuchki-rybolovnye-s-zazubrinami-cobra-12-10sht-518724839/?asb=3C95xeZ4MO2wQLlcua5AX4nxMf1aFez5k1T3P724bZo%253D&asb2=cxCHl0lHHX51qlFQSGseKbpkb8ceW6N64fKFAi2JKNgg3cNj65PeWChTUKLQVJTD
Крючки офсетные Crazy Fish Wide Range №5_0; 5 шт. в упаковке,159 ₽,16 отзывов,"Завтра доставит Ozon, продавец Русская Рыбалка",https://www.ozon.ru/product/kryuchki-ofsetnye-crazy-fish-wide-range-5-0-5-sht-v-upakovke-511382432/?asb=HTano%252BVR6XEDIGleSlW3sclSwmFfHQYmyRpggqbYwWo%253D&asb2=2lT7j3uUFHpmvSmCw0QpMWX9OBO3lRCkRnb_1x7Yditj7wpUvj7rndR1LdX_K_ZK
Блесна рыболовная Новгородская 10гр (латунная),132 ₽,10 отзывов,"Завтра доставит Ozon, продавец Poli-shop",https://www.ozon.ru/product/blesna-rybolovnaya-novgorodskaya-10gr-latunnaya-518650228/?asb=2hXjigJDZjaN3B96qkZxInFuDo2uIbHKxtqUZlvgVU9kAaq%252BoeLqbSxFFaQaIt5a&asb2=ehYCIpZwKc6EZmEoLeJ2rC3IxuUiMOrOocuFdrq3beXbepIZzp5n6gLd19zXo59oDZoyDGEGQdE7sm3kAEaEFKa1MzZvSZjZz-Gy6d4xudaKVai8iWzKg8vcpGX7yPa7gMV_6ze9SbtH_-HZAe3BQg
Крючки рыболовные набор 50 штук в коробке. 3-12 размер,139 ₽,29 отзывов,"Завтра доставит Ozon, продавец ИП Умурбаев А. Р.",https://www.ozon.ru/product/kryuchki-rybolovnye-nabor-50-shtuk-v-korobke-3-12-razmer-491482261/?asb=gyycCCzYp6%252B4pBDZeCII5CaqsvnlwKen9sgFRj4pwhA%253D&asb2=4vbXlw7tg7nlxUcLEOZAmA_e2KERN-lQ4JS1jU5lmqmD88oCo2iFGz-WZBhJZPdm
"Удилище Mikado Princess 630 маховое, от 10 гр до 30гр, 630см",957 ₽,34 отзыва,"7 мая доставит Ozon, продавец ""Туризм, рыбалка, охота""",https://www.ozon.ru/product/udilishche-mikado-princess-630-mahovoe-ot-10-gr-do-30gr-630sm-263675380/?asb=EMFwG0NqGIJGmxn%252FbgoMdl2j5Fj0vAhQ9YXZFO3qR%252Fo%253D&asb2=qk8yP5O8nxTABJZ8f0Cq6RivXJND59tXgldehamGUe1fVmtblWprEROuXqMDHiRo
"Набор воблеров 7 г, 8.5 см, 05-1.5 м.",742 ₽,21 отзыв,"Завтра доставит Ozon, продавец Adomi",https://www.ozon.ru/product/nabor-voblerov-7-g-8-5-sm-05-1-5-m-540195025/?asb=6OpocqI%252BKLBajO8ePC7vyiaUcAniBSsO13XXkLZygs1iz7U9clpl5Me%252BQTq2cKJ7&asb2=DG8g3qoWvL9lmgkw7e6oC9cMlwlf32ntv7nme-ioo9SWDQ-YKRF9-7-yzvxQd5CKxQv5Z0H9U5n_vPT7q3oSgHR4c2HJCA-OMeWoOpeYHtYPFy3sr1rKnjKC_SaCDCaDt6u5Ac7fXMOhaDHIyCQSPA
"Strike Pro Inquisitor 110SP, 110 мм, 16,2 гр, Загл. 0,8м.-1,5м",490 ₽,10 отзывов,"Завтра доставит Ozon, продавец ИП Семененко",https://www.ozon.ru/product/strike-pro-inquisitor-110sp-110-mm-16-2-gr-zagl-0-8m-1-5m-483561279/?asb=%252Br%252FiguEFC6vS0EEuZh8jJqeAw1AiEmWkORe9fC8CF9c%253D&asb2=JgovpFG6W81EyBp82nkMGHlhWIaZHgYeh-xB9OEn8ZTGpJCfktFvdn557vwCUhXM
