"Ядра подсолнечника ""Станичные"" 50г х 10шт, очищенные жареные семечки ( снеки из семечек )",292 ₽,33 отзыва,"Завтра доставит Ozon, продавец АгроСоюз",https://www.ozon.ru/product/yadra-podsolnechnika-stanichnye-50g-h-10sht-ochishchennye-zharenye-semechki-sneki-iz-semechek-296055370/?advert=sbbXJXgGGsmh26wpdfvs7Az52YSkqug8gUfT14cCFABVUf4xctfjba0Ce4TQFA4pWvdNq2U55Gs358uR8mlt1NCvZ0hlW_EgcaRHU4apA-GrjTw93RLVHSZK6_8aPgyPBDusH1sk627bw-cAt33Hql0c8WbhMe8vbQ2Ud52bak2PJoa3SOXaAv6mGs7AE1QsqGPDHqsHz9F_OCQoh1hq2ZU5TNNvuaD_Lcclc0SOPP4eIJ2zEURunAqB-7tdLqIyiP6hGT13pbSaQyxNg1a8dXeJ1goazZBiqOGPNkNAHgiqLy6mtXAoKqusTnDMOpRXYXICK-Jt0DC6rBIJntIqv19IfLdqc_T5NUmx_4_mBEics486Sy0anqVV_zyIz2q90SwnDJ0G0L9IoXaUriOtyJ32irH0bGfKdfOwW86MxAwfD6-ctXsXOuviuMhMnEoWfpFnqkbbs6MvPanXX47AHItfoYPXuqxEtLAr1pGhcVSYegZzZHCqtmAzGFIwGDW_4XCKNYFRVpje26Hcw7fwXZ6gxdOM0bMJBFnYBfOFyVNsLppUhMTKj4_9kQ7JNoHE
Ядра подсолнечника жареные 70г DonSemi,42 ₽,9 отзывов,null,https://www.ozon.ru/product/yadra-podsolnechnika-zharenye-70g-donsemi-531606047/?asb=n1Gwc21RGz%252F%252BkMqj18wzbrBGCICzNun5PsVrM1Ei2tI%253D&asb2=aczXEmOulCxJhn5qtGz3xMHwiXm7sdc2Mn_ql_QmmCr4-iy-5nOZU39BzEFbd5Af&ectx=1&miniapp=supermarket
Ядра подсолнечника жареные с морской солью 70г DonSemi,42 ₽,3 отзыва,null,https://www.ozon.ru/product/yadra-podsolnechnika-zharenye-s-morskoy-solyu-70g-donsemi-531605878/?asb=7mfKGei2attLbD19P1CFj4bYowsB6z0qVVBrlnJugXg%253D&asb2=5YdeVlS-ZKa6b5AmZ_fu0uFaGpo8C6VPSddXB5dSPl1UDeUE6yB00izr6CDpSJeD&ectx=1&miniapp=supermarket
"Семечки подсолнечника очищенные (сырые), 1 кг.",239 ₽,85 отзывов,"Завтра доставит Ozon, продавец Greenleaf",https://www.ozon.ru/product/semechki-podsolnechnika-ochishchennye-syrye-1-kg-228267179/?asb=nrDJf51XKZZ3eAXuYhz2JentXA7g9WVDkrzad6P5xTc%253D&asb2=CIXt1RD8qy0-bZ_O5dkH0J9Ym9Jk0fsxxrjc5EMdQizZOEq8WI7rMGynoIdhs2il
"Семечки подсолнечника натуральные сырые, Новый урожай 1 кг / Epicnut Эко-Маркет",199 ₽,25 отзывов,"Завтра доставит Ozon, продавец Epicnut Эко-Маркет",https://www.ozon.ru/product/semechki-podsolnechnika-naturalnye-syrye-novyy-urozhay-1-kg-epicnut-eko-market-439459765/?asb=n0oUsjPVkjv2kQGHyukloGd1COiscp4eM8QjVETJx8dSWVicjCGEhiOllShYIZOJ&asb2=6bSLqrJ6aq6n0U10Y8wrL6hs8noSsLQJJSNxzxmYgmxRLPrLv6y4yT0gHiAIe36KQD2jcqZrEt1YMbkBnTJKdN9U66xTkbKaNCzujrhZho6rVV5H4mjSZu3lgxJXDqc6TMiyzyllOeIlodwm4_OQ1g
"""Станичные"" микс соленых семечек 4в1 - 120г х 2шт",220 ₽,17 отзывов,"Завтра доставит Ozon, продавец АгроСоюз",https://www.ozon.ru/product/stanichnye-miks-solenyh-semechek-4v1-120g-h-2sht-326694336/?advert=B4j4P9hEJYb98a_Tz7yvowhHKpekMA8XeNxxakgZSmw9wBpIiC4EPBztlf0-FBcRuWqyj4VEF13IRQ-NeSmsNfuLT1e2LLJgswbooXMdXuMS_Y4hkJGT4w-dJgacAxluy0g3B3iPdgvUVTtDEPGiXcdEzkmFrkqF-VPx57UmkmUVcCXLw8rTP-RBWEwS9tcpIrrIumXfDcYF35RLuaqseIONvs0empURosZCg_cY-qiryjZpMyOwHXtgXuaAuob11URqTOodOhUg-gLGVprcWzHlpPfkwpOyubqVpPxTef2LQGJTaP-RnEg9IYaFgaU10b8erNFwZWqItK8fml9WUcxPRxRk3qLSkhCm2V5SE5NJpwzOOnjZfYRYu1kgQMUf1c1VCfcLX1yJXgLoDvX2DigCNJB-Sl7tgbjIRNUPNr69CN-00w9yaW92_bNmDCRO-gTz2ooj3FQ3Kff6Oo1bdQNHJEkn6ueVrm1xVQs5sVNsVWdcgXdOQ3_RwWGhORmvP870tj3Ce9dCvPMh8iPPGC876_JKs6OvZ9SU47ZVwsf3QzSUnERrvs8VvvXGf_Iz
Ядра подсолнечника в цветной глазури 100г DonSemi,59 ₽,7 отзывов,null,https://www.ozon.ru/product/yadra-podsolnechnika-v-tsvetnoy-glazuri-100g-donsemi-531606057/?asb=HOA%252BNLnIBTeopRIuIm4sY5YWXItOnsKfw5dAzrzW%252FeA%253D&asb2=ntBw4U9Uepm5ZC0SALju8Xfj97rFjkxYjx0907IEmug9u4mWctwbTdanF1khQghd&ectx=1&miniapp=supermarket
"Тыквенные семечки очищенные Dattie, 500 г",489 ₽,66 отзывов,"Завтра доставит Ozon, продавец Dattie",https://www.ozon.ru/product/tykvennye-semechki-ochishchennye-dattie-500-g-464549271/?asb=43%252Fzm5vOApFecOFKK50nUrpFKb1zKtLLbhEm8gTCz4k%253D&asb2=WzuqUG2SMibCxJ3VQTyRbUp3xwtnFt6attlTaDWacXW88kYTnPuatsWJ-h-1-uJ4
"Семечки Бабкины семечки, соленые, 100 г",53 ₽,153 отзыва,null,https://www.ozon.ru/product/semechki-babkiny-semechki-solenye-100-g-266333658/?asb=D6GbC%252FaVDjeASWg2CTWcSBlXvg7ySK2RDThqmoGWE2I%253D&asb2=ZweWkQIjRwLoCSBORFhvXA7OMqjDiLJP7wEmQ69o1XhkBPrPijrzMyD42cEbOZmW&ectx=1&miniapp=supermarket
"ROYAL FOREST Тыквенные семечки / семена тыквы / семечки очищенные / полезные перекус, 100 г",117 ₽,11 отзывов,"Завтра доставит Ozon, продавец РОЯЛ ФОРЕСТ",https://www.ozon.ru/product/royal-forest-tykvennye-semechki-semena-tykvy-semechki-ochishchennye-poleznye-perekus-100-g-287653872/?asb=gdDDnNKoVRk32kMkYK6vqb2SiDaILIDoJPpDBJU99edf93euljqmVBizwzdN31Q%252B&asb2=C2bAcf4oBZgPoqXdOj9kqcZo65TtQtLzggQVxzbW-qQAO61WeeubmITowLhBpm3j4wLo7lbjb2i3A08TKkPFsgyaxSq7mURZWZBvGQ3IxPb3mGVZmdguyUTO8G98Bderv1CIWVY4Vehnk0qgpFGhRQ
