"Деревянный скворечник для птиц ""Козырёк"" из дерева сосны, собранный, WS-001",864 ₽,3 отзыва,"13 мая доставит Ozon, продавец Funny Seasons",https://www.ozon.ru/product/derevyannyy-skvorechnik-dlya-ptits-kozyrek-iz-dereva-sosny-sobrannyy-ws-001-529969991/?advert=VrksuHD0aDzie_qiMPorkErMZD6NOCL0FK7fdRyI-aqgRQkiKqNLkVechjxQySFJRzPXCQiahrHMiu1mxNL87H_LvtHIK1DQovH-ZWE6iqJwASunZanQBDZCZ16QBydr1THcj9bV2UMxgsiaa2NVL866_Orvg_TV7F7tHix38FBSmhUYud6mXcLeZCtfGPH8RQ39vGUIGD-5YGfwBP6yglXa-9r7_ZB-ghqJU2XFlXG7ARcblwTm5T871NWkzVVnO9p75MDsX-3qYjN7FqUXF_EC-rdtiL4vICHqXPlWWuWTTlZbILi3F9en1Ogj7GO381rW6isLztDcyav2mWat0SrQdh1UilV4DiyhErB72YIDubz40KthnBB26WQlgynKO6I9myiKagYGs_Aii4OLZ6Y_UMEGwwCEAoyEYBaoLX4cHI4itDlptDl3uDbDoZEtgufkTEq57MliAjD684VAlz0L-Wkga9hqkwLRQIxkJPztQyaju7ATgCL5LQt4mrlGwuWGmoEiAyMjPlOBEp7VeT2cV0rtQQgJMNqlSSItbry6xfjM0uhjbeX49LLusX4A
"кормушка для птиц ""Малышка"" 14*12*12,5 см ART & YOU, скворечник деревянный, подарок, поделка",240 ₽,100 отзывов,"Завтра доставит Ozon, продавец SELLY",https://www.ozon.ru/product/kormushka-dlya-ptits-malyshka-14-12-12-5-sm-art-you-skvorechnik-derevyannyy-podarok-podelka-288859106/?asb=Tb5AVrVrYh60oPgnHHrEKoOJ87WH0Gs0Hkb%252BpdFINwQpsyxBefh4jrnZPjhyjS4j&asb2=7Y6XriEnSVe92eKvcJm6KIQw_2OeX_49Yk58QXH1mYIHV1hpfsO1S-WE3WtnFF-M0QyG5mlCaUM537FNkdcf5kII93qGXKTWYbX2Y2nbBbFlZhWhESqt1kdh1_EKa8rWvDVgI0Er8q4vPJx6Y9jvWg
"Гнездо NATURAL для птиц из луговых трав, d110*45мм, Triol",273 ₽,85 отзывов,"Завтра доставит Ozon, продавец Покупай-КА",https://www.ozon.ru/product/gnezdo-natural-dlya-ptits-iz-lugovyh-trav-d110-45mm-triol-260258409/?asb=z4cTUVkz64JRYWWuLYHPfSjr5uHlf204zErzw3CWUG2J6UqngFWODOwrtZcMcZXe&asb2=u3LwFoLb3HHf43xUKw119V0CQIFbGTk84J3gBy3NoM5Gf9_bcePqVsp8ahr1vuFybJ2XM434C0qzD_bee87eHOEWqqC9AfMTE6Zqs3g0R_vwWNTkyPSx55p6_im2-Nqrx5La-kHM7B9M7tkPVVumVQ
Кормушка для птиц,210 ₽,126 отзывов,"Завтра доставит Ozon, продавец Anikar Box",https://www.ozon.ru/product/kormushka-dlya-ptits-465540941/?asb=sRAS90p6TtRloRs%252F%252BSEBz%252BhzBF%252FQ8GFTZ6CDBVN%252Bxjo%253D&asb2=GZmdHxQYQPc7RbPcuyfaUrOXsN0mnrsXYfR6FqX_IU8GOXyjzADMH0P4FXVFOatf
"Скворечник ""Синичка"", 16х16х30см",809 ₽,7 отзывов,"15 мая доставит Ozon, продавец Деревянная мозаика",https://www.ozon.ru/product/skvorechnik-sinichka-16h16h30sm-477963142/?asb=50eBLmB9PkE7yUSkBKYtI0Im6RCnBuxycBfRyslvsXU%253D&asb2=dw7td13Rer5052c9eu3r27ZxgdD3WzJVchHvZAmY3-qZ2l53DiR6Eoy6OvijdsPt
"Кормушка для птиц ""Дерево"" 23,5х25х25,5 см ART & YOU, скворечник, скворечник деревянный, кормушка для птиц, домик для птиц",560 ₽,19 отзывов,"Завтра доставит Ozon, продавец SELLY",https://www.ozon.ru/product/kormushka-dlya-ptits-derevo-23-5h25h25-5-sm-art-you-skvorechnik-skvorechnik-derevyannyy-288982956/?asb=X8SadDMBYVe7sDt10lht0O7trGvQXhhxjgKvMW28QvZDwx%252FHJ%252FpXEVH1L7U2RNGM&asb2=jzDZWGMc-YGyuDE_6gbAdGGOC0FdwGpM6FTpFjuEo0eIEmeVHht8ihYQRPjPrGuLImEU4INz70EwQDQ0-81J3oGNbRckGjMftP6lq3Fs7og28V4EPab6ESRxgevXpMjdeQWjBZuSKyvrPtnZtAYRRw
"Подвесной домик для грызунов, декоративных птиц и попугаев в клетку Вигвам 22х32см, дом лежанка для хомяков, лежак для мышей, крыс",740 ₽,1 отзыв,"Завтра доставит Ozon, продавец ЗОООПТ",https://www.ozon.ru/product/podvesnoy-domik-dlya-gryzunov-dekorativnyh-ptits-i-popugaev-v-kletku-vigvam-22h32sm-dom-lezhanka-427922371/?asb=HbvXkDLMbpO7MzOg9Uu5SaWjXQmgDjCyroxJGYJahTQ%253D&asb2=HIrKvFCeDcYKfzMhuqwBZLnI5Zzw59bzQ62-DArnOwX5jLTKtVhCa2C7p8wf_rQW
"Эко-конструктор скворечник 31,5х19,5х16 см.",799 ₽,29 отзывов,"8 мая доставит Ozon, продавец ALLGOODS",https://www.ozon.ru/product/eko-konstruktor-skvorechnik-31-5h19-5h16-sm-220491169/?asb=d0Lb7YH%252B3ss4AH7frB502HUDX2fAvTChQo0il2RDE%252Fk%253D&asb2=ryRopfXuMJKtUGSK9l0ws4YPo5Lej_qnWN_038SNVSdy9bOYtw0FrjRYn71omJiQ
"Домик для попугаев и грызунов из кокосового волокна, кормушка, скворечник, гнездо для птиц в клетку",635 ₽,15 отзывов,"Завтра доставит Ozon, продавец ЗОООПТ",https://www.ozon.ru/product/domik-dlya-popugaev-i-gryzunov-iz-kokosovogo-volokna-kormushka-skvorechnik-gnezdo-dlya-ptits-180136022/?asb=GYqu5EuQ9k0oalMjyLyCpfxvAkdoLtneIskdogm14c%252BHBoNpGfv39EQyC2UNPVcc&asb2=GRqj9ioxw94GkMXlhLudm938uorBo-de_z5nEyNqrXiSHCAbtstqpAODgSWvBml67CWczbkdm6GWsiIDp-wIR77X4gXB6gBN00Ogj91XwAlK5dZeNRbTT9MqDeGQGYcvPiNxttQxQzF63-he9zG-hQ
"Скворечник ""Павлины"" / Домик для птиц / Скворечник своими руками / Скворечник большой / Сборный скворечник / Скворечник деревянный / Скворечник-домик / Скворечник-кормушка / Подарок / Творчество с ребенком / С детьми",573 ₽,1 отзыв,"Завтра доставит Ozon, продавец АРТ-ВАГОНКА",https://www.ozon.ru/product/skvorechnik-pavliny-domik-dlya-ptits-skvorechnik-svoimi-rukami-skvorechnik-bolshoy-356363241/?asb=FifbupSps2a1Fk2bsumLp00lKP2ruziBBjfJpILDN6qcMJ62shQMlqSplG1fm1sk&asb2=O9DE7oVArhA3ornsj-YqataoaGC8QVy6nBJw1Zv5K0LOq-7flkOgBkbWsfvVQw8bQUEmUaYnJ9Cq-grV7N-zubE1uokv0MI6HQZjnk_mqAcPhuPOC0EpwzPTNhQytGw6maDmAgdu-gNWAv67iSs77g
