"Форель слабосоленая Мирамар, ломтики, 100 г",245 ₽,19 отзывов,null,https://www.ozon.ru/product/forel-slabosolenaya-miramar-lomtiki-100-g-490181456/?asb=jYE1aUGifwMt41Lrb1Z4MmN7mT14fZDn1LKuO7FdOBU%253D&asb2=kLmWfzLjtC8OBIbuXOx9oHORVDhh85wChlFle8RC-0JH9NV1g-uNw6zDAY5HtRu6&ectx=1&miniapp=supermarket
"Форель слабосоленая Моремания, филе-кусок, 180 г",341 ₽,197 отзывов,null,https://www.ozon.ru/product/forel-slabosolenaya-moremaniya-file-kusok-180-g-332247900/?asb=Vc%252BRgMDxb1Vrl3rPMcqc7np8ul0mqf7b3xvqD6h0AHY%253D&asb2=7Ukucx_jquDe0TuLaWLDmIRSeTWl4BmMw4hwrNbcpuNSp9mLTQcHvJFQ_9qp6OFN&ectx=1&miniapp=supermarket
"Скумбрия ВкусВилл кусочки холодного копчения, 300 г",218 ₽,185 отзывов,null,https://www.ozon.ru/product/skumbriya-vkusvill-kusochki-holodnogo-kopcheniya-300-g-269647267/?asb=1WdjApzTdizvcSqEF7IFwocBFPRale12duzsPF2FNyk%253D&asb2=A5weML-ixPsI6-WQ0VsFQX9Qr9soRy28ETrc0dYBhfQ8t1g3kZ0Jf7hlegfGH1_4&ectx=1&miniapp=supermarket
"Форель слабосоленая Мирамар, филе-кусок, 200 г",445 ₽,20 отзывов,null,https://www.ozon.ru/product/forel-slabosolenaya-miramar-file-kusok-200-g-490181451/?asb=iMnT5vsiQCzLrJXyHB9Uv662O04R%252F3nE9i04%252FY9KdxE%253D&asb2=j0hVG9acpUfcDNed2XXA570jElbVZiDEJhjetyl0MkLSnAkb6mwoddPzflX_wCVZ&ectx=1&miniapp=supermarket
"Горбуша холодного копчения Русское море, кусочки, 230 г",263 ₽,57 отзывов,null,https://www.ozon.ru/product/gorbusha-holodnogo-kopcheniya-russkoe-more-kusochki-230-g-383238997/?asb=Fog%252Blcqo7GfqrV%252BTONidsaX7IZAvJEeDd0vFUxeafiQ%253D&asb2=7g_SgRdi7jDq2nff7TrUrwxxMqFXrTcRAzlO2WtdRVsjb-LMKsmdiIlnVHLQ_9gP&ectx=1&miniapp=supermarket
"Форель филе-кусок слабосоленая Меридиан, 150 г",469 ₽,5 отзывов,null,https://www.ozon.ru/product/forel-file-kusok-slabosolenaya-meridian-150-g-490180129/?asb=Bv5iqgzlbxpakElfyC19T7w2ATwcB4%252F2oTT8Aw%252FIxFI%253D&asb2=WxaJRhyrASAErb8OwnjZKeyc_jhrUEgj__5wJysvxLqgnlsnvIMZZnApKamds4ZO&ectx=1&miniapp=supermarket
"Омуль холодного копчения Олива, ломтики, 100 г",204 ₽,22 отзыва,null,https://www.ozon.ru/product/omul-holodnogo-kopcheniya-oliva-lomtiki-100-g-407696331/?asb=2ntx8dBtD6uvq3gp%252Fsk1xez3cZrjFuXuCH3DW57JA50%253D&asb2=Fdi2NNyxheJCO7HJHYb0iOaTYDcbCuq5cAFcwfKseE_CpRgQymAYKwII-Lj2KYUS&ectx=1&miniapp=supermarket
"Сельдь холодного копчения по-датски Олива, филе, 150 г",122 ₽,34 отзыва,null,https://www.ozon.ru/product/seld-holodnogo-kopcheniya-po-datski-oliva-file-150-g-407696333/?asb=YFRU751VAF%252FhOr3RkN96J7AYfw%252FWtrAtGQ%252BvtfHmmDE%253D&asb2=9XEfiqCWQ3Y-vRulwCglE5J_fKkkS0-6MJPQ2AXCklYmgbaEh-CLNKjuGSYOQaXR&ectx=1&miniapp=supermarket
"Семга слабосоленая с укропом Dr. Alice for Life, замороженная, филе-слайсы, 200 г",575 ₽,89 отзывов,null,https://www.ozon.ru/product/semga-slabosolenaya-s-ukropom-dr-alice-for-life-zamorozhennaya-file-slaysy-200-g-324566766/?asb=CvsA1x5GvJz3HThrA9iqE1kQeKTN3KpE0NWlsLWx9AQ%253D&asb2=w-8amGgGVV-Go7j_b-wEwT_-meEgQ_pWsRvj-KG8Ji36w-fi2q4DYo5ero6UgRvf&ectx=1&miniapp=supermarket
"Форель ВкусВилл радужная, ломтики холодного копчения, 150 г",418 ₽,127 отзывов,null,https://www.ozon.ru/product/forel-vkusvill-raduzhnaya-lomtiki-holodnogo-kopcheniya-150-g-269647264/?asb=HV%252FKvN2KzuDyWsGXqvC2O5I6BfYtgLnTjDQ7dVLfVxs%253D&asb2=bl9Mf8oQazJPNNSPfE0ddcZr2P6m-0Ztir120wQTG80jaizz_U04APrIh09Zisbz&ectx=1&miniapp=supermarket
