"Шпатлевка (шпаклевка) полимерная финишная белая влагостойкая Glims SuperFinish Pasta, готовая, 4,5 кг",560 ₽,117 отзывов,"Завтра доставит Ozon, продавец GLIMS",https://www.ozon.ru/product/shpatlevka-shpaklevka-polimernaya-finishnaya-belaya-vlagostoykaya-glims-superfinish-pasta-gotovaya-4-400663677/?advert=MRZhw1jDxH5ci_Apn0WxY00EziJuINaOOQKJiIySHFOtcNIMQFz_OZfKblts8Ham3aWVb-V0fEZwJ4I34XfGDU8wztj_Y5oD-aKe1Ifa6zqzjbz71cbXnWlYOC1taXWktKt6lzAjYEtVmUoz3WStuMb4quR67cqrQ9LPMEaJfY-Q5o5F0B7BH0VUqSYY76B-28xy4-6ObIYO4TR3sW_QFksSp35qsxW4eYP156tBfwQv3_9XP_WUBfB6FP03wYqOTJvn6lyDylzNQd2ljec1q4qiOF3xWJR2edYUYEw8rqbL-XIZ43oR4SVx5Dbr5_qsqSaYMCjvp2QTHnmyDDaAqWq1aoBXEbtZ3wZM-TIKC0ltFCR4hyBot6UsxP9bKKoKDPIOdIi_NfSyKLKzS4U-WN5ARoHl_jYhQhcNrlk1Gyhf1hZcRNSusqww87-46YDiIjnmU265-MBFBZChJJ35nE5IhOKVSIiQBBk76XUK33Jgxk9h-VtKh_rarlA6sMo648Z-K_BGjitn7_zCMSw3X1fMS0P_bRY66HCevJ3aua_IACCtVOAjJa9ONX28D1EC
"Полиэфирная смола для авто + стеклоткань для авто (стекломат) REOFLEX / Ремкомплект для пластика и сквозных дыр / Ремонтный комплект / Смесь для ремонта пластика 0,25 кг + 0,25 м + 0,015 гр RX N-07/50",899 ₽,121 отзыв,"Завтра доставит Ozon, продавец Автоспектр",https://www.ozon.ru/product/poliefirnaya-smola-dlya-avto-steklotkan-dlya-avto-steklomat-reoflex-remkomplekt-dlya-plastika-310422429/?asb=R%252Fuau113TNcrBHlRUJt%252BQoWY2kkuubGlza4shGR4wBo%253D&asb2=91T5YkWv1c95mrk4r1bvkNiNpsoKPMfS-jO3ESL-FSi-0RFHDbgUXvprtlGiNXIR
REOFLEX Ремонтный комплект Repair Box RX N-07,695 ₽,25 отзывов,"Завтра доставит Ozon, продавец ИП Алфимов Алексей Валерьевич",https://www.ozon.ru/product/reoflex-remontnyy-komplekt-repair-box-rx-n-07-340165641/?asb=PkK6cdmHqjF8CUesDljGYjUj4pglRVw1b1HqmVVnO%252BU%253D&asb2=8L7wtk3uAk6LSt8keVTUChxZZcOYakqwnJEUcLiOk_gEQOc-zC4j29_J-kwef3JM
"Шпаклевка-замазка универсальная для выбоин и трещин КОЛЛЕКЦИЯ 0,7кг",189 ₽,8 отзывов,"Завтра доставит Ozon, продавец 000 МастерСтрой СПБ",https://www.ozon.ru/product/shpaklevka-zamazka-universalnaya-dlya-vyboin-i-treshchin-kollektsiya-0-7kg-521886249/?asb=JLY2ABU3qylVilMn13QSfw7u%252FbNTh26S8nE30FmHPYn8J7SXbk2%252BU0f%252F%252FOF9Fefj&asb2=VnL4WnQkXnXWLuG-z0eRvWldWYfca9Phsy8aSUmirPYhV2uBgFqfHuLOK4jjV17CYKVBPN-LrJSodRlavKkhKVnGgyouxFhRJLVMeNcIM_wNQBT5XKgkhEDAYPnXrHiJ
"Шпатлевка Лакра акриловая универсальная для внутренних и наружных работ 1,5 кг.",269 ₽,43 отзыва,"Завтра доставит Ozon, продавец ТурZonа",https://www.ozon.ru/product/shpatlevka-lakra-akrilovaya-universalnaya-dlya-vnutrennih-i-naruzhnyh-rabot-1-5-kg-299779820/?asb=8z6qAVmWLcdpyOfr9ia45KbtXXRz31k363Wv2zpH5%252BIrvHcrUsYNLf0Vh3ArL0r5&asb2=CTMNL-36KTpTgMZWmInsLNa0dGbtemojs1yu8ZYnFwFgg2BP_f0A_O-qe-I0y1w23jev2ENR3VNybDwF7Dljbj8d07ypXvlGwI91QOtw12d8giG6B8bVF494yaMa29oaUhxEY-yKOmE6m-Yvc2yGPg
"Смола полиэфирная Novol PLUS 710 для ремонта пластиковых деталей, 2K + стекломат, банка 0,25 кг., 36101",836 ₽,187 отзывов,"Завтра доставит Ozon, продавец DL.market",https://www.ozon.ru/product/smola-poliefirnaya-novol-plus-710-dlya-remonta-plastikovyh-detaley-2k-steklomat-banka-0-25-kg-36101-297770784/?advert=xLXOjfsR9V9_meTaXWTUz3UOvyv-wAtHezRDycXUpz7w_1dJGVnUgI175koQtarEuz0GmRGbY4tgGZeaV6ZZu1c8tRybaRytvM9XMHKGngy5RorCvoguUXKUzyWiitNpdCIz3aiWOU3fZl77pibHcnAPqMO9Weh2JDRAciQfTGaJBiTb3SCnbJff4Bpfa5Fcz4BaFt2p1MSVkSZfiMC5egzQpqYY-XZlpwQDjkIzgMPzmrkRNGpvdOLCUyIXaO_ucy8QzqNdIv0fB6QJoGpLglNx76qKY0RdeWbEjLv7Le8nCnX-6ZNajnB-4O49KvPB2W0vGoFCypSJfkegebOa7bD16N_c48aMf8mctOCqkNat--vObggRA0dXFNHNkvtPf9080ktdiQLBRaPv1QXpkH-21u0WNT5MpSIbs6-rBeYYD5BzREdCpUvqAEhRZSsvUYTITxUDKjra5hRtqEUTZA1GixLrO5c5INsnjos8UPg7DuMeIjSsTFH3yiUPgx7obzA2JG02Dw1wE_SnwRKaOvkDdREA9M949hvlcqHUY_ZSq4iwzwdsw_APgk6xcwX3
"Добавка в раствор, Модификатор раствора Фрипласт Профи 1 кг 1 шт.",425 ₽,47 отзывов,"Завтра доставит Ozon, продавец Фрипласт",https://www.ozon.ru/product/dobavka-v-rastvor-modifikator-rastvora-friplast-profi-1-kg-1-sht-359602218/?asb=cH5CLObaKSqR9KUhDyeYfUQN8Ei66tyc5BAy9oWKo2w%253D&asb2=MCFSeKfd25l-Ll8N5UgK4FdXjJfjuoz4Jxstq1u1fujhFI4HvIgSv-Pr8wgI6j9s
Полиэфирная смола для авто + стеклоткань для авто (стекломат) NOVOL PROFESSIONAL PLUS 710 Ремкомплект для пластика и сквозных дыр / Ремонтный комплект / Смесь для ремонта пластика 250 г. 36101,835 ₽,89 отзывов,"Завтра доставит Ozon, продавец Автоспектр",https://www.ozon.ru/product/poliefirnaya-smola-dlya-avto-steklotkan-dlya-avto-steklomat-novol-professional-plus-710-remkomplekt-305056165/?asb=HmxLYvGUexuw4UWETSgclkWsNEP8GNg6V29eq6%252FkUNQ%253D&asb2=1iDKaUvAJD9YBs0nHjs7oWy_BIf8mN2YAbO8KHBugoXAOJ_Uzr3VtPTtL6WUBcOH
"Быстротвердеющая гидроизоляция, гидропломба для устранения активных протечек Hydroplomba Bergauf 600 гр",275 ₽,10 отзывов,"Завтра доставит Ozon, продавец ООО ""Бергауф Строительные Технологии""",https://www.ozon.ru/product/bystrotverdeyushchaya-gidroizolyatsiya-gidroplomba-dlya-ustraneniya-aktivnyh-protechek-384053431/?asb=Afbn1N0u%252BgYYMSysrqppfXrFpb%252BBeUicFj8f1Rr3kZ6TfNdV5cp8Ilt%252FsnIeZVtX&asb2=zRDQoveAmwHz9gI4Z6VukOIUXzOLPcQo1EaIZbhNMF40iOmUqKvkA_njIUsmQH2TTTj_iyYz94Ppr0P9nKwoGzR-BO5WpghTId5rbJmqoc9451TkbqorvB03uyXTaUIXVwIWSwOADWd8HFe3ucuwsw
"Аэрозольный герметизирующий спрей KUDO, спрей-герметик от протечек и трещин, 0.52 л, серый",509 ₽,70 отзывов,"Завтра доставит Ozon, продавец ООО «Торговый дом «КУДО»",https://www.ozon.ru/product/aerozolnyy-germetiziruyushchiy-sprey-kudo-sprey-germetik-ot-protechek-i-treshchin-0-52-l-seryy-370878556/?asb=i8upIP3t%252BprI1f9kfrB6idfY3Ri5m1UaxPsPc5OtvbMy9A2Gq72BAPJbcXcniEuO&asb2=PpLD9Q4dZbg__qGaxmWNdpPf2MHdTcWR1EwbFAW3AwpeXCE3jbb0uBo3332bg4AZlymhbc2izde4eGfPhRuuM5q0PcO9BQzPr5A4AjKYFYARf3TSv1VYB3XwyQPPOBpE
