"Борщ вегетарианский ВкусВилл, замороженный, 200 г",83 ₽,6 отзывов,null,https://www.ozon.ru/product/borshch-vegetarianskiy-vkusvill-zamorozhennyy-200-g-387115987/?asb=Up24kkBmVAuD%252BAE6TKJRSqbSmUJEpa9lvkkT4MlYPkM%253D&asb2=xmFnc3NRdP7tIsxb_QMsyHmc1lE_ADN__lO5yhcPsInG7OnGmJEqnmYcLNbB7bWx&ectx=1&miniapp=supermarket
"Суп гороховый с копченостями ВкусВилл, замороженный 200 г",104 ₽,12 отзывов,null,https://www.ozon.ru/product/sup-gorohovyy-s-kopchenostyami-vkusvill-zamorozhennyy-200-g-387115989/?asb=ctx0D3CWAlwBcvEZ3%252FAq36TEaqKiIpQO5Sld1JtDk5I%253D&asb2=Uy6MrJUHmDmnxLR4hBt8eOkVpIhy_Nx6ptNEP2uMYffyJpeAtnT3VM5Uvr7uLe3O&ectx=1&miniapp=supermarket
"Суп томатный с сельдереем ВкусВилл, замороженный, 200 г",113 ₽,3 отзыва,null,https://www.ozon.ru/product/sup-tomatnyy-s-seldereem-vkusvill-zamorozhennyy-200-g-387115986/?asb=MDGhe79h674rETzz64nGVKZ7t%252B%252F0yF09um24xpT4G%252Bw%253D&asb2=llRYmvqG-7JYmZzrD8MuB3ac1WQZ30OUnv_o7VakWKgyu5RPD4Alu1JiRO3Y9Qke&ectx=1&miniapp=supermarket
"Бульон куриный ВкусВилл, замороженный, 1 кг",177 ₽,142 отзыва,null,https://www.ozon.ru/product/bulon-kurinyy-vkusvill-zamorozhennyy-1-kg-198028845/?asb=ssMLYRr%252FBF4CXEJ3MXwM6Z2aiAJxjIfJR%252Bih0p%252BM5ts%253D&asb2=KiVlBYaZk83PdpPZNEJJwYLNSIhU-nBHNHFNdKVKkkzGlv6jkvHe6zkmcdVs9614&ectx=1&miniapp=supermarket
"Суп-пюре с грибами ВкусВилл, замороженное, 200 г",193 ₽,6 отзывов,null,https://www.ozon.ru/product/sup-pyure-s-gribami-vkusvill-zamorozhennoe-200-g-387115990/?asb=6rjcJCT3oF8ICLwtl1jKII8xVkvf8cpeLgkqsJ2KHeE%253D&asb2=JGMA_6aY9oYD4NuAZ-UgsBBdrChva53yB_86R9HaQBkf370P-azDQbGjI6J3lr5A&ectx=1&miniapp=supermarket
"Суп MEALJOY - Азиатский кокосовый суп с тофу, вешенками и вакаме",237 ₽,101 отзыв,null,https://www.ozon.ru/product/sup-mealjoy-aziatskiy-kokosovyy-sup-s-tofu-veshenkami-i-vakame-396029073/?asb=4lERt5o508jLLgKRKo7nbm0lcTp8jA6S9C83LmcH%252BvQ%253D&asb2=oUH3SedS2nOPk75v--mMYHwIuylTy3yyL98pzgkpmeGERexNtzcUgzN2D3ViPG_HltxwJjH8YTej1cFF1Ibjtw&ectx=1&miniapp=supermarket
"Суп Рассольник с курицей ГЛАВСУП, замороженный, 250 г",109 ₽,32 отзыва,null,https://www.ozon.ru/product/sup-rassolnik-s-kuritsey-glavsup-zamorozhennyy-250-g-358465248/?asb=SEhBkX7nztBIy345KBPZkkptEHXRfrf0ZcuoqYPeuQQ%253D&asb2=3ss7njwoVU9k-YWKip51DeuqKAe4ZM8la7R7GyV2iw_pkXRe_oiE1s2HdAhhtlmA
"Крем суп из брокколи со шпинатом Морозко Green, 300 г",149 ₽,1 отзыв,null,https://www.ozon.ru/product/krem-sup-iz-brokkoli-so-shpinatom-morozko-green-300-g-538213100/?asb=p237k4VRFZQRkobWSPg2B5lzFWJRbn38Su0J6%252FWdN08%253D&asb2=2yuhh0POF9dX8EFOCXsRInT9sOFPV1TZQaymm91pJWtGdk9nADzeK4QbnAnq1Xd6
"Суп Лапша с курицей ГЛАВСУП, замороженный, 250 г",129 ₽,14 отзывов,null,https://www.ozon.ru/product/sup-lapsha-s-kuritsey-glavsup-zamorozhennyy-250-g-358465253/?asb=ZTnhivIT53OSuCts5OBKCOS7TKhSoXT0po9fLDJIhX0%253D&asb2=UvpCvPFFck05VzmxJ4IzbN33iHYUlju2ftlwfT6xMhjx2j3MPDR8L8ksMHCt8eMM
"Суп Борщ с курицей ГЛАВСУП, замороженный, 250 г",112 ₽,25 отзывов,null,https://www.ozon.ru/product/sup-borshch-s-kuritsey-glavsup-zamorozhennyy-250-g-358465236/?asb=4EG%252BzjyoJB%252FmI%252BLDCPpkxspAtiWuvSCQNW6Euu9k2jM%253D&asb2=zaj5opW-rG2mqwc9BiO1gvrkBRAoGHyofm8zUkElARIitNSE0BbKGSYM1wzj30Z9
