"Свеча для торта бенгальская MAXSEM, 4 шт, 1 уп.",285 ₽,29 отзывов,"Завтра доставит Ozon, продавец ВАШ ПРАЗДНИК",https://www.ozon.ru/product/svecha-dlya-torta-bengalskaya-maxsem-4-sht-1-up-498996601/?asb=42pCzXrdBhNJVz%252FFOegeyZE0WcMuZNPleeD%252BjHlCwC2WiwY50DttW7V3jtSqM0Jk&asb2=pDKL0CjN73EjK9G_mZhFnNFG0g_Rno_UDFTwcQa_3W_8Di-fwMYth15DsbYIJpO2zD5rV5u3cDizHaih4LHeWrg9C9ynRUc-j1gH1xvuQ6MJKeDdQA-5ElSb6Y9zbOxyn62a5zzSb14lfHiqFKeOgw
Свечи для торта ФОНТАН бенгальские разноцветные 12 см/ Свечки в торт / для детей / на день рождения,247 ₽,8 отзывов,"Завтра доставит Ozon, продавец PAPA KARLO",https://www.ozon.ru/product/svechi-dlya-torta-fontan-bengalskie-raznotsvetnye-12-sm-svechki-v-tort-dlya-detey-na-den-rozhdeniya-536308341/?asb=Dir7gHDMRFDDPpqnUu%252F%252Bv8gmBMQV6NfJ6Ksy3m524QsjlF7M0gsq488UkU4QNi6D&asb2=pm3MXA1MVy0EFkLkCPKQXQR5--6YOrfzgsaa6uZ0JK7EiGKaH0JNbDGLGcaDdEUbCsqiOLKegPjDri9NpmZ5Txh0bCZ0khLID6f5m6aefxkXKVPPR2XaFfnep4bbjlPqOben8CBsKbd-nlgFtVkX1A
"Свеча для торта бенгальская MAXSEM, 4 шт, 1 уп.",315 ₽,30 отзывов,"Завтра доставит Ozon, продавец ВАШ ПРАЗДНИК",https://www.ozon.ru/product/svecha-dlya-torta-bengalskaya-maxsem-4-sht-1-up-499030644/?asb=8fAlONHh1SoxeQ1ojaUFJ3kZAIXxKlJodaJj8gf9ve0%253D&asb2=WLmqCkYrUkYluaMbOwfKPoJFU75H5-wcydJsZLBE34StsggaiDBLAI6mWENrfdLa
Свечи для торта Страна Карнавалия,134 ₽,103 отзыва,"Завтра доставит Ozon, продавец Эврики",https://www.ozon.ru/product/svechi-dlya-torta-strana-karnavaliya-281244002/?asb=VBF0xa%252FI9mjw9U%252Be%252FSlis7dJM%252FB3gYYomSNGYChBPraXiCXXwsiZpSroEUQX2xRC&asb2=ndwaMyctAfbyFO3vey_LS5PAGoxOPttSSKN-sOa-_8aKJrZf4dw3MAPDQC2HflOZHaepHRvQEQUgF-vPoD1jGJCVOCCsP6jFGD19Y4kGCBNQ7hj43zKxjx8l-A-RqPqGbBEkc6scH5tEnJazBxqoLA
Свечи для торта на День Рождения Цифры Золотые / Свеча свечка свечки на торт цифра золото,396 ₽,99 отзывов,"Завтра доставит Ozon, продавец KANRY GROUP",https://www.ozon.ru/product/svechi-dlya-torta-na-den-rozhdeniya-tsifry-zolotye-svecha-svechka-svechki-na-tort-tsifra-zoloto-444628378/?asb=TaMbVxPQTdiusWZ3io9o6HA9JO%252B%252FhrAgCbN2gEq0goyDEA0aNDipgswDtRUio08z&asb2=iWOWsUt5Vszn9kMK1DytuicmbPIN7ZfGDqgj61ORfHK9GvAI3YaaqycZlYKHwqiSwK6wpWCjYqE5DmWX5XkXdPwkaIb94kx9_2rIpzXDQbn6h5-p8jrkW9PHT8PSMK3F
"Свечи - буквы для торта С Днём рождения, золотые, 3 см(СВсДр)",301 ₽,47 отзывов,"Завтра доставит Ozon, продавец ДавайДарить!",https://www.ozon.ru/product/svechi-bukvy-dlya-torta-s-dnem-rozhdeniya-zolotye-3-sm-svsdr-225216118/?asb=R0wLnVfVpm7k7Cc%252FvEb05WdntW88PBHq19ZEJfDIQHY%253D&asb2=0171Kj7n1nnGNvGbvkWm5XGmQAolrZDgjakIJ_nBsqVAMl4x5BJjSkq4odE_5GKz
"Свеча для торта бенгальская, Свечи для торта Maxsem, 2 шт, 2 уп.",180 ₽,19 отзывов,"Завтра доставит Ozon, продавец ИП Соколова К.С.",https://www.ozon.ru/product/svecha-dlya-torta-bengalskaya-svechi-dlya-torta-maxsem-2-sht-2-up-531255568/?asb=Ww33om3BlYzIYitqG6zSRuebFM9ScUqm0x7%252FD%252Feo6JoRsbgOIxiILhUhOVkM0DTI&asb2=K_WRreSuLXzDzD5BchaDNkjYOPEPsa2iXgbN2ugFQ7ysfHt3aa-wzH_BO5dLKoDeA-v2toGYdNzoTMtKJvUVlv1r1BR1TzSZfIkw81plDHtRA9wO3WUYVPUK10QKnQq8EQtLM6TiI1Cz45nbCu3vZw
"Свечи для торта Дон Баллон, 5 шт",275 ₽,85 отзывов,"Завтра доставит Ozon, продавец Шарти",https://www.ozon.ru/product/svechi-dlya-torta-don-ballon-5-sht-282878029/?asb=fkhMDb7IaeGYBdgZQW0fJHlpy8ErOvBNWj0D7KElepju7tqIBCnL%252B7TAWj5eGLWv&asb2=AicVwr9dALpunIw3svhmH11Xt9sfVLx7HQDTuKQAzxbdDdU2LsL__nfCbXEeCLe-euqDpG2stKO6qb-Cact5oPyCIEwtyYSPlZWxc43qZfUaocGKbGfJ6QnzsKxHmTZuoKgsA6jgxZCwMOe6zcy1GA
"Свеча для торта бенгальская Русская пиротехника, 2 шт, 2 уп.",209 ₽,135 отзывов,"Завтра доставит Ozon, продавец Просто праздник",https://www.ozon.ru/product/svecha-dlya-torta-bengalskaya-russkaya-pirotehnika-2-sht-2-up-206538390/?asb=0bmCPpUMb%252B4a1FKu04bXEohaTJ9cDCiL3WpZ5CzUej4%253D&asb2=nEOFUj6m12L4zA0IYku-SoEW3AF57UWAmRZQ--6nnlRxW8fBLUEF-neDVnoStUtT
"Свечи в торт Страна Карнавалия ""Единорожки"", набор свечей 4 штуки",129 ₽,104 отзыва,"Завтра доставит Ozon, продавец Эврики",https://www.ozon.ru/product/svechi-v-tort-strana-karnavaliya-edinorozhki-nabor-svechey-4-shtuki-179736755/?asb=niKUUAvbl690EXf8wNw4J3qrKwIjgVvdZfx0A64CJsI%253D&asb2=xDKcyqcU7m-VHqQ4NdYYAgc_0LX_8eIqcY8BDMCYkYZZcFOPOpU3U1ZrwfVskqJZ
