"Свечи церковные восковые православные красные Пасхальные № 40, свеча религиозная 1 кг, свечки для молитвы монастырские освящённые",525 ₽,2 отзыва,"7 мая доставит Ozon, продавец ""Монастырская трапеза""",https://www.ozon.ru/product/svechi-tserkovnye-voskovye-pravoslavnye-krasnye-pashalnye-40-svecha-religioznaya-1-kg-svechki-512536310/?advert=3hk1Ky1jXXst2GtaOdNuhAStm0cX3dgY3ViuetrIqbUopMKSmi0OVPTjmER4GkN2OlUnJ023wx8v5R0eWCYbU1TzBb210mXUF26qL2748V7r-63AQw4pEyp_3czi1JeGifwOjUabRR5cORqUYjzeN6j2MH4H60hDQDYretn-AoicOGFRlg86OyTXQHpi9UsR8QmmxlhhJTZ-pALN5CaWUxhT4-q6a059stR-UnH7vojZSng-pux7NLN14l3g9DziLM5v8DJy2LwbZIY8zdLSJjRRhQYujpQZ8_9flLQfGwtrDPTpKOU6drmFtCydu-ObZknLms-QFP2ySULFck1J5TOonEM_dcnRKY_-lYatbAUtQjAiPLsXYRPEdw5scdk8ehFV4s5iwmMoQfQIbuQevWlAi2oCBX2sJhd17YZIr_c6KdjOJEB7BtXCP4df2hGzIBbeil62asMi4Y0hdXSuthcWkNBtjM0WdOaHmxYtGcQTs_WlqntVbMhtQzBBHA0PWPhJnWNe38qlLWkX5wcE7jcAcqY-PrYsXr24j78ulb2rlvCPMwm9F63BXSJJik-0
"Набор черных свечей ""Очищение и защита"". Полынь, рута, пачули, ладан, 7 шт.",398 ₽,10 отзывов,"Завтра доставит Ozon, продавец Огни желаний",https://www.ozon.ru/product/nabor-chernyh-svechey-ochishchenie-i-zashchita-polyn-ruta-pachuli-ladan-7-sht-484170338/?asb=J1ZMpWt5d5emn%252FFyg6Q72Y7yIXcAy7M37CwCSH5blrPyFWKhWz6kF3zXBDpJ8rtA&asb2=KHXzpx84pYvMy7jjtQEkaCUVy8R7BgHzkXadE5fVM-4D4ElcpdyepRbcPWYbRZhRkjTwmxZ9zv4eJ_xV0pGmgvdDFyR5FcJnvxfmSC0pfsIF2HpJhiHVNYlI4PZk47TQ
"Свечи церковные, восковые, освященные, медовые ""Благосодействие ""ЭКО"" №80 1 кг.",569 ₽,176 отзывов,"Завтра доставит Ozon, продавец Благосодействие",https://www.ozon.ru/product/svechi-tserkovnye-voskovye-osvyashchennye-medovye-blagosodeystvie-eko-80-1-kg-245184533/?asb=gGeNAAPkLEh21Z3BZFAFJFgJbKVFpVH%252F%252BGMIHy6EUF5WF6XebVxfc%252BmRtCFrHMvf&asb2=ogMNyM0-GgTbF-wbA0LkwFnDrwIfUSuVWvapwgx-B34ZxwrQbLkOGxd1-h4ztfaKj0YqtRHo4t8m5PoaGknB9m6mltiwIq7EJwvZ7WLRAxRSvVRemM2f4COd8VtvAj5b
"Набор красных свечей ""Любовь и страсть"". Роза, ведьмина трава, 7 шт.",398 ₽,14 отзывов,"Завтра доставит Ozon, продавец Огни желаний",https://www.ozon.ru/product/nabor-krasnyh-svechey-lyubov-i-strast-roza-vedmina-trava-7-sht-471399724/?asb=fb48YEEVZggvZo7tcBWhhMtyKjsdX8iykSuDLxGmxlIesV94Y4VEmR%252FzCk%252BmyhLT&asb2=_pd8ZPp5Qrd0Bv282_1aYuOkPXz1gEjSdlMfN1uYcnx385Smfe4sqgrwPuNINXL2pHoGGrs7jQ44LgIj8wotDIsHgCJHHD1-KCIN9ohUh_h0d_R3EaVPU59vlUMkihr9
"Свеча ритуальная ""ЧЕРЕП"" серебряный (набор 2 шт.), высота 3 см, ширина 2,8 см, длинна 5 см, время горения 1ч",187 ₽,34 отзыва,"Завтра доставит Ozon, продавец Свечной завод ""Рарог""",https://www.ozon.ru/product/svecha-ritualnaya-cherep-serebryanyy-nabor-2-sht-vysota-3-sm-shirina-2-8-sm-dlinna-5-sm-vremya-243314979/?asb=VggkzXhZeM%252F69IxhtBhAHsIcv4kiOAvRLPBdkaO2GTFvSIitHL87d6JgZIYLZfcC&asb2=esG3RoQvFJHdS9N4oMaoios1SOYFltzVDUrs0E1RzuQrZyUxC9grEzkqSIojFyG5i9uXqkQ_mHpOZ2zodL3FMcsjzfD6Wd_nyb_OBmEME9j-RBfEmnmd69V--tz0tDHoeD1Rnj22nLUK5McKjEcVjw
Свечи восковые черные (набор 15 шт),261 ₽,89 отзывов,"Завтра доставит Ozon, продавец ЛОГОС",https://www.ozon.ru/product/svechi-voskovye-chernye-nabor-15-sht-229821164/?asb=6u5kkvQpYyTyfsmgKc0nd1reHIB7RPio0j2ZnqMO41%252BhxcNbwdUHCqRZev0bJ5kJ&asb2=h5Rq0sE3_uFJDxQTr9wLtXzAbfCilQ_fpgA_ySJEe4tMr_mNsTHJLd6h18kRwyOQ2i4BiRQNmO9oCNUtQ1ugfG8pILUDitcMGOhFmBi17I0CoxnWsGjfc9GvGG0HYCd7UK0eErkiQYCSkmTb7tchVw
"Свечи Церковные, освященные, красные, из натурального 100% воска , 30 шт, №30",509 ₽,145 отзывов,"Завтра доставит Ozon, продавец MaxLina",https://www.ozon.ru/product/svechi-tserkovnye-osvyashchennye-krasnye-iz-naturalnogo-100-voska-30-sht-30-173471155/?asb=TZwrMOHdxLze6UOqONFP03K8wZG%252FEwW0g0DXjjr38M2jNWJy%252FdXn5cCafPLeD2bR&asb2=DfDBRPGE9gWfXhrIeWbqYZf0GGV_Dk_R_bg-hZeq8uc3EtlDVBaDrRmD1sU8P3OGnFESdsC61FGKvqhrE6cjBl-j5KJyDHjhI5NoeCVq3AbBAxtTUXTRmho6WNhfEiYcdS92Pu5hR4kOk8zrGAcjaA
"Магическая свеча ""Цилиндр с черепами"" для снятия сглаза, чёрная, 50гр",144 ₽,1 отзыв,"Завтра доставит Ozon, продавец Фабрика счастья",https://www.ozon.ru/product/magicheskaya-svecha-tsilindr-s-cherepami-dlya-snyatiya-sglaza-chernaya-50gr-318991006/?asb=%252Fub01sovqtKf9srAkf3juwrRTvA%252Bd2fF6QrtEoX1BkQ%253D&asb2=LtJZdv-ULG7Ux4NmSAo0xoH2RNAENDhaMKaj4-04lQfS2qLw59KWcZef5sTzVPzA
"Свеча ритуальная ""ЧЕРЕП"" черный (набор 2 шт.), высота 3 см, ширина 2,8 см, длинна 5 см, время горения 1ч",187 ₽,34 отзыва,"Завтра доставит Ozon, продавец Свечной завод ""Рарог""",https://www.ozon.ru/product/svecha-ritualnaya-cherep-chernyy-nabor-2-sht-vysota-3-sm-shirina-2-8-sm-dlinna-5-sm-vremya-243292397/?asb=JurFTUgJ%252Bmzykik3YdUnlouddQXghck5aJEX6orabTlX8MhHPYuxMWKtCP%252Fq253W&asb2=QmONkHi1oIENSizFoxCrusEfgMRpwa5Q4ZjWuq1mmucmqfBRGGeJAq6grylk68tZIsUoRn3W-uVzndp5ad_7Os4-cMAUKCETabPFuQAP4oeufcU0Mqc_oD-sVSuWBBUir6JeZ6H-7KX5HywlDTiEEg
"Набор церковные восковые свечи Алтарные, 1кг, 48 св, 3ч.25 мин, длина 21 см, Нижегородский православный завод Вереск",685 ₽,36 отзывов,"Завтра доставит Ozon, продавец Нижегородский православный свечной завод",https://www.ozon.ru/product/nabor-tserkovnye-voskovye-svechi-altarnye-1kg-48-sv-3ch-25-min-dlina-21-sm-241264425/?asb=8g4eZeLyzIp1qRPYjHveK5AGQCmMOKQiqbxDK%252BVfBO64ge0Ko9zbJseK6Q%252B6EOCo&asb2=13ULXAxSxZ6X0LUMwkUzQfoazal_EDXqxIJDKNzE--DF6wyCKwLhpxe6Irw49b-IYLsChcE5Ip8mnqibntuncBUOTnrFuVC5ZQwVsNz_1gMB_e6mccAAFvtNZCmuXHjB86Ki0A12r5AvF6EHI-V5pQ
