"Свеча ароматическая Milk Vanilla / Молочная Ваниль из соевого воска, высота - 9,6 см",801 ₽,3 отзыва,"Завтра доставит Ozon, продавец Polker",https://www.ozon.ru/product/svecha-aromaticheskaya-milk-vanilla-molochnaya-vanil-iz-soevogo-voska-vysota-9-6-sm-245147111/?advert=rBjXA0RPqJwfus-U9fIlQ5aXcD_06dmKOifkVrsAqd0PmBoXZEnNNSOa5NJjgAmdMj3hvCMxQ8RYBGnZfFYqRK7idYbNAzXjOzMM4EY4f3J6cjhMtAr8SPWUCQ60XDOwWfnagyZ21_vvnAoi-rRsSCeYMxQj31MCpZZrYnOp_JEw_sGZ7NAEQDi2uakV6McVHvS4GWwnGAQ4ArEpzFGo9d7BAityJd_a-queN1WkjvJFoMuze5Wrw5cx5J6tdYF0MQ2LMERMPGaj4kwuwL4b7ZDhzEjLMvktkVnxWSBOyBGQbSyYLg0KUnAxISuneLkJKuU7c75XeVlXqB6a-m47UimWJ_TXAkHGtHZ6XDNCL-6OaVOfIgh-M2V90YsVAYM5_UW7vqy03E20p19LzhPfaG9Ql-H50bnf4VzWWkGpOrf6qZVcQ6RCYhyjFkTgzrzoyLzqt5uniRWnYfh8tggLjp5qvWH9bPDrWRe8PZbmQl0HzWWcS8xeysAHA2NTyy8s0HhcuoPubtS9PpUYTFXNf43uCpRRH_p--cDKjFzk0pAedvjQpIZ6ufMjkpy4G3nL
"Свечи из вощины ручной работы ""Без запаха"" 13 см.",251 ₽,1 отзыв,"Завтра доставит Ozon, продавец То, что нужно!",https://www.ozon.ru/product/svechi-iz-voshchiny-ruchnoy-raboty-bez-zapaha-13-sm-539160148/?asb=LTujztwqwW6ijmhtLtULdyh9el2YfgSN%252BtwajhlZa6%252FVMxVWjqS57CZwCYjjEyw3&asb2=rEYRHhSHdj0pNijUAUi2YxqnmM6Y1sqV9pC2MjnS-0BOZVx2HHpZHb17K32kNY1jrLXB_STsL1qb0J0zSJsn11RAyxXXhzt-09EB4yjNBGkDRIrTNGZ2QBW8bzKAUxtky_OCTM78U2AUijEU_x6PhQ
"Набор из 3-х рунных свечей ""Отражение негатива и порчи""",290 ₽,55 отзывов,"8 мая доставит Ozon, продавец ReplicArts",https://www.ozon.ru/product/nabor-iz-3-h-runnyh-svechey-otrazhenie-negativa-i-porchi-224881580/?asb=XGUx8njMxYoK5PxL94Wh5BaFx4sUqcqDf5F2cs2MAXE%253D&asb2=GSFcKk1GJsPO9eYBrJA3k1FEWqCQihk2zDTxM9o-DTlN_KoNKxbB24styIGExFsA
"Денежная свеча ""Рука Феху""",470 ₽,5 отзывов,"8 мая доставит Ozon, продавец moon.and.candles",https://www.ozon.ru/product/denezhnaya-svecha-ruka-fehu-398116374/?asb=4E8y0qBLGYnvi75RuFx5BnGgdU6VpJbVBRX3nDbx%252BVo%253D&asb2=v5Kmh0SVXqpyO9FyZp9GU9YoglfY3lrIPqTltlxhZ0jFcxTtRWY9C7CMuIZzKb9m
Свеча Восковая Алтарный Столбик Черного Цвета 1 шт.,514 ₽,24 отзыва,"Завтра доставит Ozon, продавец ИП Косенкова Гаянэ Владимировна",https://www.ozon.ru/product/svecha-voskovaya-altarnyy-stolbik-chernogo-tsveta-1-sht-180232861/?asb=QEcyNE7y4KDWuzCwpmouMwipjYxxzXQQJwUUC8MfhmU%253D&asb2=4_iUu60Bpr7LuftDCIIuxARwrm_ysZQtsvteG_oH3aV9Ti5e2sQlTq84I4q_S1Zv
"Свеча ароматическая Meditation Flame аромат ""Ванильный орех"", хлопковый фитиль, 6 см х 6 см",590 ₽,1 отзыв,"8 мая доставит Ozon, продавец Meditation Flame",https://www.ozon.ru/product/svecha-aromaticheskaya-meditation-flame-aromat-vanilnyy-oreh-hlopkovyy-fitil-6-sm-h-6-sm-454780827/?advert=A2XLEjiIZfHM-L_GiE6K2ePsscLx6nDMT0BHR2s6hXplJconCGBX7ISpFmmByrrccUzqXB0x94UGlt6RqeS-qlKUyOsnHNmFgcmS7pf4kcit18PzgXtcSYDiF-aWHp9VP6VHIdwzv2R12Uxrk_W23Y92IvF33-qlUeRUZc9nhDVV8Om8wUwcO8SZt7ORx7HiSr2lFF-J_EMJK548-il2pjH1YGuMxL_2cAn5q3M9yb0kgMoX_nCK24c_EBNfKO8rnU4oELCKazeJ0T9XrbgNPZZx_ANfKZQ_tr5hfC59XSHGEhjlV9j_nVV4M1j-4ZxOj5Xk8pxu71W_RuAgFbpD2gFQlJSZo73KzGrZg0FuWWP41jB13J-7vmTMUfAZB5y_rAnwlMXHqSDsdNJB-Qh5B0d3ErfEi7hGr6_aAtsmB2D1jiYYv6Kk0je-lQDT7BY-pOFsCFMb6uMAlOnBhM5-sDF5TEjwaEVefqmrGHXLZ302vZVz7QTfmKAP47ta-XItxr4IXxyS6OkOru_MQSASvGxxiN7K8axrBsQrYE8vEp4ooZinbg911QeNIOiId7X0
"Набор чайных свечей ""Чакры""",590 ₽,9 отзывов,"Завтра доставит Ozon, продавец moon.and.candles",https://www.ozon.ru/product/nabor-chaynyh-svechey-chakry-363695381/?asb=uV%252F7tMKyCfca0j7Vd0ifZ2OjljSmGjiWMR%252BDG81YQ5w%253D&asb2=sosqkxe13BLqAhhg3I5aJun2_Z1etwCUB54YLh_Z-j5dafQtzOIAnTUTEH__uLHl
"Набор свечей для кулича Цыплята в скорлупках, 10 х 8 см",249 ₽,1 отзыв,"Завтра доставит Ozon, продавец ИП Симонов",https://www.ozon.ru/product/nabor-svechey-dlya-kulicha-tsyplyata-v-skorlupkah-10-h-8-sm-495109373/?asb=z0T%252FZ%252F1dQGccY2JdKsxg3PlT88%252BsmRYluq05M2PK1ggZ%252FqSD3yYL0WFBIrxUthf8&asb2=fs28QnFWgRMBqhuOoYFf8_Uy0RXhbRDSxDyPXRNqIN57D6frU_-BAArPcD_Wd4OJ4FH8dOfpsU3haakM8w5qSPwkWRcb7N-WYMiY_r1jwacCaOAWurWWJzhkj5UHKFlkUIMR7fIR1zztYwa1qv9n3w
"Свеча Женское тело ""Ева""",271 ₽,10 отзывов,"Завтра доставит Ozon, продавец Фонтан",https://www.ozon.ru/product/svecha-zhenskoe-telo-eva-251001333/?asb=xXQsiuVArWa%252FOQoZ%252FdjRDg%252FZAul8LY6mXVxyQH3Ti04%253D&asb2=5QjOUfkIt807OqY4HrzJP3GnOt0sd3HzoD1xYuVfZYlfWwEiV5fM2CDaMoXHod6D
"Набор свечей из вощины ""Чакры""",699 ₽,21 отзыв,"Завтра доставит Ozon, продавец moon.and.candles",https://www.ozon.ru/product/nabor-svechey-iz-voshchiny-chakry-254635177/?asb=9FxkKhxnOROAIcvmFN0TXT%252BOqEFajZFKBsexD9%252Fk8LM%253D&asb2=zz1q4q4-625dOYTg9DODlPtQP12qVsNcLQ40xFZ2u58akZL_YhQgodCaoK3A8dZE
