"Мастика битумная для монтажа инфракрасной пленки 1 м.п, огнестойкая изоляционная лента",150 ₽,189 отзывов,"Завтра доставит Ozon, продавец Комфортный тёплый дом",https://www.ozon.ru/product/mastika-bitumnaya-dlya-montazha-infrakrasnoy-plenki-1-m-p-ognestoykaya-izolyatsionnaya-lenta-377377140/?asb=JLjvjuq8AGbzun1FLzCmhQoQVOOMKtUxbdBGYa%252BPoPs%253D&asb2=aHgVBRaI2q_bDjfagkQoctzGAnE3iHH_SZDV3glGbOdg7zUDyZfi7Qn5_KPlK7RK
Скоба якорная для крепления теплого пола (50 шт),126 ₽,9 отзывов,"Завтра доставит Ozon, продавец MasterProf / MPF",https://www.ozon.ru/product/skoba-yakornaya-dlya-krepleniya-teplogo-pola-50-sht-299827992/?asb=FgdcTk3sC0syawS9tHgRI7ywYnjbIzcGGekCoO%252F%252FcFk%253D&asb2=b9qtp8zjnOs3a2CngEQFxzc0C0TCX_sqAOPXfIU0ik2AfaZN3WswnalIBzZpVONI
"Мастика битумная для монтажа инфракрасной пленки, 2 м.п, огнестойкая изоляционная лента",252 ₽,189 отзывов,"Завтра доставит Ozon, продавец Комфортный тёплый дом",https://www.ozon.ru/product/mastika-bitumnaya-dlya-montazha-infrakrasnoy-plenki-2-m-p-ognestoykaya-izolyatsionnaya-lenta-377379011/?asb=pJiAa1CHq1MPpP%252FwQ5Z5DPS6gWL8VVaNXR8ikkwXoZQ%253D&asb2=YZiZKvwarIT0rkAWJG9pwoWKjFl91SflQM6e6pDpelt-8oVlKn6K_ZsCMPMgLpls
"Мастика битумная для монтажа инфракрасной плёнки 5 м.п, огнестойкая изоляционная лента",399 ₽,189 отзывов,"8 мая доставит Ozon, продавец Комфортный тёплый дом",https://www.ozon.ru/product/mastika-bitumnaya-dlya-montazha-infrakrasnoy-plenki-5-m-p-ognestoykaya-izolyatsionnaya-lenta-377379812/?asb=%252BUq5V4qagNKOd3XwZW%252FjHkiAbn25H2ymBNdfcu4n1%252Bw%253D&asb2=eRd5egTuObbRhFrb6DGEg-LNzyEnDrP_8K3A55kUuBxOMFQl3LzMKYl6zSODses9
Комплект соединительной заделки КПШ в блистере,350 ₽,31 отзыв,"8 мая доставит Ozon, продавец ИП Кошкин",https://www.ozon.ru/product/komplekt-soedinitelnoy-zadelki-kpsh-v-blistere-181154814/?asb=5x10uAOVPw5cysfLa9m7yF3Bfep6AylCYE6th74loE8%253D&asb2=oL5X-cb78uYqM4OtpjpM-rhHHiIjyG6ydA1STXANz1rVEhVRnb-vrnortZhhxSf8
Задняя планка Charley 1 метр,533 ₽,1 отзыв,"9 мая доставит Ozon, продавец Solar Station",https://www.ozon.ru/product/zadnyaya-planka-charley-1-metr-238434775/?asb=hYWIHkkbc03PhTUjST3udKy80siGROq31Q%252FA5SFgy1M%253D&asb2=8pGdOTZIIATu6FkqhDBprG5NvReh3cC8M2R3HKKscjCFOa4pSY8g7VB11G_-oURf
Поворотный элемент в сборе 180 Charley,630 ₽,1 отзыв,"9 мая доставит Ozon, продавец Solar Station",https://www.ozon.ru/product/povorotnyy-element-v-sbore-180-charley-238451388/?asb=Ic%252Fr2Z9KXUVpVHZnNcnGBzyPddR9MBPElo1SgNzKGoM%253D&asb2=YDlddYH6HwXw425V8H3zh5Xr7H1ejAXVquENLLdYvD9wCGbwSo-wv8XtSo7wRwRH
Закрывающая планка коричневая Charley 1 метр,679 ₽,1 отзыв,"9 мая доставит Ozon, продавец Solar Station",https://www.ozon.ru/product/zakryvayushchaya-planka-korichnevaya-charley-1-metr-238365308/?asb=ZlhF4GSdXa6UlYpArC6hPcedKx5hbVj0%252B%252Fq5PV4FnfU%253D&asb2=CMA43fMVdpnbrypuSwndLZb8nbqz98XpXH24yA4gt_NaCy343EnUnAa5KI-ytGgW
Верхняя планка коричневая Charley 1 метр,485 ₽,1 отзыв,"9 мая доставит Ozon, продавец Solar Station",https://www.ozon.ru/product/verhnyaya-planka-korichnevaya-charley-1-metr-235449580/?asb=7JgUcluqz12aaKIMZfr1oNztUsb4zyeVwki136jCWK8%253D&asb2=6_M0OUXDWKGDO1O-F_WVRMt23S5oxei8XMCZt_2_simAk2sT6rxpj5BMd3JsElW4
Комплект кронштейнов Charley (20 шт.),679 ₽,1 отзыв,"9 мая доставит Ozon, продавец Solar Station",https://www.ozon.ru/product/komplekt-kronshteynov-charley-20-sht-356554914/?asb=QLz6lHFSD31naueBR0A4t84k61ISHXldjxQfiosXm8w%253D&asb2=nPgPf-3fsBnW9h6bBV6wCKl684eXZqMWTXcWKN-IGF3p6Ssy_I69hNDjwSFkKlNT
