"Термопакет, 42х45 см",268 ₽,8 отзывов,"Завтра доставит Ozon, продавец Упаковочные материалы",https://www.ozon.ru/product/termopaket-42h45-sm-388384807/?asb=76kkOiKg0%252FnhFG6ZE7GVhpwhCZN054PjeicnaOixMBCjLTuG8M9N8uwpDZRUqH%252BI&asb2=D0v0kRo4M6lssiVhbi9ohn4N8SqmskTEsX38h9ROZvKaOm_KbaD7vwLVkAbUkbEIVwngB1K2f2tF3y33YU7VNfKUHtIiaKFxEJlsyU9-OwOSIoXp0QgQt13pbjagqm5fqf5UMC87xxFBjiTxSoFoRQ
"Термосумка для ланч бокса, термосумка для бутылочек детских, термосумка холодильник Homium, серая",499 ₽,147 отзывов,"8 мая доставит Ozon, продавец ZDK",https://www.ozon.ru/product/termosumka-dlya-lanch-boksa-termosumka-dlya-butylochek-detskih-termosumka-holodilnik-homium-seraya-304329066/?asb=JIEH9t62%252BI3KkyWgIesKq7qGhERUfHBeWbvKejR2n%252Bg%253D&asb2=clwqIAWgHkEavKZe3me4SDViWKz-93J6-bSz_qxfWGkJxQJcyGMGbeylhCKsm6rS
"Термосумка для ланч бокса, термосумка для бутылочек детских, термосумка холодильник Homium, синяя",498 ₽,147 отзывов,"Завтра доставит Ozon, продавец ZDK",https://www.ozon.ru/product/termosumka-dlya-lanch-boksa-termosumka-dlya-butylochek-detskih-termosumka-holodilnik-homium-sinyaya-303645348/?asb=GnhArb6mnGf%252F%252FpE6xtquf%252FPxxoXBuxZYHKe%252F60UWXHI%253D&asb2=axGMiEb5sR7uJG2D5Evzwq1dhxrHm4XxVAenxeNCwXPD-cqFvKffJuqicKWeOfgl
"Сумка ""Берлин"" Повседневная, модная, маленькая, женская сумка кросс-боди через плечо, длинная ручка / цвет синий/ ОБЕD",566 ₽,5 отзывов,"Завтра доставит Ozon, продавец ООО ""Май Май Компани""",https://www.ozon.ru/product/sumka-berlin-povsednevnaya-modnaya-malenkaya-zhenskaya-sumka-kross-bodi-cherez-plecho-dlinnaya-277798930/?asb=Fjvp3S8g9rx7hCA6J0%252FUb18N5WObvLiI7CoH3A%252FC%252BfOBYjBM8ec3nwYnGy%252FDwIS5&asb2=mF584JqOB1zjny7ILrp0RRXzYfxTdLQL7OiS5OdgBa0w8rlVaUXkVG38LR0VRZ4nd7zdkuCWgsVdY5V4VNPXD-or1xhc4rQPhz_GCrrUzq_Lc_Wt2K8C0YwMxDcrHGN-F96DRvEJDvkh4FyWBKKCSA
Сумка-холодильник Bener Универсал серая/черная 13л 26*30*16,861 ₽,34 отзыва,"Завтра доставит Ozon, продавец Ranzel",https://www.ozon.ru/product/sumka-holodilnik-bener-universal-seraya-chernaya-13l-26-30-16-204238778/?asb=A7MUmHnj36UpQxtvzVgpHNTtPmBb0rr0iRDjMNegSbfCfh%252Bk5hxFjWljSTFeEg0n&asb2=6WgLzn5d15yaFyCKBXAimPVcbN1ZC-RvVkH6kAh12sYnryeWfFztFR7M_nAco5fUMi51uH_5xmyvoCWsRf8AFp7j6Yliv9SXSrOR1mucQu8uUSwCSa_nWvXhxmwnurBGaravsnME8Mz-CWCPcTPa3A
"Сумка-холодильник ""Macey"" на 3 л, размер 20,5 х 15 х 15,5 см, цвет оранжевый",341 ₽,37 отзывов,"Завтра доставит Ozon, продавец Oasis",https://www.ozon.ru/product/sumka-holodilnik-macey-na-3-l-razmer-20-5-h-15-h-15-5-sm-tsvet-oranzhevyy-190220177/?asb=%252FYFrQVp7yw12e4dPc2X4K1fQ1BuazoeGcWSKDXCZYLU%253D&asb2=sd86tVU6a1gEr8vKhpy4GwWnHO0NS6JIyWVanUBh19KA206noZQdFNqEf-UjhphS
"Стильная термосумка водонепроницаемая ZINKO/ сумка холодильник для ланч бокса, бутылочек в стиле крафт / термопакет / тайвек",449 ₽,38 отзывов,"Завтра доставит Ozon, продавец ZINKO",https://www.ozon.ru/product/stilnaya-termosumka-vodonepronitsaemaya-zinko-sumka-holodilnik-dlya-lanch-boksa-butylochek-v-180255946/?asb=yb9holWHjJeraTcs8CCoYeJPjVdxY5dULbyeYlNkycDOHq%252BFE%252BXgomM3A2Vc7iV%252B&asb2=Er1U2v1CnWcxs1N96SFDMZ7RFarw9M5cJOfIqJZ5rchNwWsbPSenAPlFKySkRQpTsoPaSF-DoYrlfKy7jGW3QqRMkXm4pe3hgG0pkLwWA_z4GHx63UCsLwOeO-hLwx_Yx5BrSs0wy8C5SQpAyK0hKA
Термосумка Gimi Thermobag в ассортименте,943 ₽,22 отзыва,"Завтра доставит Ozon, продавец Ozon",https://www.ozon.ru/product/termosumka-gimi-thermobag-v-assortimente-293635754/?asb=udF51FizpoAhZF9TDDm9sEKY0q40lNGjUBP%252BkBJHr%252Bo%253D&asb2=3K2gTaOCwLB4y66V_7zS-uweSajJSbqra5_1DDYjjMkYforyNZxWOi_IGB3H273N
Изотермическая сумка-холодильник TESLER ICB-2532,990 ₽,142 отзыва,"Завтра доставит Ozon, продавец Перспектива Т",https://www.ozon.ru/product/izotermicheskaya-sumka-holodilnik-tesler-icb-2532-147187153/?asb=uJO%252BcihKlmq4ROR9t9TAbiA8NMBg%252Fl6plTvW5x6C%252FtXgJBe8H3%252F9EtMYmqFIhmct&asb2=CNkSBoBqVM69uhSYjLvXct9k0jxero_pcIKK27YGDt7tK75qHFvP0BDeFL1fLFCssXkk65MWgF9RWj8H89abciP46wTX3fBuheue3BKz9hfAd4b0_eRtyqLjxw0LfJPdtW4fmOBLb26LgCzYjV9rlw
Термопакет 32 * 35 см двухслойный / пакет термос / термос пакет / сохранение тепла и холода / пакет / термос /,302 ₽,33 отзыва,"Завтра доставит Ozon, продавец ИП Сайфуллин И.Р.",https://www.ozon.ru/product/termopaket-32-35-sm-dvuhsloynyy-paket-termos-termos-paket-sohranenie-tepla-i-holoda-paket-termos-290644787/?asb=vi7JgFJRH8IBhFutZUFDxh0d5SeChB2QpLCREiw0UH6%252BqEosYlcpqYYWS%252FF4YtfQ&asb2=lIW420dIeUKF0SWnlzAccl5hleNiJUBPcVMEvGQkXhsatetS5b4xsD98c2sfyCdWzVMHMr-bMglIQzLnjC47KEena7q11rTEcR4sk4J8apdpSj1n0uPJOqk3-e7qmmQv0TvH3Alz9u73gqt8dQLAqg
