"Мороженое cублимированное &#34;Ice Cream bites&#34; Ассорти мороженого на вафле: пломбир, пломбир на шоколадной вафле, смородиновое.",931 ₽,8 отзывов,"Завтра доставит Ozon, продавец SALUTEMPREMIUM",https://www.ozon.ru/product/morozhenoe-cublimirovannoe-34-ice-cream-bites-34-assorti-morozhenogo-na-vafle-plombir-plombir-409724870/?advert=iaqM3bJjzt0-oAIwRug9hMYBoZviRI06MSqkCzNtwbDWn83w-UFJICwtXsXawbRVdxp4kMFrl9uQOfhCdh9QCddoW_XfYlAVi-JJTd7EEDfy3prm5SsIuphsHFrVDRG56lwltzpXZARpiwoNURBle5xy7DOG7D4dObasO17Sx_UtjRKFJanfgA1DERoJ9BOWUCO9KOoYDj--1EaxiwadCt7ErZ6S186wig-LlxAbEk6LDWoqy4dgJ-EDOu7cykab9gHbre7o2heNvlcVr2N2YEUplx9yZWx-ccayU8QVPdpTUKc2iOQYeKfrfwpr8L5iLVQST_GwzFpNorYqK_hvaLEGGn59n24bJFLiyPtAD6fjxW5paPzNo4hGtbzA8-CXMxzbv_v20_WZ8YkKzdi50nMh27g2iZ_tBt4e1p5tGr9NgvGst8H-egWJSuak19Jxp0Uxe4mLMF4m4yVEadrwOBt_vk4MzJA9T3dY4OZfi2RDMBgKnvZOv7732r0r86iFFfklgv3l333zsJymK1YyJPi9mciegTjXN88ei3nuXL7by-7k1uasr58L6CmWyIcT
"Пирожное Эклер Манго Азбука вкуса, 75 г",139 ₽,36 отзывов,null,https://www.ozon.ru/product/pirozhnoe-ekler-mango-azbuka-vkusa-75-g-327147352/?asb=8jXg0SyFZT%252BxbpOKrL1M%252FP7bH63L9QMslQtWj9iMfBA%253D&asb2=-YQrBReiEUPIZiqJhnb7Qc6mHRlMK3T1WVS1xaH0oc8B1gp47NDHmxVkywX7Rw6z&ectx=1&miniapp=supermarket
"Пирожное Ресторанная коллекция Малиновый мусс, 55 г",133 ₽,3 отзыва,null,https://www.ozon.ru/product/pirozhnoe-restorannaya-kollektsiya-malinovyy-muss-55-g-544210213/?asb=O1FHtEGZNX%252Fc9msBg0a4s5vh62DErGOULR2zdUh1ITc%253D&asb2=LnxckwNOLglBOL4TSg6upcrYFXDZGI8Ch2c4dm9G1R2YKKsFx1-VvMtYBaiPkjJs&ectx=1&miniapp=supermarket
"Бенто-торт ""С Днём Рождения!"", 275 г, от Шеф-кондитера Ozon fresh",490 ₽,33 отзыва,null,https://www.ozon.ru/product/bento-tort-s-dnem-rozhdeniya-275-g-ot-shef-konditera-ozon-fresh-402001405/?asb=2peOY7Yf1e6eJcieBGFSpYI22hBDNaSFxblOeuBuyAQ%253D&asb2=JGbEQFVyZrXmI4Cd7SPSJ3MkcHIhNHDR30BwWx0wtV5zNBpiUxmdcLlLvfnqnDEi&ectx=1&miniapp=supermarket
"Рулет фисташковый с малиной Крафтовая кухня, 100 г",205 ₽,121 отзыв,null,https://www.ozon.ru/product/rulet-fistashkovyy-s-malinoy-kraftovaya-kuhnya-100-g-355669133/?asb=M3ltEa2YtY05wOIFve%252BqSmlXkURQlnkS34d7yBwbTRo%253D&asb2=i63MYk_tBU7FmAOG-OawtAihxcoggOwFks2FhogOBUlp64H4caL3rk5bMh94NhoM&ectx=1&miniapp=supermarket
"Торт Медовик Классический, 320 г",249 ₽,7 отзывов,"8 мая доставит Ozon, продавец Десерт&Секрет",https://www.ozon.ru/product/tort-medovik-klassicheskiy-320-g-473213244/?advert=lMmUuY7afgS9nHRREZSid7LxrqLud2GG2TaVmZg0co0tNkN_skI6VKpD6SJOHO1S1eJWTYdcC1J0orEDpzLfsTDoITqmb5mXX3PthwzGiso36sz9WEZomnfZwg18gFWB4Ylz9uPoYp_4nwZ31pIoRZUXvr24mcoihQKRR3V9mqD58lAEQLPXiO9rxVv9AJPjhe-o7X3UzBQxOpK77_lOXaLvcGjHLzT1xWibETd7dnCw_36YDvdDkTtgj8JWYQuRqYrX9Y2nyEuZToBwTFKk_EMwu45FQhm3N-BMjVUguPd49azdI69Bwp794-kIzBdaHup_w3s-0a7LwMOcpnPk8lAQ7pDcaKT1KpJRulc05LOZaIzND197Mbbe6yIxncwNaoybpl6-hMEE9VlEiijGLfyCGgfTEARuiS4p6iTSPUZeztXYgIP66on-KBDP--gdFmV3-HPUAjtdF_jtmj-Hv0bB5ZOwayWJA0y2ZaeWi9eeOf4Bf06A1q_HFHE3zVnczwXPIIP2AvGpQwToTr7iAxGVynmRXNxcJzaJHWau4oM9msjfDz0xkEOl3pImZ1q3
"Набор пирожных ""Морковка"", 145 гр, от Шеф-кондитера Ozon fresh",350 ₽,10 отзывов,null,https://www.ozon.ru/product/nabor-pirozhnyh-morkovka-145-gr-ot-shef-konditera-ozon-fresh-525980395/?asb=MXqiw8s4pfhGVoqBYT%252BWwDViEr3WNn3ve82EnHinCeE%253D&asb2=KX1qKWR7QwZlpwrunVthvdmm2pOtFNA3zrAzdLcnULLtVz3wG2zu1Y520hfrG97y&ectx=1&miniapp=supermarket
"Пирожное Эклер с ванильной начинкой Азбука вкуса, 70 г",155 ₽,114 отзывов,null,https://www.ozon.ru/product/pirozhnoe-ekler-s-vanilnoy-nachinkoy-azbuka-vkusa-70-g-227742320/?asb=iZPj0HbXCApve%252FLf87kaLslMH2OU51qdl%252BQ0XwmC%252B0I%253D&asb2=CXgcjiW0S6aGf1-UHKa5-uxl9cCQzFqv2LQxCCjumKZUSMia9p1XSHt5QEI2vNqn&ectx=1&miniapp=supermarket
"Корзиночка песочная Хлебный Дом Ягодное лукошко Малина-чизкейк, 140 г",109 ₽,54 отзыва,null,https://www.ozon.ru/product/korzinochka-pesochnaya-hlebnyy-dom-yagodnoe-lukoshko-malina-chizkeyk-140-g-441208824/?asb=f2trkJ4MtR0cus8sdIwhtmyS1tW5LCL%252BVzwqY%252FgInLA%253D&asb2=ZU2sP88wo6jdVeqZ5kS1NCIfnY5JwTd0oSl0JvQtGqlLFx39FLtjeA7U9QA2ziYL&ectx=1&miniapp=supermarket
Рулет меренговый с грецким орехом 100 г,167 ₽,191 отзыв,null,https://www.ozon.ru/product/rulet-merengovyy-s-gretskim-orehom-100-g-355669058/?asb=iFliKZaLcWq6Zp1%252BVHpa6W4yAEKEkS7F2KlpByMsqW4%253D&asb2=TQ1q9T9JhdI8EY18iPfbdz_BgopjSNb6-9ckTcdZLJO_qdgHNsLFtiykMuBG9G26&ectx=1&miniapp=supermarket
"Торт Медовик Молочный, 320 г",249 ₽,8 отзывов,"8 мая доставит Ozon, продавец Десерт&Секрет",https://www.ozon.ru/product/tort-medovik-molochnyy-320-g-473568341/?advert=XXNincul-sUBofUCppk_fE_8wvXpwrXGZlQpZYjWwi96SLkcRBxTR9aDtGOGlxZq2DKm7Cy6Uh9KkqObdcAhP6GylmEKqLXcannuLJ_AUuyNU1pUXk7z9a1nKJxnV9qoVLYGJ9TZHbIh6zrTLfdhh5d5yWcFcqSb1BBOjJb3xvUNdmZ25seIwzXr-kWkQwCmFcjXKcv36Gwels1-b5aBF0JL9KmJdcwv_lHYaeONGdzkRGYxZ_eb-dS_Wnp4BxNQ9MrdM8Xnnh38qrrf1AmHpPQH0avqTCup9AAt8UszVW9d19ZIyWSAPV8hyFAHKGF2KI7WZM5Yy3tTq5Aw6oPxubHO1qUWwIIypF14qEGRcT35V7Sn0TTPDn0UeEFsO4Y68rE4tV9J8EEeZRrb40bmpGKQqIzmO9SSRe8LWDxdvZdmt3m6RwHNXlGtL5aQqSSYt3fUH32kM8FayF4iMeeYo-Sl4hi55bO1KE0k-YHdlp3qiEdAMSNDWcFRzMYtzTXssPOHSamyMTcBLktIRprJ0urlZFJ9uBEPBTgdSv8IPEPxUiR8pU1ZBwOBM19cJ9MQ
"Ягодное Лукошко ""Яблоко-Клубника"", 70 г",79 ₽,17 отзывов,null,https://www.ozon.ru/product/yagodnoe-lukoshko-yabloko-klubnika-70-g-469827416/?asb=fwMacGBiakNSV%252FOVXLmODiKCwk%252BtjFYu71U%252BY%252B1UgyA%253D&asb2=askixeSAIeNixxRRq1KuxSq7V0XDQOwyUahiL2AaGf0hUKcIZXTmvLTe8_lsMaDd&ectx=1&miniapp=supermarket
"Корзиночка ""Оригинальная"", 280 г, У Палыча",379 ₽,177 отзывов,null,https://www.ozon.ru/product/korzinochka-originalnaya-280-g-u-palycha-171831233/?asb=ynQhcaKGZldaaUK5n0Lq9MchxLq1RgkFo83hEA26jVo%253D&asb2=f43E39Q6oddeMaVCEChzYo9BzbahkikSlpYQ1pPSng7dUxx39_N0grD3OOICxX6o&ectx=1&miniapp=supermarket
"Торт Mirel «РЕД ВЕЛВЕТ», 550 г",559 ₽,58 отзывов,null,https://www.ozon.ru/product/tort-mirel-red-velvet-550-g-469964428/?asb=VN7FulPQZBwV4d1%252FCQYDC3AEtz5L7gCdr%252FBEILG9k%252BA%253D&asb2=wx81v3-k6bnDwXqTE9tjA7VJoRAJxdou3pTsXihSU5gHqwUJ61lbsQYAAlEpDFtc&ectx=1&miniapp=supermarket
"Вегетарианский десерт Сакура без глютена, сахара и лактозы, Можно Торт, 70 г",180 ₽,133 отзыва,null,https://www.ozon.ru/product/vegetarianskiy-desert-sakura-bez-glyutena-sahara-i-laktozy-mozhno-tort-70-g-369947166/?asb=Mu%252BLa%252FbDnHzrrpMxg2z%252FN9W9u1Ii5%252BY6yaSczaUWwVzxaUrn4uoZSuEqlLAV9%252BCQ&asb2=mIbUxNQeOjXMiUQZ1k4jajERO61h1PJAq6Eu9BQZtDZPg9lwpKv9TbNouj7-_Vz2xT8Q0a31GzfVHYBx4eSomPiXyvwskc_c277Ro3bc_Z-orDTg8I_OYy_9J1pNlL1VFs6vuO-u3kOhjIB6PJoMww&ectx=1&miniapp=supermarket
"Торт Медовик Шоколадный, 320 г",249 ₽,9 отзывов,"8 мая доставит Ozon, продавец Десерт&Секрет",https://www.ozon.ru/product/tort-medovik-shokoladnyy-320-g-473571318/?advert=_HjPubE82XxnIl9DfLlmTgPNQD0aVI7Wt9-PQyASFF26vAI1HV9EZ5zwyN7UVLlhKA9minRTY46hNX9VlyIctEmT8n410SS8PodicoP5C9PVuzoRghIQJfxGlBkJMfV_mTJkMsBCHNjwPwmrvKw2nzS9TTSDAgxf7mUGaSfVw0IwvL7mg3_jh9LMzS0LvTlHCv91NLCAzfoWay0pjruy6B9plRyyS5dWfhxe3lDJDXQk9ipZXwBNmEFpK0fIJ2M986IBddkm4stvJQAuzxY2rpQYzdsBjpe9S313zW3un233PLZUQKsDxwVI8kvhriOzOiXKXPnrMqMwwGQbRr_2dyvpkmmwWphRS75hGRUzX82OkLvCVAG4ISdVP4ksQ0bLM2ItrFKzxJIhySJz0ysdpbx6J7UPUFDfoewyL6JWI_xGs42ToYvY-gr1nWp3IyT3Rd9tcqgnEKv_cYaGT9gX46jrclTSqy1bcObmSssu6vDzMJxmM27zJLL8SbM14gO8nDK7xi0phaTYQnWNcuxgN-vgpwq9B5KeukP1FSWMzp12sN1c4SNQcUENUaUpimLS
"Пирожное Эклер с ванильной начинкой обсыпной Азбука вкуса, 70 г",149 ₽,136 отзывов,null,https://www.ozon.ru/product/pirozhnoe-ekler-s-vanilnoy-nachinkoy-obsypnoy-azbuka-vkusa-70-g-227742377/?asb=EOw8SPNGSRUe2rJmASa8wFRgE512jPqX8d%252BLNP1LyRI%253D&asb2=3TYeukb_B7f4_KF6wSlR1IWBJgvUsoKniO4w9i0d028CpJn8hyHT6vQfwAwn_4pQ&ectx=1&miniapp=supermarket
"Яшкино, торт вафельный с орехом, глазированный, 250г",113 ₽,87 отзывов,"Завтра доставит Ozon, продавец Ozon",https://www.ozon.ru/product/yashkino-tort-vafelnyy-s-orehom-glazirovannyy-250g-400887484/?asb=ybC1JPj4%252Bq1eb%252FaquVCvcjd%252FOOg13E7H7Yhq16ikKEM%253D&asb2=z1KfTKm8saqDCXPbursa_kPrJ-dtysppKeGbcSL6nnQENIe17vy8lhV0q1tHAlXb
"Эклер шоколадный, 70 г, Азбука вкуса",159 ₽,125 отзывов,null,https://www.ozon.ru/product/ekler-shokoladnyy-70-g-azbuka-vkusa-227742327/?asb=wiU11u2dRm7vgskvIOKAaOuC32EhC%252BCcXa3M%252Ffcprzs%253D&asb2=ISk4SWYy41lKL4UdslSEWo_xaZqwoeeDIUyfb1_8WbNxwmdX6v1jMkI0TbiA8fAo&ectx=1&miniapp=supermarket
"Торт Творожник День торта/ Черемушки, 400 г",259 ₽,189 отзывов,null,https://www.ozon.ru/product/tort-tvorozhnik-den-torta-cheremushki-400-g-173310575/?asb=a6URUZSlY%252F%252BfJolDCc1%252BEK7ii%252FJks8A7cdrHZuzGnLc%253D&asb2=i77S472SYC1CADLZ434N1AGvrwOBuks7sYXGlJdNoLdwEZtZAp54mDL8QxLseqnp&ectx=1&miniapp=supermarket
Коржи для торта песочные со вкусом вареной сryщенки Черока 400гр,224 ₽,2 отзыва,"8 мая доставит Ozon, продавец DVZ",https://www.ozon.ru/product/korzhi-dlya-torta-pesochnye-so-vkusom-varenoy-sryshchenki-cheroka-400gr-509605204/?advert=qqyzV9y7n73wLvL_E5joL4oU-o-av0TeL-OfO73-uHfeCRK78kEF6BddGAKVz7OcLEUOON2xYmZxzt40idux9IVj4Sh-7t9BdmVCkAQYkehPJwkslMGlyoSVUTVwzgCdJYTpbYg56JdiTcUw4jvWQHh11ipv6L92qjamOJXCeDlTtRlnDfff3dj2bZsmZByKDhzqQpTM9LVIKXAOQnW6UhHtkZIg76jVwpFxIlMGM5MIC4-b0ImGMo4JE_eCaYBmaeMQlRypLuYhjxt4AnsRklEFXEka6EIVUedkv7ZLCbEyjLPV6wTC06L3aJwQ4hU4eRmpI0QQIyXgKg6xpoeBPepzHBTxZruYu6xZMn-e1MWA017NmMCGcOwizi3nSnSpoHfi9a55mLml2jnP91b4sDQLmIqHCT89_GVjVUvIDELU6Y2wBceeoUkhjRvWvGaMs2m0jng8_usNXuFZtgJaycNNsPMMJ_mkSVy6ZSsygAsL9BiibnsoJmYHbb2zO2zBm88eq07mV8h0uIEM0BDV-DMnMn1s4AJMPgtij_NhgKYnL5NdwhiguB1ZZ9jwMPM2
"Бенто ""Токсик"", 275 гр, от Шеф-кондитера Ozon fresh",520 ₽,17 отзывов,null,https://www.ozon.ru/product/bento-toksik-275-gr-ot-shef-konditera-ozon-fresh-525980470/?asb=UorSfMhFNaFgWRJ10Z634UIJm7xB065KNeGDlyczoYo%253D&asb2=HEkMb2oURFKEXnIzRj_T-i6z8wRh2NAFSGXheuaio02fCSEVgWYlLVw3e6_MCrEc&ectx=1&miniapp=supermarket
