Понижающий трансформатор Apeyron 03-85 для галогеновых ламп / мощность 50-150Вт / входное напряжение 220В / выходное напряжение AC 12В / влагозащита IP20 / защита от КЗ / металлический корпус черного цвета / размеры 95х42х24мм / гарантия 1 год,615 ₽,95 отзывов,"Завтра доставит Ozon, продавец OGM",https://www.ozon.ru/product/ponizhayushchiy-transformator-apeyron-03-85-dlya-galogenovyh-lamp-moshchnost-50-150vt-vhodnoe-281188724/?asb=NucEgUmtl3sPkLQ%252FcqUmMa7nKMbP7Zx87GAi7lxS3s4cVwsTglnlZubyNlV3vSC%252B&asb2=dffhFJq8E47ZPGiFT_nI-jGun0JRqoQ9zo3lAMbg0LZ-S4nBwP9cvByagjlRJwBI74KEpWowB_YFY5XfoZ_6iyH6pfV-lN1yFJo1K2hpmOWKrByC_dsRB26uqlgnzGVn95ApisWh9YtxBo5oURgjsQ
Понижающий трансформатор Apeyron 03-84 для галогеновых ламп / мощность 35-105Вт / входное напряжение 220В / выходное напряжение AC 12В / влагозащита IP20 / защита от КЗ / металлический корпус черного цвета / размеры 82х37х24мм / гарантия 1 год,542 ₽,109 отзывов,"Завтра доставит Ozon, продавец OGM",https://www.ozon.ru/product/ponizhayushchiy-transformator-apeyron-03-84-dlya-galogenovyh-lamp-moshchnost-35-105vt-vhodnoe-281189243/?asb=Xd3EygidNmAN0LofmwcPoj%252BbBt3Bny4tMa4mx%252BynBcSkkccOSZurfWHF48GQxBT4&asb2=pnsNp0jJE1W-w2GGb5O5dFi43nEdGU8hZtMYNP2247v49fI8Z2h6cDNlFrW7Sd4QXHcSuB29xJLM62DM77llvu7prGQJ7v_BL-CjPij33XL_zaEEvg0DtgTF_3rAtIDXW_2Ks1EwZI_u8TPHUQ97_A
Трансформатор EI35*15 220v to 2x12v 2W / RUICHI,463 ₽,4 отзыва,"8 мая доставит Ozon, продавец ЭК ЗИП",https://www.ozon.ru/product/transformator-ei35-15-220v-to-2x12v-2w-ruichi-336122093/?asb=8reYfI2gCP2jDg5X7BA7u3KQunxQpHlrQiiwMn5a%252FE7%252BrcA%252Fcc%252FsGSk4yZhtJdtO&asb2=AwFppnwfmjbYQtt-lmoO3pJB8UT7CWoCd9QOtjjsM909SpD1QxT1KLOuaARmy2GYVNvTtVg9CRFoSzibKNkKIZVknSOP52LvcPlKBGJQX7pWZHCLTsN4inYYi2_OJPSDf1CV3BfQapuHZ71KGq-1yQ
Электронный понижающий трансформатор для галогенных ламп на 12 В с защитой от замыкания 70Вт Uniel,467 ₽,11 отзывов,"Завтра доставит Ozon, продавец LightUp",https://www.ozon.ru/product/elektronnyy-ponizhayushchiy-transformator-dlya-galogennyh-lamp-na-12-v-s-zashchitoy-ot-zamykaniya-401972351/?asb=PCW%252Fkgo5sxVccCU57eMB0G4GiKjErCGXagw5QaRbsmo%253D&asb2=D0ex58yHR_YIOo11nAPyr5sujs2xSa1QauWmIVChfjCcZqC3NEJjqm_k395eGB9k
Понижающий трансформатор Apeyron 03-86 для галогеновых ламп / мощность 70-200Вт / входное напряжение 220В / выходное напряжение AC 12В / влагозащита IP20 / защита от КЗ / металлический корпус черного цвета / размеры 105х48х27мм / гарантия 1 год,900 ₽,42 отзыва,"Завтра доставит Ozon, продавец OGM",https://www.ozon.ru/product/ponizhayushchiy-transformator-apeyron-03-86-dlya-galogenovyh-lamp-moshchnost-70-200vt-vhodnoe-281189088/?asb=OlRcB294fyBqMQUs9efT9al%252F1A0VLnf6X335rLBtPvTQNzRydTJqnsk8HrzixGmK&asb2=sQppuPCZP7XHdu6t0R0PH5KXAPHJ7LAZ7NssB2vfU9WxsJUBSx463cYOFS96cFQpCBdOKRokU0iiEy82ezTss2z3DduAi8VUA9kutA5aALFIWFIDy5igpbZ_pugXNcVT-EqQsv3pllDjNm3vL-nyHg
Понижающий трансформатор Apeyron 03-83 для галогеновых ламп / мощность 20-60Вт / входное напряжение 220В / выходное напряжение AC 12В / влагозащита IP20 / защита от КЗ / металлический корпус черного цвета / размеры 73х35х25мм / гарантия 1 год,406 ₽,47 отзывов,"Завтра доставит Ozon, продавец OGM",https://www.ozon.ru/product/ponizhayushchiy-transformator-apeyron-03-83-dlya-galogenovyh-lamp-moshchnost-20-60vt-vhodnoe-281190011/?asb=jk5C8eF8vFTIyMvuUVIWk4t89Z1W1TpSlQBFD23Gcts%253D&asb2=klLSJOJs53UwlNeFtdlCTvYUcUQZHA_QZytt_PPw7myXLhtc4ei0jD2irfpl1lir
Трансформатор ZORN 60W,358 ₽,47 отзывов,"9 мая доставит Ozon, продавец AVIS Light",https://www.ozon.ru/product/transformator-zorn-60w-314568224/?asb=93PbIIIapVCqaA68AIOw1l2BOQYBKth%252Bdh%252FLuafuNTM%253D&asb2=oK3APB4_VMZkidisT--G5IV0aP-zBi5AorMLnxd9eADM5nx3-siL_Mm7NcFaI7dy
Трансформатор электронный Taschibra 230/12В 60Вт для галогенных ламп,385 ₽,49 отзывов,"9 мая доставит Ozon, продавец Электрон – ИТ",https://www.ozon.ru/product/transformator-elektronnyy-taschibra-230-12v-60vt-dlya-galogennyh-lamp-161455185/?asb=AbVbtLusQ6RDbzHm0nO9Z%252BpRRwzjZ17QZRb3jzgwfmY%253D&asb2=huwnGxjwdiDKw_VvZ9e3cysJ98x51K3T-4WJ8DTR2Kde6iu_m933-cDryVZLV63D
Трансформатор EI35*13 220v to 2x12v 1.5W / RUICHI,452 ₽,1 отзыв,"8 мая доставит Ozon, продавец ЭК ЗИП",https://www.ozon.ru/product/transformator-ei35-13-220v-to-2x12v-1-5w-ruichi-336119667/?asb=jZEy26aH3%252FXHa%252Bgak3VPDCnm5cNHmsDUWLVWZhIbLF8pExqv4ileTr7MkLm%252BN52L&asb2=vSjIE98f9t_sPNijiOrlpn7ozLhCnXVQ0Yb8h4y3xZNgEUDl9y1ZP5l4ndZAhFCR6XezZd0-FlqjHSEpW-HlaZnYsSseDCq0VSm-xf3WYBahaxFdsLlQwfVkDwymmfBp_oThF0QhnW2JNfI-PZHxIA
"Предохранитель (пробка) электрический автоматический резьбовой (10А, Е27)",369 ₽,18 отзывов,"Завтра доставит Ozon, продавец EL_Trade",https://www.ozon.ru/product/predohranitel-probka-elektricheskiy-avtomaticheskiy-rezbovoy-10a-e27-202589905/?asb=KgeXKJpDuwpY3pqpoUHaMQKhE6N9DVOUNWxVIxNGzgg%253D&asb2=segagIvaXQ1sg4nm9r9VcL-7pBi8incLu4GisjMVyVBusmojE3xVs8p4UR0N1hdB
