"Умное реле с Wi-Fi, Яндекс Алисой, Марусей, Google Home, Wireless Relay 10A",731 ₽,161 отзыв,"Завтра доставит Ozon, продавец KOJIMA",https://www.ozon.ru/product/umnoe-rele-s-wi-fi-yandeks-alisoy-marusey-google-home-wireless-relay-10a-484126058/?advert=0LSL5MX4qx_ST7Vfl-jwG0zQsp9W03rgfBTs21rAXVrny6WhG2V4CM9YlDeRDvGyQEgOvBfxzeuM_Nb6-sytaTxWe2vZbm2Pd_8jlXWz8K-1gVqKMhAI_UJHNqpHHtBaBJ7WIoo32l11jj1iXsvLYrlDAKZjjTdZLwZra5RYrRuMgntHcIHsW8fjcF0FquqKZqih_KdF0sx8hn78CEvDMkgrVEXvuaP8JA2udAYwG1dmXzkqrREEisHxhChGD4WmUsfg-dWUmgoXiG-SZ2dT2DlYUVeipxlTM2z3FH3z_8RqsruSNZxpH2Kq_aSjsP7N6SYj169BtkLXSJbbVB3C6ZCFmJ-ci1pfCiU628RKliqWOf730a8ig7TGeYEbPu24CSU0dKT40R3W8oMfLMWu9W-NspiHuXq4XCHm-PjLRxObJFSInXM3DbGNpWEns4BJq2Ni4C1AY94gMgVfdXlMsI0aJ_1gB_5n6JdGIV_Z0Vr1hnFy-o3XKQ5aU8Bbm0DOrMePVX3wqMw8uGFcTl7H8SSmLPDbNtYds40OMBL6zX6o2qJk_DM-54pzQuPHDp9P
Розетка с таймером Feron TM32/61923 3500W/16A (суточная),570 ₽,8 отзывов,"Завтра доставит Ozon, продавец Освещение для Вас",https://www.ozon.ru/product/rozetka-s-taymerom-feron-tm32-61923-3500w-16a-sutochnaya-280932671/?asb=sqgKaRZsB%252BhiddrgmnhsT0oX%252B783zY%252FJ2G7vognjN3g%253D&asb2=dzVuHzOsFYaWSUQME3I8IZBcapQnPwVD6vGMgNu7futTVEp2RZsZPv_99GlqARVC
Датчик утечки газа/ Пожарный датчик / Датчик протечки газа / Датчик газа / Датчик утечки метана / Датчик утечки пропана,610 ₽,15 отзывов,"Завтра доставит Ozon, продавец Проверенное Качество",https://www.ozon.ru/product/datchik-utechki-gaza-pozharnyy-datchik-datchik-protechki-gaza-datchik-gaza-datchik-utechki-292414112/?asb=PZqCuOzv1c3YZla9ynoUhEHXEOd1hQvyPgIYAMUQdeoxYWpgYoEbslnKY63YeauV&asb2=2I3AXQO-BPQW3LZyLanetoBopp6hpmM97SGPop9uw3W4fjufsT-VdKonWt0IFI7azwNCwCqoNWgpHXYPxD17Q8714t-LjH1Qvnlncd5DhcZTHC2bvFzKzvPcgG6CNFoUxt1WTdNUjig5bvzO0Q0zzA
Camelion BND-50/SG65 таймер (умная розетка),813 ₽,6 отзывов,"Завтра доставит Ozon, продавец Энергосистемы и Технологии",https://www.ozon.ru/product/camelion-bnd-50-sg65-taymer-umnaya-rozetka-219908786/?asb=aDC6l3G5%252Bj7mLHNosoRwddk%252FzzMhBju%252F5hBt0pvCf2o%253D&asb2=Rgllm0zy29bJkYDPqq3CWC4aMXaNefehAbt0n05KpVUhrsIMpzGVtpcrJxZNB4xt
WiFi Реле Sonoff Basic R2,765 ₽,67 отзывов,"Завтра доставит Ozon, продавец LikeMarket24",https://www.ozon.ru/product/wifi-rele-sonoff-basic-r2-211584452/?asb=bvyXYsmWWLXseVBG52NlD7QQRT1vFM6i0%252FOOPA8uKnKF5j6CFhhvrStQl1jhAeAY&asb2=lp5S7LmwQ_nsuiDGG_w86IID5pKmbFOMqBSYZ5o9BWJoPfNlU5aOSuRMeYQXalsiEVdjtyrc7DKLRp7G9mrpzHwAbnHLuDb1pv5xSx5-MIqahjs2ufrzUWdk4lk8PqAD_6x--PqmTHeARbk_IV0MEA
"Розетка с таймером механическим Smartbuy 3600Вт, 48 вкл./выкл. сутки, интервал 30 мин.",598 ₽,53 отзыва,"8 мая доставит Ozon, продавец LedMarkt",https://www.ozon.ru/product/rozetka-s-taymerom-mehanicheskim-smartbuy-3600vt-48-vkl-vykl-sutki-interval-30-min-167433155/?asb=5%252B5BBE5MB4UyGtwuicFIdBGWNWOKX5M7jleqeoIJGXY%253D&asb2=NG5p4kzzJkBxOMdX-tpH6kEVhLKz-p72Ji2uoDrTnzkgL_EJp7_4MyNsruyYfNyH
"Светильник настенный, ночник детский для сна, ночник в розетку, светильник на стену, светодиодный.",277 ₽,153 отзыва,"Завтра доставит Ozon, продавец GoodStuff",https://www.ozon.ru/product/svetilnik-nastennyy-nochnik-detskiy-dlya-sna-nochnik-v-rozetku-svetilnik-na-stenu-svetodiodnyy-279491172/?asb=HRqum8Dmw%252BjMvZSfoN6H3bu%252B5Yb7de9Y%252FvUBQEp%252FOdG1%252FaRJ9cVQXw6jmUvVyjad&asb2=tvlFfJKWMKHrrXyLw2X974hHnQgmQQU0ubQ71lCoMwMzRGyfX0n0JCl0bmVBYt0YxMoG8cfMoLIA1cbZcm9KLRMU5Mpswb_Hy01bCRm9AvyN8k5I9BCBNmKeXvBWmRaPHgcIp3kYpQqQ0gDWedZBEw
Сенсорный выключатель одноклавишный стеклянный / выключатель на одну группу света БЕЗ НУЛЯ белый,806 ₽,36 отзывов,"Завтра доставит Ozon, продавец Easy Tech",https://www.ozon.ru/product/sensornyy-vyklyuchatel-odnoklavishnyy-steklyannyy-vyklyuchatel-na-odnu-gruppu-sveta-bez-nulya-belyy-308755035/?asb=Dpnd%252FK%252FbMRlt8tH6hAzi0C1nFoTlsxoEfalnjY%252FKOtD9OcdTWalMcvsCe6oyxncv&asb2=dgwhvBlDRi-HklOp9Zd8MK87pzrcfIVOm2TzDyjvWWrNFTWVMKZ_YNQO5DgKt9Cq9KQGfcnt4ifvGcLsH-Nesf_p3NaMTHXssfruvPkrcWde_T2NC4drDmmeeBQ0D5vcJtNncrptIe4PzUhACb-EOA
Датчик открытия Perenio PECWS01,490 ₽,46 отзывов,"Завтра доставит Ozon, продавец ООО АСБИС-2",https://www.ozon.ru/product/datchik-otkrytiya-perenio-pecws01-148468581/?asb=LMxAOWWCuB9LqwtCMPgrUgZkIOf7zJF3%252Bp8L06gCRTs%253D&asb2=8rC2OBlegajcc-FW_VHKPjAKoxiLFAhBj40YbvU7ZuO--3WJTr-nyw81VAkRuhQt
Умная лампочка с пультом управления SMART RGB Е27 / размер M,469 ₽,98 отзывов,"Завтра доставит Ozon, продавец QVATRA",https://www.ozon.ru/product/umnaya-lampochka-s-pultom-upravleniya-smart-rgb-e27-razmer-m-551026432/?asb=oYVt8eHC2CR4jbcLASqjD4L5sjrFIIc2095mfq%252FtWco%253D&asb2=VbNK7x6MK_O6q1e3QmLWweQWzGujXsvcCDZQOYAHe42Dd_oJUydSCWMuZEXXXoZZ
Выключатель (одна клавиша) Yeelight Smart Switch Light YLKG12YL,490 ₽,23 отзыва,"Завтра доставит Ozon, продавец MARVEL",https://www.ozon.ru/product/vyklyuchatel-odna-klavisha-yeelight-smart-switch-light-ylkg12yl-242735032/?asb=fMAgJmqYw7OiEo09UzDh%252BtKWHCuDdJ6cQfduXSwCLAJC4zQqA7A9Z1hKdqWMOHRG&asb2=zG5idLtTjU-oXwY0zqELym1_gP0zZCkYLjq7q5RZqAwhz9LAXqiwy23TY_udkCdUvoAh9C3Y41_RCaruhhgIQwMYqkI-nK55FKXtZCw_RxIF-zaCc9dEEZlSNdTqiaivn4v59oBngjDluHaAvT0QmQ
Умный беспроводной WIFI датчик открытия двери/окна PS-link WD002,928 ₽,24 отзыва,"Завтра доставит Ozon, продавец PS-link",https://www.ozon.ru/product/umnyy-besprovodnoy-wifi-datchik-otkrytiya-dveri-okna-ps-link-wd002-348351726/?asb=KqTEssFa7yxXTgLvFCnZpcw4yEtfEaRAEBEcT2z9iuGdSnJW3XbY1QFJNxhrSuAC&asb2=Hdckwxvm6S9B7vaLD8RzY6mqWL9tby94QNpILqUE-_5bWZDhjknAZCJ0p6GPTA6tBetBxeguX2bDj5mG6_-gpey4qtIRYfGD4NR9-d38xOgV1XzdwyGZ4llV9QTziHNTvuKJglY67VNNgz5Z3q7anA
Сенсорный выключатель одноклавишный стеклянный / выключатель на одну группу света БЕЗ НУЛЯ черный,806 ₽,36 отзывов,"Завтра доставит Ozon, продавец Easy Tech",https://www.ozon.ru/product/sensornyy-vyklyuchatel-odnoklavishnyy-steklyannyy-vyklyuchatel-na-odnu-gruppu-sveta-bez-308767092/?asb=qxIfvzH33BRCFlEJhsV0vc8%252FjRbA3IQCyBL3HO5U0iavsLlgASuGEpc%252F7sARsKyD&asb2=JiAuOFJ89TuebLbCg6jzXUC1Oblvu4Jg1iwwYNmHFALy-s8A_IWh1cRTNiULChNk_vH7UmXAFglbB-Cz0kNzek95THdMMHpQa-I83X1xVxkbGaxqFVD5fafRSsguAQM4-i8xCPgMZE0-EkdLTUQd6Q
Датчик движения LifeControl MCLH-05,438 ₽,31 отзыв,"Завтра доставит Ozon, продавец Мобильный телепорт",https://www.ozon.ru/product/datchik-dvizheniya-lifecontrol-mclh-05-154481456/?asb=L%252FM8qwEr7mrYYETdP2YnoSOY22UD7G1OB8QT78kZxo7%252B%252FsWRXtiT98jZlGEtOD4h&asb2=aYo9MQ8v6oTU1YGXwF3_rZqCmnXsWqoyMUaMR2EZKYCbwSVFcrDTBMwYdPKbtQgOqq1jy3pD5F-anjcEmE1jdzjkCM6UIn76ycun3yaqhsA5zbeVkDuEPfqAbQmo8Su8Wl76GI7oE0gnxTchd3I6mQ
"Умный пульт для управления любыми бытовыми приборами со смартфона (приложение ""Smart Life"", ""Tuya Smart"", ""Яндекс.Алиса""), работает с Алисой, Amazon Alexa, Google Assistant",999 ₽,110 отзывов,"Завтра доставит Ozon, продавец SmartHome",https://www.ozon.ru/product/umnyy-pult-dlya-upravleniya-lyubymi-bytovymi-priborami-so-smartfona-prilozhenie-smart-life-tuya-316705850/?asb=f2QooKxYyn6OUIpuxj8KjB3HZ8e5slr6YgmsqP4Qn1w%253D&asb2=NrJ1_Nks_TUyYXVEP3qXUZX9uA9oCOEENFRKjhcENWgQMTiXbF1_OZPyOVW4b9n9
"Датчик влажности и температуры , термометр комнатный Xiaomi Mijia Thermo-hygrometer 2 беспроводной, метеостанция Bluetooth, белый",543 ₽,51 отзыв,"Завтра доставит Ozon, продавец BigChoice",https://www.ozon.ru/product/datchik-vlazhnosti-i-temperatury-termometr-komnatnyy-xiaomi-mijia-thermo-hygrometer-2-289768742/?asb=rF0wEqhzBVaT5ise9mdHVrB6np%252Fg%252FNyb9Cx2wvgu9ww%253D&asb2=LXymLhRpa3oYDtZAsPjGetwomKe6xh2W1lvUKEaEd2WmCa40v0YW-Drdzl2ubdRq
Умное Wi-Fi реле Moes MS-101,590 ₽,18 отзывов,"Завтра доставит Ozon, продавец MARVEL",https://www.ozon.ru/product/umnoe-wi-fi-rele-moes-ms-101-317299638/?asb=WdV0BL3r6PbY1eYksQhs3s0Kcrn%252BFwM%252F2%252FSWk7JiKWQ%253D&asb2=raKidnDC6Oo4jfQ1pTp8ds3SUjxQeH6OtgegpvVmxrbno0SYqVEpRsAv3_oyxrTV
Сенсорный выключатель двухклавишный стеклянный / выключатель на две группы света БЕЗ НУЛЯ черный,981 ₽,36 отзывов,"Завтра доставит Ozon, продавец Easy Tech",https://www.ozon.ru/product/sensornyy-vyklyuchatel-dvuhklavishnyy-steklyannyy-vyklyuchatel-na-dve-gruppy-sveta-bez-nulya-chernyy-311103491/?asb=Met3uk%252B%252FfO%252FKiR8WfLq6QIEiQs7PaBen8ymlldd3I%252Bl9%252BlpBXN0pYqwSInt%252FebSq&asb2=q8qJCQBrDVeBkBERENoLhGYUAUGNPeLvLSlqEvWXDbKGQxC4XtoUF6oVHGrHpsJYR23bGRiFCxs0PHAwV06wmM1dRcGySuVy7UsGcCEHa3dqTvEQEEWQFCIAFKsEVX4DzVXk59B1qpfctmHnklz6FQ
Беспроводной умный диммер Yeelight Bluetooth Smart Dimmer (White) YLKG07YL,999 ₽,73 отзыва,"Завтра доставит Ozon, продавец lamobile",https://www.ozon.ru/product/besprovodnoy-umnyy-dimmer-yeelight-bluetooth-smart-dimmer-white-ylkg07yl-180941330/?asb=6Ns4J9O7cNZeQKgmBYSTBT1OhHyfYaTmUPjqqrocfFs%253D&asb2=flBjnjuSfnDIVXolB-dthbmTy7bswOkjGO2AfQUL9wN3n2r2PX-vuugGCuSv5tsZ
Датчик Xiaomi Mi Temperature and Humidity Monitor 2,723 ₽,156 отзывов,"Завтра доставит Ozon, продавец Ozon",https://www.ozon.ru/product/datchik-temperatury-i-vlazhnosti-xiaomi-mi-temperature-humidity-monitor-2-265582962/?asb=5Ipc16kj2aBsKdSmktiBIBYV%252FE2LAdnenqHHBvQH7Kk%253D&asb2=VRIHWH3uszmPsB-M6b1bFpI2_CQozncPhP5t5LMF248sjdiOX6ZG0Rh4H9Gotskn
"Мини переключатель реле Tuya Wi-Fi Alexa, Google Home, 16A",889 ₽,4 отзыва,"6 мая доставит Ozon, продавец BOX69",https://www.ozon.ru/product/mini-pereklyuchatel-rele-tuya-wi-fi-alexa-google-home-16a-292302003/?asb=lOpJL%252BvrrufPKKpDhEIqJD1nQXZ5xEY02NMzYUrWVwE%253D&asb2=ovIhGLz1xbwLVkCTVrDVZsQVDDV4F8PKKU5rQoxzDMiM2XgAeYoloVWaN2sIuZUc
