Мелочи жизни. Практика личной эффективности,510 ₽,12 отзывов,"Завтра доставит Ozon, продавец Издательство ""Онтопсихология""",https://www.ozon.ru/product/melochi-zhizni-praktika-lichnoy-effektivnosti-163095691/?advert=I2sZz79ZwIWE98zADAetq2GxtBI17wbcFTR39qm2Qk8VQAsSG9amQ93dJ3HtzXIurrdARWxU7hSA8nhorOlXQ-MI_9NubnkxA-up_UBZAj8LEREqpigcAoWQRy-JEtgIzLOzdNK2WhME3TSM--kzmlfJZI20pEy3nBaYRJA7sP5mbGG-_NLuj8HtR0LEUEbJ_U1Pe5L2HyR-545tZV8rCEV-n7b55eloVXgbSKMh6qegHRhzkLR9xECWFNF1HwLK7og-mxZLXYEw2z_p9ezIYLS3UfLJqbpPW4saTDZ_5TM5I0lG-SpXaPy5pcugjAiA-Eo_iUti2csJEy7Z8XvCNPydi-b9Dp3JI5dd282gDXc63hZTTyIZ6Z2cUtmMincKt4NPYdvsR_3ZOPudp29agMEyhoaEgPPl7Dvt1Y6vxsR5FYWZOOFBM5FouO6NXcNeuaNPcbMKcjqz8KVpbQQBHVZIfSJFSAt3M37qheEQBU0asZ_lZRQ74P47nFgW-fayRjxbO4VLYVXDW2_iWe1PLtmkzLWR1i_jDk9TNDDFMLPfxCFn940zFM1IpZd0yPad
Семь навыков высокоэффективных людей. Мощные инструменты развития личности | Кови Стивен Р.,337 ₽,3 отзыва,"Завтра доставит Ozon, продавец Ozon",https://www.ozon.ru/product/sem-navykov-vysokoeffektivnyh-lyudey-moshchnye-instrumenty-razvitiya-lichnosti-kovi-stiven-r-200584070/?asb=I4%252F2Ho8g%252BWrNfG7RChcXyy%252FVll%252FDGtBeN8QQLCIcVqI%253D&asb2=EyMq5Tw8w-DjKlnxP2u_MUrc5JwWYXLdj0tg0LaoJ8UvdM4I8RMfkMqBWdOqy_a9
Как разговаривать с мудаками. Покетбук нов.,393 ₽,5 отзывов,"Завтра доставит Ozon, продавец Торговый Дом ""Эксмо""",https://www.ozon.ru/product/kak-razgovarivat-s-mudakami-poketbuk-nov-529025533/?asb=u%252B3YhKSh8We37yuDzK8p6QGaKyhUlcsfn2WSGAmzBQQqA8NwNGFhtuhIE%252FWMU%252Bs2&asb2=d84T7n_4xOPYweLJ9bttvHp0vFSQ4Boj-v2JgQ7Fw8OYTJmUyoShTgGsgnyyub73R6qGwpFGXe_qUJ6Di4dSHvg_6CcjwBJvdmMTKJsk_Vjoxnrr5yus3OGnS5epz11upWbXW-5JsCFYOtC-4a90wA
"Джедайские техники. Как воспитать свою обезьяну, опустошить инбокс и сберечь мыслетопливо. Покетбук нов.",374 ₽,5 отзывов,"Завтра доставит Ozon, продавец Торговый Дом ""Эксмо""",https://www.ozon.ru/product/dzhedayskie-tehniki-kak-vospitat-svoyu-obezyanu-opustoshit-inboks-i-sberech-mysletoplivo-511830559/?asb=J62v7qv18H22yPKsssIuviCbIVD9uXyQElFByvI%252BdfM%253D&asb2=vALx77hgcZDdCI2CVtvXucQcgrN0ZE3Ph682p2Q2VZICgoFAz6vl3fV0QIyCgXWb
Настольная книга кадровика.,288 ₽,1 отзыв,"Завтра доставит Ozon, продавец Ozon",https://www.ozon.ru/product/nastolnaya-kniga-kadrovika-361734520/?asb=YJTR1lJd4Xz%252BWBEMM2%252BX6McxU%252B2j%252BwccVRl943VuZGA%253D&asb2=-IqXj8Y12v5H4VZSAYtDoOdmzJ1MVnSTgKiHl1nFHtJu5Av3SYIZYGm_lPY1sjDI
"Шпаргалки для боссов: Жесткие и честные уроки управления, которые лучше выучить на чужом опыте | Горяев Тимур",604 ₽,27 отзывов,"Завтра доставит Ozon, продавец Альпина. Книги",https://www.ozon.ru/product/shpargalki-dlya-bossov-zhestkie-i-chestnye-uroki-upravleniya-kotorye-luchshe-vyuchit-na-254615307/?asb=J3WdR7cA4xM%252FXhPAQVq8WtAMhvpLdx8A%252BLDVVPnZg6HbqpK37G8JFjg1Sn7WN%252BVc&asb2=nXNtO-mQsagnSsg6VeRcsBTDAD9bmAlpBmi07i876na3oPrbeIR0Kr-Ji9BecVU9WkRt-eoqn5lcrvmcvkcMnU2kk10tWCFlxYo9MckMagh3djjdUbYce0RiaPP_yOZ10XcrgG9Y78dnOPqr53lO2Q
Лидерство | Harvard Business Review (HBR),604 ₽,43 отзыва,"Завтра доставит Ozon, продавец Альпина. Книги",https://www.ozon.ru/product/liderstvo-harvard-business-review-hbr-251210967/?asb=HiHswF6Zaq3kGqInrFtwQkJaEZgAx1cKggxDNPnJskrmS2zRF1dRH90myo2Aa%252FQC&asb2=_v03ftfiS9tebiqE3zc1kxTpluFBiEvk8ZIpAnHkjhORxCfyuGSAR8GzcEzaU5htbr_PiZjNgyp1zx8bNPw9FUMY3aSnG5SuFcjkDBwHsRtM4NHD4eDu_MS1r5QdNsfiYxGOLA0WNmpgC86VP1_whw
Практическая конфликтология : от конфронтации к сотрудничеству | Пономаренко Виктор Викторович,442 ₽,42 отзыва,"Завтра доставит Ozon, продавец Издательство АСТ",https://www.ozon.ru/product/prakticheskaya-konfliktologiya-ot-konfrontatsii-k-sotrudnichestvu-ponomarenko-viktor-viktorovich-250459752/?asb=i1hOsEfmJee7KrNJjsbYSW17xM%252BHWGfjkai6B%252F3I8EOniZ4uTbEj44mXgQlNNR3K&asb2=XQO7e80tfTdMTPvAq90eW6LD3PW15tliAQ8GPVWRgk3tJ_GfU7qmxOG29p-c9ugtbBcTwYW2tnkmCiip0GX6pOY918fyab49vmworPzUtini6Np_7RV9LyrGxhCBqanTHnDAuW4QZoUSk9NOQzr6Uw
48 законов власти,351 ₽,62 отзыва,"Завтра доставит Ozon, продавец Ozon",https://www.ozon.ru/product/48-zakonov-vlasti-145535294/?asb=qXLf1Nm1Yib8fWabjmEkEpca2BhHy3B7U8W1XePVBEw%253D&asb2=7yQqfkxFV2fDy5AoCqt4VS91qjBUDRCeQNPxG8HlOOBsSvnhtYdPNBtMZpr-mfC4
"Спиральная динамика. Управляя ценностями, лидерством и изменениями в XXI веке | Коуон Кристофер К., Бек Дон Эдвард",759 ₽,86 отзывов,"Завтра доставит Ozon, продавец Ozon",https://www.ozon.ru/product/spiralnaya-dinamika-upravlyaya-tsennostyami-liderstvom-i-izmeneniyami-v-xxi-veke-spiralnaya-dinamika-5519486/?asb=yxDOsXUE%252FsCY6%252FnMNLkZdNnzDRZ3GiTRI%252Bo3%252FVchcgw%253D&asb2=ZVVSFiO4UCLzuX69HYSLR5kwV3wpI86qsmBsGiJAJAM_teLA30ckwqvpYXnwgLgG
