"Переходник универсальный 80 / 100 / 120 / 125 / 150 мм, редуктор многоступенчатый, 3 шт, РМ-3, белый, воздуховод, ПВХ",830 ₽,16 отзывов,"9 мая доставит Ozon, продавец Бутик Соблазна Штучки",https://www.ozon.ru/product/perehodnik-universalnyy-80-100-120-125-150-mm-reduktor-mnogostupenchatyy-3-sht-rm-3-belyy-308719388/?advert=GE_mIXxkS6CWBaqfIk5QRjYWUV4CN6SlTLO8MNyCtLlOfJTzf_oCbE2mw-PsCWvAjDT3FnUmdv2mm-uhERUCBzYUeYtp2H90MsVjSLIiqGMy5pN2b-zwx3NAphS_OkkIRpbd5X5hl7gX3qABwM7oJ6yPbUawYBu0sdP7sye6cowIkFfru6ZWLhKlgkS_FA5NB7owtgSH8WxMcPJhq8nDNjE0Lg1vKD5G8dqGZJSc5P9dBzntORjMvPTJ9phkpplfF6IcCUfgnD1tIUCw98z-nt4pbVOsbJJhnpoCX-u5M6QC8X8kUb0yQnjIwI0IazvS0uj29oWsDOPNE0IstZEtf4-iudDx4ULriJLQykcXG3TetR-C8MKXQkYUInwSvyGVWwbK9-50kLgkE3WljDQegRR73Xr2Tmk9G7x7MAmLofXGeoNT2W0hmxRiyUUbIVrwTobl0TnB01EnXKdICG-QILF9cFvTTEbGJMp9bqrA5UOgWeQw61ioAH1EUdRR6doGNRO53uuSEr38eT4PIk7InDkBU5IhgO7WnF_wkgLI34q7pGOZJXtpvW88WqQ8zba5
"VP 4, Вентилятор осевой канальный вытяжной D 100",845 ₽,149 отзывов,"Завтра доставит Ozon, продавец profitvent",https://www.ozon.ru/product/vp-4-ventilyator-osevoy-kanalnyy-vytyazhnoy-d-100-377578913/?asb=IujIipYU5RZVA8unyRuba8FPLIWC831u9v1rzK0Cb5o%253D&asb2=Vojr29hwor5wgYKSHye5CVCIayH___pqoDs4xq32i7EE7SJZ4b1_y4j3Vb-vjZ-9
"Вентилятор вытяжной Vector 80 С, до 6 кв. м., воздухообмен 80 м3/ч, белый",981 ₽,10 отзывов,"Завтра доставит Ozon, продавец Yoma Home",https://www.ozon.ru/product/ventilyator-vytyazhnoy-vector-80-s-do-6-kv-m-vozduhoobmen-80-m3-ch-belyy-346257174/?asb=uyEXfKf25QGyAYeEIXmpKr49R3meoEbU3q7VU22vnA4%253D&asb2=EABjS9nWnyy4w3WxCY-T7bFbMDjP-CxurIVxB2Ku2j7dV6hqSdCB2KB9R93j6kQ0
Вентилятор вытяжной канальный PROFIT 4 осевой D100,990 ₽,194 отзыва,"Завтра доставит Ozon, продавец EVR-VENT",https://www.ozon.ru/product/ventilyator-vytyazhnoy-kanalnyy-profit-4-osevoy-d100-240919646/?asb=xcLHPz7XxYHaWR72g8oeNfybvveiLf1bXY%252BbYai8h0s%253D&asb2=TRh0IAz49h-rqq8XygwEykE6f-mY6GtnP-RHDXIqYq9DzlVhWeP5DdPcAigqx69DopxSZ247jv_foKU1Ju1DepDXux1HQi2Ruo-bdJBztMQWxp91aRK4tWEeYA8GMMUI
VP 5 Вентилятор осевой канальный вытяжной D 125,940 ₽,149 отзывов,"Завтра доставит Ozon, продавец profitvent",https://www.ozon.ru/product/vp-5-ventilyator-osevoy-kanalnyy-vytyazhnoy-d-125-377581878/?asb=BvyA52W8%252B3FupQRpNBHhl%252BTXF1DeyrhHCH8fxgyteLw%253D&asb2=o0V_x-lDk5IQK1yi5xogfGbNCN4x9oDgldIYg_JumC7kvxJtH5ucT5jbR3k2TGv1
PROFIT 4 вентилятор канальный осевой D100,990 ₽,184 отзыва,"Завтра доставит Ozon, продавец profitvent",https://www.ozon.ru/product/profit-4-ventilyator-kanalnyy-osevoy-d100-179833005/?asb=oYwnAyxTeJ4OX6jCSC4LY29cS1%252BjBdrTRMVyop4XGNc%253D&asb2=9kIqOGOmU_UrO6mYhFujdKX8zVereY6jtn41MdTjwAHahjQCAqSXyA57m0sDqKqo
"OPTIMA 4, Вентилятор осевой вытяжной D 100",820 ₽,109 отзывов,"Завтра доставит Ozon, продавец profitvent",https://www.ozon.ru/product/optima-4-ventilyator-osevoy-vytyazhnoy-d-100-377582030/?asb=HmJji5rwPCz7VpwdfTZ4B7RAuGq31riIYwtmlyzkzAE%253D&asb2=xl80mxu1hEI9agHyLhO3DozxZ77bglgbYhb6EBD8wOKfentJEArnZ85Irv-kGnJc
"OPTIMA 5, Вентилятор осевой вытяжной D 125",910 ₽,109 отзывов,"Завтра доставит Ozon, продавец profitvent",https://www.ozon.ru/product/optima-5-ventilyator-osevoy-vytyazhnoy-d-125-377583953/?asb=E8KhHqA7xoOGXgcMe82q45byLtCKd97uNpEMO1tgr6k%253D&asb2=v9doKbh0bMLM2NsB_JvtPvYnmHVbCPqzLI49c2GM6TO2bFdJor6qC2gVbDBpjlrQ
"Вентилятор канальный Vector 100К воздухообмен 100м3, 10 вт",981 ₽,9 отзывов,"Завтра доставит Ozon, продавец Yoma Home",https://www.ozon.ru/product/ventilyator-kanalnyy-vector-100k-vozduhoobmen-100m3-10-vt-356101331/?asb=hxHUizYPShlprB%252BpXW12cR8%252Fwp6rDGUg2ao5D4iYghpFVJQF7E6tAVzoWhxmFrWc&asb2=KwOm5SnRMj1DKiV0CmExc4DqhU3E_0_nihb6SWXR1_fZ9lI6vHjUsxfPtb-DZSwW9leNUZ-lsfFFIakTqBGdmwyjWMjB5w3Lx20RVMqyO-PYkzlt7GHUQY2TZyQn4YxFIQGyhbaYoFbmZsTOsGwRrA
Вентилятор Домовент 100 ВКО,871 ₽,44 отзыва,"Завтра доставит Ozon, продавец ЗЕРН",https://www.ozon.ru/product/ventilyator-domovent-100-vko-201862026/?asb=VazmVgVd%252FxFpqJMd8ubfpyjTh%252BVRtU0NHJ9vnilUd6M%253D&asb2=6NGXcWj0I3xS_q74T-8X4rICO8IHAX0j2_M0MHQp-LwiKFafYGdfh7GEVwiJcjdR
