"Круассан на сливочном масле, 70 г",79 ₽,27 отзывов,null,https://www.ozon.ru/product/kruassan-na-slivochnom-masle-70-g-491546618/?asb=PBRvC28Whu78NhS8vhYUCym1yqwj8doPgpx3HTmVpPQ%253D&asb2=EjgYIKu3pEyJln8Rl5NB-x9W_yJ_LiAl4otJZKFU4g_yM0JRlfD6yUUddwpAssnr&ectx=1&miniapp=supermarket
"Улитка с корицей, 86,8 г",73 ₽,59 отзывов,null,https://www.ozon.ru/product/ulitka-s-koritsey-86-8-g-487329834/?asb=dRuNvQ5I4YKjO7jfEU8hlF%252FVfE47Gdhvtu3UhT5%252FKIs%253D&asb2=A5YtSCLZ4-lWg4Oapmlv-cGyFbX7jOOzHNrF3YWaZLPqNEkFQPURO0M5YswiLffK&ectx=1&miniapp=supermarket
Донат BAKERTON с начинкой Ягодный микс 70 г,53 ₽,48 отзывов,null,https://www.ozon.ru/product/donat-bakerton-s-nachinkoy-yagodnyy-miks-70-g-488417254/?asb=C0n%252FlD6SE52koZI38bMz0InXW5yz939W67PlOsCJL%252Fk%253D&asb2=RFqVqcYJd846GniONMpyW3oEYttcPDFBPhnbwxXdeCmF5TA8bQnStJbgek-IjIBi&ectx=1&miniapp=supermarket
"Слойка с Беконом и сыром Мастер Пирогов, 70 г",56 ₽,166 отзывов,null,https://www.ozon.ru/product/sloyka-s-bekonom-i-syrom-master-pirogov-70-g-414787500/?asb=sDTPUMa5s1QkWRclHHgyBr9d5J5daWtbZDxEFahsQpA%253D&asb2=v_7ew8e7d3tJUDndHsAg19r88SRXfu-5es1fViioWwe_OJrT-EMd_7TyP62j6AoI&ectx=1&miniapp=supermarket
"Кулич Сдобная особа Кружевной, 250 г",129 ₽,67 отзывов,null,https://www.ozon.ru/product/kulich-sdobnaya-osoba-kruzhevnoy-250-g-511998494/?asb=C05TeXaYfA44JlZC00WqbCEYXA0Z3KrX64dNy75xU2w%253D&asb2=zsL6f52XQM7X_kxGJoGMFZY-6uRoREFNg4zAKVklktYl6YA8Zm0Q7INqPFmQIjzW&ectx=1&miniapp=supermarket
"Круассан шоколад и фундук Лантманнен Юнибэйк, 95 г",92 ₽,33 отзыва,null,https://www.ozon.ru/product/kruassan-shokolad-i-funduk-lantmannen-yunibeyk-95-g-487291129/?asb=%252FZu%252FaVYAcBVOiE8cNzk4QLAE3hAyGRdTOyF7gzs4KnI%253D&asb2=Y_vq9hTSxB8MPToBO6eB3NKXMYDH450i2IdNzsFKebaDknI-yPmLSrYqOrwEwmi2&ectx=1&miniapp=supermarket
"Рулет маковый, булочка сдобная с маком под темным бельгийским шоколадом",144 ₽,112 отзывов,null,https://www.ozon.ru/product/rulet-makovyy-bulochka-sdobnaya-s-makom-pod-temnym-belgiyskim-shokoladom-445754711/?asb=1%252FzfbPQMFZIy6yAKjgDP%252FRbHqOxy2ttLfMXtAlZ37IxSRZBUXr9k42fnstQLL41F&asb2=d6HTIwXejAOBjabJoIrL20-W_aVw_iy1Irkymx5IRJqmTRhINdIEcKLjknbRRQccRHIDde70P9R5_2vXcwq59zVPnqI82SVk8mgj8xS1OOQo1qLMqQRTwC8sr2s44YuUqUlRNura5TyKl0mqF-6iOA&ectx=1&miniapp=supermarket
"Кленовый пекан, 97,5 г",99 ₽,41 отзыв,null,https://www.ozon.ru/product/klenovyy-pekan-97-5-g-491546617/?asb=1NsB2zo0yafFH%252F2MxbmXHBhI3IEd%252Bgg5Ywr6wCAFg1Y%253D&asb2=Wej6CoOMLOw02yErZ3Eij7wd8TcWVKVLusbcij8to4gLBBGtoQmDAG3EjjRgi6Pv&ectx=1&miniapp=supermarket
"Круассан с сыром, 95 г",79 ₽,18 отзывов,null,https://www.ozon.ru/product/kruassan-s-syrom-95-g-491546614/?asb=osTsU7WkT4BOot5zL47DtFmEDfSRVjD9oAWtIS5WGyg%253D&asb2=0sG2ujV689xlPqzrpJXZA9i9MaQK1f6cew21ZzQm8OSsXCuwRNT317T3MyN5q3vn&ectx=1&miniapp=supermarket
Донат BAKERTON с карамельной начинкой 67 г,53 ₽,29 отзывов,null,https://www.ozon.ru/product/donat-bakerton-s-karamelnoy-nachinkoy-67-g-302120979/?asb=KgMzEFYMcGILMdzcFj3mmD%252F4IrwJhWl7KUk4Z1R9l%252F0%253D&asb2=iDgusU02pW5v3w_4H8VvlLR3yXJRm8boKEsXuIZeGirfxEtxHj3CSpdK7L58AEOi&ectx=1&miniapp=supermarket
"Круассан с сыром и ветчиной, 95 г",82 ₽,21 отзыв,null,https://www.ozon.ru/product/kruassan-s-syrom-i-vetchinoy-95-g-491546615/?asb=V4JwYnA%252F7cry1reI1jftLnZvcQ005krjwXirXDaEGIA%253D&asb2=iHdlvvskC0O0vp5TsGVVeG6xmHGrCy76o1inYWu6Kdy4JxTn41K0zS9ZI3ATu-c-&ectx=1&miniapp=supermarket
"Улиитка с пеканом и кленовым сиропом «Иван да Федор», 100 г",169 ₽,7 отзывов,null,https://www.ozon.ru/product/uliitka-s-pekanom-i-klenovym-siropom-ivan-da-fedor-100-g-491615184/?asb=qrhtUIsKM3vxsFhsM5zXT32h7qPl37oHOw%252F4Y%252FqjxJs%253D&asb2=b5v3bJqa3Cw1XL19GFihek-CDCMmGvEr9-dVQ4Sr9XEr0Hs8nMqBz5RblXTDXXaI&ectx=1&miniapp=supermarket
"Плие «Иван да Федор» с шоколадом, 80 г",129 ₽,99 отзывов,null,https://www.ozon.ru/product/plie-ivan-da-fedor-s-shokoladom-80-g-309177979/?asb=Acy9567rCdKdc6vztBzPFl6kYAlO2oZXwxHhZPnwqTI%253D&asb2=Fh0aM79666DQSbVGGZYeZRhhzh3B1KEu3bRJY7GivkK3UIXy2I4K5UBIhbBQon5h&ectx=1&miniapp=supermarket
"Рулет бисквитный Kovis Клубника, 175 г",50 ₽,4 отзыва,"Завтра доставит Ozon, продавец СВИТ-Р",https://www.ozon.ru/product/rulet-biskvitnyy-kovis-klubnika-175-g-472173007/?asb=lZElRucHQ07mhuc7yqUA%252B3ASze4yGZluSYKz6DlKAzw%253D&asb2=t2gTm4csS_58uo6bRf1YWOqqPSLWQrL64u1551Vg8yUhCRhVwwZN_JtI6JvxLEEg
"Хлеб МК Кит Тарталетки для салата, 15 шт",177 ₽,158 отзывов,null,https://www.ozon.ru/product/hleb-mk-kit-tartaletki-dlya-salata-15-sht-225400958/?asb=QNDyGJx0tY6rq%252F%252F11PVHm1ALc9IkHJR6Tf8FenpeNww%253D&asb2=JtwYOjVvpVWxLi0a9U8-FQdofM9LODsk-dGvtPEJwA0l6nhsrumBu55ut1xF3eBX&ectx=1&miniapp=supermarket
"Булочка для гамбургера с углем, без глютена, 210 г, FOODCODE",141 ₽,160 отзывов,null,https://www.ozon.ru/product/bulochka-dlya-gamburgera-s-uglem-bez-glyutena-210-g-foodcode-179712107/?asb=XFeFXod1Dg6U6XQT8z2ZFMW5tL53NIxi%252BdJ2oLyaCVU%253D&asb2=0a_u1tSDq-Pm3vfA3SEBNleoiLAMo8TscjItyqKSfkFsKJKfjBaLTDG5vMjyyYad&ectx=1&miniapp=supermarket
Рогалик из детства (2 шт.) пшеничная ароматная булочка в виде рогалика,152 ₽,90 отзывов,null,https://www.ozon.ru/product/rogalik-iz-detstva-2-sht-pshenichnaya-aromatnaya-bulochka-v-vide-rogalika-343265635/?asb=cObpUuvakiwIscqQOmwJEPMlpKQCmp2uRGuxgfcDOsyj71AyxnLutjsFv16UD5iQ&asb2=LgXCLb7_Hp_cpfFs35O4__whg6k5osh1u892gF7DXoJhdyuvZZg40XAQr01PhKeA4fva6VF2SeSU3w4cO_Bj3dqjgZyxVATFF9VHToArVrY1xvJ-Pi7KdGdAh1_f0Tkc0wzVzD1u9ydsbS8on6RS5Q&ectx=1&miniapp=supermarket
"Булочки ЖИВИ ЗДОРОВО злаковые 4 шт по 50 г, 200 г",53 ₽,1 отзыв,null,https://www.ozon.ru/product/bulochki-zhivi-zdorovo-zlakovye-4-sht-po-50-g-200-g-522223950/?asb=w6bSZM7Ncu50BmZZJ1p%252B2Fswfj8Elat5RiKkNIcd9tY%253D&asb2=sYNWaaugSwlEHoCx9XWrPyvS3ozVlqzNweikdReRiR3APB_01XsMxIjYudk9EO3m&ectx=1&miniapp=supermarket
"Круассан «Иван да Федор» с лимонным муссом, 130 г",169 ₽,1 отзыв,null,https://www.ozon.ru/product/kruassan-ivan-da-fedor-s-limonnym-mussom-130-g-491615190/?asb=E7vqlIL9xSNg5iJFFdV2jzXJohPWUl5YaA3TXErDn6A%253D&asb2=GTeiRbraPLxPngWAqdZs-WaBXl2dMmiRQRlMrFBpCpMZPPSXtOfPyqMAZ4C82Max&ectx=1&miniapp=supermarket
"Круассан Миндальный «Иван да Федор», 100 г",195 ₽,104 отзыва,null,https://www.ozon.ru/product/kruassan-mindalnyy-ivan-da-fedor-100-g-309177978/?asb=8zxX6Y4ewtESU0GVr9C4LzBdRuecIW5AV7NCB6Kt60g%253D&asb2=QVmgql6_c54uc1iPiFJ2siEDgF9hxEUMNMYYVC3j8O8mGNuOty3aEEqduHKRqoWA&ectx=1&miniapp=supermarket
"Круассан «Иван да Федор» миндаль-малина, 150 г",219 ₽,1 отзыв,null,https://www.ozon.ru/product/kruassan-ivan-da-fedor-mindal-malina-150-g-491615193/?asb=lGT3vHzIVlW0fnpRNPz24xTkLh3QGfaHq0sGLG727Sw%253D&asb2=7EpwJ1958qDoX0do0Fo_w4pGWR1nFXyh7AIKcPzajpCBG0K3bIeWokJ9hntoP-1B&ectx=1&miniapp=supermarket
"Пирог Австрийский штрудель вкус персик-маракуйя и ваниль, Сдобная особа / Черемушки, 400 г",231 ₽,192 отзыва,null,https://www.ozon.ru/product/pirog-avstriyskiy-shtrudel-vkus-persik-marakuyya-i-vanil-sdobnaya-osoba-cheremushki-400-g-173310571/?asb=AS3tsnP4uP7tlGu13i9FofzHcF%252FG548nSU5WNNkJHz4%253D&asb2=vqd4vS9JnwXnDKoUcUFp45TiaQcP67xsyubZy_pPg9Ieik5LlZAYWJqXgBUXjc0F&ectx=1&miniapp=supermarket
"7DAYS Мини-круассаны с начинкой Черешня, 300 г",138 ₽,189 отзывов,null,https://www.ozon.ru/product/7days-mini-kruassany-s-nachinkoy-chereshnya-300-g-139654826/?asb=7K%252FhmVTuYkFtn0tnc1eXJG8Lj%252FVZbdx5CpbelPcZN%252FI%253D&asb2=kxLpLZIOJNMuNouhnhSGjPDA4XyQlYkYLD2thdUA0bd3p3ZOQxMZfaOo_Xs-DUC2&ectx=1&miniapp=supermarket
"Маффин без сахара ""Двойной шоколад"" ROCKY MUFFIN от Mr. Djemius ZERO 55гр 8штук",736 ₽,156 отзывов,null,https://www.ozon.ru/product/maffin-bez-sahara-dvoynoy-shokolad-rocky-muffin-ot-mr-djemius-zero-55gr-8shtuk-278176553/?asb=HceNi39vy7ePxHBzDd0IPh391GJkomIxk4S2PGT%252FTsLUKukBdswb2MHYayva4EQ3&asb2=vdhGBs5d8aqeDswX2J1S2_KXrc5jYEM__R6JPrEmVewuSUyAZE1nyllkQUcCoc2Pd5mBWj3q0jSUlaD1bM3L9VQPvNi2yLxxxxsLy-eyQn3wvfpmudMFsVOJ-YT6wpNM98KqNSD49CnvADVVUAqkAg&ectx=1&miniapp=supermarket
"Слойка Улитка с корицей, Чехия, 80 г",199 ₽,92 отзыва,null,https://www.ozon.ru/product/sloyka-ulitka-s-koritsey-chehiya-80-g-184365428/?asb=RXYyjNM6ZHjPSdxaTZfIO2K7YVr5CiQzbYLGLzokeFQ%253D&asb2=oxS0RiTPJKgdRutycyQvLYqpW4och68tjG-5rrJp23Ki90XRS4KUm78FBTytSM1k&ectx=1&miniapp=supermarket
"Кулич Federici Милано, 500 г",519 ₽,30 отзывов,null,https://www.ozon.ru/product/kulich-federici-milano-500-g-432672313/?asb=xv%252FZrOSFka1oEY%252BoaZI5rh9wz45eQyKeR7RHHtnjgRc%253D&asb2=4-pdfbmMykvguHZWtQrc_UT_rHSxJAt4-PEUdmw7owUnntAHxQdXt-Ikj_plXOZ2&ectx=1&miniapp=supermarket
