"Датчик температуры Baxi (бакси) погружной ECO, LUNA, SLIM, MAIN, COMFORT, 8434820",614 ₽,8 отзывов,"10 мая доставит Ozon, продавец ДетальКотла",https://www.ozon.ru/product/datchik-temperatury-baxi-baksi-pogruzhnoy-eco-luna-slim-main-comfort-8434820-378320519/?asb=jvM6KCf%252F250E9XrdOu5bIkiCF2f2PFgtYIRj4NRt3%252Bs%253D&asb2=c_nOcrqZRuGpgIFADWR7ZSDJwWlyyGAikaHPclqEDkmEKit26zsW-nMw-AWU9g2u
Термопара газконтроля для газовой плиты универсальная 60 см - WC250,1 000 ₽,9 отзывов,"8 мая доставит Ozon, продавец REMMART",https://www.ozon.ru/product/termopara-gazkontrolya-dlya-gazovoy-plity-universalnaya-60-sm-wc250-329645500/?asb=q0EqAb9LfXkssof9ypYpKkdLpbty0maVH9oB7ajn1Wo%253D&asb2=u7BO15O6UZrLdzLx6l6WeaKuxv95d6KYVHnplomgL2N8XJ9orZyLmOQo4SaOeoxr
Реле NT90TPNCE220CF (с закрытыми контактами),660 ₽,109 отзывов,"8 мая доставит Ozon, продавец магазин Энергоблок",https://www.ozon.ru/product/rele-nt90tpnce220cf-s-zakrytymi-kontaktami-286736448/?asb=0rzlCBeGes6BCGkvnSo82iUtOJGjy5KELdypFbyO2lA%253D&asb2=TUoOtkP7ky_Io1Hj01ucUCL8UTgBJ6GNuzgdWW0HnerCh3QEpldiZ5_MADNNTvR9
"Датчик температуры NTC погружной Baxi (бакси) MAIN FOUR, ECO FOUR, артикул 8435400",645 ₽,27 отзывов,"10 мая доставит Ozon, продавец ДетальКотла",https://www.ozon.ru/product/datchik-temperatury-ntc-pogruzhnoy-baxi-baksi-main-four-eco-four-artikul-8435400-380043563/?asb=qHXA%252BzhkShhfjn%252FSP%252BXbl1ltqoFRkrZ2r%252Bdq9L1a8Dg%253D&asb2=G3D9OOOi0VhHo2Mgpa5EY515CP2YpZy7e_Jx9FFv9deIfqINJbwkn9UN2lamjoRw
Комплект прокладок для настеннного котла Navien,902 ₽,6 отзывов,"14 мая доставит Ozon, продавец Вода Тепло",https://www.ozon.ru/product/komplekt-prokladok-dlya-nastennnogo-kotla-navien-474783042/?asb=KEiD8DDGERZ6FdIjEiQSjevlOx4moueaHxtJ90goT9A%253D&asb2=FEA9jW1SSx0OMcSh729Yv7MDxZqq9uETR-Hit0dHHDnU0frrELboEmneRhE5lCfe
"Термометр биметаллический VIEIR с погружной гильзой диаметром на 1/2"" - d63mm.",712 ₽,26 отзывов,"9 мая доставит Ozon, продавец СантехОпораСити",https://www.ozon.ru/product/termometr-bimetallicheskiy-vieir-s-pogruzhnoy-gilzoy-diametrom-na-1-2-d63mm-215537211/?asb=r0aeEE94W%252FaXBuzdx5vR1vSkzHrmpJkK2LxtzQ2pdCU%253D&asb2=ankrpH51k-wRDkgMYeSfcEx5kzhHVaeeIqFgVHaKA-xDe-Ik4AwaKW9R_frGZQ-C
"Комплект прокладок (уплотнительные кольца) Navien 42 шт, 30007978A, BH2420010A",1 014 ₽,42 отзыва,"10 мая доставит Ozon, продавец ДетальКотла",https://www.ozon.ru/product/komplekt-prokladok-uplotnitelnye-koltsa-navien-42-sht-30007978a-bh2420010a-378283182/?asb=a8vE%252BxsYsa6PsTL5fQuU%252Fhs7%252F022%252FxVA5BeynxcNcgM%253D&asb2=Y-nkSR3DV5HFYAbM9_fMuLojXR9PGGs-1lgt4Ik-5VIQZZQHBKwjAUVCZNGMbVew
Терморегулятор 30-90 градусов для электрокотлов ЭВПМ Миасс термостат капиллярный,865 ₽,36 отзывов,"10 мая доставит Ozon, продавец МАРКА-МАРКА",https://www.ozon.ru/product/termoregulyator-30-90-gradusov-dlya-elektrokotlov-evpm-miass-termostat-kapillyarnyy-320033317/?asb=svZBTVuVmtMHYlbwKc0szXI06tHkaLP0ig1jAZRfacg%253D&asb2=1SKFS2bTvcoAmKBg4Y4mw9ju50ewzbhcyuhki4HKU6s7j-Zn-RfHk3DAaR-rG82t
"Термометр биметаллический 0-120 гр, ТБП 63, для жидкостей, пара и газов",750 ₽,9 отзывов,"8 мая доставит Ozon, продавец AASPRO",https://www.ozon.ru/product/termometr-bimetallicheskiy-0-120-gr-tbp-63-dlya-zhidkostey-para-i-gazov-458691481/?asb=419HASijGotFuJwzltlizTWlIqMnBVH9fit73IsEoQY%253D&asb2=47kIxWdHq670oygsR-SJNqqa1lwS4Xw5FAf20-qzBai-jh2nz3oXbfI0vnjukJxE
Термоманометр 1/2 120 C 6 bar с отсечным клапаном аксиальный (осевой) YF6 ViEiR,938 ₽,26 отзывов,"9 мая доставит Ozon, продавец -VIEIR-",https://www.ozon.ru/product/termomanometr-1-2-120-c-6-bar-s-otsechnym-klapanom-aksialnyy-osevoy-yf6-vieir-329367878/?asb=FWPdyj9N9mDo8jS%252FIrtd79FwSC4nyh7g0OvRNsMirnpA0NVT4%252BPqCQ6KK2rvt440&asb2=WdJWKRz3qWsMZ0YfdEF_dYWK26IeIk3DqpZwcXYqZWtAsxPtEKGEDL8_YAL6qfHTq-UxjS7GuZAn632YijzJvfd5V4umBNGh5n6WxEE8aKZW5qO2QjBiB1fbJGbeDgIb
"Манометр с верхним подключением , 1/4"", 0-6 бар (для редуктора давления) Valtec VT.TM40.VC.02",419 ₽,1 отзыв,"Послезавтра доставит Ozon, продавец teplograd-mo.ru",https://www.ozon.ru/product/manometr-s-verhnim-podklyucheniem-1-4-0-6-bar-dlya-reduktora-davleniya-valtec-vt-tm40-vc-02-536992194/?asb=2bOmZMhxAFVSu01eAcTln%252BaUmAI%252FnIIFIZhMWEPwoR8%253D&asb2=SDDvEGCBzcmxuScFQCnxKQBe6khiSTKQwIa5rf2bPlrPYlcxOsycoqGcNNyVjklz
Воздухоотводчик Navien,970 ₽,2 отзыва,"14 мая доставит Ozon, продавец Вода Тепло",https://www.ozon.ru/product/vozduhootvodchik-navien-476891281/?asb=fVLCv98VKghy9MAIGix%252FJc2rsTPrmAO8Fo%252B4pMW%252FAro%253D&asb2=nlN5tjq6f2mOwKH_nGZDjMXUxs2LRoC5JJZgCNUkzJsXSNBwXevmJms49qyAj92I
"Кран подпитки ARISTON Egis, Clas, As, BS, Matis / BAXI Duo-tec, Eco, Fourtech, Luna, MS, Nuvola / CHAFFOTEAUX Talia, Pigma, Alixia / WESTEN Pulsar, Star",900 ₽,1 отзыв,"8 мая доставит Ozon, продавец Газовые горелки, запчасти",https://www.ozon.ru/product/kran-podpitki-ariston-egis-clas-as-bs-matis-baxi-duo-tec-eco-fourtech-luna-ms-nuvola-chaffoteaux-516377946/?asb=dI4NOKaPgrzRIjGomE19CfS0vEowktCQMt1Nf0GuEwk%253D&asb2=65Ds_6zDoMM8stmH4bNk1pjh95P-PIa-i0fAgmR-qokNIBqYbtu6fOkcWhXQ3EbT
